# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.16  1.455399131633090E-02  7.873698299878690E-04 4598999	   1       0.00       0.16  1.455399131633090E-02  7.873698299878690E-04 4598999	   1       0.00       0.16  1.388062581570149E-02  7.291200420202750E-04 4598999	   1       0.00       0.16  1.388062581570149E-02  7.291200420202750E-04 4598999	   1       0.00       0.16  1.529366014435129E-02  8.558630105721722E-04 4598999	   1       0.00       0.16  1.529366014435129E-02  8.558630105721722E-04 4598999	   1       0.00       0.16  1.455399131633090E-02  7.873698299878690E-04 4598999
   2       0.16       0.31  1.442889615711640E-02  8.868733866151053E-04 4704745	   2       0.16       0.31  1.442889615711640E-02  8.868733866151053E-04 4704745	   2       0.16       0.31  1.379218540653828E-02  7.940945976119745E-04 4704745	   2       0.16       0.31  1.379218540653828E-02  7.940945976119745E-04 4704745	   2       0.16       0.31  1.511603632655978E-02  1.002557246178814E-03 4704745	   2       0.16       0.31  1.511603632655978E-02  1.002557246178814E-03 4704745	   2       0.16       0.31  1.442889615711640E-02  8.868733866151053E-04 4704745
   3       0.31       0.47  1.299295331366716E-02  1.357617328876092E-03 4724876	   3       0.31       0.47  1.299295331366716E-02  1.357617328876092E-03 4724876	   3       0.31       0.47  1.250160196365800E-02  1.218287098507339E-03 4724876	   3       0.31       0.47  1.250160196365800E-02  1.218287098507339E-03 4724876	   3       0.31       0.47  1.350684571264477E-02  1.528328577510361E-03 4724876	   3       0.31       0.47  1.350684571264477E-02  1.528328577510361E-03 4724876	   3       0.31       0.47  1.299295331366716E-02  1.357617328876092E-03 4724876
   4       0.47       0.63  1.544393529313383E-02  8.609665762390566E-04 4736558	   4       0.47       0.63  1.544393529313383E-02  8.609665762390566E-04 4736558	   4       0.47       0.63  1.474030525176952E-02  7.900138217561374E-04 4736558	   4       0.47       0.63  1.474030525176952E-02  7.900138217561374E-04 4736558	   4       0.47       0.63  1.621276750567737E-02  9.440848491262585E-04 4736558	   4       0.47       0.63  1.621276750567737E-02  9.440848491262585E-04 4736558	   4       0.47       0.63  1.544393529313383E-02  8.609665762390566E-04 4736558
   5       0.63       0.79  1.432448346490176E-02  8.213777420335454E-04 4748176	   5       0.63       0.79  1.432448346490176E-02  8.213777420335454E-04 4748176	   5       0.63       0.79  1.368305872616057E-02  7.634259111403781E-04 4748176	   5       0.63       0.79  1.368305872616057E-02  7.634259111403781E-04 4748176	   5       0.63       0.79  1.501949036030686E-02  8.891403603445777E-04 4748176	   5       0.63       0.79  1.501949036030686E-02  8.891403603445777E-04 4748176	   5       0.63       0.79  1.432448346490176E-02  8.213777420335454E-04 4748176
   6       0.79       0.94  1.527642040867849E-02  6.408044765839075E-04 4749961	   6       0.79       0.94  1.527642040867849E-02  6.408044765839075E-04 4749961	   6       0.79       0.94  1.454700265613419E-02  5.845555947593495E-04 4749961	   6       0.79       0.94  1.454700265613419E-02  5.845555947593495E-04 4749961	   6       0.79       0.94  1.608552049642632E-02  7.097606252050060E-04 4749961	   6       0.79       0.94  1.608552049642632E-02  7.097606252050060E-04 4749961	   6       0.79       0.94  1.527642040867849E-02  6.408044765839075E-04 4749961
   7       0.94       1.10  1.216258987600709E-02  4.088274379739684E-03 4753720	   7       0.94       1.10  1.216258987600709E-02  4.088274379739684E-03 4753720	   7       0.94       1.10  1.186801551717015E-02  3.663002125537550E-03 4753720	   7       0.94       1.10  1.186801551717015E-02  3.663002125537550E-03 4753720	   7       0.94       1.10  1.241966268118419E-02  4.605247457282736E-03 4753720	   7       0.94       1.10  1.241966268118419E-02  4.605247457282736E-03 4753720	   7       0.94       1.10  1.216258987600709E-02  4.088274379739684E-03 4753720
   8       1.10       1.26  1.590713397864230E-02  2.135369521340555E-03 4756968	   8       1.10       1.26  1.590713397864230E-02  2.135369521340555E-03 4756968	   8       1.10       1.26  1.506265166907834E-02  1.910120425313925E-03 4756968	   8       1.10       1.26  1.506265166907834E-02  1.910120425313925E-03 4756968	   8       1.10       1.26  1.685613147865273E-02  2.410690628495644E-03 4756968	   8       1.10       1.26  1.685613147865273E-02  2.410690628495644E-03 4756968	   8       1.10       1.26  1.590713397864230E-02  2.135369521340555E-03 4756968
   9       1.26       1.41  1.392702646688327E-02  8.729542227108505E-04 4758320	   9       1.26       1.41  1.392702646688327E-02  8.729542227108505E-04 4758320	   9       1.26       1.41  1.339664605561981E-02  7.757860428449065E-04 4758320	   9       1.26       1.41  1.339664605561981E-02  7.757860428449065E-04 4758320	   9       1.26       1.41  1.447447529412245E-02  9.973899525675331E-04 4758320	   9       1.26       1.41  1.447447529412245E-02  9.973899525675331E-04 4758320	   9       1.26       1.41  1.392702646688327E-02  8.729542227108505E-04 4758320
  10       1.41       1.57  1.305404596172810E-02  9.801756163825832E-04 4759329	  10       1.41       1.57  1.305404596172810E-02  9.801756163825832E-04 4759329	  10       1.41       1.57  1.247956976853243E-02  9.107190789908402E-04 4759329	  10       1.41       1.57  1.247956976853243E-02  9.107190789908402E-04 4759329	  10       1.41       1.57  1.367863331291829E-02  1.063545874907549E-03 4759329	  10       1.41       1.57  1.367863331291829E-02  1.063545874907549E-03 4759329	  10       1.41       1.57  1.305404596172810E-02  9.801756163825832E-04 4759329
