# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  4.101778197091260E-01  8.801147874992615E-03 146927459	   3      -4.00      -3.75  4.101778197091260E-01  8.801147874992615E-03 146927459	   3      -4.00      -3.75  3.832573387644856E-01  7.814081166506700E-03 146927459	   3      -4.00      -3.75  3.832573387644856E-01  7.814081166506700E-03 146927459	   3      -4.00      -3.75  4.409368040833480E-01  1.002827926434227E-02 146927459	   3      -4.00      -3.75  4.409368040833480E-01  1.002827926434227E-02 146927459	   3      -4.00      -3.75  4.101778197091260E-01  8.801147874992615E-03 146927459
   4      -3.75      -3.50  5.260041710146178E-01  2.031097798518765E-02 168926732	   4      -3.75      -3.50  5.260041710146178E-01  2.031097798518765E-02 168926732	   4      -3.75      -3.50  4.940233418079350E-01  1.842828141470942E-02 168926732	   4      -3.75      -3.50  4.940233418079350E-01  1.842828141470942E-02 168926732	   4      -3.75      -3.50  5.622177781727581E-01  2.256052041048710E-02 168926732	   4      -3.75      -3.50  5.622177781727581E-01  2.256052041048710E-02 168926732	   4      -3.75      -3.50  5.260041710146178E-01  2.031097798518765E-02 168926732
   5      -3.50      -3.25  6.463854824960334E-01  8.900341697249275E-03 187302257	   5      -3.50      -3.25  6.463854824960334E-01  8.900341697249275E-03 187302257	   5      -3.50      -3.25  6.097433547407148E-01  8.065053312354074E-03 187302257	   5      -3.50      -3.25  6.097433547407148E-01  8.065053312354074E-03 187302257	   5      -3.50      -3.25  6.874304353787545E-01  9.933703684285448E-03 187302257	   5      -3.50      -3.25  6.874304353787545E-01  9.933703684285448E-03 187302257	   5      -3.50      -3.25  6.463854824960334E-01  8.900341697249275E-03 187302257
   6      -3.25      -3.00  7.390541084015465E-01  6.800527736598003E-03 201585183	   6      -3.25      -3.00  7.390541084015465E-01  6.800527736598003E-03 201585183	   6      -3.25      -3.00  6.990076850829100E-01  6.180525871870199E-03 201585183	   6      -3.25      -3.00  6.990076850829100E-01  6.180525871870199E-03 201585183	   6      -3.25      -3.00  7.837281435121694E-01  7.574635137966374E-03 201585183	   6      -3.25      -3.00  7.837281435121694E-01  7.574635137966374E-03 201585183	   6      -3.25      -3.00  7.390541084015465E-01  6.800527736598003E-03 201585183
   7      -3.00      -2.75  7.502023767266564E-01  1.169905572696808E-02 211390051	   7      -3.00      -2.75  7.502023767266564E-01  1.169905572696808E-02 211390051	   7      -3.00      -2.75  7.131538893220709E-01  1.065268820825296E-02 211390051	   7      -3.00      -2.75  7.131538893220709E-01  1.065268820825296E-02 211390051	   7      -3.00      -2.75  7.910319860119404E-01  1.296596463584893E-02 211390051	   7      -3.00      -2.75  7.910319860119404E-01  1.296596463584893E-02 211390051	   7      -3.00      -2.75  7.502023767266564E-01  1.169905572696808E-02 211390051
   8      -2.75      -2.50  7.602649861051520E-01  8.730673122557316E-03 216585595	   8      -2.75      -2.50  7.602649861051520E-01  8.730673122557316E-03 216585595	   8      -2.75      -2.50  7.259410193497550E-01  7.886057862057393E-03 216585595	   8      -2.75      -2.50  7.259410193497550E-01  7.886057862057393E-03 216585595	   8      -2.75      -2.50  7.974587875336536E-01  9.787287802790869E-03 216585595	   8      -2.75      -2.50  7.974587875336536E-01  9.787287802790869E-03 216585595	   8      -2.75      -2.50  7.602649861051520E-01  8.730673122557316E-03 216585595
   9      -2.50      -2.25  7.017624366007922E-01  1.206600644869258E-02 217131464	   9      -2.50      -2.25  7.017624366007922E-01  1.206600644869258E-02 217131464	   9      -2.50      -2.25  6.727269441814956E-01  1.100783378175108E-02 217131464	   9      -2.50      -2.25  6.727269441814956E-01  1.100783378175108E-02 217131464	   9      -2.50      -2.25  7.328100775069825E-01  1.333800555555688E-02 217131464	   9      -2.50      -2.25  7.328100775069825E-01  1.333800555555688E-02 217131464	   9      -2.50      -2.25  7.017624366007922E-01  1.206600644869258E-02 217131464
  10      -2.25      -2.00  6.553780925555245E-01  1.008633890192463E-02 213216461	  10      -2.25      -2.00  6.553780925555245E-01  1.008633890192463E-02 213216461	  10      -2.25      -2.00  6.312005847272223E-01  9.136221952729163E-03 213216461	  10      -2.25      -2.00  6.312005847272223E-01  9.136221952729163E-03 213216461	  10      -2.25      -2.00  6.805671012443126E-01  1.124782222219031E-02 213216461	  10      -2.25      -2.00  6.805671012443126E-01  1.124782222219031E-02 213216461	  10      -2.25      -2.00  6.553780925555245E-01  1.008633890192463E-02 213216461
  11      -2.00      -1.75  6.008658514900722E-01  6.947508146330182E-03 204932328	  11      -2.00      -1.75  6.008658514900722E-01  6.947508146330182E-03 204932328	  11      -2.00      -1.75  5.799992849217854E-01  6.401042661459528E-03 204932328	  11      -2.00      -1.75  5.799992849217854E-01  6.401042661459528E-03 204932328	  11      -2.00      -1.75  6.223178913111770E-01  7.599345910992193E-03 204932328	  11      -2.00      -1.75  6.223178913111770E-01  7.599345910992193E-03 204932328	  11      -2.00      -1.75  6.008658514900722E-01  6.947508146330182E-03 204932328
