# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  2.278101017915617E-10  7.738487952083509E-10 524	   4      -3.75      -3.50  2.278101017915617E-10  7.738487952083509E-10 524	   4      -3.75      -3.50  1.890223393289191E-10  6.582244257667505E-10 524	   4      -3.75      -3.50  1.890223393289191E-10  6.582244257667505E-10 524	   4      -3.75      -3.50  2.758762043692679E-10  9.198726802071231E-10 524	   4      -3.75      -3.50  2.758762043692679E-10  9.198726802071231E-10 524	   4      -3.75      -3.50  2.278101017915617E-10  7.738487952083509E-10 524
   5      -3.50      -3.25  3.526801470989602E-06  2.326284515728799E-07 107836	   5      -3.50      -3.25  3.526801470989602E-06  2.326284515728799E-07 107836	   5      -3.50      -3.25  3.208844342712159E-06  2.132706186026577E-07 107836	   5      -3.50      -3.25  3.208844342712159E-06  2.132706186026577E-07 107836	   5      -3.50      -3.25  3.885538361906602E-06  2.537564213231017E-07 107836	   5      -3.50      -3.25  3.885538361906602E-06  2.537564213231017E-07 107836	   5      -3.50      -3.25  3.526801470989602E-06  2.326284515728799E-07 107836
   6      -3.25      -3.00  1.539933076168367E-04  6.997116149258257E-06 1260305	   6      -3.25      -3.00  1.539933076168367E-04  6.997116149258257E-06 1260305	   6      -3.25      -3.00  1.449645628691602E-04  6.564081680168361E-06 1260305	   6      -3.25      -3.00  1.449645628691602E-04  6.564081680168361E-06 1260305	   6      -3.25      -3.00  1.633462572824217E-04  7.451862177399879E-06 1260305	   6      -3.25      -3.00  1.633462572824217E-04  7.451862177399879E-06 1260305	   6      -3.25      -3.00  1.539933076168367E-04  6.997116149258257E-06 1260305
   7      -3.00      -2.75  1.889457678853853E-03  3.195224676777093E-05 6077184	   7      -3.00      -2.75  1.889457678853853E-03  3.195224676777093E-05 6077184	   7      -3.00      -2.75  1.811681020866503E-03  3.040920564419167E-05 6077184	   7      -3.00      -2.75  1.811681020866503E-03  3.040920564419167E-05 6077184	   7      -3.00      -2.75  1.962817783125145E-03  3.351939999985965E-05 6077184	   7      -3.00      -2.75  1.962817783125145E-03  3.351939999985965E-05 6077184	   7      -3.00      -2.75  1.889457678853853E-03  3.195224676777093E-05 6077184
   8      -2.75      -2.50  1.073163917452273E-02  1.009713745229800E-04 19571435	   8      -2.75      -2.50  1.073163917452273E-02  1.009713745229800E-04 19571435	   8      -2.75      -2.50  1.041215630908330E-02  9.497630029413649E-05 19571435	   8      -2.75      -2.50  1.041215630908330E-02  9.497630029413649E-05 19571435	   8      -2.75      -2.50  1.100285160937743E-02  1.076636499120460E-04 19571435	   8      -2.75      -2.50  1.100285160937743E-02  1.076636499120460E-04 19571435	   8      -2.75      -2.50  1.073163917452273E-02  1.009713745229800E-04 19571435
   9      -2.50      -2.25  3.800367706809967E-02  2.482285808381092E-04 45052572	   9      -2.50      -2.25  3.800367706809967E-02  2.482285808381092E-04 45052572	   9      -2.50      -2.25  3.706336945551735E-02  2.350783073478616E-04 45052572	   9      -2.50      -2.25  3.706336945551735E-02  2.350783073478616E-04 45052572	   9      -2.50      -2.25  3.875558654026212E-02  2.623392006196824E-04 45052572	   9      -2.50      -2.25  3.875558654026212E-02  2.623392006196824E-04 45052572	   9      -2.50      -2.25  3.800367706809967E-02  2.482285808381092E-04 45052572
  10      -2.25      -2.00  9.676056162499413E-02  5.076455377075826E-04 81909748	  10      -2.25      -2.00  9.676056162499413E-02  5.076455377075826E-04 81909748	  10      -2.25      -2.00  9.457815594979183E-02  4.809484170741995E-04 81909748	  10      -2.25      -2.00  9.457815594979183E-02  4.809484170741995E-04 81909748	  10      -2.25      -2.00  9.846869516220194E-02  5.367521450789591E-04 81909748	  10      -2.25      -2.00  9.846869516220194E-02  5.367521450789591E-04 81909748	  10      -2.25      -2.00  9.676056162499413E-02  5.076455377075826E-04 81909748
  11      -2.00      -1.75  1.995834630111806E-01  8.502129051180792E-04 128832967	  11      -2.00      -1.75  1.995834630111806E-01  8.502129051180792E-04 128832967	  11      -2.00      -1.75  1.949572772645478E-01  8.059730388682011E-04 128832967	  11      -2.00      -1.75  1.949572772645478E-01  8.059730388682011E-04 128832967	  11      -2.00      -1.75  2.033703795121929E-01  8.985476400185242E-04 128832967	  11      -2.00      -1.75  2.033703795121929E-01  8.985476400185242E-04 128832967	  11      -2.00      -1.75  1.995834630111806E-01  8.502129051180792E-04 128832967
