# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  3.324129006432992E-01  6.868621853671666E-03 133245197	   1      -2.50      -2.25  3.324129006432992E-01  6.868621853671666E-03 133245197	   1      -2.50      -2.25  3.162301980605512E-01  6.267789291256907E-03 133245197	   1      -2.50      -2.25  3.162301980605512E-01  6.267789291256907E-03 133245197	   1      -2.50      -2.25  3.500923150184360E-01  7.599187125972094E-03 133245197	   1      -2.50      -2.25  3.500923150184360E-01  7.599187125972094E-03 133245197	   1      -2.50      -2.25  3.324129006432992E-01  6.868621853671666E-03 133245197
   2      -2.25      -2.00  4.415271534649647E-01  7.090747672088140E-03 166382349	   2      -2.25      -2.00  4.415271534649647E-01  7.090747672088140E-03 166382349	   2      -2.25      -2.00  4.211058551573211E-01  6.329589406616720E-03 166382349	   2      -2.25      -2.00  4.211058551573211E-01  6.329589406616720E-03 166382349	   2      -2.25      -2.00  4.636276633767984E-01  8.047961918987464E-03 166382349	   2      -2.25      -2.00  4.636276633767984E-01  8.047961918987464E-03 166382349	   2      -2.25      -2.00  4.415271534649647E-01  7.090747672088140E-03 166382349
   3      -2.00      -1.75  5.162561696228838E-01  2.136552017118704E-02 200764979	   3      -2.00      -1.75  5.162561696228838E-01  2.136552017118704E-02 200764979	   3      -2.00      -1.75  4.949361725124559E-01  1.941721320979603E-02 200764979	   3      -2.00      -1.75  4.949361725124559E-01  1.941721320979603E-02 200764979	   3      -2.00      -1.75  5.388323679793581E-01  2.369807495674713E-02 200764979	   3      -2.00      -1.75  5.388323679793581E-01  2.369807495674713E-02 200764979	   3      -2.00      -1.75  5.162561696228838E-01  2.136552017118704E-02 200764979
   4      -1.75      -1.50  6.666491778381833E-01  6.958580459008339E-03 235205774	   4      -1.75      -1.50  6.666491778381833E-01  6.958580459008339E-03 235205774	   4      -1.75      -1.50  6.373336240503326E-01  6.372049127249411E-03 235205774	   4      -1.75      -1.50  6.373336240503326E-01  6.372049127249411E-03 235205774	   4      -1.75      -1.50  6.982614692212007E-01  7.671859886863816E-03 235205774	   4      -1.75      -1.50  6.982614692212007E-01  7.671859886863816E-03 235205774	   4      -1.75      -1.50  6.666491778381833E-01  6.958580459008339E-03 235205774
   5      -1.50      -1.25  7.660789155747760E-01  9.843474211940539E-03 268269906	   5      -1.50      -1.25  7.660789155747760E-01  9.843474211940539E-03 268269906	   5      -1.50      -1.25  7.344298975195057E-01  8.912197157547635E-03 268269906	   5      -1.50      -1.25  7.344298975195057E-01  8.912197157547635E-03 268269906	   5      -1.50      -1.25  7.997546380244597E-01  1.097749051992697E-02 268269906	   5      -1.50      -1.25  7.997546380244597E-01  1.097749051992697E-02 268269906	   5      -1.50      -1.25  7.660789155747760E-01  9.843474211940539E-03 268269906
   6      -1.25      -1.00  8.476380095390218E-01  9.134976443716504E-03 298355072	   6      -1.25      -1.00  8.476380095390218E-01  9.134976443716504E-03 298355072	   6      -1.25      -1.00  8.132391192929259E-01  8.387800086119808E-03 298355072	   6      -1.25      -1.00  8.132391192929259E-01  8.387800086119808E-03 298355072	   6      -1.25      -1.00  8.842104937298813E-01  1.004703754704530E-02 298355072	   6      -1.25      -1.00  8.842104937298813E-01  1.004703754704530E-02 298355072	   6      -1.25      -1.00  8.476380095390218E-01  9.134976443716504E-03 298355072
   7      -1.00      -0.75  9.225121172647047E-01  1.101936172885870E-02 324139282	   7      -1.00      -0.75  9.225121172647047E-01  1.101936172885870E-02 324139282	   7      -1.00      -0.75  8.869040408175443E-01  9.962800773966819E-03 324139282	   7      -1.00      -0.75  8.869040408175443E-01  9.962800773966819E-03 324139282	   7      -1.00      -0.75  9.598883917721471E-01  1.235279798413258E-02 324139282	   7      -1.00      -0.75  9.598883917721471E-01  1.235279798413258E-02 324139282	   7      -1.00      -0.75  9.225121172647047E-01  1.101936172885870E-02 324139282
   8      -0.75      -0.50  9.808091872299998E-01  1.013722692616483E-02 344501277	   8      -0.75      -0.50  9.808091872299998E-01  1.013722692616483E-02 344501277	   8      -0.75      -0.50  9.443379455607619E-01  9.140751939923737E-03 344501277	   8      -0.75      -0.50  9.443379455607619E-01  9.140751939923737E-03 344501277	   8      -0.75      -0.50  1.018783148592765E+00  1.138755206455556E-02 344501277	   8      -0.75      -0.50  1.018783148592765E+00  1.138755206455556E-02 344501277	   8      -0.75      -0.50  9.808091872299998E-01  1.013722692616483E-02 344501277
   9      -0.50      -0.25  1.034270996433754E+00  9.282094695723891E-03 358639115	   9      -0.50      -0.25  1.034270996433754E+00  9.282094695723891E-03 358639115	   9      -0.50      -0.25  9.950527782991669E-01  8.488646507773692E-03 358639115	   9      -0.50      -0.25  9.950527782991669E-01  8.488646507773692E-03 358639115	   9      -0.50      -0.25  1.075400720631619E+00  1.024922468789854E-02 358639115	   9      -0.50      -0.25  1.075400720631619E+00  1.024922468789854E-02 358639115	   9      -0.50      -0.25  1.034270996433754E+00  9.282094695723891E-03 358639115
  10      -0.25       0.00  1.051427428147164E+00  8.685150164542584E-03 366062318	  10      -0.25       0.00  1.051427428147164E+00  8.685150164542584E-03 366062318	  10      -0.25       0.00  1.011776031365159E+00  7.991571038331787E-03 366062318	  10      -0.25       0.00  1.011776031365159E+00  7.991571038331787E-03 366062318	  10      -0.25       0.00  1.092972590697709E+00  9.519086836149089E-03 366062318	  10      -0.25       0.00  1.092972590697709E+00  9.519086836149089E-03 366062318	  10      -0.25       0.00  1.051427428147164E+00  8.685150164542584E-03 366062318
  11       0.00       0.25  1.035284732779276E+00  1.147765987153131E-02 366345516	  11       0.00       0.25  1.035284732779276E+00  1.147765987153131E-02 366345516	  11       0.00       0.25  9.978645497258277E-01  1.026911759799353E-02 366345516	  11       0.00       0.25  9.978645497258277E-01  1.026911759799353E-02 366345516	  11       0.00       0.25  1.074010968851737E+00  1.299182487123888E-02 366345516	  11       0.00       0.25  1.074010968851737E+00  1.299182487123888E-02 366345516	  11       0.00       0.25  1.035284732779276E+00  1.147765987153131E-02 366345516
