# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  5.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  1.224920918503967E-02  3.938509829525695E-03 8715143	   1      -5.00      -4.75  1.224920918503967E-02  3.938509829525695E-03 8715143	   1      -5.00      -4.75  1.130590660247881E-02  3.381036403079017E-03 8715143	   1      -5.00      -4.75  1.130590660247881E-02  3.381036403079017E-03 8715143	   1      -5.00      -4.75  1.334925864302104E-02  4.655224266657974E-03 8715143	   1      -5.00      -4.75  1.334925864302104E-02  4.655224266657974E-03 8715143	   1      -5.00      -4.75  1.224920918503967E-02  3.938509829525695E-03 8715143
   2      -4.75      -4.50  2.434251696083884E-02  1.056310699873373E-03 12482134	   2      -4.75      -4.50  2.434251696083884E-02  1.056310699873373E-03 12482134	   2      -4.75      -4.50  2.225360948075715E-02  9.243812875016101E-04 12482134	   2      -4.75      -4.50  2.225360948075715E-02  9.243812875016101E-04 12482134	   2      -4.75      -4.50  2.683997396520421E-02  1.225916999445562E-03 12482134	   2      -4.75      -4.50  2.683997396520421E-02  1.225916999445562E-03 12482134	   2      -4.75      -4.50  2.434251696083884E-02  1.056310699873373E-03 12482134
   3      -4.50      -4.25  3.648471870017098E-02  1.259375646357028E-03 17480514	   3      -4.50      -4.25  3.648471870017098E-02  1.259375646357028E-03 17480514	   3      -4.50      -4.25  3.339376756592337E-02  1.122256489020717E-03 17480514	   3      -4.50      -4.25  3.339376756592337E-02  1.122256489020717E-03 17480514	   3      -4.50      -4.25  4.017828164901855E-02  1.430302940268183E-03 17480514	   3      -4.50      -4.25  4.017828164901855E-02  1.430302940268183E-03 17480514	   3      -4.50      -4.25  3.648471870017098E-02  1.259375646357028E-03 17480514
   4      -4.25      -4.00  5.098185839190926E-02  1.631247531903406E-03 23952976	   4      -4.25      -4.00  5.098185839190926E-02  1.631247531903406E-03 23952976	   4      -4.25      -4.00  4.703240733977194E-02  1.451006074639180E-03 23952976	   4      -4.25      -4.00  4.703240733977194E-02  1.451006074639180E-03 23952976	   4      -4.25      -4.00  5.563693865738085E-02  1.857196389949087E-03 23952976	   4      -4.25      -4.00  5.563693865738085E-02  1.857196389949087E-03 23952976	   4      -4.25      -4.00  5.098185839190926E-02  1.631247531903406E-03 23952976
   5      -4.00      -3.75  6.530532542510833E-02  3.795191977504545E-03 32250837	   5      -4.00      -3.75  6.530532542510833E-02  3.795191977504545E-03 32250837	   5      -4.00      -3.75  6.057488803396357E-02  3.460317008776329E-03 32250837	   5      -4.00      -3.75  6.057488803396357E-02  3.460317008776329E-03 32250837	   5      -4.00      -3.75  7.082156619930374E-02  4.212236444942036E-03 32250837	   5      -4.00      -3.75  7.082156619930374E-02  4.212236444942036E-03 32250837	   5      -4.00      -3.75  6.530532542510833E-02  3.795191977504545E-03 32250837
   6      -3.75      -3.50  9.232137963108109E-02  3.600246738123211E-03 42655657	   6      -3.75      -3.50  9.232137963108109E-02  3.600246738123211E-03 42655657	   6      -3.75      -3.50  8.615757647230030E-02  3.228219569969460E-03 42655657	   6      -3.75      -3.50  8.615757647230030E-02  3.228219569969460E-03 42655657	   6      -3.75      -3.50  9.940281045515363E-02  4.063413808307770E-03 42655657	   6      -3.75      -3.50  9.940281045515363E-02  4.063413808307770E-03 42655657	   6      -3.75      -3.50  9.232137963108109E-02  3.600246738123211E-03 42655657
   7      -3.50      -3.25  1.319370718594628E-01  3.578158160182464E-03 55490056	   7      -3.50      -3.25  1.319370718594628E-01  3.578158160182464E-03 55490056	   7      -3.50      -3.25  1.234075695145310E-01  3.241553974433319E-03 55490056	   7      -3.50      -3.25  1.234075695145310E-01  3.241553974433319E-03 55490056	   7      -3.50      -3.25  1.417006375912367E-01  3.998361805736163E-03 55490056	   7      -3.50      -3.25  1.417006375912367E-01  3.998361805736163E-03 55490056	   7      -3.50      -3.25  1.319370718594628E-01  3.578158160182464E-03 55490056
   8      -3.25      -3.00  1.724058521197393E-01  4.018145106093206E-03 71080476	   8      -3.25      -3.00  1.724058521197393E-01  4.018145106093206E-03 71080476	   8      -3.25      -3.00  1.621246195098822E-01  3.607895312784131E-03 71080476	   8      -3.25      -3.00  1.621246195098822E-01  3.607895312784131E-03 71080476	   8      -3.25      -3.00  1.840471719448369E-01  4.525508906066978E-03 71080476	   8      -3.25      -3.00  1.840471719448369E-01  4.525508906066978E-03 71080476	   8      -3.25      -3.00  1.724058521197393E-01  4.018145106093206E-03 71080476
   9      -3.00      -2.75  2.179427319668812E-01  4.989701069188391E-03 89739186	   9      -3.00      -2.75  2.179427319668812E-01  4.989701069188391E-03 89739186	   9      -3.00      -2.75  2.056421203424231E-01  4.601761329345465E-03 89739186	   9      -3.00      -2.75  2.056421203424231E-01  4.601761329345465E-03 89739186	   9      -3.00      -2.75  2.317475524415964E-01  5.461234907245259E-03 89739186	   9      -3.00      -2.75  2.317475524415964E-01  5.461234907245259E-03 89739186	   9      -3.00      -2.75  2.179427319668812E-01  4.989701069188391E-03 89739186
  10      -2.75      -2.50  2.868435230157607E-01  6.770572454620266E-03 111764512	  10      -2.75      -2.50  2.868435230157607E-01  6.770572454620266E-03 111764512	  10      -2.75      -2.50  2.715841589519595E-01  6.165637998606460E-03 111764512	  10      -2.75      -2.50  2.715841589519595E-01  6.165637998606460E-03 111764512	  10      -2.75      -2.50  3.038116429546483E-01  7.502351420721381E-03 111764512	  10      -2.75      -2.50  3.038116429546483E-01  7.502351420721381E-03 111764512	  10      -2.75      -2.50  2.868435230157607E-01  6.770572454620266E-03 111764512
  11      -2.50      -2.25  3.669507070552733E-01  4.525811734799870E-03 137071586	  11      -2.50      -2.25  3.669507070552733E-01  4.525811734799870E-03 137071586	  11      -2.50      -2.25  3.487439772751432E-01  4.087061951382185E-03 137071586	  11      -2.50      -2.25  3.487439772751432E-01  4.087061951382185E-03 137071586	  11      -2.50      -2.25  3.869233579925084E-01  5.071322365210014E-03 137071586	  11      -2.50      -2.25  3.869233579925084E-01  5.071322365210014E-03 137071586	  11      -2.50      -2.25  3.669507070552733E-01  4.525811734799870E-03 137071586
