# title = Total Transverse Energy with Gluon
# xlabel = $H_{\text{T},\text{g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     120.00     180.00  2.472869515861737E-06  3.010753874885607E-08 209666	   3     120.00     180.00  2.472869515861737E-06  3.010753874885607E-08 209666	   3     120.00     180.00  2.490858585888066E-06  2.970499809380272E-08 209666	   3     120.00     180.00  2.490858585888066E-06  2.970499809380272E-08 209666	   3     120.00     180.00  2.433261862506190E-06  3.041360084208068E-08 209666	   3     120.00     180.00  2.433261862506190E-06  3.041360084208068E-08 209666	   3     120.00     180.00  2.472869515861737E-06  3.010753874885607E-08 209666
   4     180.00     240.00  2.742870461078411E-04  3.911801375088054E-07 16794121	   4     180.00     240.00  2.742870461078411E-04  3.911801375088054E-07 16794121	   4     180.00     240.00  2.751750187717618E-04  3.813219886959386E-07 16794121	   4     180.00     240.00  2.751750187717618E-04  3.813219886959386E-07 16794121	   4     180.00     240.00  2.711731937091706E-04  4.008786569526290E-07 16794121	   4     180.00     240.00  2.711731937091706E-04  4.008786569526290E-07 16794121	   4     180.00     240.00  2.742870461078411E-04  3.911801375088054E-07 16794121
   5     240.00     300.00  1.915504862328528E-03  1.244395491942250E-06 78631260	   5     240.00     300.00  1.915504862328528E-03  1.244395491942250E-06 78631260	   5     240.00     300.00  1.909762933726889E-03  1.197676135276535E-06 78631260	   5     240.00     300.00  1.909762933726889E-03  1.197676135276535E-06 78631260	   5     240.00     300.00  1.907814258856048E-03  1.294533296029747E-06 78631260	   5     240.00     300.00  1.907814258856048E-03  1.294533296029747E-06 78631260	   5     240.00     300.00  1.915504862328528E-03  1.244395491942250E-06 78631260
   6     300.00     360.00  4.647368091085406E-03  2.121291345226514E-06 148099581	   6     300.00     360.00  4.647368091085406E-03  2.121291345226514E-06 148099581	   6     300.00     360.00  4.599261855367229E-03  2.026387915031941E-06 148099581	   6     300.00     360.00  4.599261855367229E-03  2.026387915031941E-06 148099581	   6     300.00     360.00  4.669450532635280E-03  2.226141189826110E-06 148099581	   6     300.00     360.00  4.669450532635280E-03  2.226141189826110E-06 148099581	   6     300.00     360.00  4.647368091085406E-03  2.121291345226514E-06 148099581
   7     360.00     420.00  6.962912178094182E-03  2.830546828556718E-06 195530042	   7     360.00     420.00  6.962912178094182E-03  2.830546828556718E-06 195530042	   7     360.00     420.00  6.838902100973813E-03  2.678222914146828E-06 195530042	   7     360.00     420.00  6.838902100973813E-03  2.678222914146828E-06 195530042	   7     360.00     420.00  7.058822449675792E-03  3.004030950042133E-06 195530042	   7     360.00     420.00  7.058822449675792E-03  3.004030950042133E-06 195530042	   7     360.00     420.00  6.962912178094182E-03  2.830546828556718E-06 195530042
   8     420.00     480.00  8.143569460936688E-03  3.194581726137084E-06 213752978	   8     420.00     480.00  8.143569460936688E-03  3.194581726137084E-06 213752978	   8     420.00     480.00  7.939097372203684E-03  2.999209005012776E-06 213752978	   8     420.00     480.00  7.939097372203684E-03  2.999209005012776E-06 213752978	   8     420.00     480.00  8.328615726255770E-03  3.421389315844182E-06 213752978	   8     420.00     480.00  8.328615726255770E-03  3.421389315844182E-06 213752978	   8     420.00     480.00  8.143569460936688E-03  3.194581726137084E-06 213752978
   9     480.00     540.00  8.277397353187587E-03  3.321911131717488E-06 211914321	   9     480.00     540.00  8.277397353187587E-03  3.321911131717488E-06 211914321	   9     480.00     540.00  8.011264316447702E-03  3.096590003612334E-06 211914321	   9     480.00     540.00  8.011264316447702E-03  3.096590003612334E-06 211914321	   9     480.00     540.00  8.537775602135502E-03  3.587643605233809E-06 211914321	   9     480.00     540.00  8.537775602135502E-03  3.587643605233809E-06 211914321	   9     480.00     540.00  8.277397353187587E-03  3.321911131717488E-06 211914321
  10     540.00     600.00  7.776725395159617E-03  3.221565225720219E-06 201883846	  10     540.00     600.00  7.776725395159617E-03  3.221565225720219E-06 201883846	  10     540.00     600.00  7.476026764406669E-03  2.989654358499903E-06 201883846	  10     540.00     600.00  7.476026764406669E-03  2.989654358499903E-06 201883846	  10     540.00     600.00  8.084930033064985E-03  3.497319743549959E-06 201883846	  10     540.00     600.00  8.084930033064985E-03  3.497319743549959E-06 201883846	  10     540.00     600.00  7.776725395159617E-03  3.221565225720219E-06 201883846
