# title = Total Transverse Energy without Gluon
# xlabel = $H_{\text{T},\text{no g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{no g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     120.00     180.00  2.212024173363543E-06  7.972000556159435E-08 321838	   3     120.00     180.00  2.212024173363543E-06  7.972000556159435E-08 321838	   3     120.00     180.00  2.227660738911613E-06  7.864363919690647E-08 321838	   3     120.00     180.00  2.227660738911613E-06  7.864363919690647E-08 321838	   3     120.00     180.00  2.177872110611803E-06  8.051654464580075E-08 321838	   3     120.00     180.00  2.177872110611803E-06  8.051654464580075E-08 321838	   3     120.00     180.00  2.212024173363543E-06  7.972000556159435E-08 321838
   4     180.00     240.00  2.463714186550298E-04  1.274249038716315E-06 24654481	   4     180.00     240.00  2.463714186550298E-04  1.274249038716315E-06 24654481	   4     180.00     240.00  2.474526772752377E-04  1.247963619388236E-06 24654481	   4     180.00     240.00  2.474526772752377E-04  1.247963619388236E-06 24654481	   4     180.00     240.00  2.433187798643847E-04  1.298658568539237E-06 24654481	   4     180.00     240.00  2.433187798643847E-04  1.298658568539237E-06 24654481	   4     180.00     240.00  2.463714186550298E-04  1.274249038716315E-06 24654481
   5     240.00     300.00  1.702322617974874E-03  7.699955403448695E-06 114196045	   5     240.00     300.00  1.702322617974874E-03  7.699955403448695E-06 114196045	   5     240.00     300.00  1.700349114800032E-03  7.247951621773191E-06 114196045	   5     240.00     300.00  1.700349114800032E-03  7.247951621773191E-06 114196045	   5     240.00     300.00  1.692233835417142E-03  8.237638054201990E-06 114196045	   5     240.00     300.00  1.692233835417142E-03  8.237638054201990E-06 114196045	   5     240.00     300.00  1.702322617974874E-03  7.699955403448695E-06 114196045
   6     300.00     360.00  4.054130616985705E-03  8.371959699459675E-05 215465937	   6     300.00     360.00  4.054130616985705E-03  8.371959699459675E-05 215465937	   6     300.00     360.00  4.025780942993472E-03  7.642595467873885E-05 215465937	   6     300.00     360.00  4.025780942993472E-03  7.642595467873885E-05 215465937	   6     300.00     360.00  4.057875990427665E-03  9.236811725141518E-05 215465937	   6     300.00     360.00  4.057875990427665E-03  9.236811725141518E-05 215465937	   6     300.00     360.00  4.054130616985705E-03  8.371959699459675E-05 215465937
   7     360.00     420.00  6.117970835267773E-03  2.616600364859432E-05 286361705	   7     360.00     420.00  6.117970835267773E-03  2.616600364859432E-05 286361705	   7     360.00     420.00  6.022860332381704E-03  2.463929486379899E-05 286361705	   7     360.00     420.00  6.022860332381704E-03  2.463929486379899E-05 286361705	   7     360.00     420.00  6.187347036433953E-03  2.789570051614900E-05 286361705	   7     360.00     420.00  6.187347036433953E-03  2.789570051614900E-05 286361705	   7     360.00     420.00  6.117970835267773E-03  2.616600364859432E-05 286361705
   8     420.00     480.00  7.024504787223130E-03  4.828513191701221E-05 315574048	   8     420.00     480.00  7.024504787223130E-03  4.828513191701221E-05 315574048	   8     420.00     480.00  6.868935722731313E-03  4.445668161421548E-05 315574048	   8     420.00     480.00  6.868935722731313E-03  4.445668161421548E-05 315574048	   8     420.00     480.00  7.160776335592792E-03  5.283129965093967E-05 315574048	   8     420.00     480.00  7.160776335592792E-03  5.283129965093967E-05 315574048	   8     420.00     480.00  7.024504787223130E-03  4.828513191701221E-05 315574048
   9     480.00     540.00  7.050475657075589E-03  4.346154084458530E-05 315599814	   9     480.00     540.00  7.050475657075589E-03  4.346154084458530E-05 315599814	   9     480.00     540.00  6.845220074702170E-03  4.001095312454263E-05 315599814	   9     480.00     540.00  6.845220074702170E-03  4.001095312454263E-05 315599814	   9     480.00     540.00  7.247928763578176E-03  4.759213521091791E-05 315599814	   9     480.00     540.00  7.247928763578176E-03  4.759213521091791E-05 315599814	   9     480.00     540.00  7.050475657075589E-03  4.346154084458530E-05 315599814
  10     540.00     600.00  6.463013351275270E-03  5.054627100534700E-05 303139101	  10     540.00     600.00  6.463013351275270E-03  5.054627100534700E-05 303139101	  10     540.00     600.00  6.236779101879996E-03  4.623312586280719E-05 303139101	  10     540.00     600.00  6.236779101879996E-03  4.623312586280719E-05 303139101	  10     540.00     600.00  6.691251454480386E-03  5.579274671648400E-05 303139101	  10     540.00     600.00  6.691251454480386E-03  5.579274671648400E-05 303139101	  10     540.00     600.00  6.463013351275270E-03  5.054627100534700E-05 303139101
