# title = Transverse Mass Positron--anti-Muon System
# xlabel = $M_{\text{T},\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -3.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  4.765004959440185E-03  3.766772425361535E-05 209659583	   1       0.00      40.00  4.765004959440185E-03  3.766772425361535E-05 209659583	   1       0.00      40.00  4.639384523371252E-03  3.463237881480574E-05 209659583	   1       0.00      40.00  4.639384523371252E-03  3.463237881480574E-05 209659583	   1       0.00      40.00  4.885104381167817E-03  4.130067820152080E-05 209659583	   1       0.00      40.00  4.885104381167817E-03  4.130067820152080E-05 209659583	   1       0.00      40.00  4.765004959440185E-03  3.766772425361535E-05 209659583
   2      40.00      80.00  1.884085603290278E-02  1.462995141901988E-04 758892457	   2      40.00      80.00  1.884085603290278E-02  1.462995141901988E-04 758892457	   2      40.00      80.00  1.831963400236723E-02  1.332146744813118E-04 758892457	   2      40.00      80.00  1.831963400236723E-02  1.332146744813118E-04 758892457	   2      40.00      80.00  1.934403365691754E-02  1.619983589936969E-04 758892457	   2      40.00      80.00  1.934403365691754E-02  1.619983589936969E-04 758892457	   2      40.00      80.00  1.884085603290278E-02  1.462995141901988E-04 758892457
   3      80.00     120.00  2.072753639194009E-02  1.185807094105286E-04 773811395	   3      80.00     120.00  2.072753639194009E-02  1.185807094105286E-04 773811395	   3      80.00     120.00  2.006416434449189E-02  1.083313885521613E-04 773811395	   3      80.00     120.00  2.006416434449189E-02  1.083313885521613E-04 773811395	   3      80.00     120.00  2.139184755637769E-02  1.310332575302671E-04 773811395	   3      80.00     120.00  2.139184755637769E-02  1.310332575302671E-04 773811395	   3      80.00     120.00  2.072753639194009E-02  1.185807094105286E-04 773811395
   4     120.00     160.00  1.570248695536257E-02  1.130070639974372E-04 626455232	   4     120.00     160.00  1.570248695536257E-02  1.130070639974372E-04 626455232	   4     120.00     160.00  1.512378801729963E-02  1.026102801235272E-04 626455232	   4     120.00     160.00  1.512378801729963E-02  1.026102801235272E-04 626455232	   4     120.00     160.00  1.629947659114861E-02  1.259913147257124E-04 626455232	   4     120.00     160.00  1.629947659114861E-02  1.259913147257124E-04 626455232	   4     120.00     160.00  1.570248695536257E-02  1.130070639974372E-04 626455232
   5     160.00     200.00  1.116480774215743E-02  8.712808682359948E-05 497677096	   5     160.00     200.00  1.116480774215743E-02  8.712808682359948E-05 497677096	   5     160.00     200.00  1.068697915060451E-02  7.887696357132093E-05 497677096	   5     160.00     200.00  1.068697915060451E-02  7.887696357132093E-05 497677096	   5     160.00     200.00  1.167314321534824E-02  9.734381583429975E-05 497677096	   5     160.00     200.00  1.167314321534824E-02  9.734381583429975E-05 497677096	   5     160.00     200.00  1.116480774215743E-02  8.712808682359948E-05 497677096
   6     200.00     240.00  7.806993161349069E-03  6.919608818947445E-05 399248498	   6     200.00     240.00  7.806993161349069E-03  6.919608818947445E-05 399248498	   6     200.00     240.00  7.434277898184891E-03  6.263130585652380E-05 399248498	   6     200.00     240.00  7.434277898184891E-03  6.263130585652380E-05 399248498	   6     200.00     240.00  8.211718991812847E-03  7.724021981509511E-05 399248498	   6     200.00     240.00  8.211718991812847E-03  7.724021981509511E-05 399248498	   6     200.00     240.00  7.806993161349069E-03  6.919608818947445E-05 399248498
   7     240.00     280.00  5.510755472486938E-03  6.470265196209148E-05 325153815	   7     240.00     280.00  5.510755472486938E-03  6.470265196209148E-05 325153815	   7     240.00     280.00  5.219681957831701E-03  5.858049798409963E-05 325153815	   7     240.00     280.00  5.219681957831701E-03  5.858049798409963E-05 325153815	   7     240.00     280.00  5.832876893719827E-03  7.213716982648759E-05 325153815	   7     240.00     280.00  5.832876893719827E-03  7.213716982648759E-05 325153815	   7     240.00     280.00  5.510755472486938E-03  6.470265196209148E-05 325153815
   8     280.00     320.00  3.933886639079581E-03  6.099745754202758E-05 268811778	   8     280.00     320.00  3.933886639079581E-03  6.099745754202758E-05 268811778	   8     280.00     320.00  3.715569128244808E-03  5.440223809350169E-05 268811778	   8     280.00     320.00  3.715569128244808E-03  5.440223809350169E-05 268811778	   8     280.00     320.00  4.176817198416705E-03  6.928591723387118E-05 268811778	   8     280.00     320.00  4.176817198416705E-03  6.928591723387118E-05 268811778	   8     280.00     320.00  3.933886639079581E-03  6.099745754202758E-05 268811778
   9     320.00     360.00  2.897355524829402E-03  7.835245486773075E-05 225304008	   9     320.00     360.00  2.897355524829402E-03  7.835245486773075E-05 225304008	   9     320.00     360.00  2.727712575580788E-03  6.872948672449933E-05 225304008	   9     320.00     360.00  2.727712575580788E-03  6.872948672449933E-05 225304008	   9     320.00     360.00  3.087539574951010E-03  9.054528137746059E-05 225304008	   9     320.00     360.00  3.087539574951010E-03  9.054528137746059E-05 225304008	   9     320.00     360.00  2.897355524829402E-03  7.835245486773075E-05 225304008
  10     360.00     400.00  2.183140856477445E-03  3.923265373486230E-05 191125046	  10     360.00     400.00  2.183140856477445E-03  3.923265373486230E-05 191125046	  10     360.00     400.00  2.045349267373838E-03  3.528143553454167E-05 191125046	  10     360.00     400.00  2.045349267373838E-03  3.528143553454167E-05 191125046	  10     360.00     400.00  2.339755003556640E-03  4.411164763804037E-05 191125046	  10     360.00     400.00  2.339755003556640E-03  4.411164763804037E-05 191125046	  10     360.00     400.00  2.183140856477445E-03  3.923265373486230E-05 191125046
  11     400.00     440.00  1.665217645988095E-03  3.327893449595593E-05 163818068	  11     400.00     440.00  1.665217645988095E-03  3.327893449595593E-05 163818068	  11     400.00     440.00  1.553276422805158E-03  3.012648864103113E-05 163818068	  11     400.00     440.00  1.553276422805158E-03  3.012648864103113E-05 163818068	  11     400.00     440.00  1.793849680812512E-03  3.714352794249261E-05 163818068	  11     400.00     440.00  1.793849680812512E-03  3.714352794249261E-05 163818068	  11     400.00     440.00  1.665217645988095E-03  3.327893449595593E-05 163818068
  12     440.00     480.00  1.334785417640047E-03  2.177463452665194E-05 141733895	  12     440.00     480.00  1.334785417640047E-03  2.177463452665194E-05 141733895	  12     440.00     480.00  1.240241939003439E-03  1.958557714164004E-05 141733895	  12     440.00     480.00  1.240241939003439E-03  1.958557714164004E-05 141733895	  12     440.00     480.00  1.444261309336032E-03  2.451315362015584E-05 141733895	  12     440.00     480.00  1.444261309336032E-03  2.451315362015584E-05 141733895	  12     440.00     480.00  1.334785417640047E-03  2.177463452665194E-05 141733895
  13     480.00     520.00  9.889945387318677E-04  2.648020147790815E-05 123613660	  13     480.00     520.00  9.889945387318677E-04  2.648020147790815E-05 123613660	  13     480.00     520.00  9.181205530671865E-04  2.368691870880302E-05 123613660	  13     480.00     520.00  9.181205530671865E-04  2.368691870880302E-05 123613660	  13     480.00     520.00  1.071085109278723E-03  2.996334797321356E-05 123613660	  13     480.00     520.00  1.071085109278723E-03  2.996334797321356E-05 123613660	  13     480.00     520.00  9.889945387318677E-04  2.648020147790815E-05 123613660
  14     520.00     560.00  7.905055061148478E-04  1.952172737940698E-05 108582395	  14     520.00     560.00  7.905055061148478E-04  1.952172737940698E-05 108582395	  14     520.00     560.00  7.304256295651261E-04  1.758569564164879E-05 108582395	  14     520.00     560.00  7.304256295651261E-04  1.758569564164879E-05 108582395	  14     520.00     560.00  8.608349060965574E-04  2.192634751154022E-05 108582395	  14     520.00     560.00  8.608349060965574E-04  2.192634751154022E-05 108582395	  14     520.00     560.00  7.905055061148478E-04  1.952172737940698E-05 108582395
  15     560.00     600.00  5.650348424598313E-04  4.533690832855377E-05 95962890	  15     560.00     600.00  5.650348424598313E-04  4.533690832855377E-05 95962890	  15     560.00     600.00  5.242189285472947E-04  3.961865338310729E-05 95962890	  15     560.00     600.00  5.242189285472947E-04  3.961865338310729E-05 95962890	  15     560.00     600.00  6.122769886025331E-04  5.257210514420969E-05 95962890	  15     560.00     600.00  6.122769886025331E-04  5.257210514420969E-05 95962890	  15     560.00     600.00  5.650348424598313E-04  4.533690832855377E-05 95962890
  16     600.00     640.00  5.142205618305669E-04  1.482953647157600E-05 85295867	  16     600.00     640.00  5.142205618305669E-04  1.482953647157600E-05 85295867	  16     600.00     640.00  4.723455729736364E-04  1.335860767607101E-05 85295867	  16     600.00     640.00  4.723455729736364E-04  1.335860767607101E-05 85295867	  16     600.00     640.00  5.637932629894257E-04  1.665762681842061E-05 85295867	  16     600.00     640.00  5.637932629894257E-04  1.665762681842061E-05 85295867	  16     600.00     640.00  5.142205618305669E-04  1.482953647157600E-05 85295867
  17     640.00     680.00  3.756942720907088E-04  2.052342174315772E-05 76190031	  17     640.00     680.00  3.756942720907088E-04  2.052342174315772E-05 76190031	  17     640.00     680.00  3.444417359451865E-04  1.863742537568556E-05 76190031	  17     640.00     680.00  3.444417359451865E-04  1.863742537568556E-05 76190031	  17     640.00     680.00  4.129047790175749E-04  2.280320716337725E-05 76190031	  17     640.00     680.00  4.129047790175749E-04  2.280320716337725E-05 76190031	  17     640.00     680.00  3.756942720907088E-04  2.052342174315772E-05 76190031
