# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  6.929302460069928E-02  1.611067419218492E-05 811493623	   2      20.00      40.00  6.929302460069928E-02  1.611067419218492E-05 811493623	   2      20.00      40.00  6.652774491085392E-02  1.497448493624917E-05 811493623	   2      20.00      40.00  6.652774491085392E-02  1.497448493624917E-05 811493623	   2      20.00      40.00  7.219951859859025E-02  1.746805751341063E-05 811493623	   2      20.00      40.00  7.219951859859025E-02  1.746805751341063E-05 811493623	   2      20.00      40.00  6.929302460069928E-02  1.611067419218492E-05 811493623
   3      40.00      60.00  5.284811470916069E-02  1.351653795156425E-05 629359915	   3      40.00      60.00  5.284811470916069E-02  1.351653795156425E-05 629359915	   3      40.00      60.00  5.067400936168467E-02  1.254726668511391E-05 629359915	   3      40.00      60.00  5.067400936168467E-02  1.254726668511391E-05 629359915	   3      40.00      60.00  5.514628154146748E-02  1.467701625815472E-05 629359915	   3      40.00      60.00  5.514628154146748E-02  1.467701625815472E-05 629359915	   3      40.00      60.00  5.284811470916069E-02  1.351653795156425E-05 629359915
   4      60.00      80.00  3.594535061879840E-02  1.109217483078335E-05 423754359	   4      60.00      80.00  3.594535061879840E-02  1.109217483078335E-05 423754359	   4      60.00      80.00  3.436004510572700E-02  1.028404209351033E-05 423754359	   4      60.00      80.00  3.436004510572700E-02  1.028404209351033E-05 423754359	   4      60.00      80.00  3.764247012357320E-02  1.206067433146399E-05 423754359	   4      60.00      80.00  3.764247012357320E-02  1.206067433146399E-05 423754359	   4      60.00      80.00  3.594535061879840E-02  1.109217483078335E-05 423754359
   5      80.00     100.00  2.458067909750514E-02  9.119183568284915E-06 308636826	   5      80.00     100.00  2.458067909750514E-02  9.119183568284915E-06 308636826	   5      80.00     100.00  2.341591438368065E-02  8.445963197773454E-06 308636826	   5      80.00     100.00  2.341591438368065E-02  8.445963197773454E-06 308636826	   5      80.00     100.00  2.584323769044954E-02  9.926501110109931E-06 308636826	   5      80.00     100.00  2.584323769044954E-02  9.926501110109931E-06 308636826	   5      80.00     100.00  2.458067909750514E-02  9.119183568284915E-06 308636826
   6     100.00     120.00  1.724193904553625E-02  7.599403724306732E-06 235964236	   6     100.00     120.00  1.724193904553625E-02  7.599403724306732E-06 235964236	   6     100.00     120.00  1.636925098967296E-02  7.023349588881398E-06 235964236	   6     100.00     120.00  1.636925098967296E-02  7.023349588881398E-06 235964236	   6     100.00     120.00  1.819835208615446E-02  8.292223903631998E-06 235964236	   6     100.00     120.00  1.819835208615446E-02  8.292223903631998E-06 235964236	   6     100.00     120.00  1.724193904553625E-02  7.599403724306732E-06 235964236
   7     120.00     140.00  1.241069974539967E-02  6.397431173526833E-06 186637290	   7     120.00     140.00  1.241069974539967E-02  6.397431173526833E-06 186637290	   7     120.00     140.00  1.174427668681765E-02  5.899340554110211E-06 186637290	   7     120.00     140.00  1.174427668681765E-02  5.899340554110211E-06 186637290	   7     120.00     140.00  1.314813168370980E-02  6.998690989552032E-06 186637290	   7     120.00     140.00  1.314813168370980E-02  6.998690989552032E-06 186637290	   7     120.00     140.00  1.241069974539967E-02  6.397431173526833E-06 186637290
   8     140.00     160.00  9.145308628998938E-03  5.304949042613049E-06 151482331	   8     140.00     160.00  9.145308628998938E-03  5.304949042613049E-06 151482331	   8     140.00     160.00  8.627775407718408E-03  4.889894230600406E-06 151482331	   8     140.00     160.00  8.627775407718408E-03  4.889894230600406E-06 151482331	   8     140.00     160.00  9.722724111909942E-03  5.805239235533320E-06 151482331	   8     140.00     160.00  9.722724111909942E-03  5.805239235533320E-06 151482331	   8     140.00     160.00  9.145308628998938E-03  5.304949042613049E-06 151482331
   9     160.00     180.00  6.881705690480794E-03  4.668903609002396E-06 125375718	   9     160.00     180.00  6.881705690480794E-03  4.668903609002396E-06 125375718	   9     160.00     180.00  6.472788368121040E-03  4.286872968713440E-06 125375718	   9     160.00     180.00  6.472788368121040E-03  4.286872968713440E-06 125375718	   9     160.00     180.00  7.341440162869356E-03  5.132349476724555E-06 125375718	   9     160.00     180.00  7.341440162869356E-03  5.132349476724555E-06 125375718	   9     160.00     180.00  6.881705690480794E-03  4.668903609002396E-06 125375718
  10     180.00     200.00  5.260965080573450E-03  3.931995720935550E-06 105436434	  10     180.00     200.00  5.260965080573450E-03  3.931995720935550E-06 105436434	  10     180.00     200.00  4.934546374868516E-03  3.609015861683600E-06 105436434	  10     180.00     200.00  4.934546374868516E-03  3.609015861683600E-06 105436434	  10     180.00     200.00  5.630416048502049E-03  4.323260256674249E-06 105436434	  10     180.00     200.00  5.630416048502049E-03  4.323260256674249E-06 105436434	  10     180.00     200.00  5.260965080573450E-03  3.931995720935550E-06 105436434
