# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  8.054980438728584E-03  3.532739505113335E-05 226144609	   2      20.00      40.00  8.054980438728584E-03  3.532739505113335E-05 226144609	   2      20.00      40.00  7.907323437121446E-03  3.323631192816411E-05 226144609	   2      20.00      40.00  7.907323437121446E-03  3.323631192816411E-05 226144609	   2      20.00      40.00  8.173884506720890E-03  3.773113535053464E-05 226144609	   2      20.00      40.00  8.173884506720890E-03  3.773113535053464E-05 226144609	   2      20.00      40.00  8.054980438728584E-03  3.532739505113335E-05 226144609
   3      40.00      60.00  2.325531720855512E-02  1.077176508778808E-04 507911845	   3      40.00      60.00  2.325531720855512E-02  1.077176508778808E-04 507911845	   3      40.00      60.00  2.277265819476782E-02  1.017023166751184E-04 507911845	   3      40.00      60.00  2.277265819476782E-02  1.017023166751184E-04 507911845	   3      40.00      60.00  2.366912282245447E-02  1.145260299056221E-04 507911845	   3      40.00      60.00  2.366912282245447E-02  1.145260299056221E-04 507911845	   3      40.00      60.00  2.325531720855512E-02  1.077176508778808E-04 507911845
   4      60.00      80.00  2.830244091021907E-02  1.115400179736703E-04 539230430	   4      60.00      80.00  2.830244091021907E-02  1.115400179736703E-04 539230430	   4      60.00      80.00  2.757321193834790E-02  1.042530757978805E-04 539230430	   4      60.00      80.00  2.757321193834790E-02  1.042530757978805E-04 539230430	   4      60.00      80.00  2.898325982488198E-02  1.200529887853335E-04 539230430	   4      60.00      80.00  2.898325982488198E-02  1.200529887853335E-04 539230430	   4      60.00      80.00  2.830244091021907E-02  1.115400179736703E-04 539230430
   5      80.00     100.00  2.738541949122606E-02  2.784324308867051E-04 525145437	   5      80.00     100.00  2.738541949122606E-02  2.784324308867051E-04 525145437	   5      80.00     100.00  2.655681512712106E-02  2.539333264648507E-04 525145437	   5      80.00     100.00  2.655681512712106E-02  2.539333264648507E-04 525145437	   5      80.00     100.00  2.819703377867223E-02  3.075521684371699E-04 525145437	   5      80.00     100.00  2.819703377867223E-02  3.075521684371699E-04 525145437	   5      80.00     100.00  2.738541949122606E-02  2.784324308867051E-04 525145437
   6     100.00     120.00  2.415744985026925E-02  1.734502639228070E-04 482784231	   6     100.00     120.00  2.415744985026925E-02  1.734502639228070E-04 482784231	   6     100.00     120.00  2.327933559380221E-02  1.577088398193888E-04 482784231	   6     100.00     120.00  2.327933559380221E-02  1.577088398193888E-04 482784231	   6     100.00     120.00  2.505927956451914E-02  1.926110300521743E-04 482784231	   6     100.00     120.00  2.505927956451914E-02  1.926110300521743E-04 482784231	   6     100.00     120.00  2.415744985026925E-02  1.734502639228070E-04 482784231
   7     120.00     140.00  1.956059484181895E-02  1.957632202508482E-04 424642516	   7     120.00     140.00  1.956059484181895E-02  1.957632202508482E-04 424642516	   7     120.00     140.00  1.874739978745199E-02  1.769981636951903E-04 424642516	   7     120.00     140.00  1.874739978745199E-02  1.769981636951903E-04 424642516	   7     120.00     140.00  2.041951773664495E-02  2.189203266475856E-04 424642516	   7     120.00     140.00  2.041951773664495E-02  2.189203266475856E-04 424642516	   7     120.00     140.00  1.956059484181895E-02  1.957632202508482E-04 424642516
   8     140.00     160.00  1.572414477570965E-02  1.414526332327631E-04 364054998	   8     140.00     160.00  1.572414477570965E-02  1.414526332327631E-04 364054998	   8     140.00     160.00  1.496370150195240E-02  1.292484049848530E-04 364054998	   8     140.00     160.00  1.496370150195240E-02  1.292484049848530E-04 364054998	   8     140.00     160.00  1.655182154407456E-02  1.562154509123972E-04 364054998	   8     140.00     160.00  1.655182154407456E-02  1.562154509123972E-04 364054998	   8     140.00     160.00  1.572414477570965E-02  1.414526332327631E-04 364054998
   9     160.00     180.00  1.209724319957009E-02  1.385830348038175E-04 312230958	   9     160.00     180.00  1.209724319957009E-02  1.385830348038175E-04 312230958	   9     160.00     180.00  1.145630596878365E-02  1.260065206431429E-04 312230958	   9     160.00     180.00  1.145630596878365E-02  1.260065206431429E-04 312230958	   9     160.00     180.00  1.280601709066720E-02  1.539603867919308E-04 312230958	   9     160.00     180.00  1.280601709066720E-02  1.539603867919308E-04 312230958	   9     160.00     180.00  1.209724319957009E-02  1.385830348038175E-04 312230958
  10     180.00     200.00  9.526416979024814E-03  1.051852644806049E-04 269116139	  10     180.00     200.00  9.526416979024814E-03  1.051852644806049E-04 269116139	  10     180.00     200.00  8.975022488328278E-03  9.492998540087357E-05 269116139	  10     180.00     200.00  8.975022488328278E-03  9.492998540087357E-05 269116139	  10     180.00     200.00  1.014508057085289E-02  1.180654250586582E-04 269116139	  10     180.00     200.00  1.014508057085289E-02  1.180654250586582E-04 269116139	  10     180.00     200.00  9.526416979024814E-03  1.051852644806049E-04 269116139
  11     200.00     220.00  7.282922275943134E-03  1.215106127405414E-04 233324407	  11     200.00     220.00  7.282922275943134E-03  1.215106127405414E-04 233324407	  11     200.00     220.00  6.837701289954533E-03  1.089876264113961E-04 233324407	  11     200.00     220.00  6.837701289954533E-03  1.089876264113961E-04 233324407	  11     200.00     220.00  7.787637918309468E-03  1.369733207196991E-04 233324407	  11     200.00     220.00  7.787637918309468E-03  1.369733207196991E-04 233324407	  11     200.00     220.00  7.282922275943134E-03  1.215106127405414E-04 233324407
  12     220.00     240.00  5.633120212107871E-03  1.058833812617662E-04 203346301	  12     220.00     240.00  5.633120212107871E-03  1.058833812617662E-04 203346301	  12     220.00     240.00  5.268549820778490E-03  9.491000243568564E-05 203346301	  12     220.00     240.00  5.268549820778490E-03  9.491000243568564E-05 203346301	  12     220.00     240.00  6.049700025497028E-03  1.196580060649040E-04 203346301	  12     220.00     240.00  6.049700025497028E-03  1.196580060649040E-04 203346301	  12     220.00     240.00  5.633120212107871E-03  1.058833812617662E-04 203346301
  13     240.00     260.00  4.282147418063937E-03  1.107303868909971E-04 178152975	  13     240.00     260.00  4.282147418063937E-03  1.107303868909971E-04 178152975	  13     240.00     260.00  3.991241480183727E-03  9.992296969863485E-05 178152975	  13     240.00     260.00  3.991241480183727E-03  9.992296969863485E-05 178152975	  13     240.00     260.00  4.617428149593513E-03  1.241809004794000E-04 178152975	  13     240.00     260.00  4.617428149593513E-03  1.241809004794000E-04 178152975	  13     240.00     260.00  4.282147418063937E-03  1.107303868909971E-04 178152975
  14     260.00     280.00  3.446114296043315E-03  8.341888501812962E-05 156813480	  14     260.00     280.00  3.446114296043315E-03  8.341888501812962E-05 156813480	  14     260.00     280.00  3.200027044627478E-03  7.525473080161529E-05 156813480	  14     260.00     280.00  3.200027044627478E-03  7.525473080161529E-05 156813480	  14     260.00     280.00  3.732332782503670E-03  9.352268562124328E-05 156813480	  14     260.00     280.00  3.732332782503670E-03  9.352268562124328E-05 156813480	  14     260.00     280.00  3.446114296043315E-03  8.341888501812962E-05 156813480
  15     280.00     300.00  2.688549490133788E-03  1.126863495689809E-04 138633516	  15     280.00     300.00  2.688549490133788E-03  1.126863495689809E-04 138633516	  15     280.00     300.00  2.496004818204097E-03  1.008517952913742E-04 138633516	  15     280.00     300.00  2.496004818204097E-03  1.008517952913742E-04 138633516	  15     280.00     300.00  2.912309835736466E-03  1.272098844898946E-04 138633516	  15     280.00     300.00  2.912309835736466E-03  1.272098844898946E-04 138633516	  15     280.00     300.00  2.688549490133788E-03  1.126863495689809E-04 138633516
  16     300.00     320.00  2.032905858241083E-03  1.426344908668716E-04 123009664	  16     300.00     320.00  2.032905858241083E-03  1.426344908668716E-04 123009664	  16     300.00     320.00  1.887942978360275E-03  1.245979462054213E-04 123009664	  16     300.00     320.00  1.887942978360275E-03  1.245979462054213E-04 123009664	  16     300.00     320.00  2.200629496095841E-03  1.655757287869092E-04 123009664	  16     300.00     320.00  2.200629496095841E-03  1.655757287869092E-04 123009664	  16     300.00     320.00  2.032905858241083E-03  1.426344908668716E-04 123009664
