# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  3.339221659789420E-03  3.505881989811319E-06 58081004	   1       0.00      20.00  3.339221659789420E-03  3.505881989811319E-06 58081004	   1       0.00      20.00  3.260306951530600E-03  3.292806205005151E-06 58081004	   1       0.00      20.00  3.260306951530600E-03  3.292806205005151E-06 58081004	   1       0.00      20.00  3.410849401605648E-03  3.755386239926750E-06 58081004	   1       0.00      20.00  3.410849401605648E-03  3.755386239926750E-06 58081004	   1       0.00      20.00  3.339221659789420E-03  3.505881989811319E-06 58081004
   2      20.00      40.00  9.407070270620214E-03  5.894906859285250E-06 112598225	   2      20.00      40.00  9.407070270620214E-03  5.894906859285250E-06 112598225	   2      20.00      40.00  9.174209687935499E-03  5.535143139256151E-06 112598225	   2      20.00      40.00  9.174209687935499E-03  5.535143139256151E-06 112598225	   2      20.00      40.00  9.621734369234610E-03  6.316581947757541E-06 112598225	   2      20.00      40.00  9.621734369234610E-03  6.316581947757541E-06 112598225	   2      20.00      40.00  9.407070270620214E-03  5.894906859285250E-06 112598225
   3      40.00      60.00  1.424075372768209E-02  7.432589637214110E-06 137061523	   3      40.00      60.00  1.424075372768209E-02  7.432589637214110E-06 137061523	   3      40.00      60.00  1.386181856562062E-02  6.961098850457189E-06 137061523	   3      40.00      60.00  1.386181856562062E-02  6.961098850457189E-06 137061523	   3      40.00      60.00  1.459806957856695E-02  7.988293174633786E-06 137061523	   3      40.00      60.00  1.459806957856695E-02  7.988293174633786E-06 137061523	   3      40.00      60.00  1.424075372768209E-02  7.432589637214110E-06 137061523
   4      60.00      80.00  1.755818526629568E-02  8.257767785723255E-06 150525089	   4      60.00      80.00  1.755818526629568E-02  8.257767785723255E-06 150525089	   4      60.00      80.00  1.705288901322268E-02  7.727260340946914E-06 150525089	   4      60.00      80.00  1.705288901322268E-02  7.727260340946914E-06 150525089	   4      60.00      80.00  1.804540928080528E-02  8.883253407111803E-06 150525089	   4      60.00      80.00  1.804540928080528E-02  8.883253407111803E-06 150525089	   4      60.00      80.00  1.755818526629568E-02  8.257767785723255E-06 150525089
   5      80.00     100.00  1.928190213245047E-02  8.656675279048211E-06 157709105	   5      80.00     100.00  1.928190213245047E-02  8.656675279048211E-06 157709105	   5      80.00     100.00  1.867740034424781E-02  8.088569487976268E-06 157709105	   5      80.00     100.00  1.867740034424781E-02  8.088569487976268E-06 157709105	   5      80.00     100.00  1.987800721946702E-02  9.327939233683274E-06 157709105	   5      80.00     100.00  1.987800721946702E-02  9.327939233683274E-06 157709105	   5      80.00     100.00  1.928190213245047E-02  8.656675279048211E-06 157709105
   6     100.00     120.00  1.965846355797409E-02  8.770513183476460E-06 160163986	   6     100.00     120.00  1.965846355797409E-02  8.770513183476460E-06 160163986	   6     100.00     120.00  1.898500689571555E-02  8.169096632378190E-06 160163986	   6     100.00     120.00  1.898500689571555E-02  8.169096632378190E-06 160163986	   6     100.00     120.00  2.033710832263346E-02  9.485552769641827E-06 160163986	   6     100.00     120.00  2.033710832263346E-02  9.485552769641827E-06 160163986	   6     100.00     120.00  1.965846355797409E-02  8.770513183476460E-06 160163986
   7     120.00     140.00  1.904808538097950E-02  8.632749305789121E-06 158919943	   7     120.00     140.00  1.904808538097950E-02  8.632749305789121E-06 158919943	   7     120.00     140.00  1.833791243465591E-02  8.023648875951576E-06 158919943	   7     120.00     140.00  1.833791243465591E-02  8.023648875951576E-06 158919943	   7     120.00     140.00  1.977739681600607E-02  9.358273399123349E-06 158919943	   7     120.00     140.00  1.977739681600607E-02  9.358273399123349E-06 158919943	   7     120.00     140.00  1.904808538097950E-02  8.632749305789121E-06 158919943
   8     140.00     160.00  1.780651287052358E-02  8.133480681381487E-06 154948880	   8     140.00     160.00  1.780651287052358E-02  8.133480681381487E-06 154948880	   8     140.00     160.00  1.708983578005361E-02  7.552270810905889E-06 154948880	   8     140.00     160.00  1.708983578005361E-02  7.552270810905889E-06 154948880	   8     140.00     160.00  1.855438041626778E-02  8.826147382930133E-06 154948880	   8     140.00     160.00  1.855438041626778E-02  8.826147382930133E-06 154948880	   8     140.00     160.00  1.780651287052358E-02  8.133480681381487E-06 154948880
   9     160.00     180.00  1.627235877731784E-02  7.766586732666860E-06 149124171	   9     160.00     180.00  1.627235877731784E-02  7.766586732666860E-06 149124171	   9     160.00     180.00  1.556759651355348E-02  7.189265764454462E-06 149124171	   9     160.00     180.00  1.556759651355348E-02  7.189265764454462E-06 149124171	   9     160.00     180.00  1.701871786363832E-02  8.458090569144397E-06 149124171	   9     160.00     180.00  1.701871786363832E-02  8.458090569144397E-06 149124171	   9     160.00     180.00  1.627235877731784E-02  7.766586732666860E-06 149124171
  10     180.00     200.00  1.462054499665667E-02  7.257289508342296E-06 142154028	  10     180.00     200.00  1.462054499665667E-02  7.257289508342296E-06 142154028	  10     180.00     200.00  1.394420098478498E-02  6.705471149764711E-06 142154028	  10     180.00     200.00  1.394420098478498E-02  6.705471149764711E-06 142154028	  10     180.00     200.00  1.534581014390114E-02  7.920024411024429E-06 142154028	  10     180.00     200.00  1.534581014390114E-02  7.920024411024429E-06 142154028	  10     180.00     200.00  1.462054499665667E-02  7.257289508342296E-06 142154028
