# title = Transverse Momentum anti--Muon-Positron
# xlabel = $p_{\text{T},\mu^+\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  9.628498343110553E-03  6.455908372060195E-06 89500711	   1       0.00      20.00  9.628498343110553E-03  6.455908372060195E-06 89500711	   1       0.00      20.00  9.283885099348337E-03  6.016433828904713E-06 89500711	   1       0.00      20.00  9.283885099348337E-03  6.016433828904713E-06 89500711	   1       0.00      20.00  9.981423560249610E-03  6.978140174517410E-06 89500711	   1       0.00      20.00  9.981423560249610E-03  6.978140174517410E-06 89500711	   1       0.00      20.00  9.628498343110553E-03  6.455908372060195E-06 89500711
   2      20.00      40.00  2.386273175830796E-02  1.004592929094782E-05 222161470	   2      20.00      40.00  2.386273175830796E-02  1.004592929094782E-05 222161470	   2      20.00      40.00  2.299459922316423E-02  9.349862998525306E-06 222161470	   2      20.00      40.00  2.299459922316423E-02  9.349862998525306E-06 222161470	   2      20.00      40.00  2.475491785246833E-02  1.087552047353931E-05 222161470	   2      20.00      40.00  2.475491785246833E-02  1.087552047353931E-05 222161470	   2      20.00      40.00  2.386273175830796E-02  1.004592929094782E-05 222161470
   3      40.00      60.00  3.436290724822870E-02  1.180080340863662E-05 337084260	   3      40.00      60.00  3.436290724822870E-02  1.180080340863662E-05 337084260	   3      40.00      60.00  3.309520576525532E-02  1.098747056141258E-05 337084260	   3      40.00      60.00  3.309520576525532E-02  1.098747056141258E-05 337084260	   3      40.00      60.00  3.567012494975973E-02  1.276836742048082E-05 337084260	   3      40.00      60.00  3.567012494975973E-02  1.276836742048082E-05 337084260	   3      40.00      60.00  3.436290724822870E-02  1.180080340863662E-05 337084260
   4      60.00      80.00  3.670481030987134E-02  1.182615761656345E-05 371572458	   4      60.00      80.00  3.670481030987134E-02  1.182615761656345E-05 371572458	   4      60.00      80.00  3.530093049220324E-02  1.099318554342952E-05 371572458	   4      60.00      80.00  3.530093049220324E-02  1.099318554342952E-05 371572458	   4      60.00      80.00  3.816386511269602E-02  1.282072390575359E-05 371572458	   4      60.00      80.00  3.816386511269602E-02  1.282072390575359E-05 371572458	   4      60.00      80.00  3.670481030987134E-02  1.182615761656345E-05 371572458
   5      80.00     100.00  3.218295003354343E-02  1.073007504460342E-05 323058989	   5      80.00     100.00  3.218295003354343E-02  1.073007504460342E-05 323058989	   5      80.00     100.00  3.086076683564281E-02  9.951431526307133E-06 323058989	   5      80.00     100.00  3.086076683564281E-02  9.951431526307133E-06 323058989	   5      80.00     100.00  3.357683339774316E-02  1.166317219391630E-05 323058989	   5      80.00     100.00  3.357683339774316E-02  1.166317219391630E-05 323058989	   5      80.00     100.00  3.218295003354343E-02  1.073007504460342E-05 323058989
   6     100.00     120.00  2.575230937850137E-02  9.346999952080451E-06 272457970	   6     100.00     120.00  2.575230937850137E-02  9.346999952080451E-06 272457970	   6     100.00     120.00  2.459954696834393E-02  8.653072965588907E-06 272457970	   6     100.00     120.00  2.459954696834393E-02  8.653072965588907E-06 272457970	   6     100.00     120.00  2.698712620223866E-02  1.017923149121464E-05 272457970	   6     100.00     120.00  2.698712620223866E-02  1.017923149121464E-05 272457970	   6     100.00     120.00  2.575230937850137E-02  9.346999952080451E-06 272457970
   7     120.00     140.00  1.985890694572243E-02  7.976003222345725E-06 231102996	   7     120.00     140.00  1.985890694572243E-02  7.976003222345725E-06 231102996	   7     120.00     140.00  1.889103849394022E-02  7.364334586479142E-06 231102996	   7     120.00     140.00  1.889103849394022E-02  7.364334586479142E-06 231102996	   7     120.00     140.00  2.091133850482502E-02  8.712769127890343E-06 231102996	   7     120.00     140.00  2.091133850482502E-02  8.712769127890343E-06 231102996	   7     120.00     140.00  1.985890694572243E-02  7.976003222345725E-06 231102996
   8     140.00     160.00  1.515234690234381E-02  6.803418146331864E-06 197584205	   8     140.00     160.00  1.515234690234381E-02  6.803418146331864E-06 197584205	   8     140.00     160.00  1.435421786645136E-02  6.262618018399556E-06 197584205	   8     140.00     160.00  1.435421786645136E-02  6.262618018399556E-06 197584205	   8     140.00     160.00  1.603165050355044E-02  7.457666984764350E-06 197584205	   8     140.00     160.00  1.603165050355044E-02  7.457666984764350E-06 197584205	   8     140.00     160.00  1.515234690234381E-02  6.803418146331864E-06 197584205
   9     160.00     180.00  1.158997737194959E-02  5.704989447667932E-06 170418767	   9     160.00     180.00  1.158997737194959E-02  5.704989447667932E-06 170418767	   9     160.00     180.00  1.093692509790957E-02  5.245136748716451E-06 170418767	   9     160.00     180.00  1.093692509790957E-02  5.245136748716451E-06 170418767	   9     160.00     180.00  1.231732252364666E-02  6.261215446225756E-06 170418767	   9     160.00     180.00  1.231732252364666E-02  6.261215446225756E-06 170418767	   9     160.00     180.00  1.158997737194959E-02  5.704989447667932E-06 170418767
  10     180.00     200.00  8.951644678850412E-03  4.825617250194325E-06 148263540	  10     180.00     200.00  8.951644678850412E-03  4.825617250194325E-06 148263540	  10     180.00     200.00  8.416694094090136E-03  4.429260989550183E-06 148263540	  10     180.00     200.00  8.416694094090136E-03  4.429260989550183E-06 148263540	  10     180.00     200.00  9.553060054905032E-03  5.306014063657273E-06 148263540	  10     180.00     200.00  9.553060054905032E-03  5.306014063657273E-06 148263540	  10     180.00     200.00  8.951644678850412E-03  4.825617250194325E-06 148263540
