# title = Transverse Momentum anti--Muon-Positron
# xlabel = $p_{\text{T},\mu^+\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  8.195684099910555E-03  1.227831002960285E-04 129373171	   1       0.00      20.00  8.195684099910555E-03  1.227831002960285E-04 129373171	   1       0.00      20.00  7.936639257964903E-03  1.115083079469675E-04 129373171	   1       0.00      20.00  7.936639257964903E-03  1.115083079469675E-04 129373171	   1       0.00      20.00  8.455180102263635E-03  1.365899215662591E-04 129373171	   1       0.00      20.00  8.455180102263635E-03  1.365899215662591E-04 129373171	   1       0.00      20.00  8.195684099910555E-03  1.227831002960285E-04 129373171
   2      20.00      40.00  2.009910495042630E-02  1.599948075125785E-04 321757408	   2      20.00      40.00  2.009910495042630E-02  1.599948075125785E-04 321757408	   2      20.00      40.00  1.945226183655383E-02  1.465523998426979E-04 321757408	   2      20.00      40.00  1.945226183655383E-02  1.465523998426979E-04 321757408	   2      20.00      40.00  2.074943920020811E-02  1.768789675445815E-04 321757408	   2      20.00      40.00  2.074943920020811E-02  1.768789675445815E-04 321757408	   2      20.00      40.00  2.009910495042630E-02  1.599948075125785E-04 321757408
   3      40.00      60.00  2.862484962889246E-02  1.988646592425388E-04 489456309	   3      40.00      60.00  2.862484962889246E-02  1.988646592425388E-04 489456309	   3      40.00      60.00  2.770701935214081E-02  1.815431898749685E-04 489456309	   3      40.00      60.00  2.770701935214081E-02  1.815431898749685E-04 489456309	   3      40.00      60.00  2.954700967694349E-02  2.201669833765243E-04 489456309	   3      40.00      60.00  2.954700967694349E-02  2.201669833765243E-04 489456309	   3      40.00      60.00  2.862484962889246E-02  1.988646592425388E-04 489456309
   4      60.00      80.00  3.015727130954507E-02  3.283662671956422E-04 542068964	   4      60.00      80.00  3.015727130954507E-02  3.283662671956422E-04 542068964	   4      60.00      80.00  2.917782018190089E-02  2.975081876709041E-04 542068964	   4      60.00      80.00  2.917782018190089E-02  2.975081876709041E-04 542068964	   4      60.00      80.00  3.114199833382331E-02  3.657028001077893E-04 542068964	   4      60.00      80.00  3.114199833382331E-02  3.657028001077893E-04 542068964	   4      60.00      80.00  3.015727130954507E-02  3.283662671956422E-04 542068964
   5      80.00     100.00  2.644525168633338E-02  1.590237810015771E-04 475839453	   5      80.00     100.00  2.644525168633338E-02  1.590237810015771E-04 475839453	   5      80.00     100.00  2.548735285081954E-02  1.452931867462532E-04 475839453	   5      80.00     100.00  2.548735285081954E-02  1.452931867462532E-04 475839453	   5      80.00     100.00  2.743489511080070E-02  1.756947523010995E-04 475839453	   5      80.00     100.00  2.743489511080070E-02  1.756947523010995E-04 475839453	   5      80.00     100.00  2.644525168633338E-02  1.590237810015771E-04 475839453
   6     100.00     120.00  2.080673299432018E-02  1.591965822857445E-04 405365331	   6     100.00     120.00  2.080673299432018E-02  1.591965822857445E-04 405365331	   6     100.00     120.00  1.998016593123718E-02  1.440954986043511E-04 405365331	   6     100.00     120.00  1.998016593123718E-02  1.440954986043511E-04 405365331	   6     100.00     120.00  2.167707095142583E-02  1.777459525752751E-04 405365331	   6     100.00     120.00  2.167707095142583E-02  1.777459525752751E-04 405365331	   6     100.00     120.00  2.080673299432018E-02  1.591965822857445E-04 405365331
   7     120.00     140.00  1.584903953240867E-02  1.236498197269725E-04 346862618	   7     120.00     140.00  1.584903953240867E-02  1.236498197269725E-04 346862618	   7     120.00     140.00  1.515851023610015E-02  1.128829120610171E-04 346862618	   7     120.00     140.00  1.515851023610015E-02  1.128829120610171E-04 346862618	   7     120.00     140.00  1.658826490573310E-02  1.368230276559836E-04 346862618	   7     120.00     140.00  1.658826490573310E-02  1.368230276559836E-04 346862618	   7     120.00     140.00  1.584903953240867E-02  1.236498197269725E-04 346862618
   8     140.00     160.00  1.176747509466066E-02  1.619736301228960E-04 298868303	   8     140.00     160.00  1.176747509466066E-02  1.619736301228960E-04 298868303	   8     140.00     160.00  1.122576832627946E-02  1.434613460644483E-04 298868303	   8     140.00     160.00  1.122576832627946E-02  1.434613460644483E-04 298868303	   8     140.00     160.00  1.235108638099752E-02  1.853401624651479E-04 298868303	   8     140.00     160.00  1.235108638099752E-02  1.853401624651479E-04 298868303	   8     140.00     160.00  1.176747509466066E-02  1.619736301228960E-04 298868303
   9     160.00     180.00  8.900012750870007E-03  1.149288093845314E-04 259510800	   9     160.00     180.00  8.900012750870007E-03  1.149288093845314E-04 259510800	   9     160.00     180.00  8.448511401295650E-03  1.032788138076851E-04 259510800	   9     160.00     180.00  8.448511401295650E-03  1.032788138076851E-04 259510800	   9     160.00     180.00  9.396048693587126E-03  1.293362933768813E-04 259510800	   9     160.00     180.00  9.396048693587126E-03  1.293362933768813E-04 259510800	   9     160.00     180.00  8.900012750870007E-03  1.149288093845314E-04 259510800
  10     180.00     200.00  6.779672581693299E-03  9.313618576688580E-05 227081307	  10     180.00     200.00  6.779672581693299E-03  9.313618576688580E-05 227081307	  10     180.00     200.00  6.414604925498738E-03  8.418433134639747E-05 227081307	  10     180.00     200.00  6.414604925498738E-03  8.418433134639747E-05 227081307	  10     180.00     200.00  7.184392295549802E-03  1.041513024251394E-04 227081307	  10     180.00     200.00  7.184392295549802E-03  1.041513024251394E-04 227081307	  10     180.00     200.00  6.779672581693299E-03  9.313618576688580E-05 227081307
