# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.16  1.632337349272077E-02  6.474473978181182E-05 3563407	   1       0.00       0.16  1.632337349272077E-02  6.474473978181182E-05 3563407	   1       0.00       0.16  1.560415986722392E-02  6.014895617579572E-05 3563407	   1       0.00       0.16  1.560415986722392E-02  6.014895617579572E-05 3563407	   1       0.00       0.16  1.709570708159366E-02  7.018490294116176E-05 3563407	   1       0.00       0.16  1.709570708159366E-02  7.018490294116176E-05 3563407	   1       0.00       0.16  1.632337349272077E-02  6.474473978181182E-05 3563407
   2       0.16       0.31  1.612524027333293E-02  6.247306298955699E-05 3562071	   2       0.16       0.31  1.612524027333293E-02  6.247306298955699E-05 3562071	   2       0.16       0.31  1.541899486536193E-02  5.792709536366660E-05 3562071	   2       0.16       0.31  1.541899486536193E-02  5.792709536366660E-05 3562071	   2       0.16       0.31  1.688275827457944E-02  6.789107336860972E-05 3562071	   2       0.16       0.31  1.688275827457944E-02  6.789107336860972E-05 3562071	   2       0.16       0.31  1.612524027333293E-02  6.247306298955699E-05 3562071
   3       0.31       0.47  1.614191948781689E-02  6.046876152676833E-05 3566278	   3       0.31       0.47  1.614191948781689E-02  6.046876152676833E-05 3566278	   3       0.31       0.47  1.543125125222150E-02  5.632908333586166E-05 3566278	   3       0.31       0.47  1.543125125222150E-02  5.632908333586166E-05 3566278	   3       0.31       0.47  1.690486763294870E-02  6.533642615601954E-05 3566278	   3       0.31       0.47  1.690486763294870E-02  6.533642615601954E-05 3566278	   3       0.31       0.47  1.614191948781689E-02  6.046876152676833E-05 3566278
   4       0.47       0.63  1.606613537914398E-02  5.893037723157244E-05 3566210	   4       0.47       0.63  1.606613537914398E-02  5.893037723157244E-05 3566210	   4       0.47       0.63  1.536093362514311E-02  5.513090385977447E-05 3566210	   4       0.47       0.63  1.536093362514311E-02  5.513090385977447E-05 3566210	   4       0.47       0.63  1.682276509856328E-02  6.337216635614312E-05 3566210	   4       0.47       0.63  1.682276509856328E-02  6.337216635614312E-05 3566210	   4       0.47       0.63  1.606613537914398E-02  5.893037723157244E-05 3566210
   5       0.63       0.79  1.627833608586082E-02  6.362746451022243E-05 3565376	   5       0.63       0.79  1.627833608586082E-02  6.362746451022243E-05 3565376	   5       0.63       0.79  1.555749508771169E-02  5.915089717270717E-05 3565376	   5       0.63       0.79  1.555749508771169E-02  5.915089717270717E-05 3565376	   5       0.63       0.79  1.705315138271894E-02  6.891043731216565E-05 3565376	   5       0.63       0.79  1.705315138271894E-02  6.891043731216565E-05 3565376	   5       0.63       0.79  1.627833608586082E-02  6.362746451022243E-05 3565376
   6       0.79       0.94  1.606831874926140E-02  5.872422057023482E-05 3564418	   6       0.79       0.94  1.606831874926140E-02  5.872422057023482E-05 3564418	   6       0.79       0.94  1.536440589062456E-02  5.481771348480653E-05 3564418	   6       0.79       0.94  1.536440589062456E-02  5.481771348480653E-05 3564418	   6       0.79       0.94  1.682324835905737E-02  6.331204659072643E-05 3564418	   6       0.79       0.94  1.682324835905737E-02  6.331204659072643E-05 3564418	   6       0.79       0.94  1.606831874926140E-02  5.872422057023482E-05 3564418
   7       0.94       1.10  1.619082135878553E-02  5.961223421627176E-05 3563335	   7       0.94       1.10  1.619082135878553E-02  5.961223421627176E-05 3563335	   7       0.94       1.10  1.547702747258129E-02  5.570641400381353E-05 3563335	   7       0.94       1.10  1.547702747258129E-02  5.570641400381353E-05 3563335	   7       0.94       1.10  1.695740458154053E-02  6.418485812368219E-05 3563335	   7       0.94       1.10  1.695740458154053E-02  6.418485812368219E-05 3563335	   7       0.94       1.10  1.619082135878553E-02  5.961223421627176E-05 3563335
   8       1.10       1.26  1.614512524110088E-02  6.079988123276899E-05 3568864	   8       1.10       1.26  1.614512524110088E-02  6.079988123276899E-05 3568864	   8       1.10       1.26  1.543415308338915E-02  5.669768269772099E-05 3568864	   8       1.10       1.26  1.543415308338915E-02  5.669768269772099E-05 3568864	   8       1.10       1.26  1.690843729499636E-02  6.560931149604978E-05 3568864	   8       1.10       1.26  1.690843729499636E-02  6.560931149604978E-05 3568864	   8       1.10       1.26  1.614512524110088E-02  6.079988123276899E-05 3568864
   9       1.26       1.41  1.609920456757993E-02  5.855894350625443E-05 3567555	   9       1.26       1.41  1.609920456757993E-02  5.855894350625443E-05 3567555	   9       1.26       1.41  1.539595995626966E-02  5.475907979165112E-05 3567555	   9       1.26       1.41  1.539595995626966E-02  5.475907979165112E-05 3567555	   9       1.26       1.41  1.685296996269345E-02  6.299530591408004E-05 3567555	   9       1.26       1.41  1.685296996269345E-02  6.299530591408004E-05 3567555	   9       1.26       1.41  1.609920456757993E-02  5.855894350625443E-05 3567555
  10       1.41       1.57  1.615495056546367E-02  6.105752445867165E-05 3566620	  10       1.41       1.57  1.615495056546367E-02  6.105752445867165E-05 3566620	  10       1.41       1.57  1.544221546019286E-02  5.696494808541938E-05 3566620	  10       1.41       1.57  1.544221546019286E-02  5.696494808541938E-05 3566620	  10       1.41       1.57  1.692053178445649E-02  6.585089288319621E-05 3566620	  10       1.41       1.57  1.692053178445649E-02  6.585089288319621E-05 3566620	  10       1.41       1.57  1.615495056546367E-02  6.105752445867165E-05 3566620
