# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.16  1.299137236548465E-02  8.576818658248092E-04 5239828	   1       0.00       0.16  1.299137236548465E-02  8.576818658248092E-04 5239828	   1       0.00       0.16  1.247310838193311E-02  7.884211814587275E-04 5239828	   1       0.00       0.16  1.247310838193311E-02  7.884211814587275E-04 5239828	   1       0.00       0.16  1.354298734937584E-02  9.397007074587742E-04 5239828	   1       0.00       0.16  1.354298734937584E-02  9.397007074587742E-04 5239828	   1       0.00       0.16  1.299137236548465E-02  8.576818658248092E-04 5239828
   2       0.16       0.31  1.368466457114835E-02  5.982565216462079E-04 5362307	   2       0.16       0.31  1.368466457114835E-02  5.982565216462079E-04 5362307	   2       0.16       0.31  1.312632747991950E-02  5.611909280465135E-04 5362307	   2       0.16       0.31  1.312632747991950E-02  5.611909280465135E-04 5362307	   2       0.16       0.31  1.428202604200737E-02  6.411241750403771E-04 5362307	   2       0.16       0.31  1.428202604200737E-02  6.411241750403771E-04 5362307	   2       0.16       0.31  1.368466457114835E-02  5.982565216462079E-04 5362307
   3       0.31       0.47  1.340892981134643E-02  4.928872400009858E-04 5384459	   3       0.31       0.47  1.340892981134643E-02  4.928872400009858E-04 5384459	   3       0.31       0.47  1.285874699409093E-02  4.604619730303747E-04 5384459	   3       0.31       0.47  1.285874699409093E-02  4.604619730303747E-04 5384459	   3       0.31       0.47  1.399617113703254E-02  5.304687086773545E-04 5384459	   3       0.31       0.47  1.399617113703254E-02  5.304687086773545E-04 5384459	   3       0.31       0.47  1.340892981134643E-02  4.928872400009858E-04 5384459
   4       0.47       0.63  1.184761938328326E-02  5.893104124394840E-04 5395585	   4       0.47       0.63  1.184761938328326E-02  5.893104124394840E-04 5395585	   4       0.47       0.63  1.140478107845257E-02  5.480441279918402E-04 5395585	   4       0.47       0.63  1.140478107845257E-02  5.480441279918402E-04 5395585	   4       0.47       0.63  1.231302607348524E-02  6.372420942135990E-04 5395585	   4       0.47       0.63  1.231302607348524E-02  6.372420942135990E-04 5395585	   4       0.47       0.63  1.184761938328326E-02  5.893104124394840E-04 5395585
   5       0.63       0.79  1.310064207029531E-02  8.800122630589545E-04 5405243	   5       0.63       0.79  1.310064207029531E-02  8.800122630589545E-04 5405243	   5       0.63       0.79  1.261502683086965E-02  7.963876569103402E-04 5405243	   5       0.63       0.79  1.261502683086965E-02  7.963876569103402E-04 5405243	   5       0.63       0.79  1.360780789390218E-02  9.824220078261043E-04 5405243	   5       0.63       0.79  1.360780789390218E-02  9.824220078261043E-04 5405243	   5       0.63       0.79  1.310064207029531E-02  8.800122630589545E-04 5405243
   6       0.79       0.94  1.263198197437021E-02  6.439753073866137E-04 5412897	   6       0.79       0.94  1.263198197437021E-02  6.439753073866137E-04 5412897	   6       0.79       0.94  1.215246000388293E-02  5.997160458037586E-04 5412897	   6       0.79       0.94  1.215246000388293E-02  5.997160458037586E-04 5412897	   6       0.79       0.94  1.313552945854155E-02  6.954767866248779E-04 5412897	   6       0.79       0.94  1.313552945854155E-02  6.954767866248779E-04 5412897	   6       0.79       0.94  1.263198197437021E-02  6.439753073866137E-04 5412897
   7       0.94       1.10  1.289270561749768E-02  7.674281805741726E-04 5417072	   7       0.94       1.10  1.289270561749768E-02  7.674281805741726E-04 5417072	   7       0.94       1.10  1.242386376791849E-02  7.115918257143177E-04 5417072	   7       0.94       1.10  1.242386376791849E-02  7.115918257143177E-04 5417072	   7       0.94       1.10  1.337817606888457E-02  8.344109728746276E-04 5417072	   7       0.94       1.10  1.337817606888457E-02  8.344109728746276E-04 5417072	   7       0.94       1.10  1.289270561749768E-02  7.674281805741726E-04 5417072
   8       1.10       1.26  1.317844603457302E-02  6.756097112799601E-04 5419905	   8       1.10       1.26  1.317844603457302E-02  6.756097112799601E-04 5419905	   8       1.10       1.26  1.264232814751423E-02  6.317749882363249E-04 5419905	   8       1.10       1.26  1.264232814751423E-02  6.317749882363249E-04 5419905	   8       1.10       1.26  1.375041232427759E-02  7.269316703424557E-04 5419905	   8       1.10       1.26  1.375041232427759E-02  7.269316703424557E-04 5419905	   8       1.10       1.26  1.317844603457302E-02  6.756097112799601E-04 5419905
   9       1.26       1.41  1.400441278716320E-02  9.522506123609770E-04 5421256	   9       1.26       1.41  1.400441278716320E-02  9.522506123609770E-04 5421256	   9       1.26       1.41  1.341974305361276E-02  8.910903837525708E-04 5421256	   9       1.26       1.41  1.341974305361276E-02  8.910903837525708E-04 5421256	   9       1.26       1.41  1.463140849995996E-02  1.022484415227422E-03 5421256	   9       1.26       1.41  1.463140849995996E-02  1.022484415227422E-03 5421256	   9       1.26       1.41  1.400441278716320E-02  9.522506123609770E-04 5421256
  10       1.41       1.57  1.404240487969956E-02  5.360796091959725E-04 5419215	  10       1.41       1.57  1.404240487969956E-02  5.360796091959725E-04 5419215	  10       1.41       1.57  1.347259991507117E-02  4.966060989945112E-04 5419215	  10       1.41       1.57  1.347259991507117E-02  4.966060989945112E-04 5419215	  10       1.41       1.57  1.465040982989812E-02  5.829808789536748E-04 5419215	  10       1.41       1.57  1.465040982989812E-02  5.829808789536748E-04 5419215	  10       1.41       1.57  1.404240487969956E-02  5.360796091959725E-04 5419215
