# title = Cosine of Angle between Positron and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  6.000E-01
# ymax=  1.100E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  3.037149653487364E+00  1.456792123014064E-03 312422219	   1      -1.00      -0.90  3.037149653487364E+00  1.456792123014064E-03 312422219	   1      -1.00      -0.90  2.865521135141921E+00  1.349925454580201E-03 312422219	   1      -1.00      -0.90  2.865521135141921E+00  1.349925454580201E-03 312422219	   1      -1.00      -0.90  3.229546849744112E+00  1.583296456996338E-03 312422219	   1      -1.00      -0.90  3.229546849744112E+00  1.583296456996338E-03 312422219	   1      -1.00      -0.90  3.037149653487364E+00  1.456792123014064E-03 312422219
   2      -0.90      -0.80  2.539374732266466E+00  1.219928561109425E-03 263906725	   2      -0.90      -0.80  2.539374732266466E+00  1.219928561109425E-03 263906725	   2      -0.90      -0.80  2.410459230885251E+00  1.137318582214528E-03 263906725	   2      -0.90      -0.80  2.410459230885251E+00  1.137318582214528E-03 263906725	   2      -0.90      -0.80  2.681206326748905E+00  1.316720241109790E-03 263906725	   2      -0.90      -0.80  2.681206326748905E+00  1.316720241109790E-03 263906725	   2      -0.90      -0.80  2.539374732266466E+00  1.219928561109425E-03 263906725
   3      -0.80      -0.70  2.297301192869633E+00  1.088046657476634E-03 240258519	   3      -0.80      -0.70  2.297301192869633E+00  1.088046657476634E-03 240258519	   3      -0.80      -0.70  2.187243205002051E+00  1.018025493983161E-03 240258519	   3      -0.80      -0.70  2.187243205002051E+00  1.018025493983161E-03 240258519	   3      -0.80      -0.70  2.417193695943825E+00  1.169462278602170E-03 240258519	   3      -0.80      -0.70  2.417193695943825E+00  1.169462278602170E-03 240258519	   3      -0.80      -0.70  2.297301192869633E+00  1.088046657476634E-03 240258519
   4      -0.70      -0.60  2.147478720209556E+00  1.019691105472204E-03 225792679	   4      -0.70      -0.60  2.147478720209556E+00  1.019691105472204E-03 225792679	   4      -0.70      -0.60  2.048518931193009E+00  9.545875069704241E-04 225792679	   4      -0.70      -0.60  2.048518931193009E+00  9.545875069704241E-04 225792679	   4      -0.70      -0.60  2.254571216542411E+00  1.095393008194115E-03 225792679	   4      -0.70      -0.60  2.254571216542411E+00  1.095393008194115E-03 225792679	   4      -0.70      -0.60  2.147478720209556E+00  1.019691105472204E-03 225792679
   5      -0.60      -0.50  2.050565970398693E+00  9.596718008165348E-04 216355824	   5      -0.60      -0.50  2.050565970398693E+00  9.596718008165348E-04 216355824	   5      -0.60      -0.50  1.958931702779465E+00  8.998515856796575E-04 216355824	   5      -0.60      -0.50  1.958931702779465E+00  8.998515856796575E-04 216355824	   5      -0.60      -0.50  2.149204441485696E+00  1.029093147889954E-03 216355824	   5      -0.60      -0.50  2.149204441485696E+00  1.029093147889954E-03 216355824	   5      -0.60      -0.50  2.050565970398693E+00  9.596718008165348E-04 216355824
   6      -0.50      -0.40  1.983251926883441E+00  9.220669010725755E-04 210209267	   6      -0.50      -0.40  1.983251926883441E+00  9.220669010725755E-04 210209267	   6      -0.50      -0.40  1.896773622922256E+00  8.654215770017613E-04 210209267	   6      -0.50      -0.40  1.896773622922256E+00  8.654215770017613E-04 210209267	   6      -0.50      -0.40  2.075939106503536E+00  9.876180988373552E-04 210209267	   6      -0.50      -0.40  2.075939106503536E+00  9.876180988373552E-04 210209267	   6      -0.50      -0.40  1.983251926883441E+00  9.220669010725755E-04 210209267
   7      -0.40      -0.30  1.943019872578981E+00  9.039690584229401E-04 206452030	   7      -0.40      -0.30  1.943019872578981E+00  9.039690584229401E-04 206452030	   7      -0.40      -0.30  1.859969293291909E+00  8.484500550029275E-04 206452030	   7      -0.40      -0.30  1.859969293291909E+00  8.484500550029275E-04 206452030	   7      -0.40      -0.30  2.031715256715273E+00  9.682803824353354E-04 206452030	   7      -0.40      -0.30  2.031715256715273E+00  9.682803824353354E-04 206452030	   7      -0.40      -0.30  1.943019872578981E+00  9.039690584229401E-04 206452030
   8      -0.30      -0.20  1.918532265874449E+00  8.676127225487072E-04 204639087	   8      -0.30      -0.20  1.918532265874449E+00  8.676127225487072E-04 204639087	   8      -0.30      -0.20  1.837950227926282E+00  8.150183945861370E-04 204639087	   8      -0.30      -0.20  1.837950227926282E+00  8.150183945861370E-04 204639087	   8      -0.30      -0.20  2.004316794353371E+00  9.284440190501226E-04 204639087	   8      -0.30      -0.20  2.004316794353371E+00  9.284440190501226E-04 204639087	   8      -0.30      -0.20  1.918532265874449E+00  8.676127225487072E-04 204639087
   9      -0.20      -0.10  1.909059114566509E+00  8.577382766471378E-04 204571860	   9      -0.20      -0.10  1.909059114566509E+00  8.577382766471378E-04 204571860	   9      -0.20      -0.10  1.830074359421662E+00  8.056984793718548E-04 204571860	   9      -0.20      -0.10  1.830074359421662E+00  8.056984793718548E-04 204571860	   9      -0.20      -0.10  1.992903863811982E+00  9.179399024696265E-04 204571860	   9      -0.20      -0.10  1.992903863811982E+00  9.179399024696265E-04 204571860	   9      -0.20      -0.10  1.909059114566509E+00  8.577382766471378E-04 204571860
  10      -0.10       0.00  1.920219698419146E+00  8.575378962414769E-04 206127348	  10      -0.10       0.00  1.920219698419146E+00  8.575378962414769E-04 206127348	  10      -0.10       0.00  1.841777621589165E+00  8.054602573033916E-04 206127348	  10      -0.10       0.00  1.841777621589165E+00  8.054602573033916E-04 206127348	  10      -0.10       0.00  2.003278232012999E+00  9.177925459167797E-04 206127348	  10      -0.10       0.00  2.003278232012999E+00  9.177925459167797E-04 206127348	  10      -0.10       0.00  1.920219698419146E+00  8.575378962414769E-04 206127348
