# title = Cosine of Angle between Positron and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  6.000E-01
# ymax=  1.100E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  2.392060883105929E+00  1.876307264910123E-02 376208794	   1      -1.00      -0.90  2.392060883105929E+00  1.876307264910123E-02 376208794	   1      -1.00      -0.90  2.270058027956078E+00  1.714547455228215E-02 376208794	   1      -1.00      -0.90  2.270058027956078E+00  1.714547455228215E-02 376208794	   1      -1.00      -0.90  2.527280524436012E+00  2.071506257906994E-02 376208794	   1      -1.00      -0.90  2.527280524436012E+00  2.071506257906994E-02 376208794	   1      -1.00      -0.90  2.392060883105929E+00  1.876307264910123E-02 376208794
   2      -0.90      -0.80  2.007043560105496E+00  1.769543512220518E-02 330885535	   2      -0.90      -0.80  2.007043560105496E+00  1.769543512220518E-02 330885535	   2      -0.90      -0.80  1.915726764157107E+00  1.620590894122479E-02 330885535	   2      -0.90      -0.80  1.915726764157107E+00  1.620590894122479E-02 330885535	   2      -0.90      -0.80  2.106298723040206E+00  1.947117635343094E-02 330885535	   2      -0.90      -0.80  2.106298723040206E+00  1.947117635343094E-02 330885535	   2      -0.90      -0.80  2.007043560105496E+00  1.769543512220518E-02 330885535
   3      -0.80      -0.70  1.831053714154014E+00  1.464618107123440E-02 306810089	   3      -0.80      -0.70  1.831053714154014E+00  1.464618107123440E-02 306810089	   3      -0.80      -0.70  1.752687981785635E+00  1.345824847193578E-02 306810089	   3      -0.80      -0.70  1.752687981785635E+00  1.345824847193578E-02 306810089	   3      -0.80      -0.70  1.915295887170634E+00  1.606168103184012E-02 306810089	   3      -0.80      -0.70  1.915295887170634E+00  1.606168103184012E-02 306810089	   3      -0.80      -0.70  1.831053714154014E+00  1.464618107123440E-02 306810089
   4      -0.70      -0.60  1.746588302827873E+00  1.190726581555585E-02 291940630	   4      -0.70      -0.60  1.746588302827873E+00  1.190726581555585E-02 291940630	   4      -0.70      -0.60  1.673844760671052E+00  1.096666163780858E-02 291940630	   4      -0.70      -0.60  1.673844760671052E+00  1.096666163780858E-02 291940630	   4      -0.70      -0.60  1.824409377522463E+00  1.303106525256574E-02 291940630	   4      -0.70      -0.60  1.824409377522463E+00  1.303106525256574E-02 291940630	   4      -0.70      -0.60  1.746588302827873E+00  1.190726581555585E-02 291940630
   5      -0.60      -0.50  1.643342191683228E+00  1.438027960027789E-02 282317880	   5      -0.60      -0.50  1.643342191683228E+00  1.438027960027789E-02 282317880	   5      -0.60      -0.50  1.578125385612889E+00  1.333732942441933E-02 282317880	   5      -0.60      -0.50  1.578125385612889E+00  1.333732942441933E-02 282317880	   5      -0.60      -0.50  1.712462973855087E+00  1.561036401167897E-02 282317880	   5      -0.60      -0.50  1.712462973855087E+00  1.561036401167897E-02 282317880	   5      -0.60      -0.50  1.643342191683228E+00  1.438027960027789E-02 282317880
   6      -0.50      -0.40  1.607966177463874E+00  2.126498497127523E-02 276250056	   6      -0.50      -0.40  1.607966177463874E+00  2.126498497127523E-02 276250056	   6      -0.50      -0.40  1.546031558034634E+00  1.922195918604789E-02 276250056	   6      -0.50      -0.40  1.546031558034634E+00  1.922195918604789E-02 276250056	   6      -0.50      -0.40  1.673238969107869E+00  2.372818362935343E-02 276250056	   6      -0.50      -0.40  1.673238969107869E+00  2.372818362935343E-02 276250056	   6      -0.50      -0.40  1.607966177463874E+00  2.126498497127523E-02 276250056
   7      -0.40      -0.30  1.562448602362321E+00  1.495335345484400E-02 272783099	   7      -0.40      -0.30  1.562448602362321E+00  1.495335345484400E-02 272783099	   7      -0.40      -0.30  1.503501772992258E+00  1.373617739655221E-02 272783099	   7      -0.40      -0.30  1.503501772992258E+00  1.373617739655221E-02 272783099	   7      -0.40      -0.30  1.624423902053790E+00  1.641030365475058E-02 272783099	   7      -0.40      -0.30  1.624423902053790E+00  1.641030365475058E-02 272783099	   7      -0.40      -0.30  1.562448602362321E+00  1.495335345484400E-02 272783099
   8      -0.30      -0.20  1.525367016148462E+00  1.700935885821882E-02 271514811	   8      -0.30      -0.20  1.525367016148462E+00  1.700935885821882E-02 271514811	   8      -0.30      -0.20  1.470022474832392E+00  1.556951497326095E-02 271514811	   8      -0.30      -0.20  1.470022474832392E+00  1.556951497326095E-02 271514811	   8      -0.30      -0.20  1.583011121177557E+00  1.874613023455786E-02 271514811	   8      -0.30      -0.20  1.583011121177557E+00  1.874613023455786E-02 271514811	   8      -0.30      -0.20  1.525367016148462E+00  1.700935885821882E-02 271514811
   9      -0.20      -0.10  1.519984983291943E+00  1.497635120170992E-02 272227928	   9      -0.20      -0.10  1.519984983291943E+00  1.497635120170992E-02 272227928	   9      -0.20      -0.10  1.466205426627717E+00  1.372506118050772E-02 272227928	   9      -0.20      -0.10  1.466205426627717E+00  1.372506118050772E-02 272227928	   9      -0.20      -0.10  1.575727322808998E+00  1.645876674922793E-02 272227928	   9      -0.20      -0.10  1.575727322808998E+00  1.645876674922793E-02 272227928	   9      -0.20      -0.10  1.519984983291943E+00  1.497635120170992E-02 272227928
  10      -0.10       0.00  1.543470750692347E+00  1.221554005693016E-02 274938635	  10      -0.10       0.00  1.543470750692347E+00  1.221554005693016E-02 274938635	  10      -0.10       0.00  1.488237365484982E+00  1.133616250776630E-02 274938635	  10      -0.10       0.00  1.488237365484982E+00  1.133616250776630E-02 274938635	  10      -0.10       0.00  1.600899180368028E+00  1.324617479785983E-02 274938635	  10      -0.10       0.00  1.600899180368028E+00  1.324617479785983E-02 274938635	  10      -0.10       0.00  1.543470750692347E+00  1.221554005693016E-02 274938635
  11       0.00       0.10  1.599180514249212E+00  1.047506144863994E-02 279717707	  11       0.00       0.10  1.599180514249212E+00  1.047506144863994E-02 279717707	  11       0.00       0.10  1.541649179555009E+00  9.684546302799133E-03 279717707	  11       0.00       0.10  1.541649179555009E+00  9.684546302799133E-03 279717707	  11       0.00       0.10  1.659092499137290E+00  1.140586599250455E-02 279717707	  11       0.00       0.10  1.659092499137290E+00  1.140586599250455E-02 279717707	  11       0.00       0.10  1.599180514249212E+00  1.047506144863994E-02 279717707
  12       0.10       0.20  1.612143852952792E+00  1.279059143171561E-02 286826587	  12       0.10       0.20  1.612143852952792E+00  1.279059143171561E-02 286826587	  12       0.10       0.20  1.555118735328373E+00  1.183146996906285E-02 286826587	  12       0.10       0.20  1.555118735328373E+00  1.183146996906285E-02 286826587	  12       0.10       0.20  1.671280900457330E+00  1.391422094474583E-02 286826587	  12       0.10       0.20  1.671280900457330E+00  1.391422094474583E-02 286826587	  12       0.10       0.20  1.612143852952792E+00  1.279059143171561E-02 286826587
  13       0.20       0.30  1.680228913516167E+00  1.091894045277991E-02 296753247	  13       0.20       0.30  1.680228913516167E+00  1.091894045277991E-02 296753247	  13       0.20       0.30  1.620982886886484E+00  1.008963957549094E-02 296753247	  13       0.20       0.30  1.620982886886484E+00  1.008963957549094E-02 296753247	  13       0.20       0.30  1.741579169780007E+00  1.190703756452088E-02 296753247	  13       0.20       0.30  1.741579169780007E+00  1.190703756452088E-02 296753247	  13       0.20       0.30  1.680228913516167E+00  1.091894045277991E-02 296753247
  14       0.30       0.40  1.746070991590406E+00  1.181719992086788E-02 310302229	  14       0.30       0.40  1.746070991590406E+00  1.181719992086788E-02 310302229	  14       0.30       0.40  1.685164019548039E+00  1.097058161664814E-02 310302229	  14       0.30       0.40  1.685164019548039E+00  1.097058161664814E-02 310302229	  14       0.30       0.40  1.809029370584652E+00  1.280930085604745E-02 310302229	  14       0.30       0.40  1.809029370584652E+00  1.280930085604745E-02 310302229	  14       0.30       0.40  1.746070991590406E+00  1.181719992086788E-02 310302229
  15       0.40       0.50  1.836008371525408E+00  1.513456997373379E-02 328565605	  15       0.40       0.50  1.836008371525408E+00  1.513456997373379E-02 328565605	  15       0.40       0.50  1.772586618713248E+00  1.401491039864880E-02 328565605	  15       0.40       0.50  1.772586618713248E+00  1.401491039864880E-02 328565605	  15       0.40       0.50  1.901371071553562E+00  1.645151462003306E-02 328565605	  15       0.40       0.50  1.901371071553562E+00  1.645151462003306E-02 328565605	  15       0.40       0.50  1.836008371525408E+00  1.513456997373379E-02 328565605
  16       0.50       0.60  1.969872330509475E+00  2.054590667878003E-02 353746702	  16       0.50       0.60  1.969872330509475E+00  2.054590667878003E-02 353746702	  16       0.50       0.60  1.902980909474140E+00  1.910629364842810E-02 353746702	  16       0.50       0.60  1.902980909474140E+00  1.910629364842810E-02 353746702	  16       0.50       0.60  2.038454829198056E+00  2.222193629062010E-02 353746702	  16       0.50       0.60  2.038454829198056E+00  2.222193629062010E-02 353746702	  16       0.50       0.60  1.969872330509475E+00  2.054590667878003E-02 353746702
  17       0.60       0.70  2.169003749277926E+00  1.478656015933442E-02 389646410	  17       0.60       0.70  2.169003749277926E+00  1.478656015933442E-02 389646410	  17       0.60       0.70  2.094248094022672E+00  1.380203116960461E-02 389646410	  17       0.60       0.70  2.094248094022672E+00  1.380203116960461E-02 389646410	  17       0.60       0.70  2.245886367226923E+00  1.592672855879341E-02 389646410	  17       0.60       0.70  2.245886367226923E+00  1.592672855879341E-02 389646410	  17       0.60       0.70  2.169003749277926E+00  1.478656015933442E-02 389646410
  18       0.70       0.80  2.437976878403945E+00  2.823563716909314E-02 444081591	  18       0.70       0.80  2.437976878403945E+00  2.823563716909314E-02 444081591	  18       0.70       0.80  2.354375503162935E+00  2.597535552411983E-02 444081591	  18       0.70       0.80  2.354375503162935E+00  2.597535552411983E-02 444081591	  18       0.70       0.80  2.523667078188485E+00  3.088629459293437E-02 444081591	  18       0.70       0.80  2.523667078188485E+00  3.088629459293437E-02 444081591	  18       0.70       0.80  2.437976878403945E+00  2.823563716909314E-02 444081591
  19       0.80       0.90  2.887268373981964E+00  2.523123567270505E-02 534999376	  19       0.80       0.90  2.887268373981964E+00  2.523123567270505E-02 534999376	  19       0.80       0.90  2.787214250814512E+00  2.339946654468333E-02 534999376	  19       0.80       0.90  2.787214250814512E+00  2.339946654468333E-02 534999376	  19       0.80       0.90  2.989794533003655E+00  2.735786853764275E-02 534999376	  19       0.80       0.90  2.989794533003655E+00  2.735786853764275E-02 534999376	  19       0.80       0.90  2.887268373981964E+00  2.523123567270505E-02 534999376
