# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  8.784982092076765E-03  6.675804032956546E-06 78636248	   3      20.00      30.00  8.784982092076765E-03  6.675804032956546E-06 78636248	   3      20.00      30.00  8.547233709610779E-03  6.263912404496094E-06 78636248	   3      20.00      30.00  8.547233709610779E-03  6.263912404496094E-06 78636248	   3      20.00      30.00  9.014223994343401E-03  7.155153730603529E-06 78636248	   3      20.00      30.00  9.014223994343401E-03  7.155153730603529E-06 78636248	   3      20.00      30.00  8.784982092076765E-03  6.675804032956546E-06 78636248
   4      30.00      40.00  1.260018331055862E-02  7.886625949143243E-06 112181372	   4      30.00      40.00  1.260018331055862E-02  7.886625949143243E-06 112181372	   4      30.00      40.00  1.224482983059990E-02  7.397658110702257E-06 112181372	   4      30.00      40.00  1.224482983059990E-02  7.397658110702257E-06 112181372	   4      30.00      40.00  1.294662401636181E-02  8.456607133797579E-06 112181372	   4      30.00      40.00  1.294662401636181E-02  8.456607133797579E-06 112181372	   4      30.00      40.00  1.260018331055862E-02  7.886625949143243E-06 112181372
   5      40.00      50.00  1.666562199466290E-02  9.127943636067070E-06 144667612	   5      40.00      50.00  1.666562199466290E-02  9.127943636067070E-06 144667612	   5      40.00      50.00  1.618526852147447E-02  8.564388940487357E-06 144667612	   5      40.00      50.00  1.618526852147447E-02  8.564388940487357E-06 144667612	   5      40.00      50.00  1.713640406380213E-02  9.784075316776312E-06 144667612	   5      40.00      50.00  1.713640406380213E-02  9.784075316776312E-06 144667612	   5      40.00      50.00  1.666562199466290E-02  9.127943636067070E-06 144667612
   6      50.00      60.00  2.064159980525455E-02  1.025227514717470E-05 173825131	   6      50.00      60.00  2.064159980525455E-02  1.025227514717470E-05 173825131	   6      50.00      60.00  2.003554568814679E-02  9.618445383139911E-06 173825131	   6      50.00      60.00  2.003554568814679E-02  9.618445383139911E-06 173825131	   6      50.00      60.00  2.123809373531364E-02  1.098942089344958E-05 173825131	   6      50.00      60.00  2.123809373531364E-02  1.098942089344958E-05 173825131	   6      50.00      60.00  2.064159980525455E-02  1.025227514717470E-05 173825131
   7      60.00      70.00  2.341060948806780E-02  1.075474375360086E-05 190410164	   7      60.00      70.00  2.341060948806780E-02  1.075474375360086E-05 190410164	   7      60.00      70.00  2.270747664194239E-02  1.008973814073819E-05 190410164	   7      60.00      70.00  2.270747664194239E-02  1.008973814073819E-05 190410164	   7      60.00      70.00  2.410624459639558E-02  1.152913678297655E-05 190410164	   7      60.00      70.00  2.410624459639558E-02  1.152913678297655E-05 190410164	   7      60.00      70.00  2.341060948806780E-02  1.075474375360086E-05 190410164
   8      70.00      80.00  2.483281577041062E-02  1.082604907537620E-05 193534219	   8      70.00      80.00  2.483281577041062E-02  1.082604907537620E-05 193534219	   8      70.00      80.00  2.406330231178829E-02  1.015654879662590E-05 193534219	   8      70.00      80.00  2.406330231178829E-02  1.015654879662590E-05 193534219	   8      70.00      80.00  2.559959711937286E-02  1.160590093249513E-05 193534219	   8      70.00      80.00  2.559959711937286E-02  1.160590093249513E-05 193534219	   8      70.00      80.00  2.483281577041062E-02  1.082604907537620E-05 193534219
   9      80.00      90.00  2.511846115483394E-02  1.074541375333154E-05 189617915	   9      80.00      90.00  2.511846115483394E-02  1.074541375333154E-05 189617915	   9      80.00      90.00  2.431247235230664E-02  1.008689033796600E-05 189617915	   9      80.00      90.00  2.431247235230664E-02  1.008689033796600E-05 189617915	   9      80.00      90.00  2.592776182545728E-02  1.150988061481115E-05 189617915	   9      80.00      90.00  2.592776182545728E-02  1.150988061481115E-05 189617915	   9      80.00      90.00  2.511846115483394E-02  1.074541375333154E-05 189617915
  10      90.00     100.00  2.454231618613091E-02  1.048918308966868E-05 182337809	  10      90.00     100.00  2.454231618613091E-02  1.048918308966868E-05 182337809	  10      90.00     100.00  2.372560422884620E-02  9.840254839693780E-06 182337809	  10      90.00     100.00  2.372560422884620E-02  9.840254839693780E-06 182337809	  10      90.00     100.00  2.536879242130302E-02  1.124426573887642E-05 182337809	  10      90.00     100.00  2.536879242130302E-02  1.124426573887642E-05 182337809	  10      90.00     100.00  2.454231618613091E-02  1.048918308966868E-05 182337809
  11     100.00     110.00  2.347866266879652E-02  1.021512310131008E-05 173526528	  11     100.00     110.00  2.347866266879652E-02  1.021512310131008E-05 173526528	  11     100.00     110.00  2.266615370136950E-02  9.579696321861652E-06 173526528	  11     100.00     110.00  2.266615370136950E-02  9.579696321861652E-06 173526528	  11     100.00     110.00  2.430760819190562E-02  1.095442231705739E-05 173526528	  11     100.00     110.00  2.430760819190562E-02  1.095442231705739E-05 173526528	  11     100.00     110.00  2.347866266879652E-02  1.021512310131008E-05 173526528
  12     110.00     120.00  2.211390396697423E-02  9.861292586729441E-06 164164661	  12     110.00     120.00  2.211390396697423E-02  9.861292586729441E-06 164164661	  12     110.00     120.00  2.131931450250457E-02  9.247043136210944E-06 164164661	  12     110.00     120.00  2.131931450250457E-02  9.247043136210944E-06 164164661	  12     110.00     120.00  2.293068197408151E-02  1.057515456388534E-05 164164661	  12     110.00     120.00  2.293068197408151E-02  1.057515456388534E-05 164164661	  12     110.00     120.00  2.211390396697423E-02  9.861292586729441E-06 164164661
  13     120.00     130.00  2.062444659525786E-02  9.487121265138585E-06 154828334	  13     120.00     130.00  2.062444659525786E-02  9.487121265138585E-06 154828334	  13     120.00     130.00  1.985625281590714E-02  8.889242085277716E-06 154828334	  13     120.00     130.00  1.985625281590714E-02  8.889242085277716E-06 154828334	  13     120.00     130.00  2.141965046465894E-02  1.018334681454007E-05 154828334	  13     120.00     130.00  2.141965046465894E-02  1.018334681454007E-05 154828334	  13     120.00     130.00  2.062444659525786E-02  9.487121265138585E-06 154828334
  14     130.00     140.00  1.909847295525485E-02  9.187601572782930E-06 145771178	  14     130.00     140.00  1.909847295525485E-02  9.187601572782930E-06 145771178	  14     130.00     140.00  1.836219508065948E-02  8.609212738320753E-06 145771178	  14     130.00     140.00  1.836219508065948E-02  8.609212738320753E-06 145771178	  14     130.00     140.00  1.986562856719459E-02  9.860320262694242E-06 145771178	  14     130.00     140.00  1.986562856719459E-02  9.860320262694242E-06 145771178	  14     130.00     140.00  1.909847295525485E-02  9.187601572782930E-06 145771178
  15     140.00     150.00  1.760579788036687E-02  8.895977303069598E-06 137128828	  15     140.00     150.00  1.760579788036687E-02  8.895977303069598E-06 137128828	  15     140.00     150.00  1.690350790241392E-02  8.328448863111363E-06 137128828	  15     140.00     150.00  1.690350790241392E-02  8.328448863111363E-06 137128828	  15     140.00     150.00  1.834219522404520E-02  9.556321396802611E-06 137128828	  15     140.00     150.00  1.834219522404520E-02  9.556321396802611E-06 137128828	  15     140.00     150.00  1.760579788036687E-02  8.895977303069598E-06 137128828
