# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  7.579022735984000E-03  5.602580801786734E-05 100805465	   3      20.00      30.00  7.579022735984000E-03  5.602580801786734E-05 100805465	   3      20.00      30.00  7.391399526057587E-03  5.300787473862658E-05 100805465	   3      20.00      30.00  7.391399526057587E-03  5.300787473862658E-05 100805465	   3      20.00      30.00  7.758082892951451E-03  5.943624126803237E-05 100805465	   3      20.00      30.00  7.758082892951451E-03  5.943624126803237E-05 100805465	   3      20.00      30.00  7.579022735984000E-03  5.602580801786734E-05 100805465
   4      30.00      40.00  1.065545531537381E-02  1.186925698463268E-04 143977608	   4      30.00      40.00  1.065545531537381E-02  1.186925698463268E-04 143977608	   4      30.00      40.00  1.039638800994640E-02  1.104078020571744E-04 143977608	   4      30.00      40.00  1.039638800994640E-02  1.104078020571744E-04 143977608	   4      30.00      40.00  1.090053554095126E-02  1.282494486040166E-04 143977608	   4      30.00      40.00  1.090053554095126E-02  1.282494486040166E-04 143977608	   4      30.00      40.00  1.065545531537381E-02  1.186925698463268E-04 143977608
   5      40.00      50.00  1.436265497646709E-02  9.470988058609190E-05 185898237	   5      40.00      50.00  1.436265497646709E-02  9.470988058609190E-05 185898237	   5      40.00      50.00  1.399343118881887E-02  8.820046931392159E-05 185898237	   5      40.00      50.00  1.399343118881887E-02  8.820046931392159E-05 185898237	   5      40.00      50.00  1.471804964517201E-02  1.022676188392375E-04 185898237	   5      40.00      50.00  1.471804964517201E-02  1.022676188392375E-04 185898237	   5      40.00      50.00  1.436265497646709E-02  9.470988058609190E-05 185898237
   6      50.00      60.00  1.744897323560107E-02  1.688357893988183E-04 223637689	   6      50.00      60.00  1.744897323560107E-02  1.688357893988183E-04 223637689	   6      50.00      60.00  1.700644713727701E-02  1.562238686176446E-04 223637689	   6      50.00      60.00  1.700644713727701E-02  1.562238686176446E-04 223637689	   6      50.00      60.00  1.787228248047602E-02  1.835583363955614E-04 223637689	   6      50.00      60.00  1.787228248047602E-02  1.835583363955614E-04 223637689	   6      50.00      60.00  1.744897323560107E-02  1.688357893988183E-04 223637689
   7      60.00      70.00  1.965466426806986E-02  2.590394630887681E-04 245906999	   7      60.00      70.00  1.965466426806986E-02  2.590394630887681E-04 245906999	   7      60.00      70.00  1.915967670929934E-02  2.373999579907656E-04 245906999	   7      60.00      70.00  1.915967670929934E-02  2.373999579907656E-04 245906999	   7      60.00      70.00  2.012553033187676E-02  2.845559649061728E-04 245906999	   7      60.00      70.00  2.012553033187676E-02  2.845559649061728E-04 245906999	   7      60.00      70.00  1.965466426806986E-02  2.590394630887681E-04 245906999
   8      70.00      80.00  2.118686015628361E-02  1.515020503590844E-04 251376849	   8      70.00      80.00  2.118686015628361E-02  1.515020503590844E-04 251376849	   8      70.00      80.00  2.060519582516334E-02  1.415269574577610E-04 251376849	   8      70.00      80.00  2.060519582516334E-02  1.415269574577610E-04 251376849	   8      70.00      80.00  2.175527387270183E-02  1.630372554315148E-04 251376849	   8      70.00      80.00  2.175527387270183E-02  1.630372554315148E-04 251376849	   8      70.00      80.00  2.118686015628361E-02  1.515020503590844E-04 251376849
   9      80.00      90.00  2.105319485243181E-02  1.811887917692132E-04 247926239	   9      80.00      90.00  2.105319485243181E-02  1.811887917692132E-04 247926239	   9      80.00      90.00  2.046131199129194E-02  1.689770706711371E-04 247926239	   9      80.00      90.00  2.046131199129194E-02  1.689770706711371E-04 247926239	   9      80.00      90.00  2.163459725989828E-02  1.952556673284285E-04 247926239	   9      80.00      90.00  2.163459725989828E-02  1.952556673284285E-04 247926239	   9      80.00      90.00  2.105319485243181E-02  1.811887917692132E-04 247926239
  10      90.00     100.00  2.060312413259748E-02  1.440594234820069E-04 239971270	  10      90.00     100.00  2.060312413259748E-02  1.440594234820069E-04 239971270	  10      90.00     100.00  1.999553813038174E-02  1.341854600375272E-04 239971270	  10      90.00     100.00  1.999553813038174E-02  1.341854600375272E-04 239971270	  10      90.00     100.00  2.120630900352484E-02  1.556690891655063E-04 239971270	  10      90.00     100.00  2.120630900352484E-02  1.556690891655063E-04 239971270	  10      90.00     100.00  2.060312413259748E-02  1.440594234820069E-04 239971270
  11     100.00     110.00  1.949622683188409E-02  2.174815391806487E-04 229765571	  11     100.00     110.00  1.949622683188409E-02  2.174815391806487E-04 229765571	  11     100.00     110.00  1.890587497141128E-02  2.038968748242938E-04 229765571	  11     100.00     110.00  1.890587497141128E-02  2.038968748242938E-04 229765571	  11     100.00     110.00  2.008478628443567E-02  2.330140224974233E-04 229765571	  11     100.00     110.00  2.008478628443567E-02  2.330140224974233E-04 229765571	  11     100.00     110.00  1.949622683188409E-02  2.174815391806487E-04 229765571
  12     110.00     120.00  1.820200410091380E-02  1.912782072744269E-04 218606051	  12     110.00     120.00  1.820200410091380E-02  1.912782072744269E-04 218606051	  12     110.00     120.00  1.762671729840094E-02  1.782660527262335E-04 218606051	  12     110.00     120.00  1.762671729840094E-02  1.782660527262335E-04 218606051	  12     110.00     120.00  1.878198251910275E-02  2.062290032239312E-04 218606051	  12     110.00     120.00  1.878198251910275E-02  2.062290032239312E-04 218606051	  12     110.00     120.00  1.820200410091380E-02  1.912782072744269E-04 218606051
  13     120.00     130.00  1.707484911927820E-02  1.438645365725987E-04 207229029	  13     120.00     130.00  1.707484911927820E-02  1.438645365725987E-04 207229029	  13     120.00     130.00  1.651613696216301E-02  1.337993956993419E-04 207229029	  13     120.00     130.00  1.651613696216301E-02  1.337993956993419E-04 207229029	  13     120.00     130.00  1.764161025978662E-02  1.555704858536831E-04 207229029	  13     120.00     130.00  1.764161025978662E-02  1.555704858536831E-04 207229029	  13     120.00     130.00  1.707484911927820E-02  1.438645365725987E-04 207229029
  14     130.00     140.00  1.585805161640476E-02  1.340407359052512E-04 195962089	  14     130.00     140.00  1.585805161640476E-02  1.340407359052512E-04 195962089	  14     130.00     140.00  1.531475325948683E-02  1.224680900998326E-04 195962089	  14     130.00     140.00  1.531475325948683E-02  1.224680900998326E-04 195962089	  14     130.00     140.00  1.641449904440236E-02  1.479492899940542E-04 195962089	  14     130.00     140.00  1.641449904440236E-02  1.479492899940542E-04 195962089	  14     130.00     140.00  1.585805161640476E-02  1.340407359052512E-04 195962089
  15     140.00     150.00  1.474220662221652E-02  9.170325307810300E-05 185163407	  15     140.00     150.00  1.474220662221652E-02  9.170325307810300E-05 185163407	  15     140.00     150.00  1.420562265349343E-02  8.511786404089618E-05 185163407	  15     140.00     150.00  1.420562265349343E-02  8.511786404089618E-05 185163407	  15     140.00     150.00  1.529892010343547E-02  9.950530547891728E-05 185163407	  15     140.00     150.00  1.529892010343547E-02  9.950530547891728E-05 185163407	  15     140.00     150.00  1.474220662221652E-02  9.170325307810300E-05 185163407
