# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  1.069258270131723E-02  5.166129643711556E-06 190817620	   2      20.00      40.00  1.069258270131723E-02  5.166129643711556E-06 190817620	   2      20.00      40.00  1.039603177010601E-02  4.846467721580193E-06 190817620	   2      20.00      40.00  1.039603177010601E-02  4.846467721580193E-06 190817620	   2      20.00      40.00  1.098042400535309E-02  5.538501814895457E-06 190817620	   2      20.00      40.00  1.098042400535309E-02  5.538501814895457E-06 190817620	   2      20.00      40.00  1.069258270131723E-02  5.166129643711556E-06 190817620
   3      40.00      60.00  1.865361089996085E-02  6.862904568763853E-06 318492743	   3      40.00      60.00  1.865361089996085E-02  6.862904568763853E-06 318492743	   3      40.00      60.00  1.811040710481466E-02  6.438844797361829E-06 318492743	   3      40.00      60.00  1.811040710481466E-02  6.438844797361829E-06 318492743	   3      40.00      60.00  1.918724889955449E-02  7.356328449808478E-06 318492743	   3      40.00      60.00  1.918724889955449E-02  7.356328449808478E-06 318492743	   3      40.00      60.00  1.865361089996085E-02  6.862904568763853E-06 318492743
   4      60.00      80.00  2.412171262924041E-02  7.629145270784816E-06 383944383	   4      60.00      80.00  2.412171262924041E-02  7.629145270784816E-06 383944383	   4      60.00      80.00  2.338538947686365E-02  7.157338098404974E-06 383944383	   4      60.00      80.00  2.338538947686365E-02  7.157338098404974E-06 383944383	   4      60.00      80.00  2.485292085787896E-02  8.178645103922841E-06 383944383	   4      60.00      80.00  2.485292085787896E-02  8.178645103922841E-06 383944383	   4      60.00      80.00  2.412171262924041E-02  7.629145270784816E-06 383944383
   5      80.00     100.00  2.483038867048254E-02  7.507177462467431E-06 371955724	   5      80.00     100.00  2.483038867048254E-02  7.507177462467431E-06 371955724	   5      80.00     100.00  2.401903829057847E-02  7.044936659572899E-06 371955724	   5      80.00     100.00  2.401903829057847E-02  7.044936659572899E-06 371955724	   5      80.00     100.00  2.564827712337924E-02  8.044402647843288E-06 371955724	   5      80.00     100.00  2.564827712337924E-02  8.044402647843288E-06 371955724	   5      80.00     100.00  2.483038867048254E-02  7.507177462467431E-06 371955724
   6     100.00     120.00  2.279628331788506E-02  7.098348253879617E-06 337691189	   6     100.00     120.00  2.279628331788506E-02  7.098348253879617E-06 337691189	   6     100.00     120.00  2.199273410193733E-02  6.656479437846484E-06 337691189	   6     100.00     120.00  2.199273410193733E-02  6.656479437846484E-06 337691189	   6     100.00     120.00  2.361914508299198E-02  7.612176208679109E-06 337691189	   6     100.00     120.00  2.361914508299198E-02  7.612176208679109E-06 337691189	   6     100.00     120.00  2.279628331788506E-02  7.098348253879617E-06 337691189
   7     120.00     140.00  1.986145977525354E-02  6.602668683991266E-06 300599512	   7     120.00     140.00  1.986145977525354E-02  6.602668683991266E-06 300599512	   7     120.00     140.00  1.910922394828235E-02  6.186759092235003E-06 300599512	   7     120.00     140.00  1.910922394828235E-02  6.186759092235003E-06 300599512	   7     120.00     140.00  2.064263951592460E-02  7.086713838154362E-06 300599512	   7     120.00     140.00  2.064263951592460E-02  7.086713838154362E-06 300599512	   7     120.00     140.00  1.986145977525354E-02  6.602668683991266E-06 300599512
   8     140.00     160.00  1.689153383046147E-02  6.136386087815329E-06 266122772	   8     140.00     160.00  1.689153383046147E-02  6.136386087815329E-06 266122772	   8     140.00     160.00  1.620781018288767E-02  5.743639795580068E-06 266122772	   8     140.00     160.00  1.620781018288767E-02  5.743639795580068E-06 266122772	   8     140.00     160.00  1.761034309694552E-02  6.593867743468303E-06 266122772	   8     140.00     160.00  1.761034309694552E-02  6.593867743468303E-06 266122772	   8     140.00     160.00  1.689153383046147E-02  6.136386087815329E-06 266122772
   9     160.00     180.00  1.420396567552753E-02  5.581425971832337E-06 235660880	   9     160.00     180.00  1.420396567552753E-02  5.581425971832337E-06 235660880	   9     160.00     180.00  1.359446235659658E-02  5.224288007364007E-06 235660880	   9     160.00     180.00  1.359446235659658E-02  5.224288007364007E-06 235660880	   9     160.00     180.00  1.485130257294322E-02  5.996913365173946E-06 235660880	   9     160.00     180.00  1.485130257294322E-02  5.996913365173946E-06 235660880	   9     160.00     180.00  1.420396567552753E-02  5.581425971832337E-06 235660880
  10     180.00     200.00  1.191813435190229E-02  5.165241906260775E-06 209265468	  10     180.00     200.00  1.191813435190229E-02  5.165241906260775E-06 209265468	  10     180.00     200.00  1.137969277395730E-02  4.829655546479276E-06 209265468	  10     180.00     200.00  1.137969277395730E-02  4.829655546479276E-06 209265468	  10     180.00     200.00  1.249493755866523E-02  5.555931593990871E-06 209265468	  10     180.00     200.00  1.249493755866523E-02  5.555931593990871E-06 209265468	  10     180.00     200.00  1.191813435190229E-02  5.165241906260775E-06 209265468
  11     200.00     220.00  1.002292972450245E-02  4.841450585148225E-06 186530898	  11     200.00     220.00  1.002292972450245E-02  4.841450585148225E-06 186530898	  11     200.00     220.00  9.547794813403806E-03  4.515671873263004E-06 186530898	  11     200.00     220.00  9.547794813403806E-03  4.515671873263004E-06 186530898	  11     200.00     220.00  1.053592812812520E-02  5.223077989880042E-06 186530898	  11     200.00     220.00  1.053592812812520E-02  5.223077989880042E-06 186530898	  11     200.00     220.00  1.002292972450245E-02  4.841450585148225E-06 186530898
  12     220.00     240.00  8.436504409438217E-03  4.429589121040922E-06 166973476	  12     220.00     240.00  8.436504409438217E-03  4.429589121040922E-06 166973476	  12     220.00     240.00  8.019574581726360E-03  4.133999875182604E-06 166973476	  12     220.00     240.00  8.019574581726360E-03  4.133999875182604E-06 166973476	  12     220.00     240.00  8.889626655535436E-03  4.774585487970274E-06 166973476	  12     220.00     240.00  8.889626655535436E-03  4.774585487970274E-06 166973476	  12     220.00     240.00  8.436504409438217E-03  4.429589121040922E-06 166973476
