# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  9.117239025679970E-03  6.505261067519841E-05 238704447	   2      20.00      40.00  9.117239025679970E-03  6.505261067519841E-05 238704447	   2      20.00      40.00  8.893893768002080E-03  6.071292606636059E-05 238704447	   2      20.00      40.00  8.893893768002080E-03  6.071292606636059E-05 238704447	   2      20.00      40.00  9.329309216951819E-03  7.004535830716039E-05 238704447	   2      20.00      40.00  9.329309216951819E-03  7.004535830716039E-05 238704447	   2      20.00      40.00  9.117239025679970E-03  6.505261067519841E-05 238704447
   3      40.00      60.00  1.590581410603300E-02  9.637080085514846E-05 398943354	   3      40.00      60.00  1.590581410603300E-02  9.637080085514846E-05 398943354	   3      40.00      60.00  1.549993916304826E-02  8.931913254361601E-05 398943354	   3      40.00      60.00  1.549993916304826E-02  8.931913254361601E-05 398943354	   3      40.00      60.00  1.629516606282514E-02  1.045856056964768E-04 398943354	   3      40.00      60.00  1.629516606282514E-02  1.045856056964768E-04 398943354	   3      40.00      60.00  1.590581410603300E-02  9.637080085514846E-05 398943354
   4      60.00      80.00  2.042076221217638E-02  1.498058180217913E-04 483175682	   4      60.00      80.00  2.042076221217638E-02  1.498058180217913E-04 483175682	   4      60.00      80.00  1.988243626723029E-02  1.379589260761720E-04 483175682	   4      60.00      80.00  1.988243626723029E-02  1.379589260761720E-04 483175682	   4      60.00      80.00  2.094040210228847E-02  1.637309135615206E-04 483175682	   4      60.00      80.00  2.094040210228847E-02  1.637309135615206E-04 483175682	   4      60.00      80.00  2.042076221217638E-02  1.498058180217913E-04 483175682
   5      80.00     100.00  2.082815949251298E-02  1.151272996653723E-04 472509967	   5      80.00     100.00  2.082815949251298E-02  1.151272996653723E-04 472509967	   5      80.00     100.00  2.022842506083969E-02  1.072983319166474E-04 472509967	   5      80.00     100.00  2.022842506083969E-02  1.072983319166474E-04 472509967	   5      80.00     100.00  2.142045313171431E-02  1.242195871967638E-04 472509967	   5      80.00     100.00  2.142045313171431E-02  1.242195871967638E-04 472509967	   5      80.00     100.00  2.082815949251298E-02  1.151272996653723E-04 472509967
   6     100.00     120.00  1.884911546640263E-02  1.442821592527449E-04 433329091	   6     100.00     120.00  1.884911546640263E-02  1.442821592527449E-04 433329091	   6     100.00     120.00  1.826629613490713E-02  1.349241578084639E-04 433329091	   6     100.00     120.00  1.826629613490713E-02  1.349241578084639E-04 433329091	   6     100.00     120.00  1.943338440176475E-02  1.550047521806148E-04 433329091	   6     100.00     120.00  1.943338440176475E-02  1.550047521806148E-04 433329091	   6     100.00     120.00  1.884911546640263E-02  1.442821592527449E-04 433329091
   7     120.00     140.00  1.646645036783995E-02  9.734653375391193E-05 389241909	   7     120.00     140.00  1.646645036783995E-02  9.734653375391193E-05 389241909	   7     120.00     140.00  1.591544511082633E-02  8.975494276297470E-05 389241909	   7     120.00     140.00  1.591544511082633E-02  8.975494276297470E-05 389241909	   7     120.00     140.00  1.702805465209626E-02  1.063415831865270E-04 389241909	   7     120.00     140.00  1.702805465209626E-02  1.063415831865270E-04 389241909	   7     120.00     140.00  1.646645036783995E-02  9.734653375391193E-05 389241909
   8     140.00     160.00  1.398745154358014E-02  7.189485754212357E-05 347332975	   8     140.00     160.00  1.398745154358014E-02  7.189485754212357E-05 347332975	   8     140.00     160.00  1.347527006897984E-02  6.662930354595938E-05 347332975	   8     140.00     160.00  1.347527006897984E-02  6.662930354595938E-05 347332975	   8     140.00     160.00  1.451947301752111E-02  7.807753017040477E-05 347332975	   8     140.00     160.00  1.451947301752111E-02  7.807753017040477E-05 347332975	   8     140.00     160.00  1.398745154358014E-02  7.189485754212357E-05 347332975
   9     160.00     180.00  1.179930668989727E-02  6.373164560944552E-05 309730057	   9     160.00     180.00  1.179930668989727E-02  6.373164560944552E-05 309730057	   9     160.00     180.00  1.133786233614596E-02  5.867001547825525E-05 309730057	   9     160.00     180.00  1.133786233614596E-02  5.867001547825525E-05 309730057	   9     160.00     180.00  1.228437571884666E-02  6.975396138756901E-05 309730057	   9     160.00     180.00  1.228437571884666E-02  6.975396138756901E-05 309730057	   9     160.00     180.00  1.179930668989727E-02  6.373164560944552E-05 309730057
  10     180.00     200.00  9.673492120743084E-03  6.184670493172340E-05 276650153	  10     180.00     200.00  9.673492120743084E-03  6.184670493172340E-05 276650153	  10     180.00     200.00  9.273257184581329E-03  5.746670160332566E-05 276650153	  10     180.00     200.00  9.273257184581329E-03  5.746670160332566E-05 276650153	  10     180.00     200.00  1.009860065480371E-02  6.696288835434018E-05 276650153	  10     180.00     200.00  1.009860065480371E-02  6.696288835434018E-05 276650153	  10     180.00     200.00  9.673492120743084E-03  6.184670493172340E-05 276650153
