# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  1.565965898019714E-02  2.743352386217879E-06 1265210470	   1       0.00     100.00  1.565965898019714E-02  2.743352386217879E-06 1265210470	   1       0.00     100.00  1.518217332847289E-02  2.573874595170048E-06 1265210470	   1       0.00     100.00  1.518217332847289E-02  2.573874595170048E-06 1265210470	   1       0.00     100.00  1.613377417722994E-02  2.940581296519023E-06 1265210470	   1       0.00     100.00  1.613377417722994E-02  2.940581296519023E-06 1265210470	   1       0.00     100.00  1.565965898019714E-02  2.743352386217879E-06 1265210470
   2     100.00     200.00  1.713427539020603E-02  2.750981703007907E-06 1349339821	   2     100.00     200.00  1.713427539020603E-02  2.750981703007907E-06 1349339821	   2     100.00     200.00  1.645678467273290E-02  2.576408756575586E-06 1349339821	   2     100.00     200.00  1.645678467273290E-02  2.576408756575586E-06 1349339821	   2     100.00     200.00  1.784367356549052E-02  2.954154352209797E-06 1349339821	   2     100.00     200.00  1.784367356549052E-02  2.954154352209797E-06 1349339821	   2     100.00     200.00  1.713427539020603E-02  2.750981703007907E-06 1349339821
   3     200.00     300.00  7.375128273330576E-03  1.878366933738808E-06 761988216	   3     200.00     300.00  7.375128273330576E-03  1.878366933738808E-06 761988216	   3     200.00     300.00  7.001310471649320E-03  1.750608337008082E-06 761988216	   3     200.00     300.00  7.001310471649320E-03  1.750608337008082E-06 761988216	   3     200.00     300.00  7.783061408459070E-03  2.027805679739924E-06 761988216	   3     200.00     300.00  7.783061408459070E-03  2.027805679739924E-06 761988216	   3     200.00     300.00  7.375128273330576E-03  1.878366933738808E-06 761988216
   4     300.00     400.00  3.398638466021495E-03  1.335532876309627E-06 472399743	   4     300.00     400.00  3.398638466021495E-03  1.335532876309627E-06 472399743	   4     300.00     400.00  3.196699446829948E-03  1.238604332925739E-06 472399743	   4     300.00     400.00  3.196699446829948E-03  1.238604332925739E-06 472399743	   4     300.00     400.00  3.624274233581577E-03  1.449404959613145E-06 472399743	   4     300.00     400.00  3.624274233581577E-03  1.449404959613145E-06 472399743	   4     300.00     400.00  3.398638466021495E-03  1.335532876309627E-06 472399743
   5     400.00     500.00  1.731979193473578E-03  9.831181993420194E-07 316912795	   5     400.00     500.00  1.731979193473578E-03  9.831181993420194E-07 316912795	   5     400.00     500.00  1.616745736397533E-03  9.068477773358953E-07 316912795	   5     400.00     500.00  1.616745736397533E-03  9.068477773358953E-07 316912795	   5     400.00     500.00  1.862833665356255E-03  1.073320593128886E-06 316912795	   5     400.00     500.00  1.862833665356255E-03  1.073320593128886E-06 316912795	   5     400.00     500.00  1.731979193473578E-03  9.831181993420194E-07 316912795
   6     500.00     600.00  9.555882774245775E-04  7.408869183647016E-07 224910817	   6     500.00     600.00  9.555882774245775E-04  7.408869183647016E-07 224910817	   6     500.00     600.00  8.861892494909802E-04  6.798292448116427E-07 224910817	   6     500.00     600.00  8.861892494909802E-04  6.798292448116427E-07 224910817	   6     500.00     600.00  1.035378118470078E-03  8.135714567364682E-07 224910817	   6     500.00     600.00  1.035378118470078E-03  8.135714567364682E-07 224910817	   6     500.00     600.00  9.555882774245775E-04  7.408869183647016E-07 224910817
   7     600.00     700.00  5.585347589110726E-04  5.543708399898827E-07 166203797	   7     600.00     700.00  5.585347589110726E-04  5.543708399898827E-07 166203797	   7     600.00     700.00  5.150226936575801E-04  5.067839334119351E-07 166203797	   7     600.00     700.00  5.150226936575801E-04  5.067839334119351E-07 166203797	   7     600.00     700.00  6.090612777853630E-04  6.112102082050540E-07 166203797	   7     600.00     700.00  6.090612777853630E-04  6.112102082050540E-07 166203797	   7     600.00     700.00  5.585347589110726E-04  5.543708399898827E-07 166203797
   8     700.00     800.00  3.426478951244002E-04  4.380193742657524E-07 126633100	   8     700.00     800.00  3.426478951244002E-04  4.380193742657524E-07 126633100	   8     700.00     800.00  3.143365127493410E-04  3.990206040848806E-07 126633100	   8     700.00     800.00  3.143365127493410E-04  3.990206040848806E-07 126633100	   8     700.00     800.00  3.758006609248406E-04  4.848199051167135E-07 126633100	   8     700.00     800.00  3.758006609248406E-04  4.848199051167135E-07 126633100	   8     700.00     800.00  3.426478951244002E-04  4.380193742657524E-07 126633100
   9     800.00     900.00  2.171402759458967E-04  3.380236881695651E-07 98808320	   9     800.00     900.00  2.171402759458967E-04  3.380236881695651E-07 98808320	   9     800.00     900.00  1.982846935355638E-04  3.066924759156439E-07 98808320	   9     800.00     900.00  1.982846935355638E-04  3.066924759156439E-07 98808320	   9     800.00     900.00  2.393774865008003E-04  3.757594481887530E-07 98808320	   9     800.00     900.00  2.393774865008003E-04  3.757594481887530E-07 98808320	   9     800.00     900.00  2.171402759458967E-04  3.380236881695651E-07 98808320
  10     900.00    1000.00  1.423510436049897E-04  2.705070375457166E-07 78554502	  10     900.00    1000.00  1.423510436049897E-04  2.705070375457166E-07 78554502	  10     900.00    1000.00  1.294172974864815E-04  2.445033345882046E-07 78554502	  10     900.00    1000.00  1.294172974864815E-04  2.445033345882046E-07 78554502	  10     900.00    1000.00  1.577062260297461E-04  3.019785300232644E-07 78554502	  10     900.00    1000.00  1.577062260297461E-04  3.019785300232644E-07 78554502	  10     900.00    1000.00  1.423510436049897E-04  2.705070375457166E-07 78554502
