# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  1.325439496727945E-02  4.422146372998757E-05 1535971253	   1       0.00     100.00  1.325439496727945E-02  4.422146372998757E-05 1535971253	   1       0.00     100.00  1.290093885182559E-02  4.095006886336838E-05 1535971253	   1       0.00     100.00  1.290093885182559E-02  4.095006886336838E-05 1535971253	   1       0.00     100.00  1.359706610275960E-02  4.804423855594816E-05 1535971253	   1       0.00     100.00  1.359706610275960E-02  4.804423855594816E-05 1535971253	   1       0.00     100.00  1.325439496727945E-02  4.422146372998757E-05 1535971253
   2     100.00     200.00  1.415516323769193E-02  4.145346282511128E-05 1645448846	   2     100.00     200.00  1.415516323769193E-02  4.145346282511128E-05 1645448846	   2     100.00     200.00  1.365362616709062E-02  3.852590673426763E-05 1645448846	   2     100.00     200.00  1.365362616709062E-02  3.852590673426763E-05 1645448846	   2     100.00     200.00  1.467277768900910E-02  4.486695978568577E-05 1645448846	   2     100.00     200.00  1.467277768900910E-02  4.486695978568577E-05 1645448846	   2     100.00     200.00  1.415516323769193E-02  4.145346282511128E-05 1645448846
   3     200.00     300.00  5.845314867776268E-03  2.665564628333655E-05 946418274	   3     200.00     300.00  5.845314867776268E-03  2.665564628333655E-05 946418274	   3     200.00     300.00  5.575072656507478E-03  2.447143012298716E-05 946418274	   3     200.00     300.00  5.575072656507478E-03  2.447143012298716E-05 946418274	   3     200.00     300.00  6.137380281312767E-03  2.925082652351922E-05 946418274	   3     200.00     300.00  6.137380281312767E-03  2.925082652351922E-05 946418274	   3     200.00     300.00  5.845314867776268E-03  2.665564628333655E-05 946418274
   4     300.00     400.00  2.571453819378209E-03  2.712622757332418E-05 594836617	   4     300.00     400.00  2.571453819378209E-03  2.712622757332418E-05 594836617	   4     300.00     400.00  2.430852120882721E-03  2.451705776925686E-05 594836617	   4     300.00     400.00  2.430852120882721E-03  2.451705776925686E-05 594836617	   4     300.00     400.00  2.727324900945071E-03  3.026996334529857E-05 594836617	   4     300.00     400.00  2.727324900945071E-03  3.026996334529857E-05 594836617	   4     300.00     400.00  2.571453819378209E-03  2.712622757332418E-05 594836617
   5     400.00     500.00  1.258041553312607E-03  1.398182967729994E-05 403222864	   5     400.00     500.00  1.258041553312607E-03  1.398182967729994E-05 403222864	   5     400.00     500.00  1.180498508864359E-03  1.269988085647926E-05 403222864	   5     400.00     500.00  1.180498508864359E-03  1.269988085647926E-05 403222864	   5     400.00     500.00  1.345494744228537E-03  1.552308570702022E-05 403222864	   5     400.00     500.00  1.345494744228537E-03  1.552308570702022E-05 403222864	   5     400.00     500.00  1.258041553312607E-03  1.398182967729994E-05 403222864
   6     500.00     600.00  6.768083311334220E-04  1.175285728958313E-05 288455781	   6     500.00     600.00  6.768083311334220E-04  1.175285728958313E-05 288455781	   6     500.00     600.00  6.313167331187393E-04  1.058036101532166E-05 288455781	   6     500.00     600.00  6.313167331187393E-04  1.058036101532166E-05 288455781	   6     500.00     600.00  7.287455033033837E-04  1.317976656534115E-05 288455781	   6     500.00     600.00  7.287455033033837E-04  1.317976656534115E-05 288455781	   6     500.00     600.00  6.768083311334220E-04  1.175285728958313E-05 288455781
   7     600.00     700.00  3.946875291919912E-04  6.166462586194919E-06 214567505	   7     600.00     700.00  3.946875291919912E-04  6.166462586194919E-06 214567505	   7     600.00     700.00  3.655532536954434E-04  5.574825612254435E-06 214567505	   7     600.00     700.00  3.655532536954434E-04  5.574825612254435E-06 214567505	   7     600.00     700.00  4.284168027343084E-04  6.885000744697521E-06 214567505	   7     600.00     700.00  4.284168027343084E-04  6.885000744697521E-06 214567505	   7     600.00     700.00  3.946875291919912E-04  6.166462586194919E-06 214567505
   8     700.00     800.00  2.306750218990166E-04  4.989128160521804E-06 164423501	   8     700.00     800.00  2.306750218990166E-04  4.989128160521804E-06 164423501	   8     700.00     800.00  2.127320598629846E-04  4.500581141725856E-06 164423501	   8     700.00     800.00  2.127320598629846E-04  4.500581141725856E-06 164423501	   8     700.00     800.00  2.515855915216531E-04  5.582749398359899E-06 164423501	   8     700.00     800.00  2.515855915216531E-04  5.582749398359899E-06 164423501	   8     700.00     800.00  2.306750218990166E-04  4.989128160521804E-06 164423501
   9     800.00     900.00  1.365839016005419E-04  6.899920346886290E-06 128894979	   9     800.00     900.00  1.365839016005419E-04  6.899920346886290E-06 128894979	   9     800.00     900.00  1.256512642144704E-04  6.107932185699989E-06 128894979	   9     800.00     900.00  1.256512642144704E-04  6.107932185699989E-06 128894979	   9     800.00     900.00  1.493891764079338E-04  7.873746807904551E-06 128894979	   9     800.00     900.00  1.493891764079338E-04  7.873746807904551E-06 128894979	   9     800.00     900.00  1.365839016005419E-04  6.899920346886290E-06 128894979
  10     900.00    1000.00  9.358525579545817E-05  2.956979309423088E-06 102915151	  10     900.00    1000.00  9.358525579545817E-05  2.956979309423088E-06 102915151	  10     900.00    1000.00  8.561541277119431E-05  2.646192786534827E-06 102915151	  10     900.00    1000.00  8.561541277119431E-05  2.646192786534827E-06 102915151	  10     900.00    1000.00  1.029933520102832E-04  3.339702940595607E-06 102915151	  10     900.00    1000.00  1.029933520102832E-04  3.339702940595607E-06 102915151	  10     900.00    1000.00  9.358525579545817E-05  2.956979309423088E-06 102915151
  11    1000.00    1100.00  5.911957638574745E-05  2.509769384953746E-06 83438769	  11    1000.00    1100.00  5.911957638574745E-05  2.509769384953746E-06 83438769	  11    1000.00    1100.00  5.386746118359492E-05  2.248997001854546E-06 83438769	  11    1000.00    1100.00  5.386746118359492E-05  2.248997001854546E-06 83438769	  11    1000.00    1100.00  6.536261579572626E-05  2.828683770427046E-06 83438769	  11    1000.00    1100.00  6.536261579572626E-05  2.828683770427046E-06 83438769	  11    1000.00    1100.00  5.911957638574745E-05  2.509769384953746E-06 83438769
  12    1100.00    1200.00  3.986797263141599E-05  1.654173419059675E-06 68496203	  12    1100.00    1200.00  3.986797263141599E-05  1.654173419059675E-06 68496203	  12    1100.00    1200.00  3.606683671485702E-05  1.494713123161169E-06 68496203	  12    1100.00    1200.00  3.606683671485702E-05  1.494713123161169E-06 68496203	  12    1100.00    1200.00  4.443475098415606E-05  1.848079955625982E-06 68496203	  12    1100.00    1200.00  4.443475098415606E-05  1.848079955625982E-06 68496203	  12    1100.00    1200.00  3.986797263141599E-05  1.654173419059675E-06 68496203
  13    1200.00    1300.00  2.865926526168462E-05  1.421416295013570E-06 56827431	  13    1200.00    1300.00  2.865926526168462E-05  1.421416295013570E-06 56827431	  13    1200.00    1300.00  2.585832731780607E-05  1.269857287907570E-06 56827431	  13    1200.00    1300.00  2.585832731780607E-05  1.269857287907570E-06 56827431	  13    1200.00    1300.00  3.203275533742963E-05  1.608687888070730E-06 56827431	  13    1200.00    1300.00  3.203275533742963E-05  1.608687888070730E-06 56827431	  13    1200.00    1300.00  2.865926526168462E-05  1.421416295013570E-06 56827431
  14    1300.00    1400.00  1.823044808516511E-05  1.905803972037017E-06 47580316	  14    1300.00    1400.00  1.823044808516511E-05  1.905803972037017E-06 47580316	  14    1300.00    1400.00  1.640519190549378E-05  1.707993683240623E-06 47580316	  14    1300.00    1400.00  1.640519190549378E-05  1.707993683240623E-06 47580316	  14    1300.00    1400.00  2.044489594155460E-05  2.145128659514038E-06 47580316	  14    1300.00    1400.00  2.044489594155460E-05  2.145128659514038E-06 47580316	  14    1300.00    1400.00  1.823044808516511E-05  1.905803972037017E-06 47580316
  15    1400.00    1500.00  1.383979169596480E-05  1.181909660163781E-06 40170470	  15    1400.00    1500.00  1.383979169596480E-05  1.181909660163781E-06 40170470	  15    1400.00    1500.00  1.237167156420883E-05  1.063434464455050E-06 40170470	  15    1400.00    1500.00  1.237167156420883E-05  1.063434464455050E-06 40170470	  15    1400.00    1500.00  1.563110194414502E-05  1.327193500764150E-06 40170470	  15    1400.00    1500.00  1.563110194414502E-05  1.327193500764150E-06 40170470	  15    1400.00    1500.00  1.383979169596480E-05  1.181909660163781E-06 40170470
  16    1500.00    1600.00  8.288999302737731E-06  2.035709099684634E-06 34153685	  16    1500.00    1600.00  8.288999302737731E-06  2.035709099684634E-06 34153685	  16    1500.00    1600.00  7.509081743052175E-06  1.798494803592639E-06 34153685	  16    1500.00    1600.00  7.509081743052175E-06  1.798494803592639E-06 34153685	  16    1500.00    1600.00  9.226834423179598E-06  2.330381265842055E-06 34153685	  16    1500.00    1600.00  9.226834423179598E-06  2.330381265842055E-06 34153685	  16    1500.00    1600.00  8.288999302737731E-06  2.035709099684634E-06 34153685
  17    1600.00    1700.00  7.552415838188570E-06  5.179596843651646E-07 29208587	  17    1600.00    1700.00  7.552415838188570E-06  5.179596843651646E-07 29208587	  17    1600.00    1700.00  6.728814220865625E-06  4.563447771144229E-07 29208587	  17    1600.00    1700.00  6.728814220865625E-06  4.563447771144229E-07 29208587	  17    1600.00    1700.00  8.563759076936166E-06  5.944916375703305E-07 29208587	  17    1600.00    1700.00  8.563759076936166E-06  5.944916375703305E-07 29208587	  17    1600.00    1700.00  7.552415838188570E-06  5.179596843651646E-07 29208587
  18    1700.00    1800.00  4.529832191053073E-06  7.444994714101869E-07 25125511	  18    1700.00    1800.00  4.529832191053073E-06  7.444994714101869E-07 25125511	  18    1700.00    1800.00  4.059852767055251E-06  6.476963046463128E-07 25125511	  18    1700.00    1800.00  4.059852767055251E-06  6.476963046463128E-07 25125511	  18    1700.00    1800.00  5.102329982059292E-06  8.662404049413617E-07 25125511	  18    1700.00    1800.00  5.102329982059292E-06  8.662404049413617E-07 25125511	  18    1700.00    1800.00  4.529832191053073E-06  7.444994714101869E-07 25125511
  19    1800.00    1900.00  2.364097071022241E-06  1.670244698393975E-06 21722297	  19    1800.00    1900.00  2.364097071022241E-06  1.670244698393975E-06 21722297	  19    1800.00    1900.00  2.143067465326909E-06  1.449484649958855E-06 21722297	  19    1800.00    1900.00  2.143067465326909E-06  1.449484649958855E-06 21722297	  19    1800.00    1900.00  2.632254849698049E-06  1.945427652429056E-06 21722297	  19    1800.00    1900.00  2.632254849698049E-06  1.945427652429056E-06 21722297	  19    1800.00    1900.00  2.364097071022241E-06  1.670244698393975E-06 21722297
  20    1900.00    2000.00  1.893477834524771E-06  1.006804989430175E-06 18858489	  20    1900.00    2000.00  1.893477834524771E-06  1.006804989430175E-06 18858489	  20    1900.00    2000.00  1.696100964124602E-06  8.706170451113563E-07 18858489	  20    1900.00    2000.00  1.696100964124602E-06  8.706170451113563E-07 18858489	  20    1900.00    2000.00  2.133871731988264E-06  1.179371414058752E-06 18858489	  20    1900.00    2000.00  2.133871731988264E-06  1.179371414058752E-06 18858489	  20    1900.00    2000.00  1.893477834524771E-06  1.006804989430175E-06 18858489
  21    2000.00    2100.00  1.672618187585767E-06  5.358137015806831E-07 16442390	  21    2000.00    2100.00  1.672618187585767E-06  5.358137015806831E-07 16442390	  21    2000.00    2100.00  1.467810102739197E-06  4.697907686792982E-07 16442390	  21    2000.00    2100.00  1.467810102739197E-06  4.697907686792982E-07 16442390	  21    2000.00    2100.00  1.929736198810044E-06  6.184545523266992E-07 16442390	  21    2000.00    2100.00  1.929736198810044E-06  6.184545523266992E-07 16442390	  21    2000.00    2100.00  1.672618187585767E-06  5.358137015806831E-07 16442390
  22    2100.00    2200.00  1.812025078722856E-06  2.941429371228244E-07 14382768	  22    2100.00    2200.00  1.812025078722856E-06  2.941429371228244E-07 14382768	  22    2100.00    2200.00  1.603561100004485E-06  2.544722487797178E-07 14382768	  22    2100.00    2200.00  1.603561100004485E-06  2.544722487797178E-07 14382768	  22    2100.00    2200.00  2.070322477114816E-06  3.440917025116752E-07 14382768	  22    2100.00    2200.00  2.070322477114816E-06  3.440917025116752E-07 14382768	  22    2100.00    2200.00  1.812025078722856E-06  2.941429371228244E-07 14382768
  23    2200.00    2300.00  1.495930843382350E-06  1.305666731722901E-07 12629101	  23    2200.00    2300.00  1.495930843382350E-06  1.305666731722901E-07 12629101	  23    2200.00    2300.00  1.314002034704891E-06  1.132444205190443E-07 12629101	  23    2200.00    2300.00  1.314002034704891E-06  1.132444205190443E-07 12629101	  23    2200.00    2300.00  1.723482595784597E-06  1.525883417025184E-07 12629101	  23    2200.00    2300.00  1.723482595784597E-06  1.525883417025184E-07 12629101	  23    2200.00    2300.00  1.495930843382350E-06  1.305666731722901E-07 12629101
  24    2300.00    2400.00  9.637618323844454E-07  2.811946967978626E-07 11126323	  24    2300.00    2400.00  9.637618323844454E-07  2.811946967978626E-07 11126323	  24    2300.00    2400.00  8.654595256436715E-07  2.205139142863246E-07 11126323	  24    2300.00    2400.00  8.654595256436715E-07  2.205139142863246E-07 11126323	  24    2300.00    2400.00  1.077007103953701E-06  3.685230211942948E-07 11126323	  24    2300.00    2400.00  1.077007103953701E-06  3.685230211942948E-07 11126323	  24    2300.00    2400.00  9.637618323844454E-07  2.811946967978626E-07 11126323
  25    2400.00    2500.00  7.619081251019137E-07  1.706327094076096E-07 9821187	  25    2400.00    2500.00  7.619081251019137E-07  1.706327094076096E-07 9821187	  25    2400.00    2500.00  6.683580236748320E-07  1.474677834901096E-07 9821187	  25    2400.00    2500.00  6.683580236748320E-07  1.474677834901096E-07 9821187	  25    2400.00    2500.00  8.796846803336054E-07  1.997458277934822E-07 9821187	  25    2400.00    2500.00  8.796846803336054E-07  1.997458277934822E-07 9821187	  25    2400.00    2500.00  7.619081251019137E-07  1.706327094076096E-07 9821187
  26    2500.00    2600.00  4.073737222547234E-07  1.935865009542244E-07 8704195	  26    2500.00    2600.00  4.073737222547234E-07  1.935865009542244E-07 8704195	  26    2500.00    2600.00  3.612744253301498E-07  1.653824072327188E-07 8704195	  26    2500.00    2600.00  3.612744253301498E-07  1.653824072327188E-07 8704195	  26    2500.00    2600.00  4.641124703083055E-07  2.298752133804356E-07 8704195	  26    2500.00    2600.00  4.641124703083055E-07  2.298752133804356E-07 8704195	  26    2500.00    2600.00  4.073737222547234E-07  1.935865009542244E-07 8704195
  27    2600.00    2700.00  4.053611308943476E-07  9.602396182589236E-08 7729891	  27    2600.00    2700.00  4.053611308943476E-07  9.602396182589236E-08 7729891	  27    2600.00    2700.00  3.513885117957174E-07  8.367286347426372E-08 7729891	  27    2600.00    2700.00  3.513885117957174E-07  8.367286347426372E-08 7729891	  27    2600.00    2700.00  4.740134125880237E-07  1.116233274969442E-07 7729891	  27    2600.00    2700.00  4.740134125880237E-07  1.116233274969442E-07 7729891	  27    2600.00    2700.00  4.053611308943476E-07  9.602396182589236E-08 7729891
  28    2700.00    2800.00  5.261813241841080E-07  5.917051937395811E-08 6881368	  28    2700.00    2800.00  5.261813241841080E-07  5.917051937395811E-08 6881368	  28    2700.00    2800.00  4.594622373357477E-07  5.072535842218162E-08 6881368	  28    2700.00    2800.00  4.594622373357477E-07  5.072535842218162E-08 6881368	  28    2700.00    2800.00  6.102150447491254E-07  7.011230060574696E-08 6881368	  28    2700.00    2800.00  6.102150447491254E-07  7.011230060574696E-08 6881368	  28    2700.00    2800.00  5.261813241841080E-07  5.917051937395811E-08 6881368
  29    2800.00    2900.00  2.579055024194619E-07  9.762639754820965E-08 6136893	  29    2800.00    2900.00  2.579055024194619E-07  9.762639754820965E-08 6136893	  29    2800.00    2900.00  2.219704701122887E-07  8.482133126280850E-08 6136893	  29    2800.00    2900.00  2.219704701122887E-07  8.482133126280850E-08 6136893	  29    2800.00    2900.00  3.041589851938625E-07  1.136684475174510E-07 6136893	  29    2800.00    2900.00  3.041589851938625E-07  1.136684475174510E-07 6136893	  29    2800.00    2900.00  2.579055024194619E-07  9.762639754820965E-08 6136893
  30    2900.00    3000.00  2.068353417920368E-07  5.047819925174597E-08 5491274	  30    2900.00    3000.00  2.068353417920368E-07  5.047819925174597E-08 5491274	  30    2900.00    3000.00  1.764693880408181E-07  4.417533085182749E-08 5491274	  30    2900.00    3000.00  1.764693880408181E-07  4.417533085182749E-08 5491274	  30    2900.00    3000.00  2.459299411734292E-07  5.840548880514444E-08 5491274	  30    2900.00    3000.00  2.459299411734292E-07  5.840548880514444E-08 5491274	  30    2900.00    3000.00  2.068353417920368E-07  5.047819925174597E-08 5491274
