# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      40.00      50.00  2.411840352508771E-11  2.165578700384206E-11 2	   5      40.00      50.00  2.411840352508771E-11  2.165578700384206E-11 2	   5      40.00      50.00  2.417621153873118E-11  2.181205372811174E-11 2	   5      40.00      50.00  2.417621153873118E-11  2.181205372811174E-11 2	   5      40.00      50.00  2.392096740576249E-11  2.136037293644309E-11 2	   5      40.00      50.00  2.392096740576249E-11  2.136037293644309E-11 2	   5      40.00      50.00  2.411840352508771E-11  2.165578700384206E-11 2
   6      50.00      60.00  2.585629811567670E-10  1.850019170905053E-10 14	   6      50.00      60.00  2.585629811567670E-10  1.850019170905053E-10 14	   6      50.00      60.00  2.560601646244789E-10  1.837119903547154E-10 14	   6      50.00      60.00  2.560601646244789E-10  1.837119903547154E-10 14	   6      50.00      60.00  2.593962820365731E-10  1.848435462787552E-10 14	   6      50.00      60.00  2.593962820365731E-10  1.848435462787552E-10 14	   6      50.00      60.00  2.585629811567670E-10  1.850019170905053E-10 14
   7      60.00      70.00  7.415287723504259E-10  2.442265961090514E-10 57	   7      60.00      70.00  7.415287723504259E-10  2.442265961090514E-10 57	   7      60.00      70.00  7.476273092019933E-10  2.473356462561312E-10 57	   7      60.00      70.00  7.476273092019933E-10  2.473356462561312E-10 57	   7      60.00      70.00  7.287426924075851E-10  2.386760754349947E-10 57	   7      60.00      70.00  7.287426924075851E-10  2.386760754349947E-10 57	   7      60.00      70.00  7.415287723504259E-10  2.442265961090514E-10 57
   8      70.00      80.00  4.216973934892572E-09  9.126340117182734E-10 191	   8      70.00      80.00  4.216973934892572E-09  9.126340117182734E-10 191	   8      70.00      80.00  4.177478378034823E-09  8.970416012934151E-10 191	   8      70.00      80.00  4.177478378034823E-09  8.970416012934151E-10 191	   8      70.00      80.00  4.231758018315902E-09  9.247721720228941E-10 191	   8      70.00      80.00  4.231758018315902E-09  9.247721720228941E-10 191	   8      70.00      80.00  4.216973934892572E-09  9.126340117182734E-10 191
   9      80.00      90.00  1.018392912528275E-08  1.377972317345111E-09 785	   9      80.00      90.00  1.018392912528275E-08  1.377972317345111E-09 785	   9      80.00      90.00  1.008628935193898E-08  1.350612140115540E-09 785	   9      80.00      90.00  1.008628935193898E-08  1.350612140115540E-09 785	   9      80.00      90.00  1.022946247830275E-08  1.404218949868754E-09 785	   9      80.00      90.00  1.022946247830275E-08  1.404218949868754E-09 785	   9      80.00      90.00  1.018392912528275E-08  1.377972317345111E-09 785
  10      90.00     100.00  1.217621235697825E-07  1.086054687472263E-08 6176	  10      90.00     100.00  1.217621235697825E-07  1.086054687472263E-08 6176	  10      90.00     100.00  1.193557975944908E-07  1.040255284090713E-08 6176	  10      90.00     100.00  1.193557975944908E-07  1.040255284090713E-08 6176	  10      90.00     100.00  1.238730702557492E-07  1.136553820650518E-08 6176	  10      90.00     100.00  1.238730702557492E-07  1.136553820650518E-08 6176	  10      90.00     100.00  1.217621235697825E-07  1.086054687472263E-08 6176
  11     100.00     110.00  9.425156157150540E-07  2.822978079052488E-08 33059	  11     100.00     110.00  9.425156157150540E-07  2.822978079052488E-08 33059	  11     100.00     110.00  9.287853708991529E-07  2.718515753319353E-08 33059	  11     100.00     110.00  9.287853708991529E-07  2.718515753319353E-08 33059	  11     100.00     110.00  9.527961733426021E-07  2.935998832096773E-08 33059	  11     100.00     110.00  9.527961733426021E-07  2.935998832096773E-08 33059	  11     100.00     110.00  9.425156157150540E-07  2.822978079052488E-08 33059
  12     110.00     120.00  4.702844335813808E-06  1.058768304206073E-07 125798	  12     110.00     120.00  4.702844335813808E-06  1.058768304206073E-07 125798	  12     110.00     120.00  4.630829507996224E-06  9.894662740199373E-08 125798	  12     110.00     120.00  4.630829507996224E-06  9.894662740199373E-08 125798	  12     110.00     120.00  4.758657253040217E-06  1.139170757599180E-07 125798	  12     110.00     120.00  4.758657253040217E-06  1.139170757599180E-07 125798	  12     110.00     120.00  4.702844335813808E-06  1.058768304206073E-07 125798
  13     120.00     130.00  1.695034454416853E-05  2.523370886947274E-07 401999	  13     120.00     130.00  1.695034454416853E-05  2.523370886947274E-07 401999	  13     120.00     130.00  1.671045842632552E-05  2.385719036886473E-07 401999	  13     120.00     130.00  1.671045842632552E-05  2.385719036886473E-07 401999	  13     120.00     130.00  1.712534195621508E-05  2.677324424990886E-07 401999	  13     120.00     130.00  1.712534195621508E-05  2.677324424990886E-07 401999	  13     120.00     130.00  1.695034454416853E-05  2.523370886947274E-07 401999
  14     130.00     140.00  5.123891375236853E-05  3.545623904765841E-07 1125812	  14     130.00     140.00  5.123891375236853E-05  3.545623904765841E-07 1125812	  14     130.00     140.00  5.049013089957365E-05  3.367174395093288E-07 1125812	  14     130.00     140.00  5.049013089957365E-05  3.367174395093288E-07 1125812	  14     130.00     140.00  5.179580578020914E-05  3.747531110225906E-07 1125812	  14     130.00     140.00  5.179580578020914E-05  3.747531110225906E-07 1125812	  14     130.00     140.00  5.123891375236853E-05  3.545623904765841E-07 1125812
  15     140.00     150.00  1.581864514215281E-04  1.073015230605742E-06 3252699	  15     140.00     150.00  1.581864514215281E-04  1.073015230605742E-06 3252699	  15     140.00     150.00  1.555111161852470E-04  9.910354789372372E-07 3252699	  15     140.00     150.00  1.555111161852470E-04  9.910354789372372E-07 3252699	  15     140.00     150.00  1.603556236412704E-04  1.170190761109421E-06 3252699	  15     140.00     150.00  1.603556236412704E-04  1.170190761109421E-06 3252699	  15     140.00     150.00  1.581864514215281E-04  1.073015230605742E-06 3252699
  16     150.00     160.00  7.318355424021467E-04  1.769225160471786E-06 18631013	  16     150.00     160.00  7.318355424021467E-04  1.769225160471786E-06 18631013	  16     150.00     160.00  7.189053005240934E-04  1.664630665107002E-06 18631013	  16     150.00     160.00  7.189053005240934E-04  1.664630665107002E-06 18631013	  16     150.00     160.00  7.425117358518678E-04  1.890128142348310E-06 18631013	  16     150.00     160.00  7.425117358518678E-04  1.890128142348310E-06 18631013	  16     150.00     160.00  7.318355424021467E-04  1.769225160471786E-06 18631013
