# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      30.00      40.00  3.650083735254938E-16  2.725259958796534E-16 2	   4      30.00      40.00  3.650083735254938E-16  2.725259958796534E-16 2	   4      30.00      40.00  3.587591629393393E-16  2.648754304383152E-16 2	   4      30.00      40.00  3.587591629393393E-16  2.648754304383152E-16 2	   4      30.00      40.00  3.683458356744394E-16  2.791515643316971E-16 2	   4      30.00      40.00  3.683458356744394E-16  2.791515643316971E-16 2	   4      30.00      40.00  3.650083735254938E-16  2.725259958796534E-16 2
   5      40.00      50.00  3.861355346435273E-11  3.735392574580537E-11 19	   5      40.00      50.00  3.861355346435273E-11  3.735392574580537E-11 19	   5      40.00      50.00  3.566656084249382E-11  3.438490822787997E-11 19	   5      40.00      50.00  3.566656084249382E-11  3.438490822787997E-11 19	   5      40.00      50.00  4.198679320385280E-11  4.076228256128528E-11 19	   5      40.00      50.00  4.198679320385280E-11  4.076228256128528E-11 19	   5      40.00      50.00  3.861355346435273E-11  3.735392574580537E-11 19
   6      50.00      60.00  5.490657037380929E-10  3.488627713571784E-10 92	   6      50.00      60.00  5.490657037380929E-10  3.488627713571784E-10 92	   6      50.00      60.00  5.286259758321795E-10  3.269381902453616E-10 92	   6      50.00      60.00  5.286259758321795E-10  3.269381902453616E-10 92	   6      50.00      60.00  5.701557451725344E-10  3.737399895124529E-10 92	   6      50.00      60.00  5.701557451725344E-10  3.737399895124529E-10 92	   6      50.00      60.00  5.490657037380929E-10  3.488627713571784E-10 92
   7      60.00      70.00  8.717889498923799E-10  3.025261663312293E-10 275	   7      60.00      70.00  8.717889498923799E-10  3.025261663312293E-10 275	   7      60.00      70.00  8.580534227962016E-10  2.911553345605321E-10 275	   7      60.00      70.00  8.580534227962016E-10  2.911553345605321E-10 275	   7      60.00      70.00  8.820969607861190E-10  3.144923687831977E-10 275	   7      60.00      70.00  8.820969607861190E-10  3.144923687831977E-10 275	   7      60.00      70.00  8.717889498923799E-10  3.025261663312293E-10 275
   8      70.00      80.00  4.776004970405242E-09  2.166339932928477E-09 1028	   8      70.00      80.00  4.776004970405242E-09  2.166339932928477E-09 1028	   8      70.00      80.00  4.535213714524956E-09  1.977270483615122E-09 1028	   8      70.00      80.00  4.535213714524956E-09  1.977270483615122E-09 1028	   8      70.00      80.00  5.043854010967623E-09  2.394726618064255E-09 1028	   8      70.00      80.00  5.043854010967623E-09  2.394726618064255E-09 1028	   8      70.00      80.00  4.776004970405242E-09  2.166339932928477E-09 1028
   9      80.00      90.00  1.068727082173939E-08  1.280706850825092E-08 4587	   9      80.00      90.00  1.068727082173939E-08  1.280706850825092E-08 4587	   9      80.00      90.00  1.043181799729197E-08  1.249895482172770E-08 4587	   9      80.00      90.00  1.043181799729197E-08  1.249895482172770E-08 4587	   9      80.00      90.00  1.091220934153313E-08  1.311739056560270E-08 4587	   9      80.00      90.00  1.091220934153313E-08  1.311739056560270E-08 4587	   9      80.00      90.00  1.068727082173939E-08  1.280706850825092E-08 4587
  10      90.00     100.00  1.413354849550237E-07  9.848802765169333E-09 24967	  10      90.00     100.00  1.413354849550237E-07  9.848802765169333E-09 24967	  10      90.00     100.00  1.398419207877601E-07  9.723082900553877E-09 24967	  10      90.00     100.00  1.398419207877601E-07  9.723082900553877E-09 24967	  10      90.00     100.00  1.421110621381725E-07  9.951740202541870E-09 24967	  10      90.00     100.00  1.421110621381725E-07  9.951740202541870E-09 24967	  10      90.00     100.00  1.413354849550237E-07  9.848802765169333E-09 24967
  11     100.00     110.00  1.381819109765441E-06  7.326626786344654E-08 101636	  11     100.00     110.00  1.381819109765441E-06  7.326626786344654E-08 101636	  11     100.00     110.00  1.359578119749876E-06  7.121967139217253E-08 101636	  11     100.00     110.00  1.359578119749876E-06  7.121967139217253E-08 101636	  11     100.00     110.00  1.399666128257241E-06  7.548761052226380E-08 101636	  11     100.00     110.00  1.399666128257241E-06  7.548761052226380E-08 101636	  11     100.00     110.00  1.381819109765441E-06  7.326626786344654E-08 101636
  12     110.00     120.00  7.118936021232958E-06  2.219463301813967E-07 299382	  12     110.00     120.00  7.118936021232958E-06  2.219463301813967E-07 299382	  12     110.00     120.00  6.982885750984889E-06  2.140623260383095E-07 299382	  12     110.00     120.00  6.982885750984889E-06  2.140623260383095E-07 299382	  12     110.00     120.00  7.238160414133560E-06  2.305090445816114E-07 299382	  12     110.00     120.00  7.238160414133560E-06  2.305090445816114E-07 299382	  12     110.00     120.00  7.118936021232958E-06  2.219463301813967E-07 299382
  13     120.00     130.00  2.349364841985233E-05  7.027515105839305E-07 765763	  13     120.00     130.00  2.349364841985233E-05  7.027515105839305E-07 765763	  13     120.00     130.00  2.305112187320702E-05  6.764632383973103E-07 765763	  13     120.00     130.00  2.305112187320702E-05  6.764632383973103E-07 765763	  13     120.00     130.00  2.387468303580363E-05  7.313304467378152E-07 765763	  13     120.00     130.00  2.387468303580363E-05  7.313304467378152E-07 765763	  13     120.00     130.00  2.349364841985233E-05  7.027515105839305E-07 765763
  14     130.00     140.00  6.992812334911502E-05  3.219490650976764E-06 1847037	  14     130.00     140.00  6.992812334911502E-05  3.219490650976764E-06 1847037	  14     130.00     140.00  6.890527247704183E-05  3.037663569284094E-06 1847037	  14     130.00     140.00  6.890527247704183E-05  3.037663569284094E-06 1847037	  14     130.00     140.00  7.070583484664403E-05  3.420016438886113E-06 1847037	  14     130.00     140.00  7.070583484664403E-05  3.420016438886113E-06 1847037	  14     130.00     140.00  6.992812334911502E-05  3.219490650976764E-06 1847037
  15     140.00     150.00  2.061564859079102E-04  9.987391910706878E-06 4823061	  15     140.00     150.00  2.061564859079102E-04  9.987391910706878E-06 4823061	  15     140.00     150.00  2.033246388812131E-04  9.325017926976389E-06 4823061	  15     140.00     150.00  2.033246388812131E-04  9.325017926976389E-06 4823061	  15     140.00     150.00  2.081930298872948E-04  1.074623885726521E-05 4823061	  15     140.00     150.00  2.081930298872948E-04  1.074623885726521E-05 4823061	  15     140.00     150.00  2.061564859079102E-04  9.987391910706878E-06 4823061
  16     150.00     160.00  8.233359367371747E-04  1.397164139599988E-05 24813079	  16     150.00     160.00  8.233359367371747E-04  1.397164139599988E-05 24813079	  16     150.00     160.00  8.106033733776334E-04  1.334666754329300E-05 24813079	  16     150.00     160.00  8.106033733776334E-04  1.334666754329300E-05 24813079	  16     150.00     160.00  8.333015932732431E-04  1.467606094149266E-05 24813079	  16     150.00     160.00  8.333015932732431E-04  1.467606094149266E-05 24813079	  16     150.00     160.00  8.233359367371747E-04  1.397164139599988E-05 24813079
