# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  1.371872367869900E-08  1.098988299160280E-09 7225	   1       0.00     100.00  1.371872367869900E-08  1.098988299160280E-09 7225	   1       0.00     100.00  1.346474290098298E-08  1.053267976699557E-09 7225	   1       0.00     100.00  1.346474290098298E-08  1.053267976699557E-09 7225	   1       0.00     100.00  1.393463506942177E-08  1.149321898825495E-09 7225	   1       0.00     100.00  1.393463506942177E-08  1.149321898825495E-09 7225	   1       0.00     100.00  1.371872367869900E-08  1.098988299160280E-09 7225
   2     100.00     200.00  4.571141439110850E-03  1.417444176641487E-06 519409694	   2     100.00     200.00  4.571141439110850E-03  1.417444176641487E-06 519409694	   2     100.00     200.00  4.472666921061841E-03  1.330662748323186E-06 519409694	   2     100.00     200.00  4.472666921061841E-03  1.330662748323186E-06 519409694	   2     100.00     200.00  4.659257657085178E-03  1.518367248167023E-06 519409694	   2     100.00     200.00  4.659257657085178E-03  1.518367248167023E-06 519409694	   2     100.00     200.00  4.571141439110850E-03  1.417444176641487E-06 519409694
   3     200.00     300.00  1.388630525994262E-02  2.278061563587096E-06 969297480	   3     200.00     300.00  1.388630525994262E-02  2.278061563587096E-06 969297480	   3     200.00     300.00  1.347022061844075E-02  2.137426906370178E-06 969297480	   3     200.00     300.00  1.347022061844075E-02  2.137426906370178E-06 969297480	   3     200.00     300.00  1.429647205890598E-02  2.441783109935534E-06 969297480	   3     200.00     300.00  1.429647205890598E-02  2.441783109935534E-06 969297480	   3     200.00     300.00  1.388630525994262E-02  2.278061563587096E-06 969297480
   4     300.00     400.00  9.418027109751592E-03  1.903297374580990E-06 682938654	   4     300.00     400.00  9.418027109751592E-03  1.903297374580990E-06 682938654	   4     300.00     400.00  9.049550387357946E-03  1.786926663947380E-06 682938654	   4     300.00     400.00  9.049550387357946E-03  1.786926663947380E-06 682938654	   4     300.00     400.00  9.802270073738470E-03  2.038452456141222E-06 682938654	   4     300.00     400.00  9.802270073738470E-03  2.038452456141222E-06 682938654	   4     300.00     400.00  9.418027109751592E-03  1.903297374580990E-06 682938654
   5     400.00     500.00  6.001854657956138E-03  1.652165681997913E-06 503096813	   5     400.00     500.00  6.001854657956138E-03  1.652165681997913E-06 503096813	   5     400.00     500.00  5.724957194807776E-03  1.549528972376185E-06 503096813	   5     400.00     500.00  5.724957194807776E-03  1.549528972376185E-06 503096813	   5     400.00     500.00  6.299024812635140E-03  1.771218015150109E-06 503096813	   5     400.00     500.00  6.299024812635140E-03  1.771218015150109E-06 503096813	   5     400.00     500.00  6.001854657956138E-03  1.652165681997913E-06 503096813
   6     500.00     600.00  3.922144418243273E-03  1.431256450791393E-06 385068442	   6     500.00     600.00  3.922144418243273E-03  1.431256450791393E-06 385068442	   6     500.00     600.00  3.718603233422989E-03  1.339852869483563E-06 385068442	   6     500.00     600.00  3.718603233422989E-03  1.339852869483563E-06 385068442	   6     500.00     600.00  4.144710031416164E-03  1.537306011200597E-06 385068442	   6     500.00     600.00  4.144710031416164E-03  1.537306011200597E-06 385068442	   6     500.00     600.00  3.922144418243273E-03  1.431256450791393E-06 385068442
   7     600.00     700.00  2.647686998505288E-03  1.263419969466725E-06 303743294	   7     600.00     700.00  2.647686998505288E-03  1.263419969466725E-06 303743294	   7     600.00     700.00  2.497016406680088E-03  1.178978629880629E-06 303743294	   7     600.00     700.00  2.497016406680088E-03  1.178978629880629E-06 303743294	   7     600.00     700.00  2.814760318729675E-03  1.361712150698744E-06 303743294	   7     600.00     700.00  2.814760318729675E-03  1.361712150698744E-06 303743294	   7     600.00     700.00  2.647686998505288E-03  1.263419969466725E-06 303743294
   8     700.00     800.00  1.837898825236549E-03  1.100691921149269E-06 245279433	   8     700.00     800.00  1.837898825236549E-03  1.100691921149269E-06 245279433	   8     700.00     800.00  1.725185130532892E-03  1.023316597491560E-06 245279433	   8     700.00     800.00  1.725185130532892E-03  1.023316597491560E-06 245279433	   8     700.00     800.00  1.964267574713415E-03  1.191365887449496E-06 245279433	   8     700.00     800.00  1.964267574713415E-03  1.191365887449496E-06 245279433	   8     700.00     800.00  1.837898825236549E-03  1.100691921149269E-06 245279433
   9     800.00     900.00  1.310269988447291E-03  9.726483141268844E-07 201794684	   9     800.00     900.00  1.310269988447291E-03  9.726483141268844E-07 201794684	   9     800.00     900.00  1.224661882830229E-03  9.017242707789181E-07 201794684	   9     800.00     900.00  1.224661882830229E-03  9.017242707789181E-07 201794684	   9     800.00     900.00  1.407136302080869E-03  1.055851521031003E-06 201794684	   9     800.00     900.00  1.407136302080869E-03  1.055851521031003E-06 201794684	   9     800.00     900.00  1.310269988447291E-03  9.726483141268844E-07 201794684
  10     900.00    1000.00  9.548679304489992E-04  8.650061558501117E-07 168587552	  10     900.00    1000.00  9.548679304489992E-04  8.650061558501117E-07 168587552	  10     900.00    1000.00  8.890329130267171E-04  7.998532626741325E-07 168587552	  10     900.00    1000.00  8.890329130267171E-04  7.998532626741325E-07 168587552	  10     900.00    1000.00  1.029939140701673E-03  9.417585325982362E-07 168587552	  10     900.00    1000.00  1.029939140701673E-03  9.417585325982362E-07 168587552	  10     900.00    1000.00  9.548679304489992E-04  8.650061558501117E-07 168587552
  11    1000.00    1100.00  7.078014755958443E-04  7.457683278866997E-07 142616893	  11    1000.00    1100.00  7.078014755958443E-04  7.457683278866997E-07 142616893	  11    1000.00    1100.00  6.566163016750918E-04  6.879571767103225E-07 142616893	  11    1000.00    1100.00  6.566163016750918E-04  6.879571767103225E-07 142616893	  11    1000.00    1100.00  7.665664868496920E-04  8.139864659602478E-07 142616893	  11    1000.00    1100.00  7.665664868496920E-04  8.139864659602478E-07 142616893	  11    1000.00    1100.00  7.078014755958443E-04  7.457683278866997E-07 142616893
  12    1100.00    1200.00  5.343882005259917E-04  6.590609467169961E-07 121948823	  12    1100.00    1200.00  5.343882005259917E-04  6.590609467169961E-07 121948823	  12    1100.00    1200.00  4.940970877689546E-04  6.067458727710340E-07 121948823	  12    1100.00    1200.00  4.940970877689546E-04  6.067458727710340E-07 121948823	  12    1100.00    1200.00  5.809228759506800E-04  7.209163822920765E-07 121948823	  12    1100.00    1200.00  5.809228759506800E-04  7.209163822920765E-07 121948823	  12    1100.00    1200.00  5.343882005259917E-04  6.590609467169961E-07 121948823
  13    1200.00    1300.00  4.084837132618671E-04  5.778292268273485E-07 105224912	  13    1200.00    1300.00  4.084837132618671E-04  5.778292268273485E-07 105224912	  13    1200.00    1300.00  3.764571126297651E-04  5.299719166106031E-07 105224912	  13    1200.00    1300.00  3.764571126297651E-04  5.299719166106031E-07 105224912	  13    1200.00    1300.00  4.456841007523590E-04  6.347291621520469E-07 105224912	  13    1200.00    1300.00  4.456841007523590E-04  6.347291621520469E-07 105224912	  13    1200.00    1300.00  4.084837132618671E-04  5.778292268273485E-07 105224912
  14    1300.00    1400.00  3.165034570692599E-04  5.099200863843501E-07 91486939	  14    1300.00    1400.00  3.165034570692599E-04  5.099200863843501E-07 91486939	  14    1300.00    1400.00  2.908047613051538E-04  4.666048258198921E-07 91486939	  14    1300.00    1400.00  2.908047613051538E-04  4.666048258198921E-07 91486939	  14    1300.00    1400.00  3.465051841806000E-04  5.615723491664147E-07 91486939	  14    1300.00    1400.00  3.465051841806000E-04  5.615723491664147E-07 91486939	  14    1300.00    1400.00  3.165034570692599E-04  5.099200863843501E-07 91486939
  15    1400.00    1500.00  2.467038065877875E-04  4.504077613449647E-07 80077577	  15    1400.00    1500.00  2.467038065877875E-04  4.504077613449647E-07 80077577	  15    1400.00    1500.00  2.260432285591217E-04  4.113704752729547E-07 80077577	  15    1400.00    1500.00  2.260432285591217E-04  4.113704752729547E-07 80077577	  15    1400.00    1500.00  2.709300017387096E-04  4.969992639801938E-07 80077577	  15    1400.00    1500.00  2.709300017387096E-04  4.969992639801938E-07 80077577	  15    1400.00    1500.00  2.467038065877875E-04  4.504077613449647E-07 80077577
  16    1500.00    1600.00  1.952071536637367E-04  4.003770943566053E-07 70494223	  16    1500.00    1600.00  1.952071536637367E-04  4.003770943566053E-07 70494223	  16    1500.00    1600.00  1.783690154733880E-04  3.647872551497551E-07 70494223	  16    1500.00    1600.00  1.783690154733880E-04  3.647872551497551E-07 70494223	  16    1500.00    1600.00  2.150378141251894E-04  4.430333685335399E-07 70494223	  16    1500.00    1600.00  2.150378141251894E-04  4.430333685335399E-07 70494223	  16    1500.00    1600.00  1.952071536637367E-04  4.003770943566053E-07 70494223
  17    1600.00    1700.00  1.554685330107203E-04  3.680142727269053E-07 62400161	  17    1600.00    1700.00  1.554685330107203E-04  3.680142727269053E-07 62400161	  17    1600.00    1700.00  1.417024227896407E-04  3.348919302843917E-07 62400161	  17    1600.00    1700.00  1.417024227896407E-04  3.348919302843917E-07 62400161	  17    1600.00    1700.00  1.717428626193565E-04  4.077282326864159E-07 62400161	  17    1600.00    1700.00  1.717428626193565E-04  4.077282326864159E-07 62400161	  17    1600.00    1700.00  1.554685330107203E-04  3.680142727269053E-07 62400161
  18    1700.00    1800.00  1.256776469539758E-04  3.327477242869617E-07 55487152	  18    1700.00    1800.00  1.256776469539758E-04  3.327477242869617E-07 55487152	  18    1700.00    1800.00  1.142344180205170E-04  3.017631725901455E-07 55487152	  18    1700.00    1800.00  1.142344180205170E-04  3.017631725901455E-07 55487152	  18    1700.00    1800.00  1.392628576825677E-04  3.700535497353300E-07 55487152	  18    1700.00    1800.00  1.392628576825677E-04  3.700535497353300E-07 55487152	  18    1700.00    1800.00  1.256776469539758E-04  3.327477242869617E-07 55487152
  19    1800.00    1900.00  1.013424843010622E-04  2.917839968889384E-07 49526142	  19    1800.00    1900.00  1.013424843010622E-04  2.917839968889384E-07 49526142	  19    1800.00    1900.00  9.189607023385915E-05  2.643941100134423E-07 49526142	  19    1800.00    1900.00  9.189607023385915E-05  2.643941100134423E-07 49526142	  19    1800.00    1900.00  1.125965859256614E-04  3.247676074085537E-07 49526142	  19    1800.00    1900.00  1.125965859256614E-04  3.247676074085537E-07 49526142	  19    1800.00    1900.00  1.013424843010622E-04  2.917839968889384E-07 49526142
  20    1900.00    2000.00  8.217597657050130E-05  2.540926218092185E-07 44384258	  20    1900.00    2000.00  8.217597657050130E-05  2.540926218092185E-07 44384258	  20    1900.00    2000.00  7.435154744078776E-05  2.297778444621727E-07 44384258	  20    1900.00    2000.00  7.435154744078776E-05  2.297778444621727E-07 44384258	  20    1900.00    2000.00  9.152805232858269E-05  2.834838995072627E-07 44384258	  20    1900.00    2000.00  9.152805232858269E-05  2.834838995072627E-07 44384258	  20    1900.00    2000.00  8.217597657050130E-05  2.540926218092185E-07 44384258
