# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  1.582582293192714E-08  1.628319278599202E-09 30171	   1       0.00     100.00  1.582582293192714E-08  1.628319278599202E-09 30171	   1       0.00     100.00  1.562312988178072E-08  1.594225097746779E-09 30171	   1       0.00     100.00  1.562312988178072E-08  1.594225097746779E-09 30171	   1       0.00     100.00  1.595613653581816E-08  1.661938627382130E-09 30171	   1       0.00     100.00  1.595613653581816E-08  1.661938627382130E-09 30171	   1       0.00     100.00  1.582582293192714E-08  1.628319278599202E-09 30171
   2     100.00     200.00  4.001748686352309E-03  2.149941765865169E-05 634457620	   2     100.00     200.00  4.001748686352309E-03  2.149941765865169E-05 634457620	   2     100.00     200.00  3.928661037371481E-03  2.006893903570452E-05 634457620	   2     100.00     200.00  3.928661037371481E-03  2.006893903570452E-05 634457620	   2     100.00     200.00  4.063987973065297E-03  2.314399817082667E-05 634457620	   2     100.00     200.00  4.063987973065297E-03  2.314399817082667E-05 634457620	   2     100.00     200.00  4.001748686352309E-03  2.149941765865169E-05 634457620
   3     200.00     300.00  1.182713140019997E-02  4.065499739839714E-05 1186316089	   3     200.00     300.00  1.182713140019997E-02  4.065499739839714E-05 1186316089	   3     200.00     300.00  1.151463035213693E-02  3.763732459785162E-05 1186316089	   3     200.00     300.00  1.151463035213693E-02  3.763732459785162E-05 1186316089	   3     200.00     300.00  1.212821664772477E-02  4.417445414453048E-05 1186316089	   3     200.00     300.00  1.212821664772477E-02  4.417445414453048E-05 1186316089	   3     200.00     300.00  1.182713140019997E-02  4.065499739839714E-05 1186316089
   4     300.00     400.00  7.775777299078894E-03  2.893549013131888E-05 852781358	   4     300.00     400.00  7.775777299078894E-03  2.893549013131888E-05 852781358	   4     300.00     400.00  7.501542448750220E-03  2.688030277277399E-05 852781358	   4     300.00     400.00  7.501542448750220E-03  2.688030277277399E-05 852781358	   4     300.00     400.00  8.057881027083252E-03  3.133573029992684E-05 852781358	   4     300.00     400.00  8.057881027083252E-03  3.133573029992684E-05 852781358	   4     300.00     400.00  7.775777299078894E-03  2.893549013131888E-05 852781358
   5     400.00     500.00  4.892072264073821E-03  2.069156983973933E-05 636913271	   5     400.00     500.00  4.892072264073821E-03  2.069156983973933E-05 636913271	   5     400.00     500.00  4.683885431519421E-03  1.915926035552894E-05 636913271	   5     400.00     500.00  4.683885431519421E-03  1.915926035552894E-05 636913271	   5     400.00     500.00  5.113762435788261E-03  2.249894174313752E-05 636913271	   5     400.00     500.00  5.113762435788261E-03  2.249894174313752E-05 636913271	   5     400.00     500.00  4.892072264073821E-03  2.069156983973933E-05 636913271
   6     500.00     600.00  3.078369936227685E-03  2.089522984255503E-05 492438308	   6     500.00     600.00  3.078369936227685E-03  2.089522984255503E-05 492438308	   6     500.00     600.00  2.931296204301695E-03  1.923208282607490E-05 492438308	   6     500.00     600.00  2.931296204301695E-03  1.923208282607490E-05 492438308	   6     500.00     600.00  3.237929807729478E-03  2.286716837081310E-05 492438308	   6     500.00     600.00  3.237929807729478E-03  2.286716837081310E-05 492438308	   6     500.00     600.00  3.078369936227685E-03  2.089522984255503E-05 492438308
   7     600.00     700.00  2.016822052346900E-03  1.823516181836356E-05 391487096	   7     600.00     700.00  2.016822052346900E-03  1.823516181836356E-05 391487096	   7     600.00     700.00  1.910753234585348E-03  1.671771892560103E-05 391487096	   7     600.00     700.00  1.910753234585348E-03  1.671771892560103E-05 391487096	   7     600.00     700.00  2.133620009136305E-03  2.004308990759488E-05 391487096	   7     600.00     700.00  2.133620009136305E-03  2.004308990759488E-05 391487096	   7     600.00     700.00  2.016822052346900E-03  1.823516181836356E-05 391487096
   8     700.00     800.00  1.367084136056424E-03  1.589773902403059E-05 318124690	   8     700.00     800.00  1.367084136056424E-03  1.589773902403059E-05 318124690	   8     700.00     800.00  1.289128909666397E-03  1.460816190247730E-05 318124690	   8     700.00     800.00  1.289128909666397E-03  1.460816190247730E-05 318124690	   8     700.00     800.00  1.453967141320477E-03  1.742582957225385E-05 318124690	   8     700.00     800.00  1.453967141320477E-03  1.742582957225385E-05 318124690	   8     700.00     800.00  1.367084136056424E-03  1.589773902403059E-05 318124690
   9     800.00     900.00  9.623935248339472E-04  1.366510520098829E-05 263165358	   9     800.00     900.00  9.623935248339472E-04  1.366510520098829E-05 263165358	   9     800.00     900.00  9.033554469531279E-04  1.263737339337045E-05 263165358	   9     800.00     900.00  9.033554469531279E-04  1.263737339337045E-05 263165358	   9     800.00     900.00  1.028922375207428E-03  1.487587045938776E-05 263165358	   9     800.00     900.00  1.028922375207428E-03  1.487587045938776E-05 263165358	   9     800.00     900.00  9.623935248339472E-04  1.366510520098829E-05 263165358
  10     900.00    1000.00  7.009255673645429E-04  1.283983231152010E-05 220820409	  10     900.00    1000.00  7.009255673645429E-04  1.283983231152010E-05 220820409	  10     900.00    1000.00  6.556512531306656E-04  1.159477381675493E-05 220820409	  10     900.00    1000.00  6.556512531306656E-04  1.159477381675493E-05 220820409	  10     900.00    1000.00  7.522749237298291E-04  1.435254445647400E-05 220820409	  10     900.00    1000.00  7.522749237298291E-04  1.435254445647400E-05 220820409	  10     900.00    1000.00  7.009255673645429E-04  1.283983231152010E-05 220820409
  11    1000.00    1100.00  5.020533822879827E-04  1.055896748785902E-05 187549979	  11    1000.00    1100.00  5.020533822879827E-04  1.055896748785902E-05 187549979	  11    1000.00    1100.00  4.682697228831294E-04  9.583072230032666E-06 187549979	  11    1000.00    1100.00  4.682697228831294E-04  9.583072230032666E-06 187549979	  11    1000.00    1100.00  5.406105286960526E-04  1.173831117570490E-05 187549979	  11    1000.00    1100.00  5.406105286960526E-04  1.173831117570490E-05 187549979	  11    1000.00    1100.00  5.020533822879827E-04  1.055896748785902E-05 187549979
  12    1100.00    1200.00  3.783525764253730E-04  8.965574268329995E-06 160901903	  12    1100.00    1200.00  3.783525764253730E-04  8.965574268329995E-06 160901903	  12    1100.00    1200.00  3.511870523673766E-04  8.079881326961055E-06 160901903	  12    1100.00    1200.00  3.511870523673766E-04  8.079881326961055E-06 160901903	  12    1100.00    1200.00  4.096629905347316E-04  1.004595585999531E-05 160901903	  12    1100.00    1200.00  4.096629905347316E-04  1.004595585999531E-05 160901903	  12    1100.00    1200.00  3.783525764253730E-04  8.965574268329995E-06 160901903
  13    1200.00    1300.00  2.804114031449210E-04  7.921416642710032E-06 139252995	  13    1200.00    1300.00  2.804114031449210E-04  7.921416642710032E-06 139252995	  13    1200.00    1300.00  2.595234514544455E-04  7.235242152712699E-06 139252995	  13    1200.00    1300.00  2.595234514544455E-04  7.235242152712699E-06 139252995	  13    1200.00    1300.00  3.046303812835862E-04  8.737521698133681E-06 139252995	  13    1200.00    1300.00  3.046303812835862E-04  8.737521698133681E-06 139252995	  13    1200.00    1300.00  2.804114031449210E-04  7.921416642710032E-06 139252995
  14    1300.00    1400.00  2.104984722872232E-04  6.332841117702037E-06 121398247	  14    1300.00    1400.00  2.104984722872232E-04  6.332841117702037E-06 121398247	  14    1300.00    1400.00  1.944299523549339E-04  5.731924132984423E-06 121398247	  14    1300.00    1400.00  1.944299523549339E-04  5.731924132984423E-06 121398247	  14    1300.00    1400.00  2.291813753199176E-04  7.058004444686284E-06 121398247	  14    1300.00    1400.00  2.291813753199176E-04  7.058004444686284E-06 121398247	  14    1300.00    1400.00  2.104984722872232E-04  6.332841117702037E-06 121398247
  15    1400.00    1500.00  1.681998529710255E-04  6.038371230772850E-06 106527968	  15    1400.00    1500.00  1.681998529710255E-04  6.038371230772850E-06 106527968	  15    1400.00    1500.00  1.546418478664659E-04  5.475491535610231E-06 106527968	  15    1400.00    1500.00  1.546418478664659E-04  5.475491535610231E-06 106527968	  15    1400.00    1500.00  1.840982755459809E-04  6.715822450957201E-06 106527968	  15    1400.00    1500.00  1.840982755459809E-04  6.715822450957201E-06 106527968	  15    1400.00    1500.00  1.681998529710255E-04  6.038371230772850E-06 106527968
  16    1500.00    1600.00  1.297303447166736E-04  4.613614818593726E-06 94010680	  16    1500.00    1600.00  1.297303447166736E-04  4.613614818593726E-06 94010680	  16    1500.00    1600.00  1.192385539398899E-04  4.154556984305248E-06 94010680	  16    1500.00    1600.00  1.192385539398899E-04  4.154556984305248E-06 94010680	  16    1500.00    1600.00  1.420441501313151E-04  5.169625470092336E-06 94010680	  16    1500.00    1600.00  1.420441501313151E-04  5.169625470092336E-06 94010680	  16    1500.00    1600.00  1.297303447166736E-04  4.613614818593726E-06 94010680
  17    1600.00    1700.00  8.573108052970440E-05  1.892903202641749E-05 83369755	  17    1600.00    1700.00  8.573108052970440E-05  1.892903202641749E-05 83369755	  17    1600.00    1700.00  7.888822858125396E-05  1.695857131940900E-05 83369755	  17    1600.00    1700.00  7.888822858125396E-05  1.695857131940900E-05 83369755	  17    1600.00    1700.00  9.374885440592734E-05  2.130966557159289E-05 83369755	  17    1600.00    1700.00  9.374885440592734E-05  2.130966557159289E-05 83369755	  17    1600.00    1700.00  8.573108052970440E-05  1.892903202641749E-05 83369755
  18    1700.00    1800.00  8.507533802196828E-05  3.571520919320733E-06 74278115	  18    1700.00    1800.00  8.507533802196828E-05  3.571520919320733E-06 74278115	  18    1700.00    1800.00  7.761803042606888E-05  3.249411428226269E-06 74278115	  18    1700.00    1800.00  7.761803042606888E-05  3.249411428226269E-06 74278115	  18    1700.00    1800.00  9.391530116689180E-05  3.960278164220041E-06 74278115	  18    1700.00    1800.00  9.391530116689180E-05  3.960278164220041E-06 74278115	  18    1700.00    1800.00  8.507533802196828E-05  3.571520919320733E-06 74278115
  19    1800.00    1900.00  6.386529065848910E-05  4.119981009980915E-06 66432007	  19    1800.00    1900.00  6.386529065848910E-05  4.119981009980915E-06 66432007	  19    1800.00    1900.00  5.819286942728474E-05  3.725193893087106E-06 66432007	  19    1800.00    1900.00  5.819286942728474E-05  3.725193893087106E-06 66432007	  19    1800.00    1900.00  7.062242414213719E-05  4.593440155187503E-06 66432007	  19    1800.00    1900.00  7.062242414213719E-05  4.593440155187503E-06 66432007	  19    1800.00    1900.00  6.386529065848910E-05  4.119981009980915E-06 66432007
  20    1900.00    2000.00  4.809264986828647E-05  4.713332262656053E-06 59611175	  20    1900.00    2000.00  4.809264986828647E-05  4.713332262656053E-06 59611175	  20    1900.00    2000.00  4.384861385446806E-05  4.148205284129957E-06 59611175	  20    1900.00    2000.00  4.384861385446806E-05  4.148205284129957E-06 59611175	  20    1900.00    2000.00  5.313182889040364E-05  5.423221871184836E-06 59611175	  20    1900.00    2000.00  5.313182889040364E-05  5.423221871184836E-06 59611175	  20    1900.00    2000.00  4.809264986828647E-05  4.713332262656053E-06 59611175
  21    2000.00    2100.00  4.257894302406392E-05  2.356923155552959E-06 53686604	  21    2000.00    2100.00  4.257894302406392E-05  2.356923155552959E-06 53686604	  21    2000.00    2100.00  3.858184802652905E-05  2.136750148143334E-06 53686604	  21    2000.00    2100.00  3.858184802652905E-05  2.136750148143334E-06 53686604	  21    2000.00    2100.00  4.736654562237292E-05  2.622952768664988E-06 53686604	  21    2000.00    2100.00  4.736654562237292E-05  2.622952768664988E-06 53686604	  21    2000.00    2100.00  4.257894302406392E-05  2.356923155552959E-06 53686604
  22    2100.00    2200.00  3.265000224104143E-05  3.690607542492088E-06 48474842	  22    2100.00    2200.00  3.265000224104143E-05  3.690607542492088E-06 48474842	  22    2100.00    2200.00  2.946184329629943E-05  3.380573426162742E-06 48474842	  22    2100.00    2200.00  2.946184329629943E-05  3.380573426162742E-06 48474842	  22    2100.00    2200.00  3.650147773635696E-05  4.058454757464873E-06 48474842	  22    2100.00    2200.00  3.650147773635696E-05  4.058454757464873E-06 48474842	  22    2100.00    2200.00  3.265000224104143E-05  3.690607542492088E-06 48474842
