# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  5.095864981626321E-06  4.558505893130667E-09 6989123	   7     600.00     700.00  5.095864981626321E-06  4.558505893130667E-09 6989123	   7     600.00     700.00  5.321901493904704E-06  4.746847486098587E-09 6989123	   7     600.00     700.00  5.321901493904704E-06  4.746847486098587E-09 6989123	   7     600.00     700.00  4.801413363585638E-06  4.314949305031346E-09 6989123	   7     600.00     700.00  4.801413363585638E-06  4.314949305031346E-09 6989123	   7     600.00     700.00  5.095864981626321E-06  4.558505893130667E-09 6989123
   8     700.00     800.00  2.340077826620465E-04  6.503609227794992E-08 65447445	   8     700.00     800.00  2.340077826620465E-04  6.503609227794992E-08 65447445	   8     700.00     800.00  2.424317639912820E-04  6.718227676928339E-08 65447445	   8     700.00     800.00  2.424317639912820E-04  6.718227676928339E-08 65447445	   8     700.00     800.00  2.226294897867617E-04  6.215326276323247E-08 65447445	   8     700.00     800.00  2.226294897867617E-04  6.215326276323247E-08 65447445	   8     700.00     800.00  2.340077826620465E-04  6.503609227794992E-08 65447445
   9     800.00     900.00  6.875859409704154E-04  1.528659304887407E-07 111618615	   9     800.00     900.00  6.875859409704154E-04  1.528659304887407E-07 111618615	   9     800.00     900.00  7.066153370893362E-04  1.567764759293984E-07 111618615	   9     800.00     900.00  7.066153370893362E-04  1.567764759293984E-07 111618615	   9     800.00     900.00  6.604894122967148E-04  1.473435660681483E-07 111618615	   9     800.00     900.00  6.604894122967148E-04  1.473435660681483E-07 111618615	   9     800.00     900.00  6.875859409704154E-04  1.528659304887407E-07 111618615
  10     900.00    1000.00  1.055528714374938E-03  2.283650472517263E-07 136795871	  10     900.00    1000.00  1.055528714374938E-03  2.283650472517263E-07 136795871	  10     900.00    1000.00  1.076558798514611E-03  2.325707391799200E-07 136795871	  10     900.00    1000.00  1.076558798514611E-03  2.325707391799200E-07 136795871	  10     900.00    1000.00  1.023119876698690E-03  2.219521242424232E-07 136795871	  10     900.00    1000.00  1.023119876698690E-03  2.219521242424232E-07 136795871	  10     900.00    1000.00  1.055528714374938E-03  2.283650472517263E-07 136795871
  11    1000.00    1100.00  1.306941344057782E-03  2.896209195462380E-07 148138172	  11    1000.00    1100.00  1.306941344057782E-03  2.896209195462380E-07 148138172	  11    1000.00    1100.00  1.323950292472049E-03  2.930631397008413E-07 148138172	  11    1000.00    1100.00  1.323950292472049E-03  2.930631397008413E-07 148138172	  11    1000.00    1100.00  1.277091087193788E-03  2.836453556214057E-07 148138172	  11    1000.00    1100.00  1.277091087193788E-03  2.836453556214057E-07 148138172	  11    1000.00    1100.00  1.306941344057782E-03  2.896209195462380E-07 148138172
  12    1100.00    1200.00  1.471913224467756E-03  3.413937666441282E-07 151258332	  12    1100.00    1200.00  1.471913224467756E-03  3.413937666441282E-07 151258332	  12    1100.00    1200.00  1.481983285872202E-03  3.434468786489623E-07 151258332	  12    1100.00    1200.00  1.481983285872202E-03  3.434468786489623E-07 151258332	  12    1100.00    1200.00  1.448760617997421E-03  3.366669454147959E-07 151258332	  12    1100.00    1200.00  1.448760617997421E-03  3.366669454147959E-07 151258332	  12    1100.00    1200.00  1.471913224467756E-03  3.413937666441282E-07 151258332
  13    1200.00    1300.00  1.572087660218196E-03  3.857049834811415E-07 149927667	  13    1200.00    1300.00  1.572087660218196E-03  3.857049834811415E-07 149927667	  13    1200.00    1300.00  1.574113003168299E-03  3.859846618946339E-07 149927667	  13    1200.00    1300.00  1.574113003168299E-03  3.859846618946339E-07 149927667	  13    1200.00    1300.00  1.557518240954732E-03  3.827464074092059E-07 149927667	  13    1200.00    1300.00  1.557518240954732E-03  3.827464074092059E-07 149927667	  13    1200.00    1300.00  1.572087660218196E-03  3.857049834811415E-07 149927667
  14    1300.00    1400.00  1.626834392711810E-03  4.244235033908166E-07 146352978	  14    1300.00    1400.00  1.626834392711810E-03  4.244235033908166E-07 146352978	  14    1300.00    1400.00  1.620734639670765E-03  4.227073808850865E-07 146352978	  14    1300.00    1400.00  1.620734639670765E-03  4.227073808850865E-07 146352978	  14    1300.00    1400.00  1.621386082742836E-03  4.235554710525069E-07 146352978	  14    1300.00    1400.00  1.621386082742836E-03  4.235554710525069E-07 146352978	  14    1300.00    1400.00  1.626834392711810E-03  4.244235033908166E-07 146352978
  15    1400.00    1500.00  1.649307715838672E-03  4.592100632797985E-07 141658591	  15    1400.00    1500.00  1.649307715838672E-03  4.592100632797985E-07 141658591	  15    1400.00    1500.00  1.635514286222276E-03  4.553470051193385E-07 141658591	  15    1400.00    1500.00  1.635514286222276E-03  4.553470051193385E-07 141658591	  15    1400.00    1500.00  1.652796872068102E-03  4.606578748425526E-07 141658591	  15    1400.00    1500.00  1.652796872068102E-03  4.606578748425526E-07 141658591	  15    1400.00    1500.00  1.649307715838672E-03  4.592100632797985E-07 141658591
  16    1500.00    1600.00  1.648291089747627E-03  4.902138223109032E-07 136484551	  16    1500.00    1600.00  1.648291089747627E-03  4.902138223109032E-07 136484551	  16    1500.00    1600.00  1.627514119774026E-03  4.841292422296460E-07 136484551	  16    1500.00    1600.00  1.627514119774026E-03  4.841292422296460E-07 136484551	  16    1500.00    1600.00  1.660122909638954E-03  4.941081280544397E-07 136484551	  16    1500.00    1600.00  1.660122909638954E-03  4.941081280544397E-07 136484551	  16    1500.00    1600.00  1.648291089747627E-03  4.902138223109032E-07 136484551
  17    1600.00    1700.00  1.629901709929388E-03  5.182422440604895E-07 131127297	  17    1600.00    1700.00  1.629901709929388E-03  5.182422440604895E-07 131127297	  17    1600.00    1700.00  1.602920351870602E-03  5.099020079962642E-07 131127297	  17    1600.00    1700.00  1.602920351870602E-03  5.099020079962642E-07 131127297	  17    1600.00    1700.00  1.649339827985419E-03  5.246595731413038E-07 131127297	  17    1600.00    1700.00  1.649339827985419E-03  5.246595731413038E-07 131127297	  17    1600.00    1700.00  1.629901709929388E-03  5.182422440604895E-07 131127297
  18    1700.00    1800.00  1.598805106611022E-03  5.434760159046044E-07 125755529	  18    1700.00    1800.00  1.598805106611022E-03  5.434760159046044E-07 125755529	  18    1700.00    1800.00  1.566491259904927E-03  5.328831738056891E-07 125755529	  18    1700.00    1800.00  1.566491259904927E-03  5.328831738056891E-07 125755529	  18    1700.00    1800.00  1.624947485045982E-03  5.524466642686437E-07 125755529	  18    1700.00    1800.00  1.624947485045982E-03  5.524466642686437E-07 125755529	  18    1700.00    1800.00  1.598805106611022E-03  5.434760159046044E-07 125755529
  19    1800.00    1900.00  1.557973684394381E-03  5.660285642861307E-07 120479108	  19    1800.00    1900.00  1.557973684394381E-03  5.660285642861307E-07 120479108	  19    1800.00    1900.00  1.521132417061851E-03  5.531970898296025E-07 120479108	  19    1800.00    1900.00  1.521132417061851E-03  5.531970898296025E-07 120479108	  19    1800.00    1900.00  1.589963809499972E-03  5.775644617522118E-07 120479108	  19    1800.00    1900.00  1.589963809499972E-03  5.775644617522118E-07 120479108	  19    1800.00    1900.00  1.557973684394381E-03  5.660285642861307E-07 120479108
  20    1900.00    2000.00  1.514525605978395E-03  5.890899992759830E-07 115398439	  20    1900.00    2000.00  1.514525605978395E-03  5.890899992759830E-07 115398439	  20    1900.00    2000.00  1.473803892650927E-03  5.739657391441067E-07 115398439	  20    1900.00    2000.00  1.473803892650927E-03  5.739657391441067E-07 115398439	  20    1900.00    2000.00  1.551631701346196E-03  6.032629481639557E-07 115398439	  20    1900.00    2000.00  1.551631701346196E-03  6.032629481639557E-07 115398439	  20    1900.00    2000.00  1.514525605978395E-03  5.890899992759830E-07 115398439
  21    2000.00    2100.00  1.462823623101326E-03  6.066894314688746E-07 110570192	  21    2000.00    2100.00  1.462823623101326E-03  6.066894314688746E-07 110570192	  21    2000.00    2100.00  1.419019428819689E-03  5.893965202261240E-07 110570192	  21    2000.00    2100.00  1.419019428819689E-03  5.893965202261240E-07 110570192	  21    2000.00    2100.00  1.504166898373220E-03  6.233969454940079E-07 110570192	  21    2000.00    2100.00  1.504166898373220E-03  6.233969454940079E-07 110570192	  21    2000.00    2100.00  1.462823623101326E-03  6.066894314688746E-07 110570192
  22    2100.00    2200.00  1.410691428964924E-03  6.243553150399910E-07 105894055	  22    2100.00    2200.00  1.410691428964924E-03  6.243553150399910E-07 105894055	  22    2100.00    2200.00  1.364363303179307E-03  6.049160945426423E-07 105894055	  22    2100.00    2200.00  1.364363303179307E-03  6.049160945426423E-07 105894055	  22    2100.00    2200.00  1.455614381152937E-03  6.435783547569746E-07 105894055	  22    2100.00    2200.00  1.455614381152937E-03  6.435783547569746E-07 105894055	  22    2100.00    2200.00  1.410691428964924E-03  6.243553150399910E-07 105894055
  23    2200.00    2300.00  1.356636346747052E-03  6.388997061828423E-07 101490448	  23    2200.00    2300.00  1.356636346747052E-03  6.388997061828423E-07 101490448	  23    2200.00    2300.00  1.308328882351617E-03  6.173509803516068E-07 101490448	  23    2200.00    2300.00  1.308328882351617E-03  6.173509803516068E-07 101490448	  23    2200.00    2300.00  1.404500366474696E-03  6.606168970503083E-07 101490448	  23    2200.00    2300.00  1.404500366474696E-03  6.606168970503083E-07 101490448	  23    2200.00    2300.00  1.356636346747052E-03  6.388997061828423E-07 101490448
  24    2300.00    2400.00  1.304048419405954E-03  6.549653958058207E-07 97284453	  24    2300.00    2400.00  1.304048419405954E-03  6.549653958058207E-07 97284453	  24    2300.00    2400.00  1.254183795194215E-03  6.313069856529726E-07 97284453	  24    2300.00    2400.00  1.254183795194215E-03  6.313069856529726E-07 97284453	  24    2300.00    2400.00  1.354338852990952E-03  6.791761375033839E-07 97284453	  24    2300.00    2400.00  1.354338852990952E-03  6.791761375033839E-07 97284453	  24    2300.00    2400.00  1.304048419405954E-03  6.549653958058207E-07 97284453
  25    2400.00    2500.00  1.246886674095198E-03  6.626400425183512E-07 93321785	  25    2400.00    2500.00  1.246886674095198E-03  6.626400425183512E-07 93321785	  25    2400.00    2500.00  1.196043696638515E-03  6.371000456693214E-07 93321785	  25    2400.00    2500.00  1.196043696638515E-03  6.371000456693214E-07 93321785	  25    2400.00    2500.00  1.298934378806049E-03  6.891328503239667E-07 93321785	  25    2400.00    2500.00  1.298934378806049E-03  6.891328503239667E-07 93321785	  25    2400.00    2500.00  1.246886674095198E-03  6.626400425183512E-07 93321785
