# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  4.115914167317669E-06  3.519407771385201E-08 9607929	   7     600.00     700.00  4.115914167317669E-06  3.519407771385201E-08 9607929	   7     600.00     700.00  4.305041935390500E-06  3.639493292462943E-08 9607929	   7     600.00     700.00  4.305041935390500E-06  3.639493292462943E-08 9607929	   7     600.00     700.00  3.872295541838944E-06  3.359417229455937E-08 9607929	   7     600.00     700.00  3.872295541838944E-06  3.359417229455937E-08 9607929	   7     600.00     700.00  4.115914167317669E-06  3.519407771385201E-08 9607929
   8     700.00     800.00  2.015189121337250E-04  3.824761583399240E-07 85805482	   8     700.00     800.00  2.015189121337250E-04  3.824761583399240E-07 85805482	   8     700.00     800.00  2.091161981782619E-04  3.901196126190711E-07 85805482	   8     700.00     800.00  2.091161981782619E-04  3.901196126190711E-07 85805482	   8     700.00     800.00  1.914023888722911E-04  3.715190038897172E-07 85805482	   8     700.00     800.00  1.914023888722911E-04  3.715190038897172E-07 85805482	   8     700.00     800.00  2.015189121337250E-04  3.824761583399240E-07 85805482
   9     800.00     900.00  6.062385018180171E-04  8.772750574243272E-07 146363396	   9     800.00     900.00  6.062385018180171E-04  8.772750574243272E-07 146363396	   9     800.00     900.00  6.240802179385792E-04  8.922312604721165E-07 146363396	   9     800.00     900.00  6.240802179385792E-04  8.922312604721165E-07 146363396	   9     800.00     900.00  5.813332762115862E-04  8.541474970646741E-07 146363396	   9     800.00     900.00  5.813332762115862E-04  8.541474970646741E-07 146363396	   9     800.00     900.00  6.062385018180171E-04  8.772750574243272E-07 146363396
  10     900.00    1000.00  9.373220033984797E-04  1.324599039757552E-06 180264389	  10     900.00    1000.00  9.373220033984797E-04  1.324599039757552E-06 180264389	  10     900.00    1000.00  9.575978610118428E-04  1.341529236686694E-06 180264389	  10     900.00    1000.00  9.575978610118428E-04  1.341529236686694E-06 180264389	  10     900.00    1000.00  9.069925726168636E-04  1.295931254778399E-06 180264389	  10     900.00    1000.00  9.069925726168636E-04  1.295931254778399E-06 180264389	  10     900.00    1000.00  9.373220033984797E-04  1.324599039757552E-06 180264389
  11    1000.00    1100.00  1.159723952909757E-03  2.060065042958268E-06 196172364	  11    1000.00    1100.00  1.159723952909757E-03  2.060065042958268E-06 196172364	  11    1000.00    1100.00  1.176900111145927E-03  2.058403273207591E-06 196172364	  11    1000.00    1100.00  1.176900111145927E-03  2.058403273207591E-06 196172364	  11    1000.00    1100.00  1.131175603302139E-03  2.048533970330145E-06 196172364	  11    1000.00    1100.00  1.131175603302139E-03  2.048533970330145E-06 196172364	  11    1000.00    1100.00  1.159723952909757E-03  2.060065042958268E-06 196172364
  12    1100.00    1200.00  1.301440808297752E-03  2.115267573266203E-06 201138533	  12    1100.00    1200.00  1.301440808297752E-03  2.115267573266203E-06 201138533	  12    1100.00    1200.00  1.312689814337491E-03  2.115471891132594E-06 201138533	  12    1100.00    1200.00  1.312689814337491E-03  2.115471891132594E-06 201138533	  12    1100.00    1200.00  1.278625522260906E-03  2.100900266259521E-06 201138533	  12    1100.00    1200.00  1.278625522260906E-03  2.100900266259521E-06 201138533	  12    1100.00    1200.00  1.301440808297752E-03  2.115267573266203E-06 201138533
  13    1200.00    1300.00  1.379509866335145E-03  2.643114486379264E-06 200249759	  13    1200.00    1300.00  1.379509866335145E-03  2.643114486379264E-06 200249759	  13    1200.00    1300.00  1.383879108017862E-03  2.632115763948960E-06 200249759	  13    1200.00    1300.00  1.383879108017862E-03  2.632115763948960E-06 200249759	  13    1200.00    1300.00  1.364101692737854E-03  2.638803547505931E-06 200249759	  13    1200.00    1300.00  1.364101692737854E-03  2.638803547505931E-06 200249759	  13    1200.00    1300.00  1.379509866335145E-03  2.643114486379264E-06 200249759
  14    1300.00    1400.00  1.426308623068415E-03  3.060528300244849E-06 196279454	  14    1300.00    1400.00  1.426308623068415E-03  3.060528300244849E-06 196279454	  14    1300.00    1400.00  1.423559951204362E-03  3.031120627382558E-06 196279454	  14    1300.00    1400.00  1.423559951204362E-03  3.031120627382558E-06 196279454	  14    1300.00    1400.00  1.418883011225650E-03  3.075939234994838E-06 196279454	  14    1300.00    1400.00  1.418883011225650E-03  3.075939234994838E-06 196279454	  14    1300.00    1400.00  1.426308623068415E-03  3.060528300244849E-06 196279454
  15    1400.00    1500.00  1.432347637761353E-03  3.576811676625703E-06 190667550	  15    1400.00    1500.00  1.432347637761353E-03  3.576811676625703E-06 190667550	  15    1400.00    1500.00  1.423128681620862E-03  3.529628980868452E-06 190667550	  15    1400.00    1500.00  1.423128681620862E-03  3.529628980868452E-06 190667550	  15    1400.00    1500.00  1.432529872028935E-03  3.609819430324278E-06 190667550	  15    1400.00    1500.00  1.432529872028935E-03  3.609819430324278E-06 190667550	  15    1400.00    1500.00  1.432347637761353E-03  3.576811676625703E-06 190667550
  16    1500.00    1600.00  1.427626378045529E-03  3.659877338307797E-06 184280972	  16    1500.00    1600.00  1.427626378045529E-03  3.659877338307797E-06 184280972	  16    1500.00    1600.00  1.412438028747013E-03  3.594008446892842E-06 184280972	  16    1500.00    1600.00  1.412438028747013E-03  3.594008446892842E-06 184280972	  16    1500.00    1600.00  1.434937333150049E-03  3.714555801963618E-06 184280972	  16    1500.00    1600.00  1.434937333150049E-03  3.714555801963618E-06 184280972	  16    1500.00    1600.00  1.427626378045529E-03  3.659877338307797E-06 184280972
  17    1600.00    1700.00  1.404928046869614E-03  4.073083608981814E-06 177551293	  17    1600.00    1700.00  1.404928046869614E-03  4.073083608981814E-06 177551293	  17    1600.00    1700.00  1.384416813518562E-03  3.991441325580156E-06 177551293	  17    1600.00    1700.00  1.384416813518562E-03  3.991441325580156E-06 177551293	  17    1600.00    1700.00  1.418806788991970E-03  4.144158494742578E-06 177551293	  17    1600.00    1700.00  1.418806788991970E-03  4.144158494742578E-06 177551293	  17    1600.00    1700.00  1.404928046869614E-03  4.073083608981814E-06 177551293
  18    1700.00    1800.00  1.371372097957303E-03  4.210170556176941E-06 170732818	  18    1700.00    1800.00  1.371372097957303E-03  4.210170556176941E-06 170732818	  18    1700.00    1800.00  1.346453897521007E-03  4.097888235164690E-06 170732818	  18    1700.00    1800.00  1.346453897521007E-03  4.097888235164690E-06 170732818	  18    1700.00    1800.00  1.390839853347225E-03  4.319620405240346E-06 170732818	  18    1700.00    1800.00  1.390839853347225E-03  4.319620405240346E-06 170732818	  18    1700.00    1800.00  1.371372097957303E-03  4.210170556176941E-06 170732818
  19    1800.00    1900.00  1.324918271531094E-03  4.822614342773363E-06 164016015	  19    1800.00    1900.00  1.324918271531094E-03  4.822614342773363E-06 164016015	  19    1800.00    1900.00  1.296282242297011E-03  4.695883286162258E-06 164016015	  19    1800.00    1900.00  1.296282242297011E-03  4.695883286162258E-06 164016015	  19    1800.00    1900.00  1.349266989661094E-03  4.943888765841894E-06 164016015	  19    1800.00    1900.00  1.349266989661094E-03  4.943888765841894E-06 164016015	  19    1800.00    1900.00  1.324918271531094E-03  4.822614342773363E-06 164016015
  20    1900.00    2000.00  1.264701886575824E-03  6.083487380607090E-06 157463779	  20    1900.00    2000.00  1.264701886575824E-03  6.083487380607090E-06 157463779	  20    1900.00    2000.00  1.233464475426294E-03  5.874432171055180E-06 157463779	  20    1900.00    2000.00  1.233464475426294E-03  5.874432171055180E-06 157463779	  20    1900.00    2000.00  1.292696495900240E-03  6.298785501338507E-06 157463779	  20    1900.00    2000.00  1.292696495900240E-03  6.298785501338507E-06 157463779	  20    1900.00    2000.00  1.264701886575824E-03  6.083487380607090E-06 157463779
  21    2000.00    2100.00  1.227362585587955E-03  6.305252138043240E-06 151175326	  21    2000.00    2100.00  1.227362585587955E-03  6.305252138043240E-06 151175326	  21    2000.00    2100.00  1.193327536177866E-03  6.060339984764684E-06 151175326	  21    2000.00    2100.00  1.193327536177866E-03  6.060339984764684E-06 151175326	  21    2000.00    2100.00  1.259092785957904E-03  6.566636674312975E-06 151175326	  21    2000.00    2100.00  1.259092785957904E-03  6.566636674312975E-06 151175326	  21    2000.00    2100.00  1.227362585587955E-03  6.305252138043240E-06 151175326
  22    2100.00    2200.00  1.178803112746425E-03  5.698898881880081E-06 145100334	  22    2100.00    2200.00  1.178803112746425E-03  5.698898881880081E-06 145100334	  22    2100.00    2200.00  1.142712533203425E-03  5.500332687947207E-06 145100334	  22    2100.00    2200.00  1.142712533203425E-03  5.500332687947207E-06 145100334	  22    2100.00    2200.00  1.213489848774945E-03  5.901621252250761E-06 145100334	  22    2100.00    2200.00  1.213489848774945E-03  5.901621252250761E-06 145100334	  22    2100.00    2200.00  1.178803112746425E-03  5.698898881880081E-06 145100334
  23    2200.00    2300.00  1.126115928544030E-03  6.610443998507489E-06 139327358	  23    2200.00    2300.00  1.126115928544030E-03  6.610443998507489E-06 139327358	  23    2200.00    2300.00  1.088389781608492E-03  6.373011066316038E-06 139327358	  23    2200.00    2300.00  1.088389781608492E-03  6.373011066316038E-06 139327358	  23    2200.00    2300.00  1.163276404128909E-03  6.855051948737126E-06 139327358	  23    2200.00    2300.00  1.163276404128909E-03  6.855051948737126E-06 139327358	  23    2200.00    2300.00  1.126115928544030E-03  6.610443998507489E-06 139327358
  24    2300.00    2400.00  1.078103325193896E-03  7.161401157442497E-06 133803594	  24    2300.00    2400.00  1.078103325193896E-03  7.161401157442497E-06 133803594	  24    2300.00    2400.00  1.039140847983728E-03  6.900479316529767E-06 133803594	  24    2300.00    2400.00  1.039140847983728E-03  6.900479316529767E-06 133803594	  24    2300.00    2400.00  1.117231367322098E-03  7.430292657393268E-06 133803594	  24    2300.00    2400.00  1.117231367322098E-03  7.430292657393268E-06 133803594	  24    2300.00    2400.00  1.078103325193896E-03  7.161401157442497E-06 133803594
  25    2400.00    2500.00  1.026844359574067E-03  7.348755871041886E-06 128550733	  25    2400.00    2500.00  1.026844359574067E-03  7.348755871041886E-06 128550733	  25    2400.00    2500.00  9.873803947564683E-04  7.029226732094971E-06 128550733	  25    2400.00    2500.00  9.873803947564683E-04  7.029226732094971E-06 128550733	  25    2400.00    2500.00  1.067055142845360E-03  7.688319527887269E-06 128550733	  25    2400.00    2500.00  1.067055142845360E-03  7.688319527887269E-06 128550733	  25    2400.00    2500.00  1.026844359574067E-03  7.348755871041886E-06 128550733
