# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  3.905908314673924E-01  3.509026475886173E-04 120428914	   1      -2.50      -2.25  3.905908314673924E-01  3.509026475886173E-04 120428914	   1      -2.50      -2.25  3.711013891703450E-01  3.231482899535892E-04 120428914	   1      -2.50      -2.25  3.711013891703450E-01  3.231482899535892E-04 120428914	   1      -2.50      -2.25  4.117963276873625E-01  3.840850725276579E-04 120428914	   1      -2.50      -2.25  4.117963276873625E-01  3.840850725276579E-04 120428914	   1      -2.50      -2.25  3.905908314673924E-01  3.509026475886173E-04 120428914
   2      -2.25      -2.00  5.130123942032204E-01  3.848288885442750E-04 149924424	   2      -2.25      -2.00  5.130123942032204E-01  3.848288885442750E-04 149924424	   2      -2.25      -2.00  4.885329995421047E-01  3.565096863203787E-04 149924424	   2      -2.25      -2.00  4.885329995421047E-01  3.565096863203787E-04 149924424	   2      -2.25      -2.00  5.394994215513729E-01  4.182560078504370E-04 149924424	   2      -2.25      -2.00  5.394994215513729E-01  4.182560078504370E-04 149924424	   2      -2.25      -2.00  5.130123942032204E-01  3.848288885442750E-04 149924424
   3      -2.00      -1.75  6.409185696532153E-01  4.123881870441106E-04 180413970	   3      -2.00      -1.75  6.409185696532153E-01  4.123881870441106E-04 180413970	   3      -2.00      -1.75  6.115663837209393E-01  3.835188857053881E-04 180413970	   3      -2.00      -1.75  6.115663837209393E-01  3.835188857053881E-04 180413970	   3      -2.00      -1.75  6.725087847838226E-01  4.462616152131899E-04 180413970	   3      -2.00      -1.75  6.725087847838226E-01  4.462616152131899E-04 180413970	   3      -2.00      -1.75  6.409185696532153E-01  4.123881870441106E-04 180413970
   4      -1.75      -1.50  7.678904736466139E-01  4.283534176491217E-04 210813237	   4      -1.75      -1.50  7.678904736466139E-01  4.283534176491217E-04 210813237	   4      -1.75      -1.50  7.340173990813277E-01  3.991112133576332E-04 210813237	   4      -1.75      -1.50  7.340173990813277E-01  3.991112133576332E-04 210813237	   4      -1.75      -1.50  8.041619865929898E-01  4.626302325174433E-04 210813237	   4      -1.75      -1.50  8.041619865929898E-01  4.626302325174433E-04 210813237	   4      -1.75      -1.50  7.678904736466139E-01  4.283534176491217E-04 210813237
   5      -1.50      -1.25  8.893927604190180E-01  4.373786262991865E-04 239946583	   5      -1.50      -1.25  8.893927604190180E-01  4.373786262991865E-04 239946583	   5      -1.50      -1.25  8.513645254267714E-01  4.083978762336966E-04 239946583	   5      -1.50      -1.25  8.513645254267714E-01  4.083978762336966E-04 239946583	   5      -1.50      -1.25  9.299404489404767E-01  4.712544957743210E-04 239946583	   5      -1.50      -1.25  9.299404489404767E-01  4.712544957743210E-04 239946583	   5      -1.50      -1.25  8.893927604190180E-01  4.373786262991865E-04 239946583
   6      -1.25      -1.00  9.984276711880740E-01  4.355769208332050E-04 266284657	   6      -1.25      -1.00  9.984276711880740E-01  4.355769208332050E-04 266284657	   6      -1.25      -1.00  9.569053856795533E-01  4.078800872155676E-04 266284657	   6      -1.25      -1.00  9.569053856795533E-01  4.078800872155676E-04 266284657	   6      -1.25      -1.00  1.042523817678416E+00  4.677667019887015E-04 266284657	   6      -1.25      -1.00  1.042523817678416E+00  4.677667019887015E-04 266284657	   6      -1.25      -1.00  9.984276711880740E-01  4.355769208332050E-04 266284657
   7      -1.00      -0.75  1.091349122112457E+00  4.310864644246230E-04 288887486	   7      -1.00      -0.75  1.091349122112457E+00  4.310864644246230E-04 288887486	   7      -1.00      -0.75  1.047023798485030E+00  4.044369043729395E-04 288887486	   7      -1.00      -0.75  1.047023798485030E+00  4.044369043729395E-04 288887486	   7      -1.00      -0.75  1.138251529148280E+00  4.619852121206507E-04 288887486	   7      -1.00      -0.75  1.138251529148280E+00  4.619852121206507E-04 288887486	   7      -1.00      -0.75  1.091349122112457E+00  4.310864644246230E-04 288887486
   8      -0.75      -0.50  1.164200715158353E+00  4.296438581049295E-04 306656335	   8      -0.75      -0.50  1.164200715158353E+00  4.296438581049295E-04 306656335	   8      -0.75      -0.50  1.117739397445669E+00  4.032630244068918E-04 306656335	   8      -0.75      -0.50  1.117739397445669E+00  4.032630244068918E-04 306656335	   8      -0.75      -0.50  1.213231520797242E+00  4.603017741741928E-04 306656335	   8      -0.75      -0.50  1.213231520797242E+00  4.603017741741928E-04 306656335	   8      -0.75      -0.50  1.164200715158353E+00  4.296438581049295E-04 306656335
   9      -0.50      -0.25  1.214104719258424E+00  4.178617457191120E-04 318987869	   9      -0.50      -0.25  1.214104719258424E+00  4.178617457191120E-04 318987869	   9      -0.50      -0.25  1.166218804915849E+00  3.929097068279247E-04 318987869	   9      -0.50      -0.25  1.166218804915849E+00  3.929097068279247E-04 318987869	   9      -0.50      -0.25  1.264545377582834E+00  4.467327813229031E-04 318987869	   9      -0.50      -0.25  1.264545377582834E+00  4.467327813229031E-04 318987869	   9      -0.50      -0.25  1.214104719258424E+00  4.178617457191120E-04 318987869
  10      -0.25       0.00  1.240550540206148E+00  4.134878081233715E-04 325367073	  10      -0.25       0.00  1.240550540206148E+00  4.134878081233715E-04 325367073	  10      -0.25       0.00  1.191919506089839E+00  3.891127586330983E-04 325367073	  10      -0.25       0.00  1.191919506089839E+00  3.891127586330983E-04 325367073	  10      -0.25       0.00  1.291725410381809E+00  4.416352469063681E-04 325367073	  10      -0.25       0.00  1.291725410381809E+00  4.416352469063681E-04 325367073	  10      -0.25       0.00  1.240550540206148E+00  4.134878081233715E-04 325367073
