# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  3.257429353347667E-01  3.643536269962451E-03 151345576	   1      -2.50      -2.25  3.257429353347667E-01  3.643536269962451E-03 151345576	   1      -2.50      -2.25  3.109051464754931E-01  3.327197835959002E-03 151345576	   1      -2.50      -2.25  3.109051464754931E-01  3.327197835959002E-03 151345576	   1      -2.50      -2.25  3.417506355449302E-01  4.020645716220909E-03 151345576	   1      -2.50      -2.25  3.417506355449302E-01  4.020645716220909E-03 151345576	   1      -2.50      -2.25  3.257429353347667E-01  3.643536269962451E-03 151345576
   2      -2.25      -2.00  4.121666563091735E-01  5.738598418731715E-03 188994192	   2      -2.25      -2.00  4.121666563091735E-01  5.738598418731715E-03 188994192	   2      -2.25      -2.00  3.948678463625613E-01  5.249720020434037E-03 188994192	   2      -2.25      -2.00  3.948678463625613E-01  5.249720020434037E-03 188994192	   2      -2.25      -2.00  4.305664087494721E-01  6.322855146726997E-03 188994192	   2      -2.25      -2.00  4.305664087494721E-01  6.322855146726997E-03 188994192	   2      -2.25      -2.00  4.121666563091735E-01  5.738598418731715E-03 188994192
   3      -2.00      -1.75  5.170054948144281E-01  6.013372171526146E-03 228048748	   3      -2.00      -1.75  5.170054948144281E-01  6.013372171526146E-03 228048748	   3      -2.00      -1.75  4.959781995942409E-01  5.590324464348505E-03 228048748	   3      -2.00      -1.75  4.959781995942409E-01  5.590324464348505E-03 228048748	   3      -2.00      -1.75  5.393097129839893E-01  6.503800904353352E-03 228048748	   3      -2.00      -1.75  5.393097129839893E-01  6.503800904353352E-03 228048748	   3      -2.00      -1.75  5.170054948144281E-01  6.013372171526146E-03 228048748
   4      -1.75      -1.50  6.277660262434582E-01  5.649629008082893E-03 267175116	   4      -1.75      -1.50  6.277660262434582E-01  5.649629008082893E-03 267175116	   4      -1.75      -1.50  6.029093067512077E-01  5.258120493670291E-03 267175116	   4      -1.75      -1.50  6.029093067512077E-01  5.258120493670291E-03 267175116	   4      -1.75      -1.50  6.540458614726279E-01  6.104665752603424E-03 267175116	   4      -1.75      -1.50  6.540458614726279E-01  6.104665752603424E-03 267175116	   4      -1.75      -1.50  6.277660262434582E-01  5.649629008082893E-03 267175116
   5      -1.50      -1.25  7.070303000663548E-01  8.205815452248256E-03 304787567	   5      -1.50      -1.25  7.070303000663548E-01  8.205815452248256E-03 304787567	   5      -1.50      -1.25  6.805402996627775E-01  7.661754722767793E-03 304787567	   5      -1.50      -1.25  6.805402996627775E-01  7.661754722767793E-03 304787567	   5      -1.50      -1.25  7.347819965349148E-01  8.838298069471551E-03 304787567	   5      -1.50      -1.25  7.347819965349148E-01  8.838298069471551E-03 304787567	   5      -1.50      -1.25  7.070303000663548E-01  8.205815452248256E-03 304787567
   6      -1.25      -1.00  8.121690510001076E-01  6.389773682496429E-03 339075407	   6      -1.25      -1.00  8.121690510001076E-01  6.389773682496429E-03 339075407	   6      -1.25      -1.00  7.823062410862185E-01  5.892788871477726E-03 339075407	   6      -1.25      -1.00  7.823062410862185E-01  5.892788871477726E-03 339075407	   6      -1.25      -1.00  8.433720957611512E-01  6.975884363138182E-03 339075407	   6      -1.25      -1.00  8.433720957611512E-01  6.975884363138182E-03 339075407	   6      -1.25      -1.00  8.121690510001076E-01  6.389773682496429E-03 339075407
   7      -1.00      -0.75  8.808902040029236E-01  6.030528740647069E-03 368485783	   7      -1.00      -0.75  8.808902040029236E-01  6.030528740647069E-03 368485783	   7      -1.00      -0.75  8.495989509212295E-01  5.592907719888469E-03 368485783	   7      -1.00      -0.75  8.495989509212295E-01  5.592907719888469E-03 368485783	   7      -1.00      -0.75  9.133850100092673E-01  6.542638658962424E-03 368485783	   7      -1.00      -0.75  9.133850100092673E-01  6.542638658962424E-03 368485783	   7      -1.00      -0.75  8.808902040029236E-01  6.030528740647069E-03 368485783
   8      -0.75      -0.50  9.446208581615313E-01  6.068778030570659E-03 391828870	   8      -0.75      -0.50  9.446208581615313E-01  6.068778030570659E-03 391828870	   8      -0.75      -0.50  9.111845255545555E-01  5.640236679874180E-03 391828870	   8      -0.75      -0.50  9.111845255545555E-01  5.640236679874180E-03 391828870	   8      -0.75      -0.50  9.793525806857148E-01  6.570997759682961E-03 391828870	   8      -0.75      -0.50  9.793525806857148E-01  6.570997759682961E-03 391828870	   8      -0.75      -0.50  9.446208581615313E-01  6.068778030570659E-03 391828870
   9      -0.50      -0.25  9.855492639343361E-01  9.124959223172921E-03 408113011	   9      -0.50      -0.25  9.855492639343361E-01  9.124959223172921E-03 408113011	   9      -0.50      -0.25  9.513893652992056E-01  8.293888594049866E-03 408113011	   9      -0.50      -0.25  9.513893652992056E-01  8.293888594049866E-03 408113011	   9      -0.50      -0.25  1.020893921893107E+00  1.012183030405913E-02 408113011	   9      -0.50      -0.25  1.020893921893107E+00  1.012183030405913E-02 408113011	   9      -0.50      -0.25  9.855492639343361E-01  9.124959223172921E-03 408113011
  10      -0.25       0.00  9.956780796727905E-01  5.759226904354967E-03 416711729	  10      -0.25       0.00  9.956780796727905E-01  5.759226904354967E-03 416711729	  10      -0.25       0.00  9.614275300657493E-01  5.358058093003716E-03 416711729	  10      -0.25       0.00  9.614275300657493E-01  5.358058093003716E-03 416711729	  10      -0.25       0.00  1.031085643734846E+00  6.226489006891542E-03 416711729	  10      -0.25       0.00  1.031085643734846E+00  6.226489006891542E-03 416711729	  10      -0.25       0.00  9.956780796727905E-01  5.759226904354967E-03 416711729
