# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  4.711525505436998E-01  3.768741384663588E-04 135293835	   3      -4.00      -3.75  4.711525505436998E-01  3.768741384663588E-04 135293835	   3      -4.00      -3.75  4.401922718942730E-01  3.443848876481656E-04 135293835	   3      -4.00      -3.75  4.401922718942730E-01  3.443848876481656E-04 135293835	   3      -4.00      -3.75  5.061174184505840E-01  4.159284061262966E-04 135293835	   3      -4.00      -3.75  5.061174184505840E-01  4.159284061262966E-04 135293835	   3      -4.00      -3.75  4.711525505436998E-01  3.768741384663588E-04 135293835
   4      -3.75      -3.50  6.167713351269157E-01  4.410618744972408E-04 154902999	   4      -3.75      -3.50  6.167713351269157E-01  4.410618744972408E-04 154902999	   4      -3.75      -3.50  5.789597293054427E-01  4.047670917740912E-04 154902999	   4      -3.75      -3.50  5.789597293054427E-01  4.047670917740912E-04 154902999	   4      -3.75      -3.50  6.591312372951300E-01  4.844649931971514E-04 154902999	   4      -3.75      -3.50  6.591312372951300E-01  4.844649931971514E-04 154902999	   4      -3.75      -3.50  6.167713351269157E-01  4.410618744972408E-04 154902999
   5      -3.50      -3.25  7.446671529314995E-01  4.775610526960854E-04 171112532	   5      -3.50      -3.25  7.446671529314995E-01  4.775610526960854E-04 171112532	   5      -3.50      -3.25  7.021171018598471E-01  4.408623891508532E-04 171112532	   5      -3.50      -3.25  7.021171018598471E-01  4.408623891508532E-04 171112532	   5      -3.50      -3.25  7.919439771878076E-01  5.210398977360740E-04 171112532	   5      -3.50      -3.25  7.919439771878076E-01  5.210398977360740E-04 171112532	   5      -3.50      -3.25  7.446671529314995E-01  4.775610526960854E-04 171112532
   6      -3.25      -3.00  8.377076127451437E-01  4.988301100197194E-04 183508032	   6      -3.25      -3.00  8.377076127451437E-01  4.988301100197194E-04 183508032	   6      -3.25      -3.00  7.930771561975979E-01  4.621503380187181E-04 183508032	   6      -3.25      -3.00  7.930771561975979E-01  4.621503380187181E-04 183508032	   6      -3.25      -3.00  8.868813154641876E-01  5.421297173425507E-04 183508032	   6      -3.25      -3.00  8.868813154641876E-01  5.421297173425507E-04 183508032	   6      -3.25      -3.00  8.377076127451437E-01  4.988301100197194E-04 183508032
   7      -3.00      -2.75  8.854284979087019E-01  4.853064374995337E-04 191835540	   7      -3.00      -2.75  8.854284979087019E-01  4.853064374995337E-04 191835540	   7      -3.00      -2.75  8.415422983079742E-01  4.527166920783967E-04 191835540	   7      -3.00      -2.75  8.415422983079742E-01  4.527166920783967E-04 191835540	   7      -3.00      -2.75  9.333358607277165E-01  5.232381819735804E-04 191835540	   7      -3.00      -2.75  9.333358607277165E-01  5.232381819735804E-04 191835540	   7      -3.00      -2.75  8.854284979087019E-01  4.853064374995337E-04 191835540
   8      -2.75      -2.50  8.897961999442960E-01  4.572719236184111E-04 196002163	   8      -2.75      -2.50  8.897961999442960E-01  4.572719236184111E-04 196002163	   8      -2.75      -2.50  8.487686544796784E-01  4.284975268965694E-04 196002163	   8      -2.75      -2.50  8.487686544796784E-01  4.284975268965694E-04 196002163	   8      -2.75      -2.50  9.341403532228154E-01  4.905067057215134E-04 196002163	   8      -2.75      -2.50  9.341403532228154E-01  4.905067057215134E-04 196002163	   8      -2.75      -2.50  8.897961999442960E-01  4.572719236184111E-04 196002163
   9      -2.50      -2.25  8.533646946626835E-01  4.182198210492196E-04 195972528	   9      -2.50      -2.25  8.533646946626835E-01  4.182198210492196E-04 195972528	   9      -2.50      -2.25  8.169093551474627E-01  3.937441216404120E-04 195972528	   9      -2.50      -2.25  8.169093551474627E-01  3.937441216404120E-04 195972528	   9      -2.50      -2.25  8.923082925364845E-01  4.462261704844805E-04 195972528	   9      -2.50      -2.25  8.923082925364845E-01  4.462261704844805E-04 195972528	   9      -2.50      -2.25  8.533646946626835E-01  4.182198210492196E-04 195972528
  10      -2.25      -2.00  7.897274166814238E-01  3.643745373046635E-04 191880126	  10      -2.25      -2.00  7.897274166814238E-01  3.643745373046635E-04 191880126	  10      -2.25      -2.00  7.585570837015196E-01  3.447978065337965E-04 191880126	  10      -2.25      -2.00  7.585570837015196E-01  3.447978065337965E-04 191880126	  10      -2.25      -2.00  8.225753674666315E-01  3.865351030082354E-04 191880126	  10      -2.25      -2.00  8.225753674666315E-01  3.865351030082354E-04 191880126	  10      -2.25      -2.00  7.897274166814238E-01  3.643745373046635E-04 191880126
  11      -2.00      -1.75  7.089169573966000E-01  3.163782370540567E-04 183979806	  11      -2.00      -1.75  7.089169573966000E-01  3.163782370540567E-04 183979806	  11      -2.00      -1.75  6.831007043753007E-01  3.005508556115460E-04 183979806	  11      -2.00      -1.75  6.831007043753007E-01  3.005508556115460E-04 183979806	  11      -2.00      -1.75  7.357027192179558E-01  3.341293455664448E-04 183979806	  11      -2.00      -1.75  7.357027192179558E-01  3.341293455664448E-04 183979806	  11      -2.00      -1.75  7.089169573966000E-01  3.163782370540567E-04 183979806
