# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  3.880901286091436E-01  4.811729479628672E-03 167505568	   3      -4.00      -3.75  3.880901286091436E-01  4.811729479628672E-03 167505568	   3      -4.00      -3.75  3.647558160233031E-01  4.328263763280888E-03 167505568	   3      -4.00      -3.75  3.647558160233031E-01  4.328263763280888E-03 167505568	   3      -4.00      -3.75  4.141702766554000E-01  5.405001084759989E-03 167505568	   3      -4.00      -3.75  4.141702766554000E-01  5.405001084759989E-03 167505568	   3      -4.00      -3.75  3.880901286091436E-01  4.811729479628672E-03 167505568
   4      -3.75      -3.50  5.100314796936157E-01  5.870237041130186E-03 192531758	   4      -3.75      -3.50  5.100314796936157E-01  5.870237041130186E-03 192531758	   4      -3.75      -3.50  4.815180080399437E-01  5.275612104432436E-03 192531758	   4      -3.75      -3.50  4.815180080399437E-01  5.275612104432436E-03 192531758	   4      -3.75      -3.50  5.416508473304429E-01  6.596279715788762E-03 192531758	   4      -3.75      -3.50  5.416508473304429E-01  6.596279715788762E-03 192531758	   4      -3.75      -3.50  5.100314796936157E-01  5.870237041130186E-03 192531758
   5      -3.50      -3.25  6.150546149557753E-01  5.737348989864714E-03 213450380	   5      -3.50      -3.25  6.150546149557753E-01  5.737348989864714E-03 213450380	   5      -3.50      -3.25  5.829680657947836E-01  5.211998521073049E-03 213450380	   5      -3.50      -3.25  5.829680657947836E-01  5.211998521073049E-03 213450380	   5      -3.50      -3.25  6.503535805906633E-01  6.373918417816172E-03 213450380	   5      -3.50      -3.25  6.503535805906633E-01  6.373918417816172E-03 213450380	   5      -3.50      -3.25  6.150546149557753E-01  5.737348989864714E-03 213450380
   6      -3.25      -3.00  6.724719304596545E-01  9.672441795584859E-03 229667866	   6      -3.25      -3.00  6.724719304596545E-01  9.672441795584859E-03 229667866	   6      -3.25      -3.00  6.404848044435455E-01  8.891567520052102E-03 229667866	   6      -3.25      -3.00  6.404848044435455E-01  8.891567520052102E-03 229667866	   6      -3.25      -3.00  7.072643075135180E-01  1.058916168093170E-02 229667866	   6      -3.25      -3.00  7.072643075135180E-01  1.058916168093170E-02 229667866	   6      -3.25      -3.00  6.724719304596545E-01  9.672441795584859E-03 229667866
   7      -3.00      -2.75  7.191090582129587E-01  1.037069580202507E-02 240769471	   7      -3.00      -2.75  7.191090582129587E-01  1.037069580202507E-02 240769471	   7      -3.00      -2.75  6.870295315786380E-01  9.491793645787302E-03 240769471	   7      -3.00      -2.75  6.870295315786380E-01  9.491793645787302E-03 240769471	   7      -3.00      -2.75  7.537339055559630E-01  1.140438884157718E-02 240769471	   7      -3.00      -2.75  7.537339055559630E-01  1.140438884157718E-02 240769471	   7      -3.00      -2.75  7.191090582129587E-01  1.037069580202507E-02 240769471
   8      -2.75      -2.50  7.160261037286868E-01  6.601608970749925E-03 246672080	   8      -2.75      -2.50  7.160261037286868E-01  6.601608970749925E-03 246672080	   8      -2.75      -2.50  6.864448998587932E-01  6.129471790919005E-03 246672080	   8      -2.75      -2.50  6.864448998587932E-01  6.129471790919005E-03 246672080	   8      -2.75      -2.50  7.475972961822884E-01  7.152297146693589E-03 246672080	   8      -2.75      -2.50  7.475972961822884E-01  7.152297146693589E-03 246672080	   8      -2.75      -2.50  7.160261037286868E-01  6.601608970749925E-03 246672080
   9      -2.50      -2.25  6.853590259408371E-01  5.798575129953748E-03 247261553	   9      -2.50      -2.25  6.853590259408371E-01  5.798575129953748E-03 247261553	   9      -2.50      -2.25  6.596969936359164E-01  5.379603734996400E-03 247261553	   9      -2.50      -2.25  6.596969936359164E-01  5.379603734996400E-03 247261553	   9      -2.50      -2.25  7.122861166359750E-01  6.286816670543904E-03 247261553	   9      -2.50      -2.25  7.122861166359750E-01  6.286816670543904E-03 247261553	   9      -2.50      -2.25  6.853590259408371E-01  5.798575129953748E-03 247261553
  10      -2.25      -2.00  6.294480652959203E-01  5.372494140945529E-03 242755610	  10      -2.25      -2.00  6.294480652959203E-01  5.372494140945529E-03 242755610	  10      -2.25      -2.00  6.078400883991738E-01  4.999865299624935E-03 242755610	  10      -2.25      -2.00  6.078400883991738E-01  4.999865299624935E-03 242755610	  10      -2.25      -2.00  6.517636745717590E-01  5.804836888260442E-03 242755610	  10      -2.25      -2.00  6.517636745717590E-01  5.804836888260442E-03 242755610	  10      -2.25      -2.00  6.294480652959203E-01  5.372494140945529E-03 242755610
  11      -2.00      -1.75  5.635894760268061E-01  8.353581530528450E-03 233351551	  11      -2.00      -1.75  5.635894760268061E-01  8.353581530528450E-03 233351551	  11      -2.00      -1.75  5.463179441020551E-01  7.555537216275287E-03 233351551	  11      -2.00      -1.75  5.463179441020551E-01  7.555537216275287E-03 233351551	  11      -2.00      -1.75  5.809687501975896E-01  9.313879663793625E-03 233351551	  11      -2.00      -1.75  5.809687501975896E-01  9.313879663793625E-03 233351551	  11      -2.00      -1.75  5.635894760268061E-01  8.353581530528450E-03 233351551
