# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  7.872567250950821E-10  2.081245296557742E-10 421	   4      -3.75      -3.50  7.872567250950821E-10  2.081245296557742E-10 421	   4      -3.75      -3.50  6.680035871995311E-10  1.784650344056642E-10 421	   4      -3.75      -3.50  6.680035871995311E-10  1.784650344056642E-10 421	   4      -3.75      -3.50  9.374092399581975E-10  2.450583171201032E-10 421	   4      -3.75      -3.50  9.374092399581975E-10  2.450583171201032E-10 421	   4      -3.75      -3.50  7.872567250950821E-10  2.081245296557742E-10 421
   5      -3.50      -3.25  3.677085063897625E-06  8.776980769520577E-08 92264	   5      -3.50      -3.25  3.677085063897625E-06  8.776980769520577E-08 92264	   5      -3.50      -3.25  3.345048991237933E-06  8.076751443840498E-08 92264	   5      -3.50      -3.25  3.345048991237933E-06  8.076751443840498E-08 92264	   5      -3.50      -3.25  4.051624172173596E-06  9.555019860795493E-08 92264	   5      -3.50      -3.25  4.051624172173596E-06  9.555019860795493E-08 92264	   5      -3.50      -3.25  3.677085063897625E-06  8.776980769520577E-08 92264
   6      -3.25      -3.00  1.793803825730073E-04  1.135955365905639E-06 1108009	   6      -3.25      -3.00  1.793803825730073E-04  1.135955365905639E-06 1108009	   6      -3.25      -3.00  1.681594370654531E-04  1.072639699773893E-06 1108009	   6      -3.25      -3.00  1.681594370654531E-04  1.072639699773893E-06 1108009	   6      -3.25      -3.00  1.911957469496718E-04  1.202086316343014E-06 1108009	   6      -3.25      -3.00  1.911957469496718E-04  1.202086316343014E-06 1108009	   6      -3.25      -3.00  1.793803825730073E-04  1.135955365905639E-06 1108009
   7      -3.00      -2.75  2.105548020255608E-03  5.409875870692181E-06 5406209	   7      -3.00      -2.75  2.105548020255608E-03  5.409875870692181E-06 5406209	   7      -3.00      -2.75  2.009246603628403E-03  5.185566493342214E-06 5406209	   7      -3.00      -2.75  2.009246603628403E-03  5.185566493342214E-06 5406209	   7      -3.00      -2.75  2.200698810350811E-03  5.631563580535367E-06 5406209	   7      -3.00      -2.75  2.200698810350811E-03  5.631563580535367E-06 5406209	   7      -3.00      -2.75  2.105548020255608E-03  5.409875870692181E-06 5406209
   8      -2.75      -2.50  1.191378203641624E-02  1.544867542415780E-05 17470347	   8      -2.75      -2.50  1.191378203641624E-02  1.544867542415780E-05 17470347	   8      -2.75      -2.50  1.148945883631947E-02  1.492488740561695E-05 17470347	   8      -2.75      -2.50  1.148945883631947E-02  1.492488740561695E-05 17470347	   8      -2.75      -2.50  1.231015447228443E-02  1.594917480197514E-05 17470347	   8      -2.75      -2.50  1.231015447228443E-02  1.594917480197514E-05 17470347	   8      -2.75      -2.50  1.191378203641624E-02  1.544867542415780E-05 17470347
   9      -2.50      -2.25  4.195890068343410E-02  3.332419287751235E-05 40297915	   9      -2.50      -2.25  4.195890068343410E-02  3.332419287751235E-05 40297915	   9      -2.50      -2.25  4.070222247847867E-02  3.229434531226232E-05 40297915	   9      -2.50      -2.25  4.070222247847867E-02  3.229434531226232E-05 40297915	   9      -2.50      -2.25  4.308757864090643E-02  3.430506249604461E-05 40297915	   9      -2.50      -2.25  4.308757864090643E-02  3.430506249604461E-05 40297915	   9      -2.50      -2.25  4.195890068343410E-02  3.332419287751235E-05 40297915
  10      -2.25      -2.00  1.076198740587483E-01  6.057957894225671E-05 73309487	  10      -2.25      -2.00  1.076198740587483E-01  6.057957894225671E-05 73309487	  10      -2.25      -2.00  1.046628744850795E-01  5.868417755469855E-05 73309487	  10      -2.25      -2.00  1.046628744850795E-01  5.868417755469855E-05 73309487	  10      -2.25      -2.00  1.102458647609851E-01  6.243261268254256E-05 73309487	  10      -2.25      -2.00  1.102458647609851E-01  6.243261268254256E-05 73309487	  10      -2.25      -2.00  1.076198740587483E-01  6.057957894225671E-05 73309487
  11      -2.00      -1.75  2.226322588278970E-01  9.867603299985948E-05 115236901	  11      -2.00      -1.75  2.226322588278970E-01  9.867603299985948E-05 115236901	  11      -2.00      -1.75  2.165552296517844E-01  9.529040538085701E-05 115236901	  11      -2.00      -1.75  2.165552296517844E-01  9.529040538085701E-05 115236901	  11      -2.00      -1.75  2.281195272521800E-01  1.021249720249406E-04 115236901	  11      -2.00      -1.75  2.281195272521800E-01  1.021249720249406E-04 115236901	  11      -2.00      -1.75  2.226322588278970E-01  9.867603299985948E-05 115236901
