# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  1.553904585443022E-09  9.514734380213679E-10 644	   4      -3.75      -3.50  1.553904585443022E-09  9.514734380213679E-10 644	   4      -3.75      -3.50  1.338387201653297E-09  8.108837383063832E-10 644	   4      -3.75      -3.50  1.338387201653297E-09  8.108837383063832E-10 644	   4      -3.75      -3.50  1.816190079781400E-09  1.126888112125155E-09 644	   4      -3.75      -3.50  1.816190079781400E-09  1.126888112125155E-09 644	   4      -3.75      -3.50  1.553904585443022E-09  9.514734380213679E-10 644
   5      -3.50      -3.25  3.326184109454023E-06  1.520280322304903E-07 124958	   5      -3.50      -3.25  3.326184109454023E-06  1.520280322304903E-07 124958	   5      -3.50      -3.25  3.036529045348395E-06  1.393873011886134E-07 124958	   5      -3.50      -3.25  3.036529045348395E-06  1.393873011886134E-07 124958	   5      -3.50      -3.25  3.653391552502235E-06  1.662036461469351E-07 124958	   5      -3.50      -3.25  3.653391552502235E-06  1.662036461469351E-07 124958	   5      -3.50      -3.25  3.326184109454023E-06  1.520280322304903E-07 124958
   6      -3.25      -3.00  1.558585075940679E-04  4.981163957848271E-06 1445823	   6      -3.25      -3.00  1.558585075940679E-04  4.981163957848271E-06 1445823	   6      -3.25      -3.00  1.467675845663591E-04  4.669065156968371E-06 1445823	   6      -3.25      -3.00  1.467675845663591E-04  4.669065156968371E-06 1445823	   6      -3.25      -3.00  1.653691857962171E-04  5.314978893002782E-06 1445823	   6      -3.25      -3.00  1.653691857962171E-04  5.314978893002782E-06 1445823	   6      -3.25      -3.00  1.558585075940679E-04  4.981163957848271E-06 1445823
   7      -3.00      -2.75  1.875294017788088E-03  2.876772017079107E-05 6956409	   7      -3.00      -2.75  1.875294017788088E-03  2.876772017079107E-05 6956409	   7      -3.00      -2.75  1.796513732633050E-03  2.707364818255676E-05 6956409	   7      -3.00      -2.75  1.796513732633050E-03  2.707364818255676E-05 6956409	   7      -3.00      -2.75  1.952346548920313E-03  3.059369975001581E-05 6956409	   7      -3.00      -2.75  1.952346548920313E-03  3.059369975001581E-05 6956409	   7      -3.00      -2.75  1.875294017788088E-03  2.876772017079107E-05 6956409
   8      -2.75      -2.50  1.016272671499109E-02  3.477580234759670E-04 22309881	   8      -2.75      -2.50  1.016272671499109E-02  3.477580234759670E-04 22309881	   8      -2.75      -2.50  9.863662309903629E-03  3.132387350568402E-04 22309881	   8      -2.75      -2.50  9.863662309903629E-03  3.132387350568402E-04 22309881	   8      -2.75      -2.50  1.042580960950863E-02  3.893341924382260E-04 22309881	   8      -2.75      -2.50  1.042580960950863E-02  3.893341924382260E-04 22309881	   8      -2.75      -2.50  1.016272671499109E-02  3.477580234759670E-04 22309881
   9      -2.50      -2.25  3.706449279063526E-02  1.987246434421947E-04 51308561	   9      -2.50      -2.25  3.706449279063526E-02  1.987246434421947E-04 51308561	   9      -2.50      -2.25  3.608669655270454E-02  1.900428993926475E-04 51308561	   9      -2.50      -2.25  3.608669655270454E-02  1.900428993926475E-04 51308561	   9      -2.50      -2.25  3.791677035844879E-02  2.077224495479370E-04 51308561	   9      -2.50      -2.25  3.791677035844879E-02  2.077224495479370E-04 51308561	   9      -2.50      -2.25  3.706449279063526E-02  1.987246434421947E-04 51308561
  10      -2.25      -2.00  9.389688802569747E-02  4.043833097486456E-04 93263668	  10      -2.25      -2.00  9.389688802569747E-02  4.043833097486456E-04 93263668	  10      -2.25      -2.00  9.168143319402997E-02  3.863764156835302E-04 93263668	  10      -2.25      -2.00  9.168143319402997E-02  3.863764156835302E-04 93263668	  10      -2.25      -2.00  9.578386100506038E-02  4.237132105556934E-04 93263668	  10      -2.25      -2.00  9.578386100506038E-02  4.237132105556934E-04 93263668	  10      -2.25      -2.00  9.389688802569747E-02  4.043833097486456E-04 93263668
  11      -2.00      -1.75  1.909673590405921E-01  7.672465225525567E-04 146645642	  11      -2.00      -1.75  1.909673590405921E-01  7.672465225525567E-04 146645642	  11      -2.00      -1.75  1.865255661508750E-01  7.292435924517577E-04 146645642	  11      -2.00      -1.75  1.865255661508750E-01  7.292435924517577E-04 146645642	  11      -2.00      -1.75  1.948096629741307E-01  8.087048945408612E-04 146645642	  11      -2.00      -1.75  1.948096629741307E-01  8.087048945408612E-04 146645642	  11      -2.00      -1.75  1.909673590405921E-01  7.672465225525567E-04 146645642
