# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  8.295582714838358E-01  4.997585689725182E-04 229902400	   3      -4.00      -3.75  8.295582714838358E-01  4.997585689725182E-04 229902400	   3      -4.00      -3.75  7.782596376504165E-01  4.576940143535711E-04 229902400	   3      -4.00      -3.75  7.782596376504165E-01  4.576940143535711E-04 229902400	   3      -4.00      -3.75  8.874544122954695E-01  5.502532099925294E-04 229902400	   3      -4.00      -3.75  8.874544122954695E-01  5.502532099925294E-04 229902400	   3      -4.00      -3.75  8.295582714838358E-01  4.997585689725182E-04 229902400
   4      -3.75      -3.50  9.144847645777452E-01  5.143541661859804E-04 234457080	   4      -3.75      -3.50  9.144847645777452E-01  5.143541661859804E-04 234457080	   4      -3.75      -3.50  8.619776828007040E-01  4.736513614623086E-04 234457080	   4      -3.75      -3.50  8.619776828007040E-01  4.736513614623086E-04 234457080	   4      -3.75      -3.50  9.731617960850728E-01  5.628408149816952E-04 234457080	   4      -3.75      -3.50  9.731617960850728E-01  5.628408149816952E-04 234457080	   4      -3.75      -3.50  9.144847645777452E-01  5.143541661859804E-04 234457080
   5      -3.50      -3.25  9.573618973464374E-01  5.152977248407735E-04 233949204	   5      -3.50      -3.25  9.573618973464374E-01  5.152977248407735E-04 233949204	   5      -3.50      -3.25  9.063338544106851E-01  4.771628676092023E-04 233949204	   5      -3.50      -3.25  9.063338544106851E-01  4.771628676092023E-04 233949204	   5      -3.50      -3.25  1.013800642496307E+00  5.602965025970246E-04 233949204	   5      -3.50      -3.25  1.013800642496307E+00  5.602965025970246E-04 233949204	   5      -3.50      -3.25  9.573618973464374E-01  5.152977248407735E-04 233949204
   6      -3.25      -3.00  9.572867978960272E-01  4.873472574135031E-04 229221489	   6      -3.25      -3.00  9.572867978960272E-01  4.873472574135031E-04 229221489	   6      -3.25      -3.00  9.099510090367103E-01  4.536247666980515E-04 229221489	   6      -3.25      -3.00  9.099510090367103E-01  4.536247666980515E-04 229221489	   6      -3.25      -3.00  1.009068484097674E+00  5.268013362660240E-04 229221489	   6      -3.25      -3.00  1.009068484097674E+00  5.268013362660240E-04 229221489	   6      -3.25      -3.00  9.572867978960272E-01  4.873472574135031E-04 229221489
   7      -3.00      -2.75  9.209145912973700E-01  4.465154692608699E-04 221044237	   7      -3.00      -2.75  9.209145912973700E-01  4.465154692608699E-04 221044237	   7      -3.00      -2.75  8.786831914551403E-01  4.177213505288804E-04 221044237	   7      -3.00      -2.75  8.786831914551403E-01  4.177213505288804E-04 221044237	   7      -3.00      -2.75  9.665640729052264E-01  4.799097166851493E-04 221044237	   7      -3.00      -2.75  9.665640729052264E-01  4.799097166851493E-04 221044237	   7      -3.00      -2.75  9.209145912973700E-01  4.465154692608699E-04 221044237
   8      -2.75      -2.50  8.578339690600355E-01  4.009449801020411E-04 210080742	   8      -2.75      -2.50  8.578339690600355E-01  4.009449801020411E-04 210080742	   8      -2.75      -2.50  8.213971565438207E-01  3.769937266259635E-04 210080742	   8      -2.75      -2.50  8.213971565438207E-01  3.769937266259635E-04 210080742	   8      -2.75      -2.50  8.966979813529853E-01  4.284432081439279E-04 210080742	   8      -2.75      -2.50  8.966979813529853E-01  4.284432081439279E-04 210080742	   8      -2.75      -2.50  8.578339690600355E-01  4.009449801020411E-04 210080742
   9      -2.50      -2.25  7.764640768345404E-01  3.479057773439069E-04 196909151	   9      -2.50      -2.25  7.764640768345404E-01  3.479057773439069E-04 196909151	   9      -2.50      -2.25  7.459669581545547E-01  3.286852045477122E-04 196909151	   9      -2.50      -2.25  7.459669581545547E-01  3.286852045477122E-04 196909151	   9      -2.50      -2.25  8.085026641035811E-01  3.697437342995241E-04 196909151	   9      -2.50      -2.25  8.085026641035811E-01  3.697437342995241E-04 196909151	   9      -2.50      -2.25  7.764640768345404E-01  3.479057773439069E-04 196909151
  10      -2.25      -2.00  6.861994938431972E-01  3.002036905970065E-04 181964692	  10      -2.25      -2.00  6.861994938431972E-01  3.002036905970065E-04 181964692	  10      -2.25      -2.00  6.613079094433619E-01  2.846558218486941E-04 181964692	  10      -2.25      -2.00  6.613079094433619E-01  2.846558218486941E-04 181964692	  10      -2.25      -2.00  7.119011216168659E-01  3.177254540971185E-04 181964692	  10      -2.25      -2.00  7.119011216168659E-01  3.177254540971185E-04 181964692	  10      -2.25      -2.00  6.861994938431972E-01  3.002036905970065E-04 181964692
  11      -2.00      -1.75  5.931014904120586E-01  2.506693831219757E-04 165698851	  11      -2.00      -1.75  5.931014904120586E-01  2.506693831219757E-04 165698851	  11      -2.00      -1.75  5.732849700034832E-01  2.388883020111691E-04 165698851	  11      -2.00      -1.75  5.732849700034832E-01  2.388883020111691E-04 165698851	  11      -2.00      -1.75  6.131554971681370E-01  2.637494820013602E-04 165698851	  11      -2.00      -1.75  6.131554971681370E-01  2.637494820013602E-04 165698851	  11      -2.00      -1.75  5.931014904120586E-01  2.506693831219757E-04 165698851
