# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  6.774325914486062E-01  5.969346088058850E-03 288837770	   3      -4.00      -3.75  6.774325914486062E-01  5.969346088058850E-03 288837770	   3      -4.00      -3.75  6.388609312480893E-01  5.403447930520664E-03 288837770	   3      -4.00      -3.75  6.388609312480893E-01  5.403447930520664E-03 288837770	   3      -4.00      -3.75  7.206376843759720E-01  6.655100198846335E-03 288837770	   3      -4.00      -3.75  7.206376843759720E-01  6.655100198846335E-03 288837770	   3      -4.00      -3.75  6.774325914486062E-01  5.969346088058850E-03 288837770
   4      -3.75      -3.50  7.392963139634285E-01  7.454167584375602E-03 296061039	   4      -3.75      -3.50  7.392963139634285E-01  7.454167584375602E-03 296061039	   4      -3.75      -3.50  6.997797609746915E-01  6.964376581857921E-03 296061039	   4      -3.75      -3.50  6.997797609746915E-01  6.964376581857921E-03 296061039	   4      -3.75      -3.50  7.832384538172753E-01  8.022796396131796E-03 296061039	   4      -3.75      -3.50  7.832384538172753E-01  8.022796396131796E-03 296061039	   4      -3.75      -3.50  7.392963139634285E-01  7.454167584375602E-03 296061039
   5      -3.50      -3.25  7.746749482616408E-01  6.511702220596161E-03 296691405	   5      -3.50      -3.25  7.746749482616408E-01  6.511702220596161E-03 296691405	   5      -3.50      -3.25  7.371003743495630E-01  5.958727373888146E-03 296691405	   5      -3.50      -3.25  7.371003743495630E-01  5.958727373888146E-03 296691405	   5      -3.50      -3.25  8.158484640841364E-01  7.172109712518508E-03 296691405	   5      -3.50      -3.25  8.158484640841364E-01  7.172109712518508E-03 296691405	   5      -3.50      -3.25  7.746749482616408E-01  6.511702220596161E-03 296691405
   6      -3.25      -3.00  7.648376352179158E-01  6.743256438200307E-03 291845616	   6      -3.25      -3.00  7.648376352179158E-01  6.743256438200307E-03 291845616	   6      -3.25      -3.00  7.313467639822968E-01  6.141064312610871E-03 291845616	   6      -3.25      -3.00  7.313467639822968E-01  6.141064312610871E-03 291845616	   6      -3.25      -3.00  8.009187122262623E-01  7.468040386559109E-03 291845616	   6      -3.25      -3.00  8.009187122262623E-01  7.468040386559109E-03 291845616	   6      -3.25      -3.00  7.648376352179158E-01  6.743256438200307E-03 291845616
   7      -3.00      -2.75  7.407657243525216E-01  6.528829437670036E-03 282362225	   7      -3.00      -2.75  7.407657243525216E-01  6.528829437670036E-03 282362225	   7      -3.00      -2.75  7.103534554433241E-01  6.057650752582897E-03 282362225	   7      -3.00      -2.75  7.103534554433241E-01  6.057650752582897E-03 282362225	   7      -3.00      -2.75  7.732123256447992E-01  7.079829188445053E-03 282362225	   7      -3.00      -2.75  7.732123256447992E-01  7.079829188445053E-03 282362225	   7      -3.00      -2.75  7.407657243525216E-01  6.528829437670036E-03 282362225
   8      -2.75      -2.50  6.836389589507709E-01  6.212889117690333E-03 269059608	   8      -2.75      -2.50  6.836389589507709E-01  6.212889117690333E-03 269059608	   8      -2.75      -2.50  6.579815389826748E-01  5.776528681321580E-03 269059608	   8      -2.75      -2.50  6.579815389826748E-01  5.776528681321580E-03 269059608	   8      -2.75      -2.50  7.105638085418691E-01  6.720324499119332E-03 269059608	   8      -2.75      -2.50  7.105638085418691E-01  6.720324499119332E-03 269059608	   8      -2.75      -2.50  6.836389589507709E-01  6.212889117690333E-03 269059608
   9      -2.50      -2.25  6.289215556898596E-01  4.939214287712765E-03 252745831	   9      -2.50      -2.25  6.289215556898596E-01  4.939214287712765E-03 252745831	   9      -2.50      -2.25  6.071323643703758E-01  4.599653701786260E-03 252745831	   9      -2.50      -2.25  6.071323643703758E-01  4.599653701786260E-03 252745831	   9      -2.50      -2.25  6.514117357480216E-01  5.333427693529433E-03 252745831	   9      -2.50      -2.25  6.514117357480216E-01  5.333427693529433E-03 252745831	   9      -2.50      -2.25  6.289215556898596E-01  4.939214287712765E-03 252745831
  10      -2.25      -2.00  5.495604607646074E-01  5.854054230767194E-03 233946843	  10      -2.25      -2.00  5.495604607646074E-01  5.854054230767194E-03 233946843	  10      -2.25      -2.00  5.323983694875253E-01  5.470113139136740E-03 233946843	  10      -2.25      -2.00  5.323983694875253E-01  5.470113139136740E-03 233946843	  10      -2.25      -2.00  5.668437019503061E-01  6.293450400164824E-03 233946843	  10      -2.25      -2.00  5.668437019503061E-01  6.293450400164824E-03 233946843	  10      -2.25      -2.00  5.495604607646074E-01  5.854054230767194E-03 233946843
  11      -2.00      -1.75  4.802590125250825E-01  3.276302112310464E-03 213371259	  11      -2.00      -1.75  4.802590125250825E-01  3.276302112310464E-03 213371259	  11      -2.00      -1.75  4.665686366581534E-01  3.076140010514296E-03 213371259	  11      -2.00      -1.75  4.665686366581534E-01  3.076140010514296E-03 213371259	  11      -2.00      -1.75  4.937116395851109E-01  3.505854225712246E-03 213371259	  11      -2.00      -1.75  4.937116395851109E-01  3.505854225712246E-03 213371259	  11      -2.00      -1.75  4.802590125250825E-01  3.276302112310464E-03 213371259
