# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  3.910438129633438E-01  3.461650054338903E-04 120487518	   1      -2.50      -2.25  3.910438129633438E-01  3.461650054338903E-04 120487518	   1      -2.50      -2.25  3.715001951968294E-01  3.196169650758254E-04 120487518	   1      -2.50      -2.25  3.715001951968294E-01  3.196169650758254E-04 120487518	   1      -2.50      -2.25  4.123151618756410E-01  3.776558883083356E-04 120487518	   1      -2.50      -2.25  4.123151618756410E-01  3.776558883083356E-04 120487518	   1      -2.50      -2.25  3.910438129633438E-01  3.461650054338903E-04 120487518
   2      -2.25      -2.00  5.133431801641279E-01  3.809999048578283E-04 150052718	   2      -2.25      -2.00  5.133431801641279E-01  3.809999048578283E-04 150052718	   2      -2.25      -2.00  4.888365540950045E-01  3.529814033735537E-04 150052718	   2      -2.25      -2.00  4.888365540950045E-01  3.529814033735537E-04 150052718	   2      -2.25      -2.00  5.398603822547432E-01  4.141070885656673E-04 150052718	   2      -2.25      -2.00  5.398603822547432E-01  4.141070885656673E-04 150052718	   2      -2.25      -2.00  5.133431801641279E-01  3.809999048578283E-04 150052718
   3      -2.00      -1.75  6.408104078830459E-01  4.090322545862286E-04 180545721	   3      -2.00      -1.75  6.408104078830459E-01  4.090322545862286E-04 180545721	   3      -2.00      -1.75  6.114498481049135E-01  3.801880288954485E-04 180545721	   3      -2.00      -1.75  6.114498481049135E-01  3.801880288954485E-04 180545721	   3      -2.00      -1.75  6.724122087427867E-01  4.429369106122726E-04 180545721	   3      -2.00      -1.75  6.724122087427867E-01  4.429369106122726E-04 180545721	   3      -2.00      -1.75  6.408104078830459E-01  4.090322545862286E-04 180545721
   4      -1.75      -1.50  7.690267692895187E-01  4.272824203846707E-04 210962185	   4      -1.75      -1.50  7.690267692895187E-01  4.272824203846707E-04 210962185	   4      -1.75      -1.50  7.350651960607141E-01  3.982200802491118E-04 210962185	   4      -1.75      -1.50  7.350651960607141E-01  3.982200802491118E-04 210962185	   4      -1.75      -1.50  8.054013221664603E-01  4.613006124010997E-04 210962185	   4      -1.75      -1.50  8.054013221664603E-01  4.613006124010997E-04 210962185	   4      -1.75      -1.50  7.690267692895187E-01  4.272824203846707E-04 210962185
   5      -1.50      -1.25  8.899429103298107E-01  4.358832452201659E-04 240070932	   5      -1.50      -1.25  8.899429103298107E-01  4.358832452201659E-04 240070932	   5      -1.50      -1.25  8.519144069726485E-01  4.072515373340574E-04 240070932	   5      -1.50      -1.25  8.519144069726485E-01  4.072515373340574E-04 240070932	   5      -1.50      -1.25  9.304841396231234E-01  4.692785321956222E-04 240070932	   5      -1.50      -1.25  9.304841396231234E-01  4.692785321956222E-04 240070932	   5      -1.50      -1.25  8.899429103298107E-01  4.358832452201659E-04 240070932
   6      -1.25      -1.00  9.977716101448233E-01  4.344194681773101E-04 266466283	   6      -1.25      -1.00  9.977716101448233E-01  4.344194681773101E-04 266466283	   6      -1.25      -1.00  9.563300814125038E-01  4.067519228738061E-04 266466283	   6      -1.25      -1.00  9.563300814125038E-01  4.067519228738061E-04 266466283	   6      -1.25      -1.00  1.041769163902592E+00  4.666143252556763E-04 266466283	   6      -1.25      -1.00  1.041769163902592E+00  4.666143252556763E-04 266466283	   6      -1.25      -1.00  9.977716101448233E-01  4.344194681773101E-04 266466283
   7      -1.00      -0.75  1.090813475562153E+00  4.305604867872867E-04 289004051	   7      -1.00      -0.75  1.090813475562153E+00  4.305604867872867E-04 289004051	   7      -1.00      -0.75  1.046518599602656E+00  4.038037201804638E-04 289004051	   7      -1.00      -0.75  1.046518599602656E+00  4.038037201804638E-04 289004051	   7      -1.00      -0.75  1.137682939221187E+00  4.616178398102868E-04 289004051	   7      -1.00      -0.75  1.137682939221187E+00  4.616178398102868E-04 289004051	   7      -1.00      -0.75  1.090813475562153E+00  4.305604867872867E-04 289004051
   8      -0.75      -0.50  1.164475812469387E+00  4.259603061083604E-04 306784422	   8      -0.75      -0.50  1.164475812469387E+00  4.259603061083604E-04 306784422	   8      -0.75      -0.50  1.118000865918565E+00  4.001571430060101E-04 306784422	   8      -0.75      -0.50  1.118000865918565E+00  4.001571430060101E-04 306784422	   8      -0.75      -0.50  1.213521046465220E+00  4.558219727453836E-04 306784422	   8      -0.75      -0.50  1.213521046465220E+00  4.558219727453836E-04 306784422	   8      -0.75      -0.50  1.164475812469387E+00  4.259603061083604E-04 306784422
   9      -0.50      -0.25  1.214776498311016E+00  4.176440036130515E-04 319088539	   9      -0.50      -0.25  1.214776498311016E+00  4.176440036130515E-04 319088539	   9      -0.50      -0.25  1.166871001755019E+00  3.929461045320169E-04 319088539	   9      -0.50      -0.25  1.166871001755019E+00  3.929461045320169E-04 319088539	   9      -0.50      -0.25  1.265234472661996E+00  4.461286892086254E-04 319088539	   9      -0.50      -0.25  1.265234472661996E+00  4.461286892086254E-04 319088539	   9      -0.50      -0.25  1.214776498311016E+00  4.176440036130515E-04 319088539
  10      -0.25       0.00  1.240244361995143E+00  4.183078137297725E-04 325389881	  10      -0.25       0.00  1.240244361995143E+00  4.183078137297725E-04 325389881	  10      -0.25       0.00  1.191607645402580E+00  3.937047704180318E-04 325389881	  10      -0.25       0.00  1.191607645402580E+00  3.937047704180318E-04 325389881	  10      -0.25       0.00  1.291429804340281E+00  4.466673648809538E-04 325389881	  10      -0.25       0.00  1.291429804340281E+00  4.466673648809538E-04 325389881	  10      -0.25       0.00  1.240244361995143E+00  4.183078137297725E-04 325389881
  11       0.00       0.25  1.239713034782764E+00  4.098303775193993E-04 325455981	  11       0.00       0.25  1.239713034782764E+00  4.098303775193993E-04 325455981	  11       0.00       0.25  1.191104225143030E+00  3.858766243547796E-04 325455981	  11       0.00       0.25  1.191104225143030E+00  3.858766243547796E-04 325455981	  11       0.00       0.25  1.290867261603539E+00  4.374347376067227E-04 325455981	  11       0.00       0.25  1.290867261603539E+00  4.374347376067227E-04 325455981	  11       0.00       0.25  1.239713034782764E+00  4.098303775193993E-04 325455981
  12       0.25       0.50  1.214389929343249E+00  4.141605183424222E-04 319286452	  12       0.25       0.50  1.214389929343249E+00  4.141605183424222E-04 319286452	  12       0.25       0.50  1.166498685121575E+00  3.896874784194731E-04 319286452	  12       0.25       0.50  1.166498685121575E+00  3.896874784194731E-04 319286452	  12       0.25       0.50  1.264835008975180E+00  4.424019857790711E-04 319286452	  12       0.25       0.50  1.264835008975180E+00  4.424019857790711E-04 319286452	  12       0.25       0.50  1.214389929343249E+00  4.141605183424222E-04 319286452
  13       0.50       0.75  1.164536697939589E+00  4.151733274130221E-04 306949920	  13       0.50       0.75  1.164536697939589E+00  4.151733274130221E-04 306949920	  13       0.50       0.75  1.118043146461561E+00  3.903672418446452E-04 306949920	  13       0.50       0.75  1.118043146461561E+00  3.903672418446452E-04 306949920	  13       0.50       0.75  1.213604429229712E+00  4.438311832304957E-04 306949920	  13       0.50       0.75  1.213604429229712E+00  4.438311832304957E-04 306949920	  13       0.50       0.75  1.164536697939589E+00  4.151733274130221E-04 306949920
  14       0.75       1.00  1.090269903751933E+00  4.170592677677105E-04 289036424	  14       0.75       1.00  1.090269903751933E+00  4.170592677677105E-04 289036424	  14       0.75       1.00  1.046014844754007E+00  3.916114630628837E-04 289036424	  14       0.75       1.00  1.046014844754007E+00  3.916114630628837E-04 289036424	  14       0.75       1.00  1.137092170771556E+00  4.465305243533429E-04 289036424	  14       0.75       1.00  1.137092170771556E+00  4.465305243533429E-04 289036424	  14       0.75       1.00  1.090269903751933E+00  4.170592677677105E-04 289036424
  15       1.00       1.25  9.981983243648408E-01  4.204185833046107E-04 266095307	  15       1.00       1.25  9.981983243648408E-01  4.204185833046107E-04 266095307	  15       1.00       1.25  9.567006058362897E-01  3.940049227053537E-04 266095307	  15       1.00       1.25  9.567006058362897E-01  3.940049227053537E-04 266095307	  15       1.00       1.25  1.042264966264221E+00  4.510941651389097E-04 266095307	  15       1.00       1.25  1.042264966264221E+00  4.510941651389097E-04 266095307	  15       1.00       1.25  9.981983243648408E-01  4.204185833046107E-04 266095307
  16       1.25       1.50  8.889855560871313E-01  4.187237510242603E-04 239046349	  16       1.25       1.50  8.889855560871313E-01  4.187237510242603E-04 239046349	  16       1.25       1.50  8.510046301768338E-01  3.913693889969766E-04 239046349	  16       1.25       1.50  8.510046301768338E-01  3.913693889969766E-04 239046349	  16       1.25       1.50  9.294762094705820E-01  4.506932057623807E-04 239046349	  16       1.25       1.50  9.294762094705820E-01  4.506932057623807E-04 239046349	  16       1.25       1.50  8.889855560871313E-01  4.187237510242603E-04 239046349
  17       1.50       1.75  7.682512458902433E-01  4.120624837558678E-04 209087741	  17       1.50       1.75  7.682512458902433E-01  4.120624837558678E-04 209087741	  17       1.50       1.75  7.343302414189726E-01  3.836104402745886E-04 209087741	  17       1.50       1.75  7.343302414189726E-01  3.836104402745886E-04 209087741	  17       1.50       1.75  8.045815914557821E-01  4.455976146745280E-04 209087741	  17       1.50       1.75  8.045815914557821E-01  4.455976146745280E-04 209087741	  17       1.50       1.75  7.682512458902433E-01  4.120624837558678E-04 209087741
  18       1.75       2.00  6.410721371628477E-01  3.842605151180967E-04 177808006	  18       1.75       2.00  6.410721371628477E-01  3.842605151180967E-04 177808006	  18       1.75       2.00  6.117215597560955E-01  3.578886896308282E-04 177808006	  18       1.75       2.00  6.117215597560955E-01  3.578886896308282E-04 177808006	  18       1.75       2.00  6.726582885911387E-01  4.151616397056808E-04 177808006	  18       1.75       2.00  6.726582885911387E-01  4.151616397056808E-04 177808006	  18       1.75       2.00  6.410721371628477E-01  3.842605151180967E-04 177808006
  19       2.00       2.25  5.132236353899036E-01  3.528983292983222E-04 146474696	  19       2.00       2.25  5.132236353899036E-01  3.528983292983222E-04 146474696	  19       2.00       2.25  4.887224989255672E-01  3.278752038058311E-04 146474696	  19       2.00       2.25  4.887224989255672E-01  3.278752038058311E-04 146474696	  19       2.00       2.25  5.397360575042645E-01  3.823317805473606E-04 146474696	  19       2.00       2.25  5.397360575042645E-01  3.823317805473606E-04 146474696	  19       2.00       2.25  5.132236353899036E-01  3.528983292983222E-04 146474696
  20       2.25       2.50  3.905833770095882E-01  3.162965353048547E-04 116282438	  20       2.25       2.50  3.905833770095882E-01  3.162965353048547E-04 116282438	  20       2.25       2.50  3.710727288038496E-01  2.929369444454603E-04 116282438	  20       2.25       2.50  3.710727288038496E-01  2.929369444454603E-04 116282438	  20       2.25       2.50  4.118174594713236E-01  3.439021128853748E-04 116282438	  20       2.25       2.50  4.118174594713236E-01  3.439021128853748E-04 116282438	  20       2.25       2.50  3.905833770095882E-01  3.162965353048547E-04 116282438
# Underflow:                 2.2601793245334404E-02  3.2209665860351810E-05 24518860
# Overflow:                  1.2224675672124179E-01  9.4071131005670926E-05 22877693
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       5.2751646661190010E-01  8.4872161410153482E-05 508479000
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
