# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  3.151691603121099E-01  4.530374852535254E-03 151578940	   1      -2.50      -2.25  3.151691603121099E-01  4.530374852535254E-03 151578940	   1      -2.50      -2.25  3.012716612791171E-01  4.155490374231297E-03 151578940	   1      -2.50      -2.25  3.012716612791171E-01  4.155490374231297E-03 151578940	   1      -2.50      -2.25  3.300376207464371E-01  4.980866457995109E-03 151578940	   1      -2.50      -2.25  3.300376207464371E-01  4.980866457995109E-03 151578940	   1      -2.50      -2.25  3.151691603121099E-01  4.530374852535254E-03 151578940
   2      -2.25      -2.00  4.193558867787749E-01  4.778028179559568E-03 189270662	   2      -2.25      -2.00  4.193558867787749E-01  4.778028179559568E-03 189270662	   2      -2.25      -2.00  4.016757766145319E-01  4.343394152295615E-03 189270662	   2      -2.25      -2.00  4.016757766145319E-01  4.343394152295615E-03 189270662	   2      -2.25      -2.00  4.381771756969097E-01  5.300478131118524E-03 189270662	   2      -2.25      -2.00  4.381771756969097E-01  5.300478131118524E-03 189270662	   2      -2.25      -2.00  4.193558867787749E-01  4.778028179559568E-03 189270662
   3      -2.00      -1.75  5.224014934228474E-01  5.614924457321087E-03 228378314	   3      -2.00      -1.75  5.224014934228474E-01  5.614924457321087E-03 228378314	   3      -2.00      -1.75  5.010313096331116E-01  5.180391945669317E-03 228378314	   3      -2.00      -1.75  5.010313096331116E-01  5.180391945669317E-03 228378314	   3      -2.00      -1.75  5.451010068364184E-01  6.126427267351279E-03 228378314	   3      -2.00      -1.75  5.451010068364184E-01  6.126427267351279E-03 228378314	   3      -2.00      -1.75  5.224014934228474E-01  5.614924457321087E-03 228378314
   4      -1.75      -1.50  6.179351502614157E-01  7.485607278028766E-03 267555779	   4      -1.75      -1.50  6.179351502614157E-01  7.485607278028766E-03 267555779	   4      -1.75      -1.50  5.939605524624396E-01  6.912273010705310E-03 267555779	   4      -1.75      -1.50  5.939605524624396E-01  6.912273010705310E-03 267555779	   4      -1.75      -1.50  6.431616528796344E-01  8.162147239025549E-03 267555779	   4      -1.75      -1.50  6.431616528796344E-01  8.162147239025549E-03 267555779	   4      -1.75      -1.50  6.179351502614157E-01  7.485607278028766E-03 267555779
   5      -1.50      -1.25  7.264969824411136E-01  5.429859132968746E-03 305169884	   5      -1.50      -1.25  7.264969824411136E-01  5.429859132968746E-03 305169884	   5      -1.50      -1.25  6.984251929333775E-01  5.065377600104856E-03 305169884	   5      -1.50      -1.25  6.984251929333775E-01  5.065377600104856E-03 305169884	   5      -1.50      -1.25  7.560950822159829E-01  5.854736546096285E-03 305169884	   5      -1.50      -1.25  7.560950822159829E-01  5.854736546096285E-03 305169884	   5      -1.50      -1.25  7.264969824411136E-01  5.429859132968746E-03 305169884
   6      -1.25      -1.00  8.164707597356062E-01  6.748513137751747E-03 339469639	   6      -1.25      -1.00  8.164707597356062E-01  6.748513137751747E-03 339469639	   6      -1.25      -1.00  7.862518965540012E-01  6.326125143388510E-03 339469639	   6      -1.25      -1.00  7.862518965540012E-01  6.326125143388510E-03 339469639	   6      -1.25      -1.00  8.480846537762664E-01  7.237027527526728E-03 339469639	   6      -1.25      -1.00  8.480846537762664E-01  7.237027527526728E-03 339469639	   6      -1.25      -1.00  8.164707597356062E-01  6.748513137751747E-03 339469639
   7      -1.00      -0.75  8.847346087664282E-01  6.545009303100108E-03 368804690	   7      -1.00      -0.75  8.847346087664282E-01  6.545009303100108E-03 368804690	   7      -1.00      -0.75  8.527912661004128E-01  6.114772857897150E-03 368804690	   7      -1.00      -0.75  8.527912661004128E-01  6.114772857897150E-03 368804690	   7      -1.00      -0.75  9.180450795843974E-01  7.039472739413884E-03 368804690	   7      -1.00      -0.75  9.180450795843974E-01  7.039472739413884E-03 368804690	   7      -1.00      -0.75  8.847346087664282E-01  6.545009303100108E-03 368804690
   8      -0.75      -0.50  9.441262604686007E-01  5.680467095444636E-03 392093714	   8      -0.75      -0.50  9.441262604686007E-01  5.680467095444636E-03 392093714	   8      -0.75      -0.50  9.108958858925942E-01  5.272423885840397E-03 392093714	   8      -0.75      -0.50  9.108958858925942E-01  5.272423885840397E-03 392093714	   8      -0.75      -0.50  9.785916749601158E-01  6.161825939706047E-03 392093714	   8      -0.75      -0.50  9.785916749601158E-01  6.161825939706047E-03 392093714	   8      -0.75      -0.50  9.441262604686007E-01  5.680467095444636E-03 392093714
   9      -0.50      -0.25  9.883997924605070E-01  6.521232502339762E-03 408334261	   9      -0.50      -0.25  9.883997924605070E-01  6.521232502339762E-03 408334261	   9      -0.50      -0.25  9.540428738558993E-01  5.997162658148745E-03 408334261	   9      -0.50      -0.25  9.540428738558993E-01  5.997162658148745E-03 408334261	   9      -0.50      -0.25  1.023949982096718E+00  7.147660480170221E-03 408334261	   9      -0.50      -0.25  1.023949982096718E+00  7.147660480170221E-03 408334261	   9      -0.50      -0.25  9.883997924605070E-01  6.521232502339762E-03 408334261
  10      -0.25       0.00  9.991090654698005E-01  6.758776650831037E-03 416807583	  10      -0.25       0.00  9.991090654698005E-01  6.758776650831037E-03 416807583	  10      -0.25       0.00  9.652157314460568E-01  6.215222865040351E-03 416807583	  10      -0.25       0.00  9.652157314460568E-01  6.215222865040351E-03 416807583	  10      -0.25       0.00  1.034010908947103E+00  7.401137606179523E-03 416807583	  10      -0.25       0.00  1.034010908947103E+00  7.401137606179523E-03 416807583	  10      -0.25       0.00  9.991090654698005E-01  6.758776650831037E-03 416807583
