# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1     -10.00      -9.90  0.000000000000000E+00  0.000000000000000E+00 0	   1     -10.00      -9.90  0.000000000000000E+00  0.000000000000000E+00 0	   1     -10.00      -9.90  0.000000000000000E+00  0.000000000000000E+00 0	   1     -10.00      -9.90  0.000000000000000E+00  0.000000000000000E+00 0	   1     -10.00      -9.90  0.000000000000000E+00  0.000000000000000E+00 0	   1     -10.00      -9.90  0.000000000000000E+00  0.000000000000000E+00 0	   1     -10.00      -9.90  0.000000000000000E+00  0.000000000000000E+00 0
   2      -9.90      -9.80  0.000000000000000E+00  0.000000000000000E+00 0	   2      -9.90      -9.80  0.000000000000000E+00  0.000000000000000E+00 0	   2      -9.90      -9.80  0.000000000000000E+00  0.000000000000000E+00 0	   2      -9.90      -9.80  0.000000000000000E+00  0.000000000000000E+00 0	   2      -9.90      -9.80  0.000000000000000E+00  0.000000000000000E+00 0	   2      -9.90      -9.80  0.000000000000000E+00  0.000000000000000E+00 0	   2      -9.90      -9.80  0.000000000000000E+00  0.000000000000000E+00 0
   3      -9.80      -9.70  0.000000000000000E+00  0.000000000000000E+00 0	   3      -9.80      -9.70  0.000000000000000E+00  0.000000000000000E+00 0	   3      -9.80      -9.70  0.000000000000000E+00  0.000000000000000E+00 0	   3      -9.80      -9.70  0.000000000000000E+00  0.000000000000000E+00 0	   3      -9.80      -9.70  0.000000000000000E+00  0.000000000000000E+00 0	   3      -9.80      -9.70  0.000000000000000E+00  0.000000000000000E+00 0	   3      -9.80      -9.70  0.000000000000000E+00  0.000000000000000E+00 0
   4      -9.70      -9.60  0.000000000000000E+00  0.000000000000000E+00 0	   4      -9.70      -9.60  0.000000000000000E+00  0.000000000000000E+00 0	   4      -9.70      -9.60  0.000000000000000E+00  0.000000000000000E+00 0	   4      -9.70      -9.60  0.000000000000000E+00  0.000000000000000E+00 0	   4      -9.70      -9.60  0.000000000000000E+00  0.000000000000000E+00 0	   4      -9.70      -9.60  0.000000000000000E+00  0.000000000000000E+00 0	   4      -9.70      -9.60  0.000000000000000E+00  0.000000000000000E+00 0
   5      -9.60      -9.50  0.000000000000000E+00  0.000000000000000E+00 0	   5      -9.60      -9.50  0.000000000000000E+00  0.000000000000000E+00 0	   5      -9.60      -9.50  0.000000000000000E+00  0.000000000000000E+00 0	   5      -9.60      -9.50  0.000000000000000E+00  0.000000000000000E+00 0	   5      -9.60      -9.50  0.000000000000000E+00  0.000000000000000E+00 0	   5      -9.60      -9.50  0.000000000000000E+00  0.000000000000000E+00 0	   5      -9.60      -9.50  0.000000000000000E+00  0.000000000000000E+00 0
   6      -9.50      -9.40  0.000000000000000E+00  0.000000000000000E+00 0	   6      -9.50      -9.40  0.000000000000000E+00  0.000000000000000E+00 0	   6      -9.50      -9.40  0.000000000000000E+00  0.000000000000000E+00 0	   6      -9.50      -9.40  0.000000000000000E+00  0.000000000000000E+00 0	   6      -9.50      -9.40  0.000000000000000E+00  0.000000000000000E+00 0	   6      -9.50      -9.40  0.000000000000000E+00  0.000000000000000E+00 0	   6      -9.50      -9.40  0.000000000000000E+00  0.000000000000000E+00 0
   7      -9.40      -9.30  0.000000000000000E+00  0.000000000000000E+00 0	   7      -9.40      -9.30  0.000000000000000E+00  0.000000000000000E+00 0	   7      -9.40      -9.30  0.000000000000000E+00  0.000000000000000E+00 0	   7      -9.40      -9.30  0.000000000000000E+00  0.000000000000000E+00 0	   7      -9.40      -9.30  0.000000000000000E+00  0.000000000000000E+00 0	   7      -9.40      -9.30  0.000000000000000E+00  0.000000000000000E+00 0	   7      -9.40      -9.30  0.000000000000000E+00  0.000000000000000E+00 0
   8      -9.30      -9.20  0.000000000000000E+00  0.000000000000000E+00 0	   8      -9.30      -9.20  0.000000000000000E+00  0.000000000000000E+00 0	   8      -9.30      -9.20  0.000000000000000E+00  0.000000000000000E+00 0	   8      -9.30      -9.20  0.000000000000000E+00  0.000000000000000E+00 0	   8      -9.30      -9.20  0.000000000000000E+00  0.000000000000000E+00 0	   8      -9.30      -9.20  0.000000000000000E+00  0.000000000000000E+00 0	   8      -9.30      -9.20  0.000000000000000E+00  0.000000000000000E+00 0
   9      -9.20      -9.10  0.000000000000000E+00  0.000000000000000E+00 0	   9      -9.20      -9.10  0.000000000000000E+00  0.000000000000000E+00 0	   9      -9.20      -9.10  0.000000000000000E+00  0.000000000000000E+00 0	   9      -9.20      -9.10  0.000000000000000E+00  0.000000000000000E+00 0	   9      -9.20      -9.10  0.000000000000000E+00  0.000000000000000E+00 0	   9      -9.20      -9.10  0.000000000000000E+00  0.000000000000000E+00 0	   9      -9.20      -9.10  0.000000000000000E+00  0.000000000000000E+00 0
  10      -9.10      -9.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      -9.10      -9.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      -9.10      -9.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      -9.10      -9.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      -9.10      -9.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      -9.10      -9.00  0.000000000000000E+00  0.000000000000000E+00 0	  10      -9.10      -9.00  0.000000000000000E+00  0.000000000000000E+00 0
  11      -9.00      -8.90  0.000000000000000E+00  0.000000000000000E+00 0	  11      -9.00      -8.90  0.000000000000000E+00  0.000000000000000E+00 0	  11      -9.00      -8.90  0.000000000000000E+00  0.000000000000000E+00 0	  11      -9.00      -8.90  0.000000000000000E+00  0.000000000000000E+00 0	  11      -9.00      -8.90  0.000000000000000E+00  0.000000000000000E+00 0	  11      -9.00      -8.90  0.000000000000000E+00  0.000000000000000E+00 0	  11      -9.00      -8.90  0.000000000000000E+00  0.000000000000000E+00 0
  12      -8.90      -8.80  0.000000000000000E+00  0.000000000000000E+00 0	  12      -8.90      -8.80  0.000000000000000E+00  0.000000000000000E+00 0	  12      -8.90      -8.80  0.000000000000000E+00  0.000000000000000E+00 0	  12      -8.90      -8.80  0.000000000000000E+00  0.000000000000000E+00 0	  12      -8.90      -8.80  0.000000000000000E+00  0.000000000000000E+00 0	  12      -8.90      -8.80  0.000000000000000E+00  0.000000000000000E+00 0	  12      -8.90      -8.80  0.000000000000000E+00  0.000000000000000E+00 0
