# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0
   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0
   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0
   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      -8.00      -7.75  1.468361520394856E-02  1.167972699171041E-04 2597353	   5      -8.00      -7.75  1.468361520394856E-02  1.167972699171041E-04 2597353	   5      -8.00      -7.75  1.309193888278518E-02  1.039704835326059E-04 2597353	   5      -8.00      -7.75  1.309193888278518E-02  1.039704835326059E-04 2597353	   5      -8.00      -7.75  1.663773179221384E-02  1.326850132804613E-04 2597353	   5      -8.00      -7.75  1.663773179221384E-02  1.326850132804613E-04 2597353	   5      -8.00      -7.75  1.468361520394856E-02  1.167972699171041E-04 2597353
   6      -7.75      -7.50  5.238216161984723E-02  2.045682726057601E-04 8907387	   6      -7.75      -7.50  5.238216161984723E-02  2.045682726057601E-04 8907387	   6      -7.75      -7.50  4.700103593468645E-02  1.833550699319271E-04 8907387	   6      -7.75      -7.50  4.700103593468645E-02  1.833550699319271E-04 8907387	   6      -7.75      -7.50  5.892646510913525E-02  2.306262521144129E-04 8907387	   6      -7.75      -7.50  5.892646510913525E-02  2.306262521144129E-04 8907387	   6      -7.75      -7.50  5.238216161984723E-02  2.045682726057601E-04 8907387
   7      -7.50      -7.25  1.016802180891738E-01  2.789309377354983E-04 16945432	   7      -7.50      -7.25  1.016802180891738E-01  2.789309377354983E-04 16945432	   7      -7.50      -7.25  9.185608539139715E-02  2.514132689328805E-04 16945432	   7      -7.50      -7.25  9.185608539139715E-02  2.514132689328805E-04 16945432	   7      -7.50      -7.25  1.135033411513686E-01  3.124571683269741E-04 16945432	   7      -7.50      -7.25  1.135033411513686E-01  3.124571683269741E-04 16945432	   7      -7.50      -7.25  1.016802180891738E-01  2.789309377354983E-04 16945432
   8      -7.25      -7.00  1.614395700252830E-01  3.339473366364148E-04 26787566	   8      -7.25      -7.00  1.614395700252830E-01  3.339473366364148E-04 26787566	   8      -7.25      -7.00  1.468468765889566E-01  3.034257676698448E-04 26787566	   8      -7.25      -7.00  1.468468765889566E-01  3.034257676698448E-04 26787566	   8      -7.25      -7.00  1.788075931708012E-01  3.707204936398211E-04 26787566	   8      -7.25      -7.00  1.788075931708012E-01  3.707204936398211E-04 26787566	   8      -7.25      -7.00  1.614395700252830E-01  3.339473366364148E-04 26787566
   9      -7.00      -6.75  2.294075025536270E-01  3.612688979540276E-04 38421930	   9      -7.00      -6.75  2.294075025536270E-01  3.612688979540276E-04 38421930	   9      -7.00      -6.75  2.100464223312056E-01  3.297947211204311E-04 38421930	   9      -7.00      -6.75  2.100464223312056E-01  3.297947211204311E-04 38421930	   9      -7.00      -6.75  2.521962176289114E-01  3.989149930268948E-04 38421930	   9      -7.00      -6.75  2.521962176289114E-01  3.989149930268948E-04 38421930	   9      -7.00      -6.75  2.294075025536270E-01  3.612688979540276E-04 38421930
  10      -6.75      -6.50  3.020572133508107E-01  3.854557045090030E-04 51827168	  10      -6.75      -6.50  3.020572133508107E-01  3.854557045090030E-04 51827168	  10      -6.75      -6.50  2.783510186208589E-01  3.535934523300666E-04 51827168	  10      -6.75      -6.50  2.783510186208589E-01  3.535934523300666E-04 51827168	  10      -6.75      -6.50  3.296375950927723E-01  4.232905419758760E-04 51827168	  10      -6.75      -6.50  3.296375950927723E-01  4.232905419758760E-04 51827168	  10      -6.75      -6.50  3.020572133508107E-01  3.854557045090030E-04 51827168
