# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0
   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0
   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0
   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      -8.00      -7.75  1.247370493319275E-02  7.990751825926363E-04 3433311	   5      -8.00      -7.75  1.247370493319275E-02  7.990751825926363E-04 3433311	   5      -8.00      -7.75  1.117123145802855E-02  7.033242132820853E-04 3433311	   5      -8.00      -7.75  1.117123145802855E-02  7.033242132820853E-04 3433311	   5      -8.00      -7.75  1.406753049578345E-02  9.188930525921900E-04 3433311	   5      -8.00      -7.75  1.406753049578345E-02  9.188930525921900E-04 3433311	   5      -8.00      -7.75  1.247370493319275E-02  7.990751825926363E-04 3433311
   6      -7.75      -7.50  4.372371050993934E-02  1.474176845186751E-03 11476352	   6      -7.75      -7.50  4.372371050993934E-02  1.474176845186751E-03 11476352	   6      -7.75      -7.50  3.940420344218938E-02  1.309987613553657E-03 11476352	   6      -7.75      -7.50  3.940420344218938E-02  1.309987613553657E-03 11476352	   6      -7.75      -7.50  4.895718519212314E-02  1.681040586841383E-03 11476352	   6      -7.75      -7.50  4.895718519212314E-02  1.681040586841383E-03 11476352	   6      -7.75      -7.50  4.372371050993934E-02  1.474176845186751E-03 11476352
   7      -7.50      -7.25  7.939089806812584E-02  3.513844120453038E-03 21715999	   7      -7.50      -7.25  7.939089806812584E-02  3.513844120453038E-03 21715999	   7      -7.50      -7.25  7.192915951229478E-02  3.166953055408541E-03 21715999	   7      -7.50      -7.25  7.192915951229478E-02  3.166953055408541E-03 21715999	   7      -7.50      -7.25  8.836989589452288E-02  3.933915902342630E-03 21715999	   7      -7.50      -7.25  8.836989589452288E-02  3.933915902342630E-03 21715999	   7      -7.50      -7.25  7.939089806812584E-02  3.513844120453038E-03 21715999
   8      -7.25      -7.00  1.331933825582398E-01  3.214580021385920E-03 34256750	   8      -7.25      -7.00  1.331933825582398E-01  3.214580021385920E-03 34256750	   8      -7.25      -7.00  1.216596829979486E-01  2.895416513994681E-03 34256750	   8      -7.25      -7.00  1.216596829979486E-01  2.895416513994681E-03 34256750	   8      -7.25      -7.00  1.468821926838590E-01  3.602618116707047E-03 34256750	   8      -7.25      -7.00  1.468821926838590E-01  3.602618116707047E-03 34256750	   8      -7.25      -7.00  1.331933825582398E-01  3.214580021385920E-03 34256750
   9      -7.00      -6.75  1.901716718402461E-01  3.173188742414497E-03 49128990	   9      -7.00      -6.75  1.901716718402461E-01  3.173188742414497E-03 49128990	   9      -7.00      -6.75  1.748900854867995E-01  2.853190259615872E-03 49128990	   9      -7.00      -6.75  1.748900854867995E-01  2.853190259615872E-03 49128990	   9      -7.00      -6.75  2.080995722334982E-01  3.563840014533347E-03 49128990	   9      -7.00      -6.75  2.080995722334982E-01  3.563840014533347E-03 49128990	   9      -7.00      -6.75  1.901716718402461E-01  3.173188742414497E-03 49128990
  10      -6.75      -6.50  2.498875090162908E-01  3.530764767851339E-03 66254371	  10      -6.75      -6.50  2.498875090162908E-01  3.530764767851339E-03 66254371	  10      -6.75      -6.50  2.312454775968788E-01  3.201709945699314E-03 66254371	  10      -6.75      -6.50  2.312454775968788E-01  3.201709945699314E-03 66254371	  10      -6.75      -6.50  2.714933057870636E-01  3.929964817665542E-03 66254371	  10      -6.75      -6.50  2.714933057870636E-01  3.929964817665542E-03 66254371	  10      -6.75      -6.50  2.498875090162908E-01  3.530764767851339E-03 66254371
