# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  5.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  1.767765616766828E-02  6.948485804462612E-05 7986882	   1      -5.00      -4.75  1.767765616766828E-02  6.948485804462612E-05 7986882	   1      -5.00      -4.75  1.610092838849199E-02  6.302062753738561E-05 7986882	   1      -5.00      -4.75  1.610092838849199E-02  6.302062753738561E-05 7986882	   1      -5.00      -4.75  1.955131765447597E-02  7.730250996217344E-05 7986882	   1      -5.00      -4.75  1.955131765447597E-02  7.730250996217344E-05 7986882	   1      -5.00      -4.75  1.767765616766828E-02  6.948485804462612E-05 7986882
   2      -4.75      -4.50  2.707526536608256E-02  9.354960204224888E-05 11431526	   2      -4.75      -4.50  2.707526536608256E-02  9.354960204224888E-05 11431526	   2      -4.75      -4.50  2.478449104464734E-02  8.499212093442552E-05 11431526	   2      -4.75      -4.50  2.478449104464734E-02  8.499212093442552E-05 11431526	   2      -4.75      -4.50  2.977531235244377E-02  1.038590390792332E-04 11431526	   2      -4.75      -4.50  2.977531235244377E-02  1.038590390792332E-04 11431526	   2      -4.75      -4.50  2.707526536608256E-02  9.354960204224888E-05 11431526
   3      -4.50      -4.25  4.000467197635080E-02  1.084626822532921E-04 15999956	   3      -4.50      -4.25  4.000467197635080E-02  1.084626822532921E-04 15999956	   3      -4.50      -4.25  3.679342711730536E-02  9.896820407715832E-05 15999956	   3      -4.50      -4.25  3.679342711730536E-02  9.896820407715832E-05 15999956	   3      -4.50      -4.25  4.376009336036983E-02  1.198599581525921E-04 15999956	   3      -4.50      -4.25  4.376009336036983E-02  1.198599581525921E-04 15999956	   3      -4.50      -4.25  4.000467197635080E-02  1.084626822532921E-04 15999956
   4      -4.25      -4.00  5.789491753464549E-02  1.293461476725682E-04 21947004	   4      -4.25      -4.00  5.789491753464549E-02  1.293461476725682E-04 21947004	   4      -4.25      -4.00  5.350236305343711E-02  1.184878362551310E-04 21947004	   4      -4.25      -4.00  5.350236305343711E-02  1.184878362551310E-04 21947004	   4      -4.25      -4.00  6.298918730463479E-02  1.423153157193663E-04 21947004	   4      -4.25      -4.00  6.298918730463479E-02  1.423153157193663E-04 21947004	   4      -4.25      -4.00  5.789491753464549E-02  1.293461476725682E-04 21947004
   5      -4.00      -3.75  8.167319707912069E-02  1.548523225155621E-04 29516665	   5      -4.00      -3.75  8.167319707912069E-02  1.548523225155621E-04 29516665	   5      -4.00      -3.75  7.581316513220114E-02  1.421966449091131E-04 29516665	   5      -4.00      -3.75  7.581316513220114E-02  1.421966449091131E-04 29516665	   5      -4.00      -3.75  8.841397974923483E-02  1.699262427235633E-04 29516665	   5      -4.00      -3.75  8.841397974923483E-02  1.699262427235633E-04 29516665	   5      -4.00      -3.75  8.167319707912069E-02  1.548523225155621E-04 29516665
   6      -3.75      -3.50  1.131382961132574E-01  1.835325193923737E-04 39015650	   6      -3.75      -3.50  1.131382961132574E-01  1.835325193923737E-04 39015650	   6      -3.75      -3.50  1.054771351057005E-01  1.689219108988746E-04 39015650	   6      -3.75      -3.50  1.054771351057005E-01  1.689219108988746E-04 39015650	   6      -3.75      -3.50  1.218772843827269E-01  2.008860519156375E-04 39015650	   6      -3.75      -3.50  1.218772843827269E-01  2.008860519156375E-04 39015650	   6      -3.75      -3.50  1.131382961132574E-01  1.835325193923737E-04 39015650
   7      -3.50      -3.25  1.523297287286175E-01  2.067299020706778E-04 50721493	   7      -3.50      -3.25  1.523297287286175E-01  2.067299020706778E-04 50721493	   7      -3.50      -3.25  1.426368821696563E-01  1.910457639774338E-04 50721493	   7      -3.50      -3.25  1.426368821696563E-01  1.910457639774338E-04 50721493	   7      -3.50      -3.25  1.632858895734645E-01  2.252619116061506E-04 50721493	   7      -3.50      -3.25  1.632858895734645E-01  2.252619116061506E-04 50721493	   7      -3.50      -3.25  1.523297287286175E-01  2.067299020706778E-04 50721493
   8      -3.25      -3.00  2.023334753056976E-01  2.334122111878247E-04 64909443	   8      -3.25      -3.00  2.023334753056976E-01  2.334122111878247E-04 64909443	   8      -3.25      -3.00  1.902253095245582E-01  2.162887648486858E-04 64909443	   8      -3.25      -3.00  1.902253095245582E-01  2.162887648486858E-04 64909443	   8      -3.25      -3.00  2.158985606763283E-01  2.535610539882917E-04 64909443	   8      -3.25      -3.00  2.158985606763283E-01  2.535610539882917E-04 64909443	   8      -3.25      -3.00  2.023334753056976E-01  2.334122111878247E-04 64909443
   9      -3.00      -2.75  2.627553937029717E-01  2.585415014588039E-04 81788800	   9      -3.00      -2.75  2.627553937029717E-01  2.585415014588039E-04 81788800	   9      -3.00      -2.75  2.479868029445871E-01  2.402544830542841E-04 81788800	   9      -3.00      -2.75  2.479868029445871E-01  2.402544830542841E-04 81788800	   9      -3.00      -2.75  2.791485783484450E-01  2.799635401656654E-04 81788800	   9      -3.00      -2.75  2.791485783484450E-01  2.799635401656654E-04 81788800	   9      -3.00      -2.75  2.627553937029717E-01  2.585415014588039E-04 81788800
  10      -2.75      -2.50  3.353445887995491E-01  2.855113566055428E-04 101677163	  10      -2.75      -2.50  3.353445887995491E-01  2.855113566055428E-04 101677163	  10      -2.75      -2.50  3.176014773335467E-01  2.656534680152704E-04 101677163	  10      -2.75      -2.50  3.176014773335467E-01  2.656534680152704E-04 101677163	  10      -2.75      -2.50  3.548635228376154E-01  3.087650607623301E-04 101677163	  10      -2.75      -2.50  3.548635228376154E-01  3.087650607623301E-04 101677163	  10      -2.75      -2.50  3.353445887995491E-01  2.855113566055428E-04 101677163
