# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  5.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  1.205403606009261E-02  1.172377943560462E-03 9965048	   1      -5.00      -4.75  1.205403606009261E-02  1.172377943560462E-03 9965048	   1      -5.00      -4.75  1.107869668858651E-02  1.057773611977639E-03 9965048	   1      -5.00      -4.75  1.107869668858651E-02  1.057773611977639E-03 9965048	   1      -5.00      -4.75  1.319623407285127E-02  1.313976210574919E-03 9965048	   1      -5.00      -4.75  1.319623407285127E-02  1.313976210574919E-03 9965048	   1      -5.00      -4.75  1.205403606009261E-02  1.172377943560462E-03 9965048
   2      -4.75      -4.50  2.147125324202530E-02  8.272246189629685E-04 14257408	   2      -4.75      -4.50  2.147125324202530E-02  8.272246189629685E-04 14257408	   2      -4.75      -4.50  1.978789531793115E-02  7.384089306418600E-04 14257408	   2      -4.75      -4.50  1.978789531793115E-02  7.384089306418600E-04 14257408	   2      -4.75      -4.50  2.343907052615218E-02  9.371259982566009E-04 14257408	   2      -4.75      -4.50  2.343907052615218E-02  9.371259982566009E-04 14257408	   2      -4.75      -4.50  2.147125324202530E-02  8.272246189629685E-04 14257408
   3      -4.50      -4.25  3.402235787796126E-02  1.032434644783616E-03 19954762	   3      -4.50      -4.25  3.402235787796126E-02  1.032434644783616E-03 19954762	   3      -4.50      -4.25  3.143265841013283E-02  9.262445455779408E-04 19954762	   3      -4.50      -4.25  3.143265841013283E-02  9.262445455779408E-04 19954762	   3      -4.50      -4.25  3.703918367448528E-02  1.162083070024132E-03 19954762	   3      -4.50      -4.25  3.703918367448528E-02  1.162083070024132E-03 19954762	   3      -4.50      -4.25  3.402235787796126E-02  1.032434644783616E-03 19954762
   4      -4.25      -4.00  4.633078460049826E-02  1.562320678265712E-03 27357272	   4      -4.25      -4.00  4.633078460049826E-02  1.562320678265712E-03 27357272	   4      -4.25      -4.00  4.303646760251891E-02  1.413585311048966E-03 27357272	   4      -4.25      -4.00  4.303646760251891E-02  1.413585311048966E-03 27357272	   4      -4.25      -4.00  5.013046520828264E-02  1.741648801490554E-03 27357272	   4      -4.25      -4.00  5.013046520828264E-02  1.741648801490554E-03 27357272	   4      -4.25      -4.00  4.633078460049826E-02  1.562320678265712E-03 27357272
   5      -4.00      -3.75  6.672569811402798E-02  1.712842059224596E-03 36801672	   5      -4.00      -3.75  6.672569811402798E-02  1.712842059224596E-03 36801672	   5      -4.00      -3.75  6.221658606914132E-02  1.563058851092243E-03 36801672	   5      -4.00      -3.75  6.221658606914132E-02  1.563058851092243E-03 36801672	   5      -4.00      -3.75  7.188794040137590E-02  1.892208595337435E-03 36801672	   5      -4.00      -3.75  7.188794040137590E-02  1.892208595337435E-03 36801672	   5      -4.00      -3.75  6.672569811402798E-02  1.712842059224596E-03 36801672
   6      -3.75      -3.50  9.082659542466154E-02  2.228778581851132E-03 48645772	   6      -3.75      -3.50  9.082659542466154E-02  2.228778581851132E-03 48645772	   6      -3.75      -3.50  8.520763928833028E-02  2.001786235351752E-03 48645772	   6      -3.75      -3.50  8.520763928833028E-02  2.001786235351752E-03 48645772	   6      -3.75      -3.50  9.717769522416693E-02  2.504327774710029E-03 48645772	   6      -3.75      -3.50  9.717769522416693E-02  2.504327774710029E-03 48645772	   6      -3.75      -3.50  9.082659542466154E-02  2.228778581851132E-03 48645772
   7      -3.50      -3.25  1.153575765762730E-01  4.126165700158987E-03 63273267	   7      -3.50      -3.25  1.153575765762730E-01  4.126165700158987E-03 63273267	   7      -3.50      -3.25  1.090459936012427E-01  3.691518741545000E-03 63273267	   7      -3.50      -3.25  1.090459936012427E-01  3.691518741545000E-03 63273267	   7      -3.50      -3.25  1.223379597309541E-01  4.658331261232026E-03 63273267	   7      -3.50      -3.25  1.223379597309541E-01  4.658331261232026E-03 63273267	   7      -3.50      -3.25  1.153575765762730E-01  4.126165700158987E-03 63273267
   8      -3.25      -3.00  1.595959067666566E-01  3.498459160755493E-03 81031328	   8      -3.25      -3.00  1.595959067666566E-01  3.498459160755493E-03 81031328	   8      -3.25      -3.00  1.509572918880890E-01  3.194756700442839E-03 81031328	   8      -3.25      -3.00  1.509572918880890E-01  3.194756700442839E-03 81031328	   8      -3.25      -3.00  1.691620618445250E-01  3.860082846639347E-03 81031328	   8      -3.25      -3.00  1.691620618445250E-01  3.860082846639347E-03 81031328	   8      -3.25      -3.00  1.595959067666566E-01  3.498459160755493E-03 81031328
   9      -3.00      -2.75  2.132396688932170E-01  2.747044383261016E-03 102268513	   9      -3.00      -2.75  2.132396688932170E-01  2.747044383261016E-03 102268513	   9      -3.00      -2.75  2.022188001821575E-01  2.520188698755720E-03 102268513	   9      -3.00      -2.75  2.022188001821575E-01  2.520188698755720E-03 102268513	   9      -3.00      -2.75  2.253710702552074E-01  3.018697756491671E-03 102268513	   9      -3.00      -2.75  2.253710702552074E-01  3.018697756491671E-03 102268513	   9      -3.00      -2.75  2.132396688932170E-01  2.747044383261016E-03 102268513
  10      -2.75      -2.50  2.702688144092568E-01  3.831313670319323E-03 127305183	  10      -2.75      -2.50  2.702688144092568E-01  3.831313670319323E-03 127305183	  10      -2.75      -2.50  2.572911155475118E-01  3.520990782299738E-03 127305183	  10      -2.75      -2.50  2.572911155475118E-01  3.520990782299738E-03 127305183	  10      -2.75      -2.50  2.843998959405545E-01  4.200229791888362E-03 127305183	  10      -2.75      -2.50  2.843998959405545E-01  4.200229791888362E-03 127305183	  10      -2.75      -2.50  2.702688144092568E-01  3.831313670319323E-03 127305183
