# title = Rapidity Neutrino e
# xlabel = $y_{\nu_{\text{e}}}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\nu_{\text{e}}}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.90  3.684581861451548E-03  5.188609784067633E-05 985562	   1      -5.00      -4.90  3.684581861451548E-03  5.188609784067633E-05 985562	   1      -5.00      -4.90  3.471150706238661E-03  4.550356526232913E-05 985562	   1      -5.00      -4.90  3.471150706238661E-03  4.550356526232913E-05 985562	   1      -5.00      -4.90  3.921331614981551E-03  6.004588366358853E-05 985562	   1      -5.00      -4.90  3.921331614981551E-03  6.004588366358853E-05 985562	   1      -5.00      -4.90  3.684581861451548E-03  5.188609784067633E-05 985562
   2      -4.90      -4.80  4.579464583327220E-03  4.024858870066191E-05 1193224	   2      -4.90      -4.80  4.579464583327220E-03  4.024858870066191E-05 1193224	   2      -4.90      -4.80  4.318722919160895E-03  3.700270114858212E-05 1193224	   2      -4.90      -4.80  4.318722919160895E-03  3.700270114858212E-05 1193224	   2      -4.90      -4.80  4.867178893414099E-03  4.410092953481843E-05 1193224	   2      -4.90      -4.80  4.867178893414099E-03  4.410092953481843E-05 1193224	   2      -4.90      -4.80  4.579464583327220E-03  4.024858870066191E-05 1193224
   3      -4.80      -4.70  5.756343768455259E-03  5.109174079579746E-05 1443098	   3      -4.80      -4.70  5.756343768455259E-03  5.109174079579746E-05 1443098	   3      -4.80      -4.70  5.423898617207277E-03  4.646623422513870E-05 1443098	   3      -4.80      -4.70  5.423898617207277E-03  4.646623422513870E-05 1443098	   3      -4.80      -4.70  6.124421254472272E-03  5.671122282458392E-05 1443098	   3      -4.80      -4.70  6.124421254472272E-03  5.671122282458392E-05 1443098	   3      -4.80      -4.70  5.756343768455259E-03  5.109174079579746E-05 1443098
   4      -4.70      -4.60  7.183158174846493E-03  4.966347395255726E-05 1745199	   4      -4.70      -4.60  7.183158174846493E-03  4.966347395255726E-05 1745199	   4      -4.70      -4.60  6.773990965600096E-03  4.558115383395484E-05 1745199	   4      -4.70      -4.60  6.773990965600096E-03  4.558115383395484E-05 1745199	   4      -4.70      -4.60  7.634857163892020E-03  5.456947336341165E-05 1745199	   4      -4.70      -4.60  7.634857163892020E-03  5.456947336341165E-05 1745199	   4      -4.70      -4.60  7.183158174846493E-03  4.966347395255726E-05 1745199
   5      -4.60      -4.50  9.171597060225956E-03  1.005011292413893E-04 2103277	   5      -4.60      -4.50  9.171597060225956E-03  1.005011292413893E-04 2103277	   5      -4.60      -4.50  8.643239714189949E-03  8.920807248754020E-05 2103277	   5      -4.60      -4.50  8.643239714189949E-03  8.920807248754020E-05 2103277	   5      -4.60      -4.50  9.756574930316154E-03  1.146125564421038E-04 2103277	   5      -4.60      -4.50  9.756574930316154E-03  1.146125564421038E-04 2103277	   5      -4.60      -4.50  9.171597060225956E-03  1.005011292413893E-04 2103277
   6      -4.50      -4.40  1.124492695389969E-02  6.430793422988167E-05 2529727	   6      -4.50      -4.40  1.124492695389969E-02  6.430793422988167E-05 2529727	   6      -4.50      -4.40  1.060794565079335E-02  5.897620607267809E-05 2529727	   6      -4.50      -4.40  1.060794565079335E-02  5.897620607267809E-05 2529727	   6      -4.50      -4.40  1.194720138976546E-02  7.069175058651412E-05 2529727	   6      -4.50      -4.40  1.194720138976546E-02  7.069175058651412E-05 2529727	   6      -4.50      -4.40  1.124492695389969E-02  6.430793422988167E-05 2529727
   7      -4.40      -4.30  1.434552544123848E-02  1.489282848494672E-04 3031811	   7      -4.40      -4.30  1.434552544123848E-02  1.489282848494672E-04 3031811	   7      -4.40      -4.30  1.353263822335165E-02  1.385666542023143E-04 3031811	   7      -4.40      -4.30  1.353263822335165E-02  1.385666542023143E-04 3031811	   7      -4.40      -4.30  1.524226604304329E-02  1.609188570732708E-04 3031811	   7      -4.40      -4.30  1.524226604304329E-02  1.609188570732708E-04 3031811	   7      -4.40      -4.30  1.434552544123848E-02  1.489282848494672E-04 3031811
   8      -4.30      -4.20  1.748605296424873E-02  7.782571005322841E-05 3619452	   8      -4.30      -4.20  1.748605296424873E-02  7.782571005322841E-05 3619452	   8      -4.30      -4.20  1.650471757440292E-02  7.158113627381353E-05 3619452	   8      -4.30      -4.20  1.650471757440292E-02  7.158113627381353E-05 3619452	   8      -4.30      -4.20  1.856662344745898E-02  8.530940096817004E-05 3619452	   8      -4.30      -4.20  1.856662344745898E-02  8.530940096817004E-05 3619452	   8      -4.30      -4.20  1.748605296424873E-02  7.782571005322841E-05 3619452
   9      -4.20      -4.10  2.190130113530860E-02  9.638132475278332E-05 4307038	   9      -4.20      -4.10  2.190130113530860E-02  9.638132475278332E-05 4307038	   9      -4.20      -4.10  2.067291553001443E-02  8.825978031690447E-05 4307038	   9      -4.20      -4.10  2.067291553001443E-02  8.825978031690447E-05 4307038	   9      -4.20      -4.10  2.325431459657901E-02  1.061428927984429E-04 4307038	   9      -4.20      -4.10  2.325431459657901E-02  1.061428927984429E-04 4307038	   9      -4.20      -4.10  2.190130113530860E-02  9.638132475278332E-05 4307038
  10      -4.10      -4.00  2.718986566357093E-02  1.124628393752734E-04 5110813	  10      -4.10      -4.00  2.718986566357093E-02  1.124628393752734E-04 5110813	  10      -4.10      -4.00  2.568137982947257E-02  1.031126406254527E-04 5110813	  10      -4.10      -4.00  2.568137982947257E-02  1.031126406254527E-04 5110813	  10      -4.10      -4.00  2.884852570144103E-02  1.236447739603151E-04 5110813	  10      -4.10      -4.00  2.884852570144103E-02  1.236447739603151E-04 5110813	  10      -4.10      -4.00  2.718986566357093E-02  1.124628393752734E-04 5110813
