# title = Rapidity Neutrino e
# xlabel = $y_{\nu_{\text{e}}}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\nu_{\text{e}}}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.90  3.059927260373569E-03  1.744493113070284E-04 1276576	   1      -5.00      -4.90  3.059927260373569E-03  1.744493113070284E-04 1276576	   1      -5.00      -4.90  2.895349718044087E-03  1.621326610389590E-04 1276576	   1      -5.00      -4.90  2.895349718044087E-03  1.621326610389590E-04 1276576	   1      -5.00      -4.90  3.241603103484151E-03  1.887455258394302E-04 1276576	   1      -5.00      -4.90  3.241603103484151E-03  1.887455258394302E-04 1276576	   1      -5.00      -4.90  3.059927260373569E-03  1.744493113070284E-04 1276576
   2      -4.90      -4.80  3.946931115202878E-03  1.544947626514905E-04 1541485	   2      -4.90      -4.80  3.946931115202878E-03  1.544947626514905E-04 1541485	   2      -4.90      -4.80  3.732413098556139E-03  1.416053136204308E-04 1541485	   2      -4.90      -4.80  3.732413098556139E-03  1.416053136204308E-04 1541485	   2      -4.90      -4.80  4.183898769982704E-03  1.697008094605765E-04 1541485	   2      -4.90      -4.80  4.183898769982704E-03  1.697008094605765E-04 1541485	   2      -4.90      -4.80  3.946931115202878E-03  1.544947626514905E-04 1541485
   3      -4.80      -4.70  4.499656703077161E-03  3.887372272632449E-04 1863909	   3      -4.80      -4.70  4.499656703077161E-03  3.887372272632449E-04 1863909	   3      -4.80      -4.70  4.270488254927421E-03  3.546948588473908E-04 1863909	   3      -4.80      -4.70  4.270488254927421E-03  3.546948588473908E-04 1863909	   3      -4.80      -4.70  4.749645391748733E-03  4.288955370954508E-04 1863909	   3      -4.80      -4.70  4.749645391748733E-03  4.288955370954508E-04 1863909	   3      -4.80      -4.70  4.499656703077161E-03  3.887372272632449E-04 1863909
   4      -4.70      -4.60  6.267599090062781E-03  3.451027307994069E-04 2251348	   4      -4.70      -4.60  6.267599090062781E-03  3.451027307994069E-04 2251348	   4      -4.70      -4.60  5.921098801347707E-03  3.190122123184598E-04 2251348	   4      -4.70      -4.60  5.921098801347707E-03  3.190122123184598E-04 2251348	   4      -4.70      -4.60  6.652033986319081E-03  3.756373954603530E-04 2251348	   4      -4.70      -4.60  6.652033986319081E-03  3.756373954603530E-04 2251348	   4      -4.70      -4.60  6.267599090062781E-03  3.451027307994069E-04 2251348
   5      -4.60      -4.50  8.228457257974508E-03  2.783020856635345E-04 2711070	   5      -4.60      -4.50  8.228457257974508E-03  2.783020856635345E-04 2711070	   5      -4.60      -4.50  7.778865792720835E-03  2.549037736605787E-04 2711070	   5      -4.60      -4.50  7.778865792720835E-03  2.549037736605787E-04 2711070	   5      -4.60      -4.50  8.723564243302421E-03  3.067079045401874E-04 2711070	   5      -4.60      -4.50  8.723564243302421E-03  3.067079045401874E-04 2711070	   5      -4.60      -4.50  8.228457257974508E-03  2.783020856635345E-04 2711070
   6      -4.50      -4.40  9.950061796206531E-03  3.486488850287224E-04 3258201	   6      -4.50      -4.40  9.950061796206531E-03  3.486488850287224E-04 3258201	   6      -4.50      -4.40  9.409568783135050E-03  3.199756618627986E-04 3258201	   6      -4.50      -4.40  9.409568783135050E-03  3.199756618627986E-04 3258201	   6      -4.50      -4.40  1.054569777523477E-02  3.831420256088676E-04 3258201	   6      -4.50      -4.40  1.054569777523477E-02  3.831420256088676E-04 3258201	   6      -4.50      -4.40  9.950061796206531E-03  3.486488850287224E-04 3258201
   7      -4.40      -4.30  1.288324551628044E-02  3.177880806996397E-04 3896970	   7      -4.40      -4.30  1.288324551628044E-02  3.177880806996397E-04 3896970	   7      -4.40      -4.30  1.216315088028680E-02  2.919824294964477E-04 3896970	   7      -4.40      -4.30  1.216315088028680E-02  2.919824294964477E-04 3896970	   7      -4.40      -4.30  1.368264093305612E-02  3.483311139691300E-04 3896970	   7      -4.40      -4.30  1.368264093305612E-02  3.483311139691300E-04 3896970	   7      -4.40      -4.30  1.288324551628044E-02  3.177880806996397E-04 3896970
   8      -4.30      -4.20  1.464316142677685E-02  9.372754261585904E-04 4652499	   8      -4.30      -4.20  1.464316142677685E-02  9.372754261585904E-04 4652499	   8      -4.30      -4.20  1.392010603881914E-02  8.567146755213786E-04 4652499	   8      -4.30      -4.20  1.392010603881914E-02  8.567146755213786E-04 4652499	   8      -4.30      -4.20  1.542514614285541E-02  1.032497562168116E-03 4652499	   8      -4.30      -4.20  1.542514614285541E-02  1.032497562168116E-03 4652499	   8      -4.30      -4.20  1.464316142677685E-02  9.372754261585904E-04 4652499
   9      -4.20      -4.10  1.751917397341791E-02  9.785883066548481E-04 5536193	   9      -4.20      -4.10  1.751917397341791E-02  9.785883066548481E-04 5536193	   9      -4.20      -4.10  1.666260186673521E-02  8.873927236655164E-04 5536193	   9      -4.20      -4.10  1.666260186673521E-02  8.873927236655164E-04 5536193	   9      -4.20      -4.10  1.844254889623570E-02  1.088108661230240E-03 5536193	   9      -4.20      -4.10  1.844254889623570E-02  1.088108661230240E-03 5536193	   9      -4.20      -4.10  1.751917397341791E-02  9.785883066548481E-04 5536193
  10      -4.10      -4.00  2.294565323964176E-02  7.979718812656518E-04 6562363	  10      -4.10      -4.00  2.294565323964176E-02  7.979718812656518E-04 6562363	  10      -4.10      -4.00  2.174945463322611E-02  7.429126170152417E-04 6562363	  10      -4.10      -4.00  2.174945463322611E-02  7.429126170152417E-04 6562363	  10      -4.10      -4.00  2.425769397763939E-02  8.614296695014536E-04 6562363	  10      -4.10      -4.00  2.425769397763939E-02  8.614296695014536E-04 6562363	  10      -4.10      -4.00  2.294565323964176E-02  7.979718812656518E-04 6562363
