# title = Rapidity Neutrino mu
# xlabel = $y_{\nu_{\mu}}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\nu_{\mu}}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.90  3.652647540690417E-03  3.728421837015158E-05 986656	   1      -5.00      -4.90  3.652647540690417E-03  3.728421837015158E-05 986656	   1      -5.00      -4.90  3.441595929490217E-03  3.412626512830863E-05 986656	   1      -5.00      -4.90  3.441595929490217E-03  3.412626512830863E-05 986656	   1      -5.00      -4.90  3.886384969613598E-03  4.107675109569190E-05 986656	   1      -5.00      -4.90  3.886384969613598E-03  4.107675109569190E-05 986656	   1      -5.00      -4.90  3.652647540690417E-03  3.728421837015158E-05 986656
   2      -4.90      -4.80  4.499603757893118E-03  3.384481636275304E-05 1195844	   2      -4.90      -4.80  4.499603757893118E-03  3.384481636275304E-05 1195844	   2      -4.90      -4.80  4.242899427464732E-03  3.094757703460914E-05 1195844	   2      -4.90      -4.80  4.242899427464732E-03  3.094757703460914E-05 1195844	   2      -4.90      -4.80  4.783023051217111E-03  3.734104482687759E-05 1195844	   2      -4.90      -4.80  4.783023051217111E-03  3.734104482687759E-05 1195844	   2      -4.90      -4.80  4.499603757893118E-03  3.384481636275304E-05 1195844
   3      -4.80      -4.70  5.711040115718900E-03  4.752493539217051E-05 1447298	   3      -4.80      -4.70  5.711040115718900E-03  4.752493539217051E-05 1447298	   3      -4.80      -4.70  5.383469177124289E-03  4.328706750583722E-05 1447298	   3      -4.80      -4.70  5.383469177124289E-03  4.328706750583722E-05 1447298	   3      -4.80      -4.70  6.073194569573828E-03  5.266942576611293E-05 1447298	   3      -4.80      -4.70  6.073194569573828E-03  5.266942576611293E-05 1447298	   3      -4.80      -4.70  5.711040115718900E-03  4.752493539217051E-05 1447298
   4      -4.70      -4.60  7.163345942624508E-03  6.757306610465494E-05 1750261	   4      -4.70      -4.60  7.163345942624508E-03  6.757306610465494E-05 1750261	   4      -4.70      -4.60  6.753059893992477E-03  6.074586225758450E-05 1750261	   4      -4.70      -4.60  6.753059893992477E-03  6.074586225758450E-05 1750261	   4      -4.70      -4.60  7.616896452447201E-03  7.595833731290828E-05 1750261	   4      -4.70      -4.60  7.616896452447201E-03  7.595833731290828E-05 1750261	   4      -4.70      -4.60  7.163345942624508E-03  6.757306610465494E-05 1750261
   5      -4.60      -4.50  8.958214525980852E-03  5.381033646195243E-05 2106636	   5      -4.60      -4.50  8.958214525980852E-03  5.381033646195243E-05 2106636	   5      -4.60      -4.50  8.448258623804356E-03  4.925671881421722E-05 2106636	   5      -4.60      -4.50  8.448258623804356E-03  4.925671881421722E-05 2106636	   5      -4.60      -4.50  9.521184481467937E-03  5.928512847417237E-05 2106636	   5      -4.60      -4.50  9.521184481467937E-03  5.928512847417237E-05 2106636	   5      -4.60      -4.50  8.958214525980852E-03  5.381033646195243E-05 2106636
   6      -4.50      -4.40  1.131932317551091E-02  6.349350207554678E-05 2532380	   6      -4.50      -4.40  1.131932317551091E-02  6.349350207554678E-05 2532380	   6      -4.50      -4.40  1.067097666316568E-02  5.761747289959633E-05 2532380	   6      -4.50      -4.40  1.067097666316568E-02  5.761747289959633E-05 2532380	   6      -4.50      -4.40  1.203634546598204E-02  7.073341238650429E-05 2532380	   6      -4.50      -4.40  1.203634546598204E-02  7.073341238650429E-05 2532380	   6      -4.50      -4.40  1.131932317551091E-02  6.349350207554678E-05 2532380
   7      -4.40      -4.30  1.421461942554411E-02  8.029027601840567E-05 3037276	   7      -4.40      -4.30  1.421461942554411E-02  8.029027601840567E-05 3037276	   7      -4.40      -4.30  1.340941793750300E-02  7.370578760690244E-05 3037276	   7      -4.40      -4.30  1.340941793750300E-02  7.370578760690244E-05 3037276	   7      -4.40      -4.30  1.510277271462915E-02  8.814509305121528E-05 3037276	   7      -4.40      -4.30  1.510277271462915E-02  8.814509305121528E-05 3037276	   7      -4.40      -4.30  1.421461942554411E-02  8.029027601840567E-05 3037276
   8      -4.30      -4.20  1.767074252957083E-02  8.345123719117639E-05 3623430	   8      -4.30      -4.20  1.767074252957083E-02  8.345123719117639E-05 3623430	   8      -4.30      -4.20  1.667436823419358E-02  7.632611112836436E-05 3623430	   8      -4.30      -4.20  1.667436823419358E-02  7.632611112836436E-05 3623430	   8      -4.30      -4.20  1.876880480728846E-02  9.200368250926390E-05 3623430	   8      -4.30      -4.20  1.876880480728846E-02  9.200368250926390E-05 3623430	   8      -4.30      -4.20  1.767074252957083E-02  8.345123719117639E-05 3623430
   9      -4.20      -4.10  2.188239163477159E-02  1.072456358124368E-04 4311188	   9      -4.20      -4.10  2.188239163477159E-02  1.072456358124368E-04 4311188	   9      -4.20      -4.10  2.065785487560123E-02  9.809497932868304E-05 4311188	   9      -4.20      -4.10  2.065785487560123E-02  9.809497932868304E-05 4311188	   9      -4.20      -4.10  2.323021252783227E-02  1.182028830992681E-04 4311188	   9      -4.20      -4.10  2.323021252783227E-02  1.182028830992681E-04 4311188	   9      -4.20      -4.10  2.188239163477159E-02  1.072456358124368E-04 4311188
  10      -4.10      -4.00  2.720133197629768E-02  1.183594393828363E-04 5113758	  10      -4.10      -4.00  2.720133197629768E-02  1.183594393828363E-04 5113758	  10      -4.10      -4.00  2.568484009020712E-02  1.083440176535468E-04 5113758	  10      -4.10      -4.00  2.568484009020712E-02  1.083440176535468E-04 5113758	  10      -4.10      -4.00  2.887058906437519E-02  1.303681874400400E-04 5113758	  10      -4.10      -4.00  2.887058906437519E-02  1.303681874400400E-04 5113758	  10      -4.10      -4.00  2.720133197629768E-02  1.183594393828363E-04 5113758
