# title = Rapidity Neutrino mu
# xlabel = $y_{\nu_{\mu}}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\nu_{\mu}}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.90  3.305158314688297E-03  9.436630688370029E-05 1274775	   1      -5.00      -4.90  3.305158314688297E-03  9.436630688370029E-05 1274775	   1      -5.00      -4.90  3.121358383524472E-03  8.694961035115099E-05 1274775	   1      -5.00      -4.90  3.121358383524472E-03  8.694961035115099E-05 1274775	   1      -5.00      -4.90  3.509056116602458E-03  1.030892822849751E-04 1274775	   1      -5.00      -4.90  3.509056116602458E-03  1.030892822849751E-04 1274775	   1      -5.00      -4.90  3.305158314688297E-03  9.436630688370029E-05 1274775
   2      -4.90      -4.80  3.147588811560229E-03  7.022057505214233E-04 1542540	   2      -4.90      -4.80  3.147588811560229E-03  7.022057505214233E-04 1542540	   2      -4.90      -4.80  3.024284419192460E-03  6.346585537784505E-04 1542540	   2      -4.90      -4.80  3.024284419192460E-03  6.346585537784505E-04 1542540	   2      -4.90      -4.80  3.275859544913148E-03  7.841336118402010E-04 1542540	   2      -4.90      -4.80  3.275859544913148E-03  7.841336118402010E-04 1542540	   2      -4.90      -4.80  3.147588811560229E-03  7.022057505214233E-04 1542540
   3      -4.80      -4.70  4.524729584179058E-03  5.122171621707910E-04 1862841	   3      -4.80      -4.70  4.524729584179058E-03  5.122171621707910E-04 1862841	   3      -4.80      -4.70  4.330508961345893E-03  4.365556099616446E-04 1862841	   3      -4.80      -4.70  4.330508961345893E-03  4.365556099616446E-04 1862841	   3      -4.80      -4.70  4.724216935940305E-03  6.112440241903540E-04 1862841	   3      -4.80      -4.70  4.724216935940305E-03  6.112440241903540E-04 1862841	   3      -4.80      -4.70  4.524729584179058E-03  5.122171621707910E-04 1862841
   4      -4.70      -4.60  6.090041956771934E-03  3.103678734351195E-04 2254070	   4      -4.70      -4.60  6.090041956771934E-03  3.103678734351195E-04 2254070	   4      -4.70      -4.60  5.783838266004647E-03  2.782016019418837E-04 2254070	   4      -4.70      -4.60  5.783838266004647E-03  2.782016019418837E-04 2254070	   4      -4.70      -4.60  6.420337638677118E-03  3.500726603768637E-04 2254070	   4      -4.70      -4.60  6.420337638677118E-03  3.500726603768637E-04 2254070	   4      -4.70      -4.60  6.090041956771934E-03  3.103678734351195E-04 2254070
   5      -4.60      -4.50  7.917099589109161E-03  2.622539477961019E-04 2712090	   5      -4.60      -4.50  7.917099589109161E-03  2.622539477961019E-04 2712090	   5      -4.60      -4.50  7.503660725898545E-03  2.375725140071502E-04 2712090	   5      -4.60      -4.50  7.503660725898545E-03  2.375725140071502E-04 2712090	   5      -4.60      -4.50  8.369490007060758E-03  2.926915286255760E-04 2712090	   5      -4.60      -4.50  8.369490007060758E-03  2.926915286255760E-04 2712090	   5      -4.60      -4.50  7.917099589109161E-03  2.622539477961019E-04 2712090
   6      -4.50      -4.40  1.031190040594158E-02  2.350817750060294E-04 3254300	   6      -4.50      -4.40  1.031190040594158E-02  2.350817750060294E-04 3254300	   6      -4.50      -4.40  9.749758184195849E-03  2.132784886179861E-04 3254300	   6      -4.50      -4.40  9.749758184195849E-03  2.132784886179861E-04 3254300	   6      -4.50      -4.40  1.093208455709023E-02  2.617191210460736E-04 3254300	   6      -4.50      -4.40  1.093208455709023E-02  2.617191210460736E-04 3254300	   6      -4.50      -4.40  1.031190040594158E-02  2.350817750060294E-04 3254300
   7      -4.40      -4.30  1.189928307941161E-02  5.353328594980490E-04 3895841	   7      -4.40      -4.30  1.189928307941161E-02  5.353328594980490E-04 3895841	   7      -4.40      -4.30  1.130942876769616E-02  4.732848781054068E-04 3895841	   7      -4.40      -4.30  1.130942876769616E-02  4.732848781054068E-04 3895841	   7      -4.40      -4.30  1.253532730462181E-02  6.138792765703025E-04 3895841	   7      -4.40      -4.30  1.253532730462181E-02  6.138792765703025E-04 3895841	   7      -4.40      -4.30  1.189928307941161E-02  5.353328594980490E-04 3895841
   8      -4.30      -4.20  1.522363384063855E-02  5.765812851688553E-04 4649200	   8      -4.30      -4.20  1.522363384063855E-02  5.765812851688553E-04 4649200	   8      -4.30      -4.20  1.439244487348608E-02  5.390612472949392E-04 4649200	   8      -4.30      -4.20  1.439244487348608E-02  5.390612472949392E-04 4649200	   8      -4.30      -4.20  1.614143774300748E-02  6.196225007235237E-04 4649200	   8      -4.30      -4.20  1.614143774300748E-02  6.196225007235237E-04 4649200	   8      -4.30      -4.20  1.522363384063855E-02  5.765812851688553E-04 4649200
   9      -4.20      -4.10  1.904894559779562E-02  6.064333632839243E-04 5531710	   9      -4.20      -4.10  1.904894559779562E-02  6.064333632839243E-04 5531710	   9      -4.20      -4.10  1.803510507812900E-02  5.650624741801226E-04 5531710	   9      -4.20      -4.10  1.803510507812900E-02  5.650624741801226E-04 5531710	   9      -4.20      -4.10  2.016379252379039E-02  6.544387604313432E-04 5531710	   9      -4.20      -4.10  2.016379252379039E-02  6.544387604313432E-04 5531710	   9      -4.20      -4.10  1.904894559779562E-02  6.064333632839243E-04 5531710
  10      -4.10      -4.00  2.316156351881434E-02  7.810488964721139E-04 6559284	  10      -4.10      -4.00  2.316156351881434E-02  7.810488964721139E-04 6559284	  10      -4.10      -4.00  2.202169733213304E-02  6.983158501428483E-04 6559284	  10      -4.10      -4.00  2.202169733213304E-02  6.983158501428483E-04 6559284	  10      -4.10      -4.00  2.438464430210753E-02  8.877260852833623E-04 6559284	  10      -4.10      -4.00  2.438464430210753E-02  8.877260852833623E-04 6559284	  10      -4.10      -4.00  2.316156351881434E-02  7.810488964721139E-04 6559284
