# title = Total Transverse Energy without Gluon
# xlabel = $H_{\text{T},\text{no g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{no g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     120.00     180.00  2.395082924952744E-06  2.610140002372093E-08 280649	   3     120.00     180.00  2.395082924952744E-06  2.610140002372093E-08 280649	   3     120.00     180.00  2.439322661889591E-06  2.587802285376090E-08 280649	   3     120.00     180.00  2.439322661889591E-06  2.587802285376090E-08 280649	   3     120.00     180.00  2.318171941199578E-06  2.617967570255299E-08 280649	   3     120.00     180.00  2.318171941199578E-06  2.617967570255299E-08 280649	   3     120.00     180.00  2.395082924952744E-06  2.610140002372093E-08 280649
   4     180.00     240.00  2.721577540193427E-04  3.446069520361198E-07 22593773	   4     180.00     240.00  2.721577540193427E-04  3.446069520361198E-07 22593773	   4     180.00     240.00  2.746463215161420E-04  3.362946562492456E-07 22593773	   4     180.00     240.00  2.746463215161420E-04  3.362946562492456E-07 22593773	   4     180.00     240.00  2.667163013529860E-04  3.525058714454579E-07 22593773	   4     180.00     240.00  2.667163013529860E-04  3.525058714454579E-07 22593773	   4     180.00     240.00  2.721577540193427E-04  3.446069520361198E-07 22593773
   5     240.00     300.00  1.907647806336327E-03  1.055601540637760E-06 105768449	   5     240.00     300.00  1.907647806336327E-03  1.055601540637760E-06 105768449	   5     240.00     300.00  1.906904229065256E-03  1.018887085295505E-06 105768449	   5     240.00     300.00  1.906904229065256E-03  1.018887085295505E-06 105768449	   5     240.00     300.00  1.892631334314562E-03  1.094231045701222E-06 105768449	   5     240.00     300.00  1.892631334314562E-03  1.094231045701222E-06 105768449	   5     240.00     300.00  1.907647806336327E-03  1.055601540637760E-06 105768449
   6     300.00     360.00  4.645889669357671E-03  1.873227172400925E-06 199143213	   6     300.00     360.00  4.645889669357671E-03  1.873227172400925E-06 199143213	   6     300.00     360.00  4.599319174940370E-03  1.789301129639896E-06 199143213	   6     300.00     360.00  4.599319174940370E-03  1.789301129639896E-06 199143213	   6     300.00     360.00  4.665709010420354E-03  1.965839746685812E-06 199143213	   6     300.00     360.00  4.665709010420354E-03  1.965839746685812E-06 199143213	   6     300.00     360.00  4.645889669357671E-03  1.873227172400925E-06 199143213
   7     360.00     420.00  6.926936495712478E-03  2.451628870329153E-06 262907675	   7     360.00     420.00  6.926936495712478E-03  2.451628870329153E-06 262907675	   7     360.00     420.00  6.799215371632918E-03  2.322601706293049E-06 262907675	   7     360.00     420.00  6.799215371632918E-03  2.322601706293049E-06 262907675	   7     360.00     420.00  7.029665144448506E-03  2.597634787983630E-06 262907675	   7     360.00     420.00  7.029665144448506E-03  2.597634787983630E-06 262907675	   7     360.00     420.00  6.926936495712478E-03  2.451628870329153E-06 262907675
   8     420.00     480.00  8.037331556588175E-03  2.730757216904591E-06 287342973	   8     420.00     480.00  8.037331556588175E-03  2.730757216904591E-06 287342973	   8     420.00     480.00  7.829929280602990E-03  2.569888929911914E-06 287342973	   8     420.00     480.00  7.829929280602990E-03  2.569888929911914E-06 287342973	   8     420.00     480.00  8.230764755425120E-03  2.915977047528315E-06 287342973	   8     420.00     480.00  8.230764755425120E-03  2.915977047528315E-06 287342973	   8     420.00     480.00  8.037331556588175E-03  2.730757216904591E-06 287342973
   9     480.00     540.00  8.086437673971866E-03  2.762428540301125E-06 284831869	   9     480.00     540.00  8.086437673971866E-03  2.762428540301125E-06 284831869	   9     480.00     540.00  7.824214394570608E-03  2.587398770861574E-06 284831869	   9     480.00     540.00  7.824214394570608E-03  2.587398770861574E-06 284831869	   9     480.00     540.00  8.348191349372713E-03  2.965840281697639E-06 284831869	   9     480.00     540.00  8.348191349372713E-03  2.965840281697639E-06 284831869	   9     480.00     540.00  8.086437673971866E-03  2.762428540301125E-06 284831869
  10     540.00     600.00  7.503710127183915E-03  2.644341777073008E-06 271338284	  10     540.00     600.00  7.503710127183915E-03  2.644341777073008E-06 271338284	  10     540.00     600.00  7.216434471510582E-03  2.467946186659156E-06 271338284	  10     540.00     600.00  7.216434471510582E-03  2.467946186659156E-06 271338284	  10     540.00     600.00  7.801893698745621E-03  2.850628747403145E-06 271338284	  10     540.00     600.00  7.801893698745621E-03  2.850628747403145E-06 271338284	  10     540.00     600.00  7.503710127183915E-03  2.644341777073008E-06 271338284
