# title = Total Transverse Energy without Gluon
# xlabel = $H_{\text{T},\text{no g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{no g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     120.00     180.00  2.223894043488359E-06  7.591414911811050E-08 366156	   3     120.00     180.00  2.223894043488359E-06  7.591414911811050E-08 366156	   3     120.00     180.00  2.266195931315194E-06  7.522137244550841E-08 366156	   3     120.00     180.00  2.266195931315194E-06  7.522137244550841E-08 366156	   3     120.00     180.00  2.152163018211109E-06  7.607505992767719E-08 366156	   3     120.00     180.00  2.152163018211109E-06  7.607505992767719E-08 366156	   3     120.00     180.00  2.223894043488359E-06  7.591414911811050E-08 366156
   4     180.00     240.00  2.415801663071015E-04  1.691838375490142E-06 28067909	   4     180.00     240.00  2.415801663071015E-04  1.691838375490142E-06 28067909	   4     180.00     240.00  2.440672109551923E-04  1.658745832405368E-06 28067909	   4     180.00     240.00  2.440672109551923E-04  1.658745832405368E-06 28067909	   4     180.00     240.00  2.365001239573117E-04  1.720096621613020E-06 28067909	   4     180.00     240.00  2.365001239573117E-04  1.720096621613020E-06 28067909	   4     180.00     240.00  2.415801663071015E-04  1.691838375490142E-06 28067909
   5     240.00     300.00  1.691510547173963E-03  8.176916987392168E-06 130061568	   5     240.00     300.00  1.691510547173963E-03  8.176916987392168E-06 130061568	   5     240.00     300.00  1.693989802234842E-03  7.857983782574851E-06 130061568	   5     240.00     300.00  1.693989802234842E-03  7.857983782574851E-06 130061568	   5     240.00     300.00  1.674954173586021E-03  8.512161006795498E-06 130061568	   5     240.00     300.00  1.674954173586021E-03  8.512161006795498E-06 130061568	   5     240.00     300.00  1.691510547173963E-03  8.176916987392168E-06 130061568
   6     300.00     360.00  4.145164301630390E-03  1.143167272495558E-05 245268463	   6     300.00     360.00  4.145164301630390E-03  1.143167272495558E-05 245268463	   6     300.00     360.00  4.110873405648895E-03  1.091302617747553E-05 245268463	   6     300.00     360.00  4.110873405648895E-03  1.091302617747553E-05 245268463	   6     300.00     360.00  4.155424049827395E-03  1.199969939883191E-05 245268463	   6     300.00     360.00  4.155424049827395E-03  1.199969939883191E-05 245268463	   6     300.00     360.00  4.145164301630390E-03  1.143167272495558E-05 245268463
   7     360.00     420.00  6.098302924736428E-03  2.409903076120137E-05 325901729	   7     360.00     420.00  6.098302924736428E-03  2.409903076120137E-05 325901729	   7     360.00     420.00  6.000061364624559E-03  2.267742481038348E-05 325901729	   7     360.00     420.00  6.000061364624559E-03  2.267742481038348E-05 325901729	   7     360.00     420.00  6.173361934448238E-03  2.570760851547983E-05 325901729	   7     360.00     420.00  6.173361934448238E-03  2.570760851547983E-05 325901729	   7     360.00     420.00  6.098302924736428E-03  2.409903076120137E-05 325901729
   8     420.00     480.00  6.991198266534925E-03  3.518003431669890E-05 359161917	   8     420.00     480.00  6.991198266534925E-03  3.518003431669890E-05 359161917	   8     420.00     480.00  6.827656202506959E-03  3.316410338990337E-05 359161917	   8     420.00     480.00  6.827656202506959E-03  3.316410338990337E-05 359161917	   8     420.00     480.00  7.141062421792750E-03  3.744028840267560E-05 359161917	   8     420.00     480.00  7.141062421792750E-03  3.744028840267560E-05 359161917	   8     420.00     480.00  6.991198266534925E-03  3.518003431669890E-05 359161917
   9     480.00     540.00  6.933400008686700E-03  3.470928372308396E-05 359198058	   9     480.00     540.00  6.933400008686700E-03  3.470928372308396E-05 359198058	   9     480.00     540.00  6.727585123450902E-03  3.231661320425339E-05 359198058	   9     480.00     540.00  6.727585123450902E-03  3.231661320425339E-05 359198058	   9     480.00     540.00  7.136522267484162E-03  3.749051465478122E-05 359198058	   9     480.00     540.00  7.136522267484162E-03  3.749051465478122E-05 359198058	   9     480.00     540.00  6.933400008686700E-03  3.470928372308396E-05 359198058
  10     540.00     600.00  6.343822832736891E-03  5.021305816263566E-05 344959811	  10     540.00     600.00  6.343822832736891E-03  5.021305816263566E-05 344959811	  10     540.00     600.00  6.120787937660303E-03  4.614022562570921E-05 344959811	  10     540.00     600.00  6.120787937660303E-03  4.614022562570921E-05 344959811	  10     540.00     600.00  6.573219596350705E-03  5.499308080679147E-05 344959811	  10     540.00     600.00  6.573219596350705E-03  5.499308080679147E-05 344959811	  10     540.00     600.00  6.343822832736891E-03  5.021305816263566E-05 344959811
