# title = Transverse Mass Positron--anti-Muon System
# xlabel = $M_{\text{T},\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -3.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  5.346291350658616E-03  2.583064821855778E-06 190817620	   1       0.00      40.00  5.346291350658616E-03  2.583064821855778E-06 190817620	   1       0.00      40.00  5.198015885053007E-03  2.423233860790097E-06 190817620	   1       0.00      40.00  5.198015885053007E-03  2.423233860790097E-06 190817620	   1       0.00      40.00  5.490212002676545E-03  2.769250907447729E-06 190817620	   1       0.00      40.00  5.490212002676545E-03  2.769250907447729E-06 190817620	   1       0.00      40.00  5.346291350658616E-03  2.583064821855778E-06 190817620
   2      40.00      80.00  2.138766176459478E-02  5.129887016680890E-06 702437126	   2      40.00      80.00  2.138766176459478E-02  5.129887016680890E-06 702437126	   2      40.00      80.00  2.074789829083582E-02  4.812716083905768E-06 702437126	   2      40.00      80.00  2.074789829083582E-02  4.812716083905768E-06 702437126	   2      40.00      80.00  2.202008487871792E-02  5.499136374236456E-06 702437126	   2      40.00      80.00  2.202008487871792E-02  5.499136374236456E-06 702437126	   2      40.00      80.00  2.138766176459478E-02  5.129887016680890E-06 702437126
   3      80.00     120.00  2.381333599418453E-02  5.164604906972345E-06 709646913	   3      80.00     120.00  2.381333599418453E-02  5.164604906972345E-06 709646913	   3      80.00     120.00  2.300588619625943E-02  4.844907530875102E-06 709646913	   3      80.00     120.00  2.300588619625943E-02  4.844907530875102E-06 709646913	   3      80.00     120.00  2.463371110318650E-02  5.536266954234881E-06 709646913	   3      80.00     120.00  2.463371110318650E-02  5.536266954234881E-06 709646913	   3      80.00     120.00  2.381333599418453E-02  5.164604906972345E-06 709646913
   4     120.00     160.00  1.837649680285668E-02  4.506082618331630E-06 566722284	   4     120.00     160.00  1.837649680285668E-02  4.506082618331630E-06 566722284	   4     120.00     160.00  1.765851706558516E-02  4.220100076205008E-06 566722284	   4     120.00     160.00  1.765851706558516E-02  4.220100076205008E-06 566722284	   4     120.00     160.00  1.912649130643627E-02  4.839055943288544E-06 566722284	   4     120.00     160.00  1.912649130643627E-02  4.839055943288544E-06 566722284	   4     120.00     160.00  1.837649680285668E-02  4.506082618331630E-06 566722284
   5     160.00     200.00  1.306105001371353E-02  3.801836689651178E-06 444926348	   5     160.00     200.00  1.306105001371353E-02  3.801836689651178E-06 444926348	   5     160.00     200.00  1.248707756527636E-02  3.556832394058705E-06 444926348	   5     160.00     200.00  1.248707756527636E-02  3.556832394058705E-06 444926348	   5     160.00     200.00  1.367312006580265E-02  4.086966970843986E-06 444926348	   5     160.00     200.00  1.367312006580265E-02  4.086966970843986E-06 444926348	   5     160.00     200.00  1.306105001371353E-02  3.801836689651178E-06 444926348
   6     200.00     240.00  9.229717066968898E-03  3.280724750787230E-06 353504374	   6     200.00     240.00  9.229717066968898E-03  3.280724750787230E-06 353504374	   6     200.00     240.00  8.783684697565160E-03  3.060795535014869E-06 353504374	   6     200.00     240.00  8.783684697565160E-03  3.060795535014869E-06 353504374	   6     200.00     240.00  9.712777391832345E-03  3.537931345718755E-06 353504374	   6     200.00     240.00  9.712777391832345E-03  3.537931345718755E-06 353504374	   6     200.00     240.00  9.229717066968898E-03  3.280724750787230E-06 353504374
   7     240.00     280.00  6.613747179103723E-03  2.839773605718015E-06 285642616	   7     240.00     280.00  6.613747179103723E-03  2.839773605718015E-06 285642616	   7     240.00     280.00  6.267999087537043E-03  2.645082138165770E-06 285642616	   7     240.00     280.00  6.267999087537043E-03  2.645082138165770E-06 285642616	   7     240.00     280.00  6.992801252556544E-03  3.067413568805394E-06 285642616	   7     240.00     280.00  6.992801252556544E-03  3.067413568805394E-06 285642616	   7     240.00     280.00  6.613747179103723E-03  2.839773605718015E-06 285642616
   8     280.00     320.00  4.819361272115622E-03  2.470218531052898E-06 234615562	   8     280.00     320.00  4.819361272115622E-03  2.470218531052898E-06 234615562	   8     280.00     320.00  4.550308712444344E-03  2.295588591674380E-06 234615562	   8     280.00     320.00  4.550308712444344E-03  2.295588591674380E-06 234615562	   8     280.00     320.00  5.117241282840111E-03  2.675048276746370E-06 234615562	   8     280.00     320.00  5.117241282840111E-03  2.675048276746370E-06 234615562	   8     280.00     320.00  4.819361272115622E-03  2.470218531052898E-06 234615562
   9     320.00     360.00  3.576488012619011E-03  2.168762902965147E-06 195542474	   9     320.00     360.00  3.576488012619011E-03  2.168762902965147E-06 195542474	   9     320.00     360.00  3.365186529572832E-03  2.012095318080778E-06 195542474	   9     320.00     360.00  3.365186529572832E-03  2.012095318080778E-06 195542474	   9     320.00     360.00  3.812372399625364E-03  2.352645641365424E-06 195542474	   9     320.00     360.00  3.812372399625364E-03  2.352645641365424E-06 195542474	   9     320.00     360.00  3.576488012619011E-03  2.168762902965147E-06 195542474
  10     360.00     400.00  2.695103317572851E-03  1.891695346016848E-06 165082933	  10     360.00     400.00  2.695103317572851E-03  1.891695346016848E-06 165082933	  10     360.00     400.00  2.527845769079239E-03  1.752074198754711E-06 165082933	  10     360.00     400.00  2.527845769079239E-03  1.752074198754711E-06 165082933	  10     360.00     400.00  2.883146778247872E-03  2.055913432239034E-06 165082933	  10     360.00     400.00  2.883146778247872E-03  2.055913432239034E-06 165082933	  10     360.00     400.00  2.695103317572851E-03  1.891695346016848E-06 165082933
  11     400.00     440.00  2.063940458061192E-03  1.692444210297963E-06 140895352	  11     400.00     440.00  2.063940458061192E-03  1.692444210297963E-06 140895352	  11     400.00     440.00  1.930030905705273E-03  1.563427488201561E-06 140895352	  11     400.00     440.00  1.930030905705273E-03  1.563427488201561E-06 140895352	  11     400.00     440.00  2.215454812348573E-03  1.844720532767757E-06 140895352	  11     400.00     440.00  2.215454812348573E-03  1.844720532767757E-06 140895352	  11     400.00     440.00  2.063940458061192E-03  1.692444210297963E-06 140895352
  12     440.00     480.00  1.600159519413050E-03  1.487895654380886E-06 121443462	  12     440.00     480.00  1.600159519413050E-03  1.487895654380886E-06 121443462	  12     440.00     480.00  1.492162037121973E-03  1.371787883308373E-06 121443462	  12     440.00     480.00  1.492162037121973E-03  1.371787883308373E-06 121443462	  12     440.00     480.00  1.723041983003652E-03  1.625318163632660E-06 121443462	  12     440.00     480.00  1.723041983003652E-03  1.625318163632660E-06 121443462	  12     440.00     480.00  1.600159519413050E-03  1.487895654380886E-06 121443462
  13     480.00     520.00  1.256542637484405E-03  1.342832369435835E-06 105560175	  13     480.00     520.00  1.256542637484405E-03  1.342832369435835E-06 105560175	  13     480.00     520.00  1.168683191632368E-03  1.234669920204168E-06 105560175	  13     480.00     520.00  1.168683191632368E-03  1.234669920204168E-06 105560175	  13     480.00     520.00  1.357007630211216E-03  1.471188499240971E-06 105560175	  13     480.00     520.00  1.357007630211216E-03  1.471188499240971E-06 105560175	  13     480.00     520.00  1.256542637484405E-03  1.342832369435835E-06 105560175
