# title = Transverse Mass Positron--anti-Muon System
# xlabel = $M_{\text{T},\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -3.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  4.558619512839985E-03  3.252630533759921E-05 238704447	   1       0.00      40.00  4.558619512839985E-03  3.252630533759921E-05 238704447	   1       0.00      40.00  4.446946884001040E-03  3.035646303318030E-05 238704447	   1       0.00      40.00  4.446946884001040E-03  3.035646303318030E-05 238704447	   1       0.00      40.00  4.664654608475909E-03  3.502267915358019E-05 238704447	   1       0.00      40.00  4.664654608475909E-03  3.502267915358019E-05 238704447	   1       0.00      40.00  4.558619512839985E-03  3.252630533759921E-05 238704447
   2      40.00      80.00  1.816328815910736E-02  8.896285229590438E-05 863977356	   2      40.00      80.00  1.816328815910736E-02  8.896285229590438E-05 863977356	   2      40.00      80.00  1.769118771513636E-02  8.207892785502863E-05 863977356	   2      40.00      80.00  1.769118771513636E-02  8.207892785502863E-05 863977356	   2      40.00      80.00  1.861778408256132E-02  9.703544561378338E-05 863977356	   2      40.00      80.00  1.861778408256132E-02  9.703544561378338E-05 863977356	   2      40.00      80.00  1.816328815910736E-02  8.896285229590438E-05 863977356
   3      80.00     120.00  1.983863747946519E-02  9.198012494368772E-05 881239022	   3      80.00     120.00  1.983863747946519E-02  9.198012494368772E-05 881239022	   3      80.00     120.00  1.924736059787137E-02  8.590175364340254E-05 881239022	   3      80.00     120.00  1.924736059787137E-02  8.590175364340254E-05 881239022	   3      80.00     120.00  2.042691876674280E-02  9.898163121927891E-05 881239022	   3      80.00     120.00  2.042691876674280E-02  9.898163121927891E-05 881239022	   3      80.00     120.00  1.983863747946519E-02  9.198012494368772E-05 881239022
   4     120.00     160.00  1.522695095571223E-02  6.032372881385893E-05 713578262	   4     120.00     160.00  1.522695095571223E-02  6.032372881385893E-05 713578262	   4     120.00     160.00  1.469535758990759E-02  5.571535531359816E-05 713578262	   4     120.00     160.00  1.469535758990759E-02  5.571535531359816E-05 713578262	   4     120.00     160.00  1.577376383481125E-02  6.576818694285628E-05 713578262	   4     120.00     160.00  1.577376383481125E-02  6.576818694285628E-05 713578262	   4     120.00     160.00  1.522695095571223E-02  6.032372881385893E-05 713578262
   5     160.00     200.00  1.073639940532074E-02  4.417552559188852E-05 567035788	   5     160.00     200.00  1.073639940532074E-02  4.417552559188852E-05 567035788	   5     160.00     200.00  1.030555976036204E-02  4.085114421756092E-05 567035788	   5     160.00     200.00  1.030555976036204E-02  4.085114421756092E-05 567035788	   5     160.00     200.00  1.119148818682611E-02  4.809848422118496E-05 567035788	   5     160.00     200.00  1.119148818682611E-02  4.809848422118496E-05 567035788	   5     160.00     200.00  1.073639940532074E-02  4.417552559188852E-05 567035788
   6     200.00     240.00  7.365044237747343E-03  4.938283839809606E-05 454975672	   6     200.00     240.00  7.365044237747343E-03  4.938283839809606E-05 454975672	   6     200.00     240.00  7.043151460584333E-03  4.537675156358665E-05 454975672	   6     200.00     240.00  7.043151460584333E-03  4.537675156358665E-05 454975672	   6     200.00     240.00  7.709615807319607E-03  5.413587727861811E-05 454975672	   6     200.00     240.00  7.709615807319607E-03  5.413587727861811E-05 454975672	   6     200.00     240.00  7.365044237747343E-03  4.938283839809606E-05 454975672
   7     240.00     280.00  5.242214602491610E-03  3.668208480736287E-05 370556312	   7     240.00     280.00  5.242214602491610E-03  3.668208480736287E-05 370556312	   7     240.00     280.00  4.988432664180055E-03  3.387857896186666E-05 370556312	   7     240.00     280.00  4.988432664180055E-03  3.387857896186666E-05 370556312	   7     240.00     280.00  5.518679127537742E-03  3.998112461579861E-05 370556312	   7     240.00     280.00  5.518679127537742E-03  3.998112461579861E-05 370556312	   7     240.00     280.00  5.242214602491610E-03  3.668208480736287E-05 370556312
   8     280.00     320.00  3.684014650121941E-03  5.964154611048894E-05 306355384	   8     280.00     320.00  3.684014650121941E-03  5.964154611048894E-05 306355384	   8     280.00     320.00  3.498811920925928E-03  5.381945570883753E-05 306355384	   8     280.00     320.00  3.498811920925928E-03  5.381945570883753E-05 306355384	   8     280.00     320.00  3.886550899246940E-03  6.664820043078864E-05 306355384	   8     280.00     320.00  3.886550899246940E-03  6.664820043078864E-05 306355384	   8     280.00     320.00  3.684014650121941E-03  5.964154611048894E-05 306355384
   9     320.00     360.00  2.701736775159995E-03  3.544216829731911E-05 256769583	   9     320.00     360.00  2.701736775159995E-03  3.544216829731911E-05 256769583	   9     320.00     360.00  2.555121396555417E-03  3.206853175781761E-05 256769583	   9     320.00     360.00  2.555121396555417E-03  3.206853175781761E-05 256769583	   9     320.00     360.00  2.864003963274793E-03  3.953995477064532E-05 256769583	   9     320.00     360.00  2.864003963274793E-03  3.953995477064532E-05 256769583	   9     320.00     360.00  2.701736775159995E-03  3.544216829731911E-05 256769583
  10     360.00     400.00  2.048911452365524E-03  2.422790953147319E-05 217826262	  10     360.00     400.00  2.048911452365524E-03  2.422790953147319E-05 217826262	  10     360.00     400.00  1.929294501227418E-03  2.226401200752446E-05 217826262	  10     360.00     400.00  1.929294501227418E-03  2.226401200752446E-05 217826262	  10     360.00     400.00  2.182913158262784E-03  2.655045228260748E-05 217826262	  10     360.00     400.00  2.182913158262784E-03  2.655045228260748E-05 217826262	  10     360.00     400.00  2.048911452365524E-03  2.422790953147319E-05 217826262
