# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  6.573081851277721E-02  1.321269065929039E-05 1089016668	   2      20.00      40.00  6.573081851277721E-02  1.321269065929039E-05 1089016668	   2      20.00      40.00  6.332933731938278E-02  1.237031413629628E-05 1089016668	   2      20.00      40.00  6.332933731938278E-02  1.237031413629628E-05 1089016668	   2      20.00      40.00  6.821490916439490E-02  1.419487615188539E-05 1089016668	   2      20.00      40.00  6.821490916439490E-02  1.419487615188539E-05 1089016668	   2      20.00      40.00  6.573081851277721E-02  1.321269065929039E-05 1089016668
   3      40.00      60.00  5.000243238051063E-02  1.109830073799985E-05 844708253	   3      40.00      60.00  5.000243238051063E-02  1.109830073799985E-05 844708253	   3      40.00      60.00  4.812266878555004E-02  1.037930647680770E-05 844708253	   3      40.00      60.00  4.812266878555004E-02  1.037930647680770E-05 844708253	   3      40.00      60.00  5.195756919134666E-02  1.193789303131351E-05 844708253	   3      40.00      60.00  5.195756919134666E-02  1.193789303131351E-05 844708253	   3      40.00      60.00  5.000243238051063E-02  1.109830073799985E-05 844708253
   4      60.00      80.00  3.385714517968327E-02  9.034656498936075E-06 568781194	   4      60.00      80.00  3.385714517968327E-02  9.034656498936075E-06 568781194	   4      60.00      80.00  3.249478882857307E-02  8.441764418218246E-06 568781194	   4      60.00      80.00  3.249478882857307E-02  8.441764418218246E-06 568781194	   4      60.00      80.00  3.529205026762192E-02  9.728006652427421E-06 568781194	   4      60.00      80.00  3.529205026762192E-02  9.728006652427421E-06 568781194	   4      60.00      80.00  3.385714517968327E-02  9.034656498936075E-06 568781194
   5      80.00     100.00  2.302717768662219E-02  7.368089017012125E-06 414312137	   5      80.00     100.00  2.302717768662219E-02  7.368089017012125E-06 414312137	   5      80.00     100.00  2.203363188390975E-02  6.879406795071674E-06 414312137	   5      80.00     100.00  2.203363188390975E-02  6.879406795071674E-06 414312137	   5      80.00     100.00  2.408648234616435E-02  7.939598306867417E-06 414312137	   5      80.00     100.00  2.408648234616435E-02  7.939598306867417E-06 414312137	   5      80.00     100.00  2.302717768662219E-02  7.368089017012125E-06 414312137
   6     100.00     120.00  1.606379892121445E-02  6.121753965309646E-06 316754328	   6     100.00     120.00  1.606379892121445E-02  6.121753965309646E-06 316754328	   6     100.00     120.00  1.532531916880090E-02  5.708492509353190E-06 316754328	   6     100.00     120.00  1.532531916880090E-02  5.708492509353190E-06 316754328	   6     100.00     120.00  1.685944359901552E-02  6.605480262181352E-06 316754328	   6     100.00     120.00  1.685944359901552E-02  6.605480262181352E-06 316754328	   6     100.00     120.00  1.606379892121445E-02  6.121753965309646E-06 316754328
   7     120.00     140.00  1.148654986933576E-02  5.186046686317522E-06 250518689	   7     120.00     140.00  1.148654986933576E-02  5.186046686317522E-06 250518689	   7     120.00     140.00  1.092794293071182E-02  4.813164617393829E-06 250518689	   7     120.00     140.00  1.092794293071182E-02  4.813164617393829E-06 250518689	   7     120.00     140.00  1.209379868994848E-02  5.628146940799100E-06 250518689	   7     120.00     140.00  1.209379868994848E-02  5.628146940799100E-06 250518689	   7     120.00     140.00  1.148654986933576E-02  5.186046686317522E-06 250518689
   8     140.00     160.00  8.422950712073281E-03  4.268315830382514E-06 203271307	   8     140.00     160.00  8.422950712073281E-03  4.268315830382514E-06 203271307	   8     140.00     160.00  7.992147860989698E-03  3.968526972011905E-06 203271307	   8     140.00     160.00  7.992147860989698E-03  3.968526972011905E-06 203271307	   8     140.00     160.00  8.894898701853234E-03  4.620498030789601E-06 203271307	   8     140.00     160.00  8.894898701853234E-03  4.620498030789601E-06 203271307	   8     140.00     160.00  8.422950712073281E-03  4.268315830382514E-06 203271307
   9     160.00     180.00  6.304502124149848E-03  3.635519113199149E-06 168194515	   9     160.00     180.00  6.304502124149848E-03  3.635519113199149E-06 168194515	   9     160.00     180.00  5.967342791956515E-03  3.376355188229180E-06 168194515	   9     160.00     180.00  5.967342791956515E-03  3.376355188229180E-06 168194515	   9     160.00     180.00  6.676320622473281E-03  3.940135938737661E-06 168194515	   9     160.00     180.00  6.676320622473281E-03  3.940135938737661E-06 168194515	   9     160.00     180.00  6.304502124149848E-03  3.635519113199149E-06 168194515
  10     180.00     200.00  4.795447131549310E-03  3.140732015151629E-06 141413961	  10     180.00     200.00  4.795447131549310E-03  3.140732015151629E-06 141413961	  10     180.00     200.00  4.527984645172302E-03  2.908215677805513E-06 141413961	  10     180.00     200.00  4.527984645172302E-03  2.908215677805513E-06 141413961	  10     180.00     200.00  5.092237923626185E-03  3.415428101301150E-06 141413961	  10     180.00     200.00  5.092237923626185E-03  3.415428101301150E-06 141413961	  10     180.00     200.00  4.795447131549310E-03  3.140732015151629E-06 141413961
