# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  5.537438490862914E-02  1.850963079864263E-04 1311608405	   2      20.00      40.00  5.537438490862914E-02  1.850963079864263E-04 1311608405	   2      20.00      40.00  5.357804363826868E-02  1.716981020677632E-04 1311608405	   2      20.00      40.00  5.357804363826868E-02  1.716981020677632E-04 1311608405	   2      20.00      40.00  5.720073405926057E-02  2.007988083091728E-04 1311608405	   2      20.00      40.00  5.720073405926057E-02  2.007988083091728E-04 1311608405	   2      20.00      40.00  5.537438490862914E-02  1.850963079864263E-04 1311608405
   3      40.00      60.00  4.151602107372265E-02  2.246149812460699E-04 1026578788	   3      40.00      60.00  4.151602107372265E-02  2.246149812460699E-04 1026578788	   3      40.00      60.00  4.013808502530053E-02  2.062958874622561E-04 1026578788	   3      40.00      60.00  4.013808502530053E-02  2.062958874622561E-04 1026578788	   3      40.00      60.00  4.292337918078978E-02  2.462496795095421E-04 1026578788	   3      40.00      60.00  4.292337918078978E-02  2.462496795095421E-04 1026578788	   3      40.00      60.00  4.151602107372265E-02  2.246149812460699E-04 1026578788
   4      60.00      80.00  2.777508320404358E-02  1.332760377409977E-04 699315516	   4      60.00      80.00  2.777508320404358E-02  1.332760377409977E-04 699315516	   4      60.00      80.00  2.678316899592294E-02  1.235535406851795E-04 699315516	   4      60.00      80.00  2.678316899592294E-02  1.235535406851795E-04 699315516	   4      60.00      80.00  2.880278804642131E-02  1.447354690773280E-04 699315516	   4      60.00      80.00  2.880278804642131E-02  1.447354690773280E-04 699315516	   4      60.00      80.00  2.777508320404358E-02  1.332760377409977E-04 699315516
   5      80.00     100.00  1.876118762634020E-02  9.180780994692356E-05 515040162	   5      80.00     100.00  1.876118762634020E-02  9.180780994692356E-05 515040162	   5      80.00     100.00  1.804130039455280E-02  8.425431796341852E-05 515040162	   5      80.00     100.00  1.804130039455280E-02  8.425431796341852E-05 515040162	   5      80.00     100.00  1.951675205707361E-02  1.008454724161364E-04 515040162	   5      80.00     100.00  1.951675205707361E-02  1.008454724161364E-04 515040162	   5      80.00     100.00  1.876118762634020E-02  9.180780994692356E-05 515040162
   6     100.00     120.00  1.294589949808534E-02  8.712260284298725E-05 397711702	   6     100.00     120.00  1.294589949808534E-02  8.712260284298725E-05 397711702	   6     100.00     120.00  1.241106378824158E-02  7.983795129320044E-05 397711702	   6     100.00     120.00  1.241106378824158E-02  7.983795129320044E-05 397711702	   6     100.00     120.00  1.351454596682355E-02  9.581958021671231E-05 397711702	   6     100.00     120.00  1.351454596682355E-02  9.581958021671231E-05 397711702	   6     100.00     120.00  1.294589949808534E-02  8.712260284298725E-05 397711702
   7     120.00     140.00  9.025677615027221E-03  7.746138953420159E-05 317354939	   7     120.00     140.00  9.025677615027221E-03  7.746138953420159E-05 317354939	   7     120.00     140.00  8.630695257312769E-03  7.102837522118482E-05 317354939	   7     120.00     140.00  8.630695257312769E-03  7.102837522118482E-05 317354939	   7     120.00     140.00  9.449912550092735E-03  8.511884773338873E-05 317354939	   7     120.00     140.00  9.449912550092735E-03  8.511884773338873E-05 317354939	   7     120.00     140.00  9.025677615027221E-03  7.746138953420159E-05 317354939
   8     140.00     160.00  6.626582529267074E-03  5.748207219469063E-05 259511371	   8     140.00     160.00  6.626582529267074E-03  5.748207219469063E-05 259511371	   8     140.00     160.00  6.317158224868522E-03  5.248979215047846E-05 259511371	   8     140.00     160.00  6.317158224868522E-03  5.248979215047846E-05 259511371	   8     140.00     160.00  6.962657630406459E-03  6.347024260601025E-05 259511371	   8     140.00     160.00  6.962657630406459E-03  6.347024260601025E-05 259511371	   8     140.00     160.00  6.626582529267074E-03  5.748207219469063E-05 259511371
   9     160.00     180.00  4.851530550903074E-03  4.557227654145339E-05 216229070	   9     160.00     180.00  4.851530550903074E-03  4.557227654145339E-05 216229070	   9     160.00     180.00  4.612995599612987E-03  4.184028782764784E-05 216229070	   9     160.00     180.00  4.612995599612987E-03  4.184028782764784E-05 216229070	   9     160.00     180.00  5.112687422074946E-03  5.001324005344638E-05 216229070	   9     160.00     180.00  5.112687422074946E-03  5.001324005344638E-05 216229070	   9     160.00     180.00  4.851530550903074E-03  4.557227654145339E-05 216229070
  10     180.00     200.00  3.599447423332106E-03  4.433839237255587E-05 182895605	  10     180.00     200.00  3.599447423332106E-03  4.433839237255587E-05 182895605	  10     180.00     200.00  3.417814373630324E-03  4.053277701246218E-05 182895605	  10     180.00     200.00  3.417814373630324E-03  4.053277701246218E-05 182895605	  10     180.00     200.00  3.798917599298339E-03  4.890056877002436E-05 182895605	  10     180.00     200.00  3.798917599298339E-03  4.890056877002436E-05 182895605	  10     180.00     200.00  3.599447423332106E-03  4.433839237255587E-05 182895605
  11     200.00     220.00  2.772108062813819E-03  3.557015291445884E-05 156666874	  11     200.00     220.00  2.772108062813819E-03  3.557015291445884E-05 156666874	  11     200.00     220.00  2.623942136963644E-03  3.274252253555568E-05 156666874	  11     200.00     220.00  2.623942136963644E-03  3.274252253555568E-05 156666874	  11     200.00     220.00  2.936333069051367E-03  3.890181346475426E-05 156666874	  11     200.00     220.00  2.936333069051367E-03  3.890181346475426E-05 156666874	  11     200.00     220.00  2.772108062813819E-03  3.557015291445884E-05 156666874
  12     220.00     240.00  2.142644436515084E-03  4.029726546801353E-05 135521381	  12     220.00     240.00  2.142644436515084E-03  4.029726546801353E-05 135521381	  12     220.00     240.00  2.023517668827306E-03  3.689830132115048E-05 135521381	  12     220.00     240.00  2.023517668827306E-03  3.689830132115048E-05 135521381	  12     220.00     240.00  2.275493686500945E-03  4.430617432224497E-05 135521381	  12     220.00     240.00  2.275493686500945E-03  4.430617432224497E-05 135521381	  12     220.00     240.00  2.142644436515084E-03  4.029726546801353E-05 135521381
  13     240.00     260.00  1.651843749713564E-03  3.269835796807194E-05 118319985	  13     240.00     260.00  1.651843749713564E-03  3.269835796807194E-05 118319985	  13     240.00     260.00  1.557457202369154E-03  3.001898468364770E-05 118319985	  13     240.00     260.00  1.557457202369154E-03  3.001898468364770E-05 118319985	  13     240.00     260.00  1.757449774790052E-03  3.588014540325708E-05 118319985	  13     240.00     260.00  1.757449774790052E-03  3.588014540325708E-05 118319985	  13     240.00     260.00  1.651843749713564E-03  3.269835796807194E-05 118319985
  14     260.00     280.00  1.264799017112547E-03  2.771845145767207E-05 104056387	  14     260.00     280.00  1.264799017112547E-03  2.771845145767207E-05 104056387	  14     260.00     280.00  1.191732116125027E-03  2.536138432008369E-05 104056387	  14     260.00     280.00  1.191732116125027E-03  2.536138432008369E-05 104056387	  14     260.00     280.00  1.346689367709342E-03  3.052479536844739E-05 104056387	  14     260.00     280.00  1.346689367709342E-03  3.052479536844739E-05 104056387	  14     260.00     280.00  1.264799017112547E-03  2.771845145767207E-05 104056387
  15     280.00     300.00  1.043768024920253E-03  2.783677442021369E-05 92152351	  15     280.00     300.00  1.043768024920253E-03  2.783677442021369E-05 92152351	  15     280.00     300.00  9.800534148886541E-04  2.573791742316635E-05 92152351	  15     280.00     300.00  9.800534148886541E-04  2.573791742316635E-05 92152351	  15     280.00     300.00  1.115761007482048E-03  3.029046187683565E-05 92152351	  15     280.00     300.00  1.115761007482048E-03  3.029046187683565E-05 92152351	  15     280.00     300.00  1.043768024920253E-03  2.783677442021369E-05 92152351
  16     300.00     320.00  8.407839633265954E-04  1.901036424061383E-05 82066078	  16     300.00     320.00  8.407839633265954E-04  1.901036424061383E-05 82066078	  16     300.00     320.00  7.876340080760314E-04  1.762448005233452E-05 82066078	  16     300.00     320.00  7.876340080760314E-04  1.762448005233452E-05 82066078	  16     300.00     320.00  9.011243043372369E-04  2.063039169657619E-05 82066078	  16     300.00     320.00  9.011243043372369E-04  2.063039169657619E-05 82066078	  16     300.00     320.00  8.407839633265954E-04  1.901036424061383E-05 82066078
  17     320.00     340.00  6.477225893438932E-04  1.855953031931741E-05 73442932	  17     320.00     340.00  6.477225893438932E-04  1.855953031931741E-05 73442932	  17     320.00     340.00  6.072154552315397E-04  1.683575064193344E-05 73442932	  17     320.00     340.00  6.072154552315397E-04  1.683575064193344E-05 73442932	  17     320.00     340.00  6.936111125694799E-04  2.063132125666652E-05 73442932	  17     320.00     340.00  6.936111125694799E-04  2.063132125666652E-05 73442932	  17     320.00     340.00  6.477225893438932E-04  1.855953031931741E-05 73442932
  18     340.00     360.00  5.333192747960743E-04  1.689699242711439E-05 66063682	  18     340.00     360.00  5.333192747960743E-04  1.689699242711439E-05 66063682	  18     340.00     360.00  4.986738974930940E-04  1.537711219189051E-05 66063682	  18     340.00     360.00  4.986738974930940E-04  1.537711219189051E-05 66063682	  18     340.00     360.00  5.727639309678502E-04  1.871509527620318E-05 66063682	  18     340.00     360.00  5.727639309678502E-04  1.871509527620318E-05 66063682	  18     340.00     360.00  5.333192747960743E-04  1.689699242711439E-05 66063682
  19     360.00     380.00  4.244585063708955E-04  1.938827490864313E-05 59678400	  19     360.00     380.00  4.244585063708955E-04  1.938827490864313E-05 59678400	  19     360.00     380.00  3.966941661926934E-04  1.751879755922221E-05 59678400	  19     360.00     380.00  3.966941661926934E-04  1.751879755922221E-05 59678400	  19     360.00     380.00  4.560818249684991E-04  2.164483713368813E-05 59678400	  19     360.00     380.00  4.560818249684991E-04  2.164483713368813E-05 59678400	  19     360.00     380.00  4.244585063708955E-04  1.938827490864313E-05 59678400
  20     380.00     400.00  3.772282619364352E-04  9.962755785476592E-06 54116523	  20     380.00     400.00  3.772282619364352E-04  9.962755785476592E-06 54116523	  20     380.00     400.00  3.515989718479721E-04  9.035635062194341E-06 54116523	  20     380.00     400.00  3.515989718479721E-04  9.035635062194341E-06 54116523	  20     380.00     400.00  4.065747905512678E-04  1.108262500646358E-05 54116523	  20     380.00     400.00  4.065747905512678E-04  1.108262500646358E-05 54116523	  20     380.00     400.00  3.772282619364352E-04  9.962755785476592E-06 54116523
  21     400.00     420.00  2.826072240714365E-04  1.518191972997333E-05 49242771	  21     400.00     420.00  2.826072240714365E-04  1.518191972997333E-05 49242771	  21     400.00     420.00  2.627807045857789E-04  1.394930974933363E-05 49242771	  21     400.00     420.00  2.627807045857789E-04  1.394930974933363E-05 49242771	  21     400.00     420.00  3.054783606750371E-04  1.662967910201379E-05 49242771	  21     400.00     420.00  3.054783606750371E-04  1.662967910201379E-05 49242771	  21     400.00     420.00  2.826072240714365E-04  1.518191972997333E-05 49242771
