# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  6.722714544651417E-02  2.760123663846168E-05 256666449	   5      20.00      25.00  6.722714544651417E-02  2.760123663846168E-05 256666449	   5      20.00      25.00  6.474075721556249E-02  2.584634224857484E-05 256666449	   5      20.00      25.00  6.474075721556249E-02  2.584634224857484E-05 256666449	   5      20.00      25.00  6.980542434907572E-02  2.964816823224369E-05 256666449	   5      20.00      25.00  6.980542434907572E-02  2.964816823224369E-05 256666449	   5      20.00      25.00  6.722714544651417E-02  2.760123663846168E-05 256666449
   6      25.00      30.00  6.808959431154381E-02  2.694725855694880E-05 276161285	   6      25.00      30.00  6.808959431154381E-02  2.694725855694880E-05 276161285	   6      25.00      30.00  6.561092334782745E-02  2.523539340047372E-05 276161285	   6      25.00      30.00  6.561092334782745E-02  2.523539340047372E-05 276161285	   6      25.00      30.00  7.065170300341360E-02  2.894218549493329E-05 276161285	   6      25.00      30.00  7.065170300341360E-02  2.894218549493329E-05 276161285	   6      25.00      30.00  6.808959431154381E-02  2.694725855694880E-05 276161285
   7      30.00      35.00  6.583067291693870E-02  2.635155336492737E-05 281855029	   7      30.00      35.00  6.583067291693870E-02  2.635155336492737E-05 281855029	   7      30.00      35.00  6.344031315931742E-02  2.465606877350057E-05 281855029	   7      30.00      35.00  6.344031315931742E-02  2.465606877350057E-05 281855029	   7      30.00      35.00  6.830029026873446E-02  2.833091321742087E-05 281855029	   7      30.00      35.00  6.830029026873446E-02  2.833091321742087E-05 281855029	   7      30.00      35.00  6.583067291693870E-02  2.635155336492737E-05 281855029
   8      35.00      40.00  6.177586137612376E-02  2.476550817570774E-05 274333905	   8      35.00      40.00  6.177586137612376E-02  2.476550817570774E-05 274333905	   8      35.00      40.00  5.952535555486903E-02  2.319275841387071E-05 274333905	   8      35.00      40.00  5.952535555486903E-02  2.319275841387071E-05 274333905	   8      35.00      40.00  6.410221903638477E-02  2.659665178626381E-05 274333905	   8      35.00      40.00  6.410221903638477E-02  2.659665178626381E-05 274333905	   8      35.00      40.00  6.177586137612376E-02  2.476550817570774E-05 274333905
   9      40.00      45.00  5.712802345762751E-02  2.380087572025699E-05 248956987	   9      40.00      45.00  5.712802345762751E-02  2.380087572025699E-05 248956987	   9      40.00      45.00  5.502526518882308E-02  2.227002355829543E-05 248956987	   9      40.00      45.00  5.502526518882308E-02  2.227002355829543E-05 248956987	   9      40.00      45.00  5.930616158448552E-02  2.558770785702722E-05 248956987	   9      40.00      45.00  5.930616158448552E-02  2.558770785702722E-05 248956987	   9      40.00      45.00  5.712802345762751E-02  2.380087572025699E-05 248956987
  10      45.00      50.00  5.228284885265404E-02  2.272728675509352E-05 220547849	  10      45.00      50.00  5.228284885265404E-02  2.272728675509352E-05 220547849	  10      45.00      50.00  5.033048582854966E-02  2.125323199190128E-05 220547849	  10      45.00      50.00  5.033048582854966E-02  2.125323199190128E-05 220547849	  10      45.00      50.00  5.431089359632901E-02  2.444883167959309E-05 220547849	  10      45.00      50.00  5.431089359632901E-02  2.444883167959309E-05 220547849	  10      45.00      50.00  5.228284885265404E-02  2.272728675509352E-05 220547849
