# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  5.654625949908022E-02  4.326775192065586E-04 317305830	   5      20.00      25.00  5.654625949908022E-02  4.326775192065586E-04 317305830	   5      20.00      25.00  5.470140184645537E-02  4.009046409769266E-04 317305830	   5      20.00      25.00  5.470140184645537E-02  4.009046409769266E-04 317305830	   5      20.00      25.00  5.842447964691785E-02  4.697727520761543E-04 317305830	   5      20.00      25.00  5.842447964691785E-02  4.697727520761543E-04 317305830	   5      20.00      25.00  5.654625949908022E-02  4.326775192065586E-04 317305830
   6      25.00      30.00  5.789255882789186E-02  3.757423159324089E-04 342357148	   6      25.00      30.00  5.789255882789186E-02  3.757423159324089E-04 342357148	   6      25.00      30.00  5.599771597622630E-02  3.491197172369365E-04 342357148	   6      25.00      30.00  5.599771597622630E-02  3.491197172369365E-04 342357148	   6      25.00      30.00  5.982402518455536E-02  4.067801226486334E-04 342357148	   6      25.00      30.00  5.982402518455536E-02  4.067801226486334E-04 342357148	   6      25.00      30.00  5.789255882789186E-02  3.757423159324089E-04 342357148
   7      30.00      35.00  5.496459650889320E-02  3.479408062164322E-04 350750491	   7      30.00      35.00  5.496459650889320E-02  3.479408062164322E-04 350750491	   7      30.00      35.00  5.322646255357191E-02  3.213713204867977E-04 350750491	   7      30.00      35.00  5.322646255357191E-02  3.213713204867977E-04 350750491	   7      30.00      35.00  5.671951606176786E-02  3.794811369145773E-04 350750491	   7      30.00      35.00  5.671951606176786E-02  3.794811369145773E-04 350750491	   7      30.00      35.00  5.496459650889320E-02  3.479408062164322E-04 350750491
   8      35.00      40.00  5.209412479871605E-02  3.352175134694632E-04 343122556	   8      35.00      40.00  5.209412479871605E-02  3.352175134694632E-04 343122556	   8      35.00      40.00  5.038659417688103E-02  3.129299866978452E-04 343122556	   8      35.00      40.00  5.038659417688103E-02  3.129299866978452E-04 343122556	   8      35.00      40.00  5.383491534373669E-02  3.611783232614518E-04 343122556	   8      35.00      40.00  5.383491534373669E-02  3.611783232614518E-04 343122556	   8      35.00      40.00  5.209412479871605E-02  3.352175134694632E-04 343122556
   9      40.00      45.00  4.737158740058254E-02  5.116480948614874E-04 313384118	   9      40.00      45.00  4.737158740058254E-02  5.116480948614874E-04 313384118	   9      40.00      45.00  4.584892882027897E-02  4.650580472308471E-04 313384118	   9      40.00      45.00  4.584892882027897E-02  4.650580472308471E-04 313384118	   9      40.00      45.00  4.891538080007664E-02  5.676086720003186E-04 313384118	   9      40.00      45.00  4.891538080007664E-02  5.676086720003186E-04 313384118	   9      40.00      45.00  4.737158740058254E-02  5.116480948614874E-04 313384118
  10      45.00      50.00  4.380894884375987E-02  3.229897628733634E-04 279688031	  10      45.00      50.00  4.380894884375987E-02  3.229897628733634E-04 279688031	  10      45.00      50.00  4.234650985503970E-02  2.994127487682611E-04 279688031	  10      45.00      50.00  4.234650985503970E-02  2.994127487682611E-04 279688031	  10      45.00      50.00  4.530563395319855E-02  3.505401600783788E-04 279688031	  10      45.00      50.00  4.530563395319855E-02  3.505401600783788E-04 279688031	  10      45.00      50.00  4.380894884375987E-02  3.229897628733634E-04 279688031
