# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  9.309304505636760E-05  2.529027396743187E-07 2886891	   2      20.00      40.00  9.309304505636760E-05  2.529027396743187E-07 2886891	   2      20.00      40.00  9.429819594092349E-05  2.505965541268832E-07 2886891	   2      20.00      40.00  9.429819594092349E-05  2.505965541268832E-07 2886891	   2      20.00      40.00  9.067398063241475E-05  2.537399640623449E-07 2886891	   2      20.00      40.00  9.067398063241475E-05  2.537399640623449E-07 2886891	   2      20.00      40.00  9.309304505636760E-05  2.529027396743187E-07 2886891
   3      40.00      60.00  1.599841551942224E-03  1.395037852755216E-06 33202158	   3      40.00      60.00  1.599841551942224E-03  1.395037852755216E-06 33202158	   3      40.00      60.00  1.605797816146788E-03  1.363042711105609E-06 33202158	   3      40.00      60.00  1.605797816146788E-03  1.363042711105609E-06 33202158	   3      40.00      60.00  1.577823684247423E-03  1.424518540356699E-06 33202158	   3      40.00      60.00  1.577823684247423E-03  1.424518540356699E-06 33202158	   3      40.00      60.00  1.599841551942224E-03  1.395037852755216E-06 33202158
   4      60.00      80.00  5.324815718490974E-03  3.179333098673188E-06 83463865	   4      60.00      80.00  5.324815718490974E-03  3.179333098673188E-06 83463865	   4      60.00      80.00  5.299684969033735E-03  3.065260675678744E-06 83463865	   4      60.00      80.00  5.299684969033735E-03  3.065260675678744E-06 83463865	   4      60.00      80.00  5.309949834063043E-03  3.299387702131096E-06 83463865	   4      60.00      80.00  5.309949834063043E-03  3.299387702131096E-06 83463865	   4      60.00      80.00  5.324815718490974E-03  3.179333098673188E-06 83463865
   5      80.00     100.00  1.012135641909488E-02  4.788842332030921E-06 136268587	   5      80.00     100.00  1.012135641909488E-02  4.788842332030921E-06 136268587	   5      80.00     100.00  9.999964352463730E-03  4.582284028958360E-06 136268587	   5      80.00     100.00  9.999964352463730E-03  4.582284028958360E-06 136268587	   5      80.00     100.00  1.018740857577173E-02  5.014417723990226E-06 136268587	   5      80.00     100.00  1.018740857577173E-02  5.014417723990226E-06 136268587	   5      80.00     100.00  1.012135641909488E-02  4.788842332030921E-06 136268587
   6     100.00     120.00  1.441770795403901E-02  6.187946499181400E-06 180916658	   6     100.00     120.00  1.441770795403901E-02  6.187946499181400E-06 180916658	   6     100.00     120.00  1.415417366976262E-02  5.869100478259847E-06 180916658	   6     100.00     120.00  1.415417366976262E-02  5.869100478259847E-06 180916658	   6     100.00     120.00  1.462698510350243E-02  6.546843444326882E-06 180916658	   6     100.00     120.00  1.462698510350243E-02  6.546843444326882E-06 180916658	   6     100.00     120.00  1.441770795403901E-02  6.187946499181400E-06 180916658
   7     120.00     140.00  1.733352694601602E-02  6.968565262136713E-06 213006893	   7     120.00     140.00  1.733352694601602E-02  6.968565262136713E-06 213006893	   7     120.00     140.00  1.692184562632829E-02  6.572709427009756E-06 213006893	   7     120.00     140.00  1.692184562632829E-02  6.572709427009756E-06 213006893	   7     120.00     140.00  1.770542953238972E-02  7.421047202180208E-06 213006893	   7     120.00     140.00  1.770542953238972E-02  7.421047202180208E-06 213006893	   7     120.00     140.00  1.733352694601602E-02  6.968565262136713E-06 213006893
   8     140.00     160.00  1.862846153621877E-02  7.216894921013641E-06 229490792	   8     140.00     160.00  1.862846153621877E-02  7.216894921013641E-06 229490792	   8     140.00     160.00  1.809564463315185E-02  6.775921892376737E-06 229490792	   8     140.00     160.00  1.809564463315185E-02  6.775921892376737E-06 229490792	   8     140.00     160.00  1.914247125661639E-02  7.726967854922241E-06 229490792	   8     140.00     160.00  1.914247125661639E-02  7.726967854922241E-06 229490792	   8     140.00     160.00  1.862846153621877E-02  7.216894921013641E-06 229490792
   9     160.00     180.00  1.859916560520086E-02  7.243973921248433E-06 231228934	   9     160.00     180.00  1.859916560520086E-02  7.243973921248433E-06 231228934	   9     160.00     180.00  1.798190252789160E-02  6.775218962096514E-06 231228934	   9     160.00     180.00  1.798190252789160E-02  6.775218962096514E-06 231228934	   9     160.00     180.00  1.922000550387201E-02  7.790349745013676E-06 231228934	   9     160.00     180.00  1.922000550387201E-02  7.790349745013676E-06 231228934	   9     160.00     180.00  1.859916560520086E-02  7.243973921248433E-06 231228934
  10     180.00     200.00  1.769586623507458E-02  7.049820464203054E-06 224996495	  10     180.00     200.00  1.769586623507458E-02  7.049820464203054E-06 224996495	  10     180.00     200.00  1.703443168370938E-02  6.574953479444798E-06 224996495	  10     180.00     200.00  1.703443168370938E-02  6.574953479444798E-06 224996495	  10     180.00     200.00  1.838028846605015E-02  7.606137275215567E-06 224996495	  10     180.00     200.00  1.838028846605015E-02  7.606137275215567E-06 224996495	  10     180.00     200.00  1.769586623507458E-02  7.049820464203054E-06 224996495
  11     200.00     220.00  1.627946889073074E-02  6.642133904555635E-06 214869366	  11     200.00     220.00  1.627946889073074E-02  6.642133904555635E-06 214869366	  11     200.00     220.00  1.561037910999949E-02  6.183442374078447E-06 214869366	  11     200.00     220.00  1.561037910999949E-02  6.183442374078447E-06 214869366	  11     200.00     220.00  1.698585326853577E-02  7.181113067948454E-06 214869366	  11     200.00     220.00  1.698585326853577E-02  7.181113067948454E-06 214869366	  11     200.00     220.00  1.627946889073074E-02  6.642133904555635E-06 214869366
  12     220.00     240.00  1.466951109120303E-02  6.224153329790010E-06 203160152	  12     220.00     240.00  1.466951109120303E-02  6.224153329790010E-06 203160152	  12     220.00     240.00  1.401690583100227E-02  5.783563110387179E-06 203160152	  12     220.00     240.00  1.401690583100227E-02  5.783563110387179E-06 203160152	  12     220.00     240.00  1.536911690247147E-02  6.743449067394762E-06 203160152	  12     220.00     240.00  1.536911690247147E-02  6.743449067394762E-06 203160152	  12     220.00     240.00  1.466951109120303E-02  6.224153329790010E-06 203160152
