# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  8.894771596392457E-05  9.016400822493976E-07 3695728	   2      20.00      40.00  8.894771596392457E-05  9.016400822493976E-07 3695728	   2      20.00      40.00  9.010029711777794E-05  8.967277977921932E-07 3695728	   2      20.00      40.00  9.010029711777794E-05  8.967277977921932E-07 3695728	   2      20.00      40.00  8.666309345467859E-05  9.000811789517025E-07 3695728	   2      20.00      40.00  8.666309345467859E-05  9.000811789517025E-07 3695728	   2      20.00      40.00  8.894771596392457E-05  9.016400822493976E-07 3695728
   3      40.00      60.00  1.464503589707358E-03  7.457847405279037E-06 41245108	   3      40.00      60.00  1.464503589707358E-03  7.457847405279037E-06 41245108	   3      40.00      60.00  1.472014543591603E-03  7.258233036655401E-06 41245108	   3      40.00      60.00  1.472014543591603E-03  7.258233036655401E-06 41245108	   3      40.00      60.00  1.442311177853441E-03  7.648080530222121E-06 41245108	   3      40.00      60.00  1.442311177853441E-03  7.648080530222121E-06 41245108	   3      40.00      60.00  1.464503589707358E-03  7.457847405279037E-06 41245108
   4      60.00      80.00  4.836827252450714E-03  2.443804674672775E-05 103731068	   4      60.00      80.00  4.836827252450714E-03  2.443804674672775E-05 103731068	   4      60.00      80.00  4.821123880971188E-03  2.345106070356890E-05 103731068	   4      60.00      80.00  4.821123880971188E-03  2.345106070356890E-05 103731068	   4      60.00      80.00  4.816225461792615E-03  2.547909354724973E-05 103731068	   4      60.00      80.00  4.816225461792615E-03  2.547909354724973E-05 103731068	   4      60.00      80.00  4.836827252450714E-03  2.443804674672775E-05 103731068
   5      80.00     100.00  9.139982776489440E-03  2.815860087257237E-05 170018690	   5      80.00     100.00  9.139982776489440E-03  2.815860087257237E-05 170018690	   5      80.00     100.00  9.043753845720268E-03  2.685039898797251E-05 170018690	   5      80.00     100.00  9.043753845720268E-03  2.685039898797251E-05 170018690	   5      80.00     100.00  9.186386015370395E-03  2.960260140617743E-05 170018690	   5      80.00     100.00  9.186386015370395E-03  2.960260140617743E-05 170018690	   5      80.00     100.00  9.139982776489440E-03  2.815860087257237E-05 170018690
   6     100.00     120.00  1.277404603880704E-02  8.002571013687591E-05 226915537	   6     100.00     120.00  1.277404603880704E-02  8.002571013687591E-05 226915537	   6     100.00     120.00  1.256888341671274E-02  7.539286024206298E-05 226915537	   6     100.00     120.00  1.256888341671274E-02  7.539286024206298E-05 226915537	   6     100.00     120.00  1.292887615633753E-02  8.524693123061114E-05 226915537	   6     100.00     120.00  1.292887615633753E-02  8.524693123061114E-05 226915537	   6     100.00     120.00  1.277404603880704E-02  8.002571013687591E-05 226915537
   7     120.00     140.00  1.514099036100471E-02  6.549420211859663E-05 268835312	   7     120.00     140.00  1.514099036100471E-02  6.549420211859663E-05 268835312	   7     120.00     140.00  1.481759191774735E-02  6.166400109528390E-05 268835312	   7     120.00     140.00  1.481759191774735E-02  6.166400109528390E-05 268835312	   7     120.00     140.00  1.542644961309872E-02  6.985697710714711E-05 268835312	   7     120.00     140.00  1.542644961309872E-02  6.985697710714711E-05 268835312	   7     120.00     140.00  1.514099036100471E-02  6.549420211859663E-05 268835312
   8     140.00     160.00  1.624364516416764E-02  6.847823645769654E-05 291430493	   8     140.00     160.00  1.624364516416764E-02  6.847823645769654E-05 291430493	   8     140.00     160.00  1.581861173226284E-02  6.376713499405462E-05 291430493	   8     140.00     160.00  1.581861173226284E-02  6.376713499405462E-05 291430493	   8     140.00     160.00  1.664823340233652E-02  7.398594720489497E-05 291430493	   8     140.00     160.00  1.664823340233652E-02  7.398594720489497E-05 291430493	   8     140.00     160.00  1.624364516416764E-02  6.847823645769654E-05 291430493
   9     160.00     180.00  1.602420048752883E-02  1.234697454288914E-04 295475056	   9     160.00     180.00  1.602420048752883E-02  1.234697454288914E-04 295475056	   9     160.00     180.00  1.553529457340444E-02  1.127287147261649E-04 295475056	   9     160.00     180.00  1.553529457340444E-02  1.127287147261649E-04 295475056	   9     160.00     180.00  1.651114573425127E-02  1.362995238003827E-04 295475056	   9     160.00     180.00  1.651114573425127E-02  1.362995238003827E-04 295475056	   9     160.00     180.00  1.602420048752883E-02  1.234697454288914E-04 295475056
  10     180.00     200.00  1.510058261251911E-02  7.949743646002992E-05 289127328	  10     180.00     200.00  1.510058261251911E-02  7.949743646002992E-05 289127328	  10     180.00     200.00  1.457584358279394E-02  7.365193034181592E-05 289127328	  10     180.00     200.00  1.457584358279394E-02  7.365193034181592E-05 289127328	  10     180.00     200.00  1.564049895057325E-02  8.633496419730047E-05 289127328	  10     180.00     200.00  1.564049895057325E-02  8.633496419730047E-05 289127328	  10     180.00     200.00  1.510058261251911E-02  7.949743646002992E-05 289127328
  11     200.00     220.00  1.367777759708077E-02  8.604489873851009E-05 277601757	  11     200.00     220.00  1.367777759708077E-02  8.604489873851009E-05 277601757	  11     200.00     220.00  1.315610622565261E-02  8.000755262115449E-05 277601757	  11     200.00     220.00  1.315610622565261E-02  8.000755262115449E-05 277601757	  11     200.00     220.00  1.422529904071968E-02  9.307744134680503E-05 277601757	  11     200.00     220.00  1.422529904071968E-02  9.307744134680503E-05 277601757	  11     200.00     220.00  1.367777759708077E-02  8.604489873851009E-05 277601757
  12     220.00     240.00  1.185209922180339E-02  1.573408889256273E-04 263756792	  12     220.00     240.00  1.185209922180339E-02  1.573408889256273E-04 263756792	  12     220.00     240.00  1.137232512963873E-02  1.446718189739479E-04 263756792	  12     220.00     240.00  1.137232512963873E-02  1.446718189739479E-04 263756792	  12     220.00     240.00  1.236148663899920E-02  1.721997794825797E-04 263756792	  12     220.00     240.00  1.236148663899920E-02  1.721997794825797E-04 263756792	  12     220.00     240.00  1.185209922180339E-02  1.573408889256273E-04 263756792
  13     240.00     260.00  1.060917800272509E-02  8.173075535494839E-05 249101909	  13     240.00     260.00  1.060917800272509E-02  8.173075535494839E-05 249101909	  13     240.00     260.00  1.014569744641243E-02  7.497629254399793E-05 249101909	  13     240.00     260.00  1.014569744641243E-02  7.497629254399793E-05 249101909	  13     240.00     260.00  1.110829309751909E-02  8.979621001175850E-05 249101909	  13     240.00     260.00  1.110829309751909E-02  8.979621001175850E-05 249101909	  13     240.00     260.00  1.060917800272509E-02  8.173075535494839E-05 249101909
  14     260.00     280.00  9.162151363341493E-03  7.846403394337365E-05 234512874	  14     260.00     280.00  9.162151363341493E-03  7.846403394337365E-05 234512874	  14     260.00     280.00  8.733940068301031E-03  7.195272737612192E-05 234512874	  14     260.00     280.00  8.733940068301031E-03  7.195272737612192E-05 234512874	  14     260.00     280.00  9.629003523730358E-03  8.624426589451230E-05 234512874	  14     260.00     280.00  9.629003523730358E-03  8.624426589451230E-05 234512874	  14     260.00     280.00  9.162151363341493E-03  7.846403394337365E-05 234512874
  15     280.00     300.00  7.901368203078081E-03  7.685733799833165E-05 220355382	  15     280.00     300.00  7.901368203078081E-03  7.685733799833165E-05 220355382	  15     280.00     300.00  7.516008745059667E-03  7.074902521365658E-05 220355382	  15     280.00     300.00  7.516008745059667E-03  7.074902521365658E-05 220355382	  15     280.00     300.00  8.324237227933661E-03  8.409242357678382E-05 220355382	  15     280.00     300.00  8.324237227933661E-03  8.409242357678382E-05 220355382	  15     280.00     300.00  7.901368203078081E-03  7.685733799833165E-05 220355382
  16     300.00     320.00  6.854543039429916E-03  7.423846274793154E-05 206854131	  16     300.00     320.00  6.854543039429916E-03  7.423846274793154E-05 206854131	  16     300.00     320.00  6.502575404452346E-03  6.799220171790220E-05 206854131	  16     300.00     320.00  6.502575404452346E-03  6.799220171790220E-05 206854131	  16     300.00     320.00  7.243779890074823E-03  8.172304196560928E-05 206854131	  16     300.00     320.00  7.243779890074823E-03  8.172304196560928E-05 206854131	  16     300.00     320.00  6.854543039429916E-03  7.423846274793154E-05 206854131
  17     320.00     340.00  5.820573080258236E-03  7.356272471086071E-05 194098977	  17     320.00     340.00  5.820573080258236E-03  7.356272471086071E-05 194098977	  17     320.00     340.00  5.511569774371596E-03  6.811290573152532E-05 194098977	  17     320.00     340.00  5.511569774371596E-03  6.811290573152532E-05 194098977	  17     320.00     340.00  6.163953999931263E-03  7.997041462413294E-05 194098977	  17     320.00     340.00  6.163953999931263E-03  7.997041462413294E-05 194098977	  17     320.00     340.00  5.820573080258236E-03  7.356272471086071E-05 194098977
  18     340.00     360.00  5.021665913279220E-03  5.495234142843979E-05 182046274	  18     340.00     360.00  5.021665913279220E-03  5.495234142843979E-05 182046274	  18     340.00     360.00  4.747183216294003E-03  5.022590529459344E-05 182046274	  18     340.00     360.00  4.747183216294003E-03  5.022590529459344E-05 182046274	  18     340.00     360.00  5.327825035844603E-03  6.067519991455525E-05 182046274	  18     340.00     360.00  5.327825035844603E-03  6.067519991455525E-05 182046274	  18     340.00     360.00  5.021665913279220E-03  5.495234142843979E-05 182046274
  19     360.00     380.00  4.272250452735181E-03  6.079501787497966E-05 170779713	  19     360.00     380.00  4.272250452735181E-03  6.079501787497966E-05 170779713	  19     360.00     380.00  4.032012450815877E-03  5.575531910124057E-05 170779713	  19     360.00     380.00  4.032012450815877E-03  5.575531910124057E-05 170779713	  19     360.00     380.00  4.541372666636568E-03  6.681569238502695E-05 170779713	  19     360.00     380.00  4.541372666636568E-03  6.681569238502695E-05 170779713	  19     360.00     380.00  4.272250452735181E-03  6.079501787497966E-05 170779713
  20     380.00     400.00  3.730122458278690E-03  5.180352454893711E-05 160172173	  20     380.00     400.00  3.730122458278690E-03  5.180352454893711E-05 160172173	  20     380.00     400.00  3.512341539625474E-03  4.744649781394655E-05 160172173	  20     380.00     400.00  3.512341539625474E-03  4.744649781394655E-05 160172173	  20     380.00     400.00  3.975472594558375E-03  5.699773804597046E-05 160172173	  20     380.00     400.00  3.975472594558375E-03  5.699773804597046E-05 160172173	  20     380.00     400.00  3.730122458278690E-03  5.180352454893711E-05 160172173
  21     400.00     420.00  3.121276018439870E-03  8.248755385996878E-05 150220631	  21     400.00     420.00  3.121276018439870E-03  8.248755385996878E-05 150220631	  21     400.00     420.00  2.936784462389518E-03  7.657001594650576E-05 150220631	  21     400.00     420.00  2.936784462389518E-03  7.657001594650576E-05 150220631	  21     400.00     420.00  3.329395384802353E-03  8.935522783181608E-05 150220631	  21     400.00     420.00  3.329395384802353E-03  8.935522783181608E-05 150220631	  21     400.00     420.00  3.121276018439870E-03  8.248755385996878E-05 150220631
  22     420.00     440.00  2.708192876043425E-03  5.051805483710741E-05 140851704	  22     420.00     440.00  2.708192876043425E-03  5.051805483710741E-05 140851704	  22     420.00     440.00  2.542889930797855E-03  4.648700282228391E-05 140851704	  22     420.00     440.00  2.542889930797855E-03  4.648700282228391E-05 140851704	  22     420.00     440.00  2.895496900636139E-03  5.528840532144957E-05 140851704	  22     420.00     440.00  2.895496900636139E-03  5.528840532144957E-05 140851704	  22     420.00     440.00  2.708192876043425E-03  5.051805483710741E-05 140851704
  23     440.00     460.00  2.334747893252883E-03  4.512430893830886E-05 132018724	  23     440.00     460.00  2.334747893252883E-03  4.512430893830886E-05 132018724	  23     440.00     460.00  2.191892962959663E-03  4.105347135190387E-05 132018724	  23     440.00     460.00  2.191892962959663E-03  4.105347135190387E-05 132018724	  23     440.00     460.00  2.496605828669029E-03  5.000450664906367E-05 132018724	  23     440.00     460.00  2.496605828669029E-03  5.000450664906367E-05 132018724	  23     440.00     460.00  2.334747893252883E-03  4.512430893830886E-05 132018724
  24     460.00     480.00  1.914629130888852E-03  5.148056350437258E-05 123697038	  24     460.00     480.00  1.914629130888852E-03  5.148056350437258E-05 123697038	  24     460.00     480.00  1.795796716655643E-03  4.703983127088350E-05 123697038	  24     460.00     480.00  1.795796716655643E-03  4.703983127088350E-05 123697038	  24     460.00     480.00  2.049462374336206E-03  5.680211670210721E-05 123697038	  24     460.00     480.00  2.049462374336206E-03  5.680211670210721E-05 123697038	  24     460.00     480.00  1.914629130888852E-03  5.148056350437258E-05 123697038
  25     480.00     500.00  1.726749482889236E-03  4.413485963521323E-05 115872270	  25     480.00     500.00  1.726749482889236E-03  4.413485963521323E-05 115872270	  25     480.00     500.00  1.616438409983850E-03  4.030610279805799E-05 115872270	  25     480.00     500.00  1.616438409983850E-03  4.030610279805799E-05 115872270	  25     480.00     500.00  1.852525858720392E-03  4.868089074758181E-05 115872270	  25     480.00     500.00  1.852525858720392E-03  4.868089074758181E-05 115872270	  25     480.00     500.00  1.726749482889236E-03  4.413485963521323E-05 115872270
  26     500.00     520.00  1.526255708492137E-03  3.246300371726466E-05 108630307	  26     500.00     520.00  1.526255708492137E-03  3.246300371726466E-05 108630307	  26     500.00     520.00  1.425786581549011E-03  2.977224086321041E-05 108630307	  26     500.00     520.00  1.425786581549011E-03  2.977224086321041E-05 108630307	  26     500.00     520.00  1.641236496307180E-03  3.568722912184130E-05 108630307	  26     500.00     520.00  1.641236496307180E-03  3.568722912184130E-05 108630307	  26     500.00     520.00  1.526255708492137E-03  3.246300371726466E-05 108630307
  27     520.00     540.00  1.288749301134844E-03  3.286153143294981E-05 101958932	  27     520.00     540.00  1.288749301134844E-03  3.286153143294981E-05 101958932	  27     520.00     540.00  1.203701218433247E-03  3.019911294403583E-05 101958932	  27     520.00     540.00  1.203701218433247E-03  3.019911294403583E-05 101958932	  27     520.00     540.00  1.385955426815382E-03  3.605106810313702E-05 101958932	  27     520.00     540.00  1.385955426815382E-03  3.605106810313702E-05 101958932	  27     520.00     540.00  1.288749301134844E-03  3.286153143294981E-05 101958932
  28     540.00     560.00  1.188719253370719E-03  2.752263004056359E-05 95849547	  28     540.00     560.00  1.188719253370719E-03  2.752263004056359E-05 95849547	  28     540.00     560.00  1.107684821712183E-03  2.511230078538125E-05 95849547	  28     540.00     560.00  1.107684821712183E-03  2.511230078538125E-05 95849547	  28     540.00     560.00  1.281841470540647E-03  3.041054864032267E-05 95849547	  28     540.00     560.00  1.281841470540647E-03  3.041054864032267E-05 95849547	  28     540.00     560.00  1.188719253370719E-03  2.752263004056359E-05 95849547
  29     560.00     580.00  1.000817473881593E-03  2.862278747716151E-05 90236049	  29     560.00     580.00  1.000817473881593E-03  2.862278747716151E-05 90236049	  29     560.00     580.00  9.310706125389967E-04  2.627688382059660E-05 90236049	  29     560.00     580.00  9.310706125389967E-04  2.627688382059660E-05 90236049	  29     560.00     580.00  1.081269880339188E-03  3.137759363292644E-05 90236049	  29     560.00     580.00  1.081269880339188E-03  3.137759363292644E-05 90236049	  29     560.00     580.00  1.000817473881593E-03  2.862278747716151E-05 90236049
  30     580.00     600.00  8.649640747743441E-04  3.176664131585365E-05 85050454	  30     580.00     600.00  8.649640747743441E-04  3.176664131585365E-05 85050454	  30     580.00     600.00  8.037633572277739E-04  2.936447709465737E-05 85050454	  30     580.00     600.00  8.037633572277739E-04  2.936447709465737E-05 85050454	  30     580.00     600.00  9.356575238561420E-04  3.455148203965793E-05 85050454	  30     580.00     600.00  9.356575238561420E-04  3.455148203965793E-05 85050454	  30     580.00     600.00  8.649640747743441E-04  3.176664131585365E-05 85050454
  31     600.00     620.00  7.712459863339302E-04  2.430480870742528E-05 80268312	  31     600.00     620.00  7.712459863339302E-04  2.430480870742528E-05 80268312	  31     600.00     620.00  7.170864152306069E-04  2.217604725439648E-05 80268312	  31     600.00     620.00  7.170864152306069E-04  2.217604725439648E-05 80268312	  31     600.00     620.00  8.336704399534666E-04  2.684987259798878E-05 80268312	  31     600.00     620.00  8.336704399534666E-04  2.684987259798878E-05 80268312	  31     600.00     620.00  7.712459863339302E-04  2.430480870742528E-05 80268312
  32     620.00     640.00  6.827482298748563E-04  2.369892942630242E-05 75858919	  32     620.00     640.00  6.827482298748563E-04  2.369892942630242E-05 75858919	  32     620.00     640.00  6.332452962951692E-04  2.168698745103739E-05 75858919	  32     620.00     640.00  6.332452962951692E-04  2.168698745103739E-05 75858919	  32     620.00     640.00  7.400421656744156E-04  2.610613679109505E-05 75858919	  32     620.00     640.00  7.400421656744156E-04  2.610613679109505E-05 75858919	  32     620.00     640.00  6.827482298748563E-04  2.369892942630242E-05 75858919
  33     640.00     660.00  5.879031761975509E-04  2.256960619376812E-05 71745780	  33     640.00     660.00  5.879031761975509E-04  2.256960619376812E-05 71745780	  33     640.00     660.00  5.455161329765954E-04  2.060670759068468E-05 71745780	  33     640.00     660.00  5.455161329765954E-04  2.060670759068468E-05 71745780	  33     640.00     660.00  6.369398723388289E-04  2.490987672716263E-05 71745780	  33     640.00     660.00  6.369398723388289E-04  2.490987672716263E-05 71745780	  33     640.00     660.00  5.879031761975509E-04  2.256960619376812E-05 71745780
  34     660.00     680.00  5.121274919049427E-04  1.916299394340980E-05 67957623	  34     660.00     680.00  5.121274919049427E-04  1.916299394340980E-05 67957623	  34     660.00     680.00  4.746418961488608E-04  1.756511506548349E-05 67957623	  34     660.00     680.00  4.746418961488608E-04  1.756511506548349E-05 67957623	  34     660.00     680.00  5.555410333755674E-04  2.106391036388971E-05 67957623	  34     660.00     680.00  5.555410333755674E-04  2.106391036388971E-05 67957623	  34     660.00     680.00  5.121274919049427E-04  1.916299394340980E-05 67957623
  35     680.00     700.00  4.262659299421890E-04  2.305698424873704E-05 64414354	  35     680.00     700.00  4.262659299421890E-04  2.305698424873704E-05 64414354	  35     680.00     700.00  3.955810330582139E-04  2.067233096289842E-05 64414354	  35     680.00     700.00  3.955810330582139E-04  2.067233096289842E-05 64414354	  35     680.00     700.00  4.616379847224421E-04  2.599521525766169E-05 64414354	  35     680.00     700.00  4.616379847224421E-04  2.599521525766169E-05 64414354	  35     680.00     700.00  4.262659299421890E-04  2.305698424873704E-05 64414354
  36     700.00     720.00  3.376766763645189E-04  3.940096544593043E-05 61148992	  36     700.00     720.00  3.376766763645189E-04  3.940096544593043E-05 61148992	  36     700.00     720.00  3.150118635113374E-04  3.475222588264397E-05 61148992	  36     700.00     720.00  3.150118635113374E-04  3.475222588264397E-05 61148992	  36     700.00     720.00  3.634930858213206E-04  4.514207710048920E-05 61148992	  36     700.00     720.00  3.634930858213206E-04  4.514207710048920E-05 61148992	  36     700.00     720.00  3.376766763645189E-04  3.940096544593043E-05 61148992
  37     720.00     740.00  3.648609105465522E-04  2.077940577946881E-05 58101704	  37     720.00     740.00  3.648609105465522E-04  2.077940577946881E-05 58101704	  37     720.00     740.00  3.371827055869541E-04  1.895858282757901E-05 58101704	  37     720.00     740.00  3.371827055869541E-04  1.895858282757901E-05 58101704	  37     720.00     740.00  3.970755831266447E-04  2.293027466147709E-05 58101704	  37     720.00     740.00  3.970755831266447E-04  2.293027466147709E-05 58101704	  37     720.00     740.00  3.648609105465522E-04  2.077940577946881E-05 58101704
  38     740.00     760.00  3.332501558357807E-04  1.447902695261557E-05 55256035	  38     740.00     760.00  3.332501558357807E-04  1.447902695261557E-05 55256035	  38     740.00     760.00  3.074917967716327E-04  1.314056329792675E-05 55256035	  38     740.00     760.00  3.074917967716327E-04  1.314056329792675E-05 55256035	  38     740.00     760.00  3.632951744065207E-04  1.607976305442635E-05 55256035	  38     740.00     760.00  3.632951744065207E-04  1.607976305442635E-05 55256035	  38     740.00     760.00  3.332501558357807E-04  1.447902695261557E-05 55256035
  39     760.00     780.00  2.567479393582713E-04  2.610116925371537E-05 52592759	  39     760.00     780.00  2.567479393582713E-04  2.610116925371537E-05 52592759	  39     760.00     780.00  2.375794395415434E-04  2.379910047824928E-05 52592759	  39     760.00     780.00  2.375794395415434E-04  2.379910047824928E-05 52592759	  39     760.00     780.00  2.790096700015491E-04  2.881509467466692E-05 52592759	  39     760.00     780.00  2.790096700015491E-04  2.881509467466692E-05 52592759	  39     760.00     780.00  2.567479393582713E-04  2.610116925371537E-05 52592759
  40     780.00     800.00  2.272214096584642E-04  1.724270312127811E-05 50096296	  40     780.00     800.00  2.272214096584642E-04  1.724270312127811E-05 50096296	  40     780.00     800.00  2.096041186009929E-04  1.582454692501000E-05 50096296	  40     780.00     800.00  2.096041186009929E-04  1.582454692501000E-05 50096296	  40     780.00     800.00  2.478153211523509E-04  1.890469310650596E-05 50096296	  40     780.00     800.00  2.478153211523509E-04  1.890469310650596E-05 50096296	  40     780.00     800.00  2.272214096584642E-04  1.724270312127811E-05 50096296
  41     800.00     820.00  2.144389422465844E-04  1.990744035814261E-05 47762674	  41     800.00     820.00  2.144389422465844E-04  1.990744035814261E-05 47762674	  41     800.00     820.00  1.988220277366546E-04  1.771415282211829E-05 47762674	  41     800.00     820.00  1.988220277366546E-04  1.771415282211829E-05 47762674	  41     800.00     820.00  2.324521874563183E-04  2.257709520200496E-05 47762674	  41     800.00     820.00  2.324521874563183E-04  2.257709520200496E-05 47762674	  41     800.00     820.00  2.144389422465844E-04  1.990744035814261E-05 47762674
  42     820.00     840.00  2.003045641154487E-04  1.167231691640946E-05 45586176	  42     820.00     840.00  2.003045641154487E-04  1.167231691640946E-05 45586176	  42     820.00     840.00  1.842311339685963E-04  1.067146863846955E-05 45586176	  42     820.00     840.00  1.842311339685963E-04  1.067146863846955E-05 45586176	  42     820.00     840.00  2.191480013268859E-04  1.285385014932878E-05 45586176	  42     820.00     840.00  2.191480013268859E-04  1.285385014932878E-05 45586176	  42     820.00     840.00  2.003045641154487E-04  1.167231691640946E-05 45586176
