# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   7      30.00      35.00  7.364854031187769E-05  4.227159091580992E-07 641395	   7      30.00      35.00  7.364854031187769E-05  4.227159091580992E-07 641395	   7      30.00      35.00  7.477523690380812E-05  4.205670168488085E-07 641395	   7      30.00      35.00  7.477523690380812E-05  4.205670168488085E-07 641395	   7      30.00      35.00  7.150258296981495E-05  4.218999843247736E-07 641395	   7      30.00      35.00  7.150258296981495E-05  4.218999843247736E-07 641395	   7      30.00      35.00  7.364854031187769E-05  4.227159091580992E-07 641395
   8      35.00      40.00  2.987236399135941E-04  9.190588974099325E-07 2245496	   8      35.00      40.00  2.987236399135941E-04  9.190588974099325E-07 2245496	   8      35.00      40.00  3.024175468598822E-04  9.098916351240711E-07 2245496	   8      35.00      40.00  3.024175468598822E-04  9.098916351240711E-07 2245496	   8      35.00      40.00  2.911933395598438E-04  9.231170800281426E-07 2245496	   8      35.00      40.00  2.911933395598438E-04  9.231170800281426E-07 2245496	   8      35.00      40.00  2.987236399135941E-04  9.190588974099325E-07 2245496
   9      40.00      45.00  6.635082110925136E-04  1.494358481866130E-06 4308970	   9      40.00      45.00  6.635082110925136E-04  1.494358481866130E-06 4308970	   9      40.00      45.00  6.695821586758642E-04  1.474137738904216E-06 4308970	   9      40.00      45.00  6.695821586758642E-04  1.474137738904216E-06 4308970	   9      40.00      45.00  6.496261397536817E-04  1.507882595317992E-06 4308970	   9      40.00      45.00  6.496261397536817E-04  1.507882595317992E-06 4308970	   9      40.00      45.00  6.635082110925136E-04  1.494358481866130E-06 4308970
  10      45.00      50.00  1.184801111067334E-03  2.215369087457927E-06 6761436	  10      45.00      50.00  1.184801111067334E-03  2.215369087457927E-06 6761436	  10      45.00      50.00  1.192314356165907E-03  2.173723871387036E-06 6761436	  10      45.00      50.00  1.192314356165907E-03  2.173723871387036E-06 6761436	  10      45.00      50.00  1.164426006709259E-03  2.250339658520403E-06 6761436	  10      45.00      50.00  1.164426006709259E-03  2.250339658520403E-06 6761436	  10      45.00      50.00  1.184801111067334E-03  2.215369087457927E-06 6761436
