# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  9.280786775883076E-03  3.909934480325380E-06 211196228	   2      20.00      40.00  9.280786775883076E-03  3.909934480325380E-06 211196228	   2      20.00      40.00  9.096773222091624E-03  3.729124221673240E-06 211196228	   2      20.00      40.00  9.096773222091624E-03  3.729124221673240E-06 211196228	   2      20.00      40.00  9.428276481381895E-03  4.111746387787496E-06 211196228	   2      20.00      40.00  9.428276481381895E-03  4.111746387787496E-06 211196228	   2      20.00      40.00  9.280786775883076E-03  3.909934480325380E-06 211196228
   3      40.00      60.00  2.700344927895107E-02  7.806966012094536E-06 476261451	   3      40.00      60.00  2.700344927895107E-02  7.806966012094536E-06 476261451	   3      40.00      60.00  2.637317189019569E-02  7.402906762286677E-06 476261451	   3      40.00      60.00  2.637317189019569E-02  7.402906762286677E-06 476261451	   3      40.00      60.00  2.756157688251109E-02  8.264886251570577E-06 476261451	   3      40.00      60.00  2.756157688251109E-02  8.264886251570577E-06 476261451	   3      40.00      60.00  2.700344927895107E-02  7.806966012094536E-06 476261451
   4      60.00      80.00  3.256966335146016E-02  9.354601667356728E-06 498681565	   4      60.00      80.00  3.256966335146016E-02  9.354601667356728E-06 498681565	   4      60.00      80.00  3.163942165371541E-02  8.815591858937817E-06 498681565	   4      60.00      80.00  3.163942165371541E-02  8.815591858937817E-06 498681565	   4      60.00      80.00  3.346497826409522E-02  9.973675227419382E-06 498681565	   4      60.00      80.00  3.346497826409522E-02  9.973675227419382E-06 498681565	   4      60.00      80.00  3.256966335146016E-02  9.354601667356728E-06 498681565
   5      80.00     100.00  3.204805761682674E-02  9.545076830572905E-06 481065765	   5      80.00     100.00  3.204805761682674E-02  9.545076830572905E-06 481065765	   5      80.00     100.00  3.095829723006342E-02  8.945956253154392E-06 481065765	   5      80.00     100.00  3.095829723006342E-02  8.945956253154392E-06 481065765	   5      80.00     100.00  3.315288045751962E-02  1.024003789035551E-05 481065765	   5      80.00     100.00  3.315288045751962E-02  1.024003789035551E-05 481065765	   5      80.00     100.00  3.204805761682674E-02  9.545076830572905E-06 481065765
   6     100.00     120.00  2.813234154458732E-02  8.982432543843838E-06 438771741	   6     100.00     120.00  2.813234154458732E-02  8.982432543843838E-06 438771741	   6     100.00     120.00  2.702385702699841E-02  8.372036593264298E-06 438771741	   6     100.00     120.00  2.702385702699841E-02  8.372036593264298E-06 438771741	   6     100.00     120.00  2.929569390235400E-02  9.697630912038856E-06 438771741	   6     100.00     120.00  2.929569390235400E-02  9.697630912038856E-06 438771741	   6     100.00     120.00  2.813234154458732E-02  8.982432543843838E-06 438771741
   7     120.00     140.00  2.308045220979615E-02  7.900864104325606E-06 383462514	   7     120.00     140.00  2.308045220979615E-02  7.900864104325606E-06 383462514	   7     120.00     140.00  2.205056218071704E-02  7.339575053333563E-06 383462514	   7     120.00     140.00  2.205056218071704E-02  7.339575053333563E-06 383462514	   7     120.00     140.00  2.418780807159732E-02  8.561347376637368E-06 383462514	   7     120.00     140.00  2.418780807159732E-02  8.561347376637368E-06 383462514	   7     120.00     140.00  2.308045220979615E-02  7.900864104325606E-06 383462514
   8     140.00     160.00  1.828806152777694E-02  6.833461724662764E-06 326796097	   8     140.00     160.00  1.828806152777694E-02  6.833461724662764E-06 326796097	   8     140.00     160.00  1.738207176141214E-02  6.327054958585820E-06 326796097	   8     140.00     160.00  1.738207176141214E-02  6.327054958585820E-06 326796097	   8     140.00     160.00  1.927968095787168E-02  7.432330069453583E-06 326796097	   8     140.00     160.00  1.927968095787168E-02  7.432330069453583E-06 326796097	   8     140.00     160.00  1.828806152777694E-02  6.833461724662764E-06 326796097
   9     160.00     180.00  1.426542824251129E-02  5.847319592088558E-06 278633658	   9     160.00     180.00  1.426542824251129E-02  5.847319592088558E-06 278633658	   9     160.00     180.00  1.349868911574611E-02  5.396091834969786E-06 278633658	   9     160.00     180.00  1.349868911574611E-02  5.396091834969786E-06 278633658	   9     160.00     180.00  1.511547519113840E-02  6.384321610416818E-06 278633658	   9     160.00     180.00  1.511547519113840E-02  6.384321610416818E-06 278633658	   9     160.00     180.00  1.426542824251129E-02  5.847319592088558E-06 278633658
  10     180.00     200.00  1.107710552180454E-02  4.890865571457198E-06 238934944	  10     180.00     200.00  1.107710552180454E-02  4.890865571457198E-06 238934944	  10     180.00     200.00  1.044194530993714E-02  4.511175584380382E-06 238934944	  10     180.00     200.00  1.044194530993714E-02  4.511175584380382E-06 238934944	  10     180.00     200.00  1.178808464685044E-02  5.342109468855220E-06 238934944	  10     180.00     200.00  1.178808464685044E-02  5.342109468855220E-06 238934944	  10     180.00     200.00  1.107710552180454E-02  4.890865571457198E-06 238934944
