# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   7      30.00      35.00  1.687429414983696E-02  1.023620725205912E-05 102334717	   7      30.00      35.00  1.687429414983696E-02  1.023620725205912E-05 102334717	   7      30.00      35.00  1.654888597715099E-02  9.768251626539970E-06 102334717	   7      30.00      35.00  1.654888597715099E-02  9.768251626539970E-06 102334717	   7      30.00      35.00  1.712942288191165E-02  1.075778815783982E-05 102334717	   7      30.00      35.00  1.712942288191165E-02  1.075778815783982E-05 102334717	   7      30.00      35.00  1.687429414983696E-02  1.023620725205912E-05 102334717
   8      35.00      40.00  2.024885295369183E-02  1.182567912441492E-05 108861511	   8      35.00      40.00  2.024885295369183E-02  1.182567912441492E-05 108861511	   8      35.00      40.00  1.983820691121776E-02  1.127417038522085E-05 108861511	   8      35.00      40.00  1.983820691121776E-02  1.127417038522085E-05 108861511	   8      35.00      40.00  2.058368304361902E-02  1.244186576881671E-05 108861511	   8      35.00      40.00  2.058368304361902E-02  1.244186576881671E-05 108861511	   8      35.00      40.00  2.024885295369183E-02  1.182567912441492E-05 108861511
   9      40.00      45.00  2.336042447477398E-02  1.352460237043296E-05 114028227	   9      40.00      45.00  2.336042447477398E-02  1.352460237043296E-05 114028227	   9      40.00      45.00  2.286168380348165E-02  1.286572090537953E-05 114028227	   9      40.00      45.00  2.286168380348165E-02  1.286572090537953E-05 114028227	   9      40.00      45.00  2.378119934229539E-02  1.426525746310665E-05 114028227	   9      40.00      45.00  2.378119934229539E-02  1.426525746310665E-05 114028227	   9      40.00      45.00  2.336042447477398E-02  1.352460237043296E-05 114028227
  10      45.00      50.00  2.607107981853592E-02  1.510304551436573E-05 118052371	  10      45.00      50.00  2.607107981853592E-02  1.510304551436573E-05 118052371	  10      45.00      50.00  2.548343971514964E-02  1.433675621419603E-05 118052371	  10      45.00      50.00  2.548343971514964E-02  1.433675621419603E-05 118052371	  10      45.00      50.00  2.658246146728380E-02  1.596921498744653E-05 118052371	  10      45.00      50.00  2.658246146728380E-02  1.596921498744653E-05 118052371	  10      45.00      50.00  2.607107981853592E-02  1.510304551436573E-05 118052371
