# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   7      30.00      35.00  1.456828795365966E-02  8.816325587107325E-05 128654921	   7      30.00      35.00  1.456828795365966E-02  8.816325587107325E-05 128654921	   7      30.00      35.00  1.434416908869216E-02  8.297443451316954E-05 128654921	   7      30.00      35.00  1.434416908869216E-02  8.297443451316954E-05 128654921	   7      30.00      35.00  1.472186103073611E-02  9.410784643962314E-05 128654921	   7      30.00      35.00  1.472186103073611E-02  9.410784643962314E-05 128654921	   7      30.00      35.00  1.456828795365966E-02  8.816325587107325E-05 128654921
   8      35.00      40.00  1.751555053017924E-02  1.053961194427690E-04 137854318	   8      35.00      40.00  1.751555053017924E-02  1.053961194427690E-04 137854318	   8      35.00      40.00  1.721739339485440E-02  9.873982437539322E-05 137854318	   8      35.00      40.00  1.721739339485440E-02  9.873982437539322E-05 137854318	   8      35.00      40.00  1.773946468378029E-02  1.130805037117987E-04 137854318	   8      35.00      40.00  1.773946468378029E-02  1.130805037117987E-04 137854318	   8      35.00      40.00  1.751555053017924E-02  1.053961194427690E-04 137854318
   9      40.00      45.00  1.990092390859868E-02  1.914526890388515E-04 145309586	   9      40.00      45.00  1.990092390859868E-02  1.914526890388515E-04 145309586	   9      40.00      45.00  1.955351301485779E-02  1.783814958441418E-04 145309586	   9      40.00      45.00  1.955351301485779E-02  1.783814958441418E-04 145309586	   9      40.00      45.00  2.016880463669976E-02  2.065393811631875E-04 145309586	   9      40.00      45.00  2.016880463669976E-02  2.065393811631875E-04 145309586	   9      40.00      45.00  1.990092390859868E-02  1.914526890388515E-04 145309586
  10      45.00      50.00  2.256690150758450E-02  1.097250256562058E-04 151274961	  10      45.00      50.00  2.256690150758450E-02  1.097250256562058E-04 151274961	  10      45.00      50.00  2.212959457232746E-02  1.030201849196685E-04 151274961	  10      45.00      50.00  2.212959457232746E-02  1.030201849196685E-04 151274961	  10      45.00      50.00  2.292859042590085E-02  1.174629413473861E-04 151274961	  10      45.00      50.00  2.292859042590085E-02  1.174629413473861E-04 151274961	  10      45.00      50.00  2.256690150758450E-02  1.097250256562058E-04 151274961
