# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  3.250428286152686E-03  2.960755517954402E-06 77936998	   1       0.00      20.00  3.250428286152686E-03  2.960755517954402E-06 77936998	   1       0.00      20.00  3.179875401275618E-03  2.794020465055691E-06 77936998	   1       0.00      20.00  3.179875401275618E-03  2.794020465055691E-06 77936998	   1       0.00      20.00  3.312634504419676E-03  3.152054260171747E-06 77936998	   1       0.00      20.00  3.312634504419676E-03  3.152054260171747E-06 77936998	   1       0.00      20.00  3.250428286152686E-03  2.960755517954402E-06 77936998
   2      20.00      40.00  9.154563890445375E-03  5.009281048265593E-06 151118511	   2      20.00      40.00  9.154563890445375E-03  5.009281048265593E-06 151118511	   2      20.00      40.00  8.944503475371407E-03  4.721012815510543E-06 151118511	   2      20.00      40.00  8.944503475371407E-03  4.721012815510543E-06 151118511	   2      20.00      40.00  9.343952982143132E-03  5.341851277172238E-06 151118511	   2      20.00      40.00  9.343952982143132E-03  5.341851277172238E-06 151118511	   2      20.00      40.00  9.154563890445375E-03  5.009281048265593E-06 151118511
   3      40.00      60.00  1.382287010526598E-02  6.201725360677133E-06 183921789	   3      40.00      60.00  1.382287010526598E-02  6.201725360677133E-06 183921789	   3      40.00      60.00  1.348054369366483E-02  5.843681296932015E-06 183921789	   3      40.00      60.00  1.348054369366483E-02  5.843681296932015E-06 183921789	   3      40.00      60.00  1.414004014138004E-02  6.614151043469330E-06 183921789	   3      40.00      60.00  1.414004014138004E-02  6.614151043469330E-06 183921789	   3      40.00      60.00  1.382287010526598E-02  6.201725360677133E-06 183921789
   4      60.00      80.00  1.699968305063177E-02  6.926771071964975E-06 202046408	   4      60.00      80.00  1.699968305063177E-02  6.926771071964975E-06 202046408	   4      60.00      80.00  1.654106083743550E-02  6.518450087298268E-06 202046408	   4      60.00      80.00  1.654106083743550E-02  6.518450087298268E-06 202046408	   4      60.00      80.00  1.743631987110962E-02  7.397754096823963E-06 202046408	   4      60.00      80.00  1.743631987110962E-02  7.397754096823963E-06 202046408	   4      60.00      80.00  1.699968305063177E-02  6.926771071964975E-06 202046408
   5      80.00     100.00  1.862751324700421E-02  7.248438756759585E-06 211757865	   5      80.00     100.00  1.862751324700421E-02  7.248438756759585E-06 211757865	   5      80.00     100.00  1.807748097447108E-02  6.808694211048593E-06 211757865	   5      80.00     100.00  1.807748097447108E-02  6.808694211048593E-06 211757865	   5      80.00     100.00  1.916486865673326E-02  7.757683162015529E-06 211757865	   5      80.00     100.00  1.916486865673326E-02  7.757683162015529E-06 211757865	   5      80.00     100.00  1.862751324700421E-02  7.248438756759585E-06 211757865
   6     100.00     120.00  1.891620352306847E-02  7.234397436124111E-06 215073611	   6     100.00     120.00  1.891620352306847E-02  7.234397436124111E-06 215073611	   6     100.00     120.00  1.830509818960424E-02  6.782201614096483E-06 215073611	   6     100.00     120.00  1.830509818960424E-02  6.782201614096483E-06 215073611	   6     100.00     120.00  1.952731828504068E-02  7.760017082176580E-06 215073611	   6     100.00     120.00  1.952731828504068E-02  7.760017082176580E-06 215073611	   6     100.00     120.00  1.891620352306847E-02  7.234397436124111E-06 215073611
   7     120.00     140.00  1.825556089925866E-02  7.080910064168994E-06 213437587	   7     120.00     140.00  1.825556089925866E-02  7.080910064168994E-06 213437587	   7     120.00     140.00  1.761384389639860E-02  6.624737831915120E-06 213437587	   7     120.00     140.00  1.761384389639860E-02  6.624737831915120E-06 213437587	   7     120.00     140.00  1.891018226709551E-02  7.612774912139542E-06 213437587	   7     120.00     140.00  1.891018226709551E-02  7.612774912139542E-06 213437587	   7     120.00     140.00  1.825556089925866E-02  7.080910064168994E-06 213437587
   8     140.00     160.00  1.702081058747141E-02  6.763553494964565E-06 208107189	   8     140.00     160.00  1.702081058747141E-02  6.763553494964565E-06 208107189	   8     140.00     160.00  1.637390710222177E-02  6.314652200691901E-06 208107189	   8     140.00     160.00  1.637390710222177E-02  6.314652200691901E-06 208107189	   8     140.00     160.00  1.769206920023315E-02  7.289118633667940E-06 208107189	   8     140.00     160.00  1.769206920023315E-02  7.289118633667940E-06 208107189	   8     140.00     160.00  1.702081058747141E-02  6.763553494964565E-06 208107189
   9     160.00     180.00  1.546216564659933E-02  6.285750927107597E-06 200238917	   9     160.00     180.00  1.546216564659933E-02  6.285750927107597E-06 200238917	   9     160.00     180.00  1.483215806530336E-02  5.864492988252929E-06 200238917	   9     160.00     180.00  1.483215806530336E-02  5.864492988252929E-06 200238917	   9     160.00     180.00  1.612518018135298E-02  6.778599333487592E-06 200238917	   9     160.00     180.00  1.612518018135298E-02  6.778599333487592E-06 200238917	   9     160.00     180.00  1.546216564659933E-02  6.285750927107597E-06 200238917
  10     180.00     200.00  1.382211759766361E-02  5.828664639949626E-06 190864988	  10     180.00     200.00  1.382211759766361E-02  5.828664639949626E-06 190864988	  10     180.00     200.00  1.322217182537176E-02  5.429782563850976E-06 190864988	  10     180.00     200.00  1.322217182537176E-02  5.429782563850976E-06 190864988	  10     180.00     200.00  1.446120691027824E-02  6.296425320418499E-06 190864988	  10     180.00     200.00  1.446120691027824E-02  6.296425320418499E-06 190864988	  10     180.00     200.00  1.382211759766361E-02  5.828664639949626E-06 190864988
