# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  2.856474140102007E-03  2.830465388618714E-05 95210565	   1       0.00      20.00  2.856474140102007E-03  2.830465388618714E-05 95210565	   1       0.00      20.00  2.801666290466705E-03  2.677644220792783E-05 95210565	   1       0.00      20.00  2.801666290466705E-03  2.677644220792783E-05 95210565	   1       0.00      20.00  2.903220169860192E-03  3.004120176671502E-05 95210565	   1       0.00      20.00  2.903220169860192E-03  3.004120176671502E-05 95210565	   1       0.00      20.00  2.856474140102007E-03  2.830465388618714E-05 95210565
   2      20.00      40.00  8.097687512718558E-03  4.208563347480275E-05 186238249	   2      20.00      40.00  8.097687512718558E-03  4.208563347480275E-05 186238249	   2      20.00      40.00  7.932188734348426E-03  3.877172924431927E-05 186238249	   2      20.00      40.00  7.932188734348426E-03  3.877172924431927E-05 186238249	   2      20.00      40.00  8.242666129678826E-03  4.604604649994068E-05 186238249	   2      20.00      40.00  8.242666129678826E-03  4.604604649994068E-05 186238249	   2      20.00      40.00  8.097687512718558E-03  4.208563347480275E-05 186238249
   3      40.00      60.00  1.218049485122857E-02  4.658027094653279E-05 229341942	   3      40.00      60.00  1.218049485122857E-02  4.658027094653279E-05 229341942	   3      40.00      60.00  1.190871310667961E-02  4.348094307713589E-05 229341942	   3      40.00      60.00  1.190871310667961E-02  4.348094307713589E-05 229341942	   3      40.00      60.00  1.242713085452527E-02  5.020825364830636E-05 229341942	   3      40.00      60.00  1.242713085452527E-02  5.020825364830636E-05 229341942	   3      40.00      60.00  1.218049485122857E-02  4.658027094653279E-05 229341942
   4      60.00      80.00  1.476540950782642E-02  7.543696872418508E-05 254453721	   4      60.00      80.00  1.476540950782642E-02  7.543696872418508E-05 254453721	   4      60.00      80.00  1.441186690910233E-02  7.021884588445654E-05 254453721	   4      60.00      80.00  1.441186690910233E-02  7.021884588445654E-05 254453721	   4      60.00      80.00  1.509383244264331E-02  8.151918348518409E-05 254453721	   4      60.00      80.00  1.509383244264331E-02  8.151918348518409E-05 254453721	   4      60.00      80.00  1.476540950782642E-02  7.543696872418508E-05 254453721
   5      80.00     100.00  1.609981942758876E-02  7.193111073552901E-05 268909913	   5      80.00     100.00  1.609981942758876E-02  7.193111073552901E-05 268909913	   5      80.00     100.00  1.567766303694939E-02  6.698050374144432E-05 268909913	   5      80.00     100.00  1.567766303694939E-02  6.698050374144432E-05 268909913	   5      80.00     100.00  1.650285273114833E-02  7.773504276884830E-05 268909913	   5      80.00     100.00  1.650285273114833E-02  7.773504276884830E-05 268909913	   5      80.00     100.00  1.609981942758876E-02  7.193111073552901E-05 268909913
   6     100.00     120.00  1.611317666162388E-02  1.023953606610846E-04 275100517	   6     100.00     120.00  1.611317666162388E-02  1.023953606610846E-04 275100517	   6     100.00     120.00  1.564982115103829E-02  9.549679988152302E-05 275100517	   6     100.00     120.00  1.564982115103829E-02  9.549679988152302E-05 275100517	   6     100.00     120.00  1.656743570713946E-02  1.103482917834616E-04 275100517	   6     100.00     120.00  1.656743570713946E-02  1.103482917834616E-04 275100517	   6     100.00     120.00  1.611317666162388E-02  1.023953606610846E-04 275100517
   7     120.00     140.00  1.549414370191071E-02  8.636235449234922E-05 274726386	   7     120.00     140.00  1.549414370191071E-02  8.636235449234922E-05 274726386	   7     120.00     140.00  1.500441756285449E-02  7.968603293161716E-05 274726386	   7     120.00     140.00  1.500441756285449E-02  7.968603293161716E-05 274726386	   7     120.00     140.00  1.598579214700365E-02  9.425269871209622E-05 274726386	   7     120.00     140.00  1.598579214700365E-02  9.425269871209622E-05 274726386	   7     120.00     140.00  1.549414370191071E-02  8.636235449234922E-05 274726386
   8     140.00     160.00  1.414468228025711E-02  1.095424491400416E-04 269479816	   8     140.00     160.00  1.414468228025711E-02  1.095424491400416E-04 269479816	   8     140.00     160.00  1.366684647232509E-02  1.015091418206958E-04 269479816	   8     140.00     160.00  1.366684647232509E-02  1.015091418206958E-04 269479816	   8     140.00     160.00  1.463202613758818E-02  1.189021918919160E-04 269479816	   8     140.00     160.00  1.463202613758818E-02  1.189021918919160E-04 269479816	   8     140.00     160.00  1.414468228025711E-02  1.095424491400416E-04 269479816
   9     160.00     180.00  1.281110312942154E-02  1.039414437828244E-04 260664856	   9     160.00     180.00  1.281110312942154E-02  1.039414437828244E-04 260664856	   9     160.00     180.00  1.233371259594707E-02  9.701507843337746E-05 260664856	   9     160.00     180.00  1.233371259594707E-02  9.701507843337746E-05 260664856	   9     160.00     180.00  1.330869607010872E-02  1.119800932438296E-04 260664856	   9     160.00     180.00  1.330869607010872E-02  1.119800932438296E-04 260664856	   9     160.00     180.00  1.281110312942154E-02  1.039414437828244E-04 260664856
  10     180.00     200.00  1.127253852360131E-02  1.397259226498987E-04 249698152	  10     180.00     200.00  1.127253852360131E-02  1.397259226498987E-04 249698152	  10     180.00     200.00  1.082840362110989E-02  1.279071647220421E-04 249698152	  10     180.00     200.00  1.082840362110989E-02  1.279071647220421E-04 249698152	  10     180.00     200.00  1.174062340895377E-02  1.536807041139324E-04 249698152	  10     180.00     200.00  1.174062340895377E-02  1.536807041139324E-04 249698152	  10     180.00     200.00  1.127253852360131E-02  1.397259226498987E-04 249698152
  11     200.00     220.00  9.975638160244538E-03  7.186199685454296E-05 237425006	  11     200.00     220.00  9.975638160244538E-03  7.186199685454296E-05 237425006	  11     200.00     220.00  9.554786240430548E-03  6.575369862220604E-05 237425006	  11     200.00     220.00  9.554786240430548E-03  6.575369862220604E-05 237425006	  11     200.00     220.00  1.042474080514565E-02  7.920742489599232E-05 237425006	  11     200.00     220.00  1.042474080514565E-02  7.920742489599232E-05 237425006	  11     200.00     220.00  9.975638160244538E-03  7.186199685454296E-05 237425006
